micro_ciclo;Driver;Speed_mean;Speed_max;Acel_pos_mean;Acel_pos_max;Acel_neg_mean;Acel_neg_max;Duration;Distance;time_ralenti;time_mov;Pend160_pos_max;Pend160_neg_mean;Pend160_neg_max;time_Pend160_pos;time_Pend160_neg;Pend200_pos_mean;Pend200_pos_max;Pend200_neg_mean;Pend200_neg_max;time_Pend200_pos;time_Pend200_neg;Social_stratum;Driver_age;PC1;PC2;PC3;PC4;Cluster
1;8;7.053931828;18.61637203;0.290440171;0.654120047;-0.309901092;-0.96727195;34;68.57989277;38.23529412;64.70588235;0;-0.071299718;-0.071299718;0;102.9411765;0;0;-0.076520129;-0.076520129;0;102.9411765;2;44;-1.422179309;-1.596445096;0.004848844;-0.257478112;1
2;8;8.211782937;23.51067692;0.851527632;1.300938811;-0.398131839;-1.083168026;24;57.0262704;45.83333333;58.33333333;0;-0.071299718;-0.071299718;0;104.1666667;0;0;-0.076520129;-0.076520129;0;104.1666667;2;44;-0.390359062;-1.862065037;1.5429403;0.661113109;1
3;8;21.71960628;36.71838042;0.264347174;1.33453244;-0.297658391;-0.871305556;150;911.016819;4.666666667;96;0;-0.044009803;-0.085550091;0;100.6666667;0;0;-0.052418163;-0.098565471;0;100.6666667;2;44;0.729899223;-1.665256158;-0.488006821;-0.715037856;1
4;8;17.95915101;34.67186853;0.259972618;0.917230381;-0.266956445;-1.233498252;457;2284.8031;2.188183807;98.03063457;0.026092486;-0.100392106;-0.233717829;6.126914661;94.09190372;0.011810842;0.011810842;-0.102168226;-0.201321679;7.877461707;92.34135667;2;44;1.320853132;-1.783771174;-2.139106031;-0.970118652;2
5;8;1.263694769;11.10092308;0.52859965;0.913067211;-0.072290987;-0.890636558;49;17.55131624;83.67346939;18.36734694;0;-0.054016043;-0.054016043;0;102.0408163;0;0;-0.060762048;-0.060762048;0;102.0408163;2;44;-2.847884849;-1.479174052;0.539083509;-0.42552769;1
6;8;14.95140963;27.07257063;0.352859212;0.779624126;-0.44147062;-1.147198329;71;299.0281927;9.85915493;91.54929577;0.035331242;-0.102426316;-0.123360488;26.76056338;74.64788732;0.028687283;0.028687283;-0.073756366;-0.079242856;11.26760563;90.14084507;2;44;0.231864445;-1.140529518;-0.121792313;0.205008856;2
7;8;15.00080144;29.38315804;0.391994749;0.938107032;-0.282632176;-0.654432401;73;308.3498073;6.849315068;94.52054795;0.035331242;-0.017802031;-0.017802031;73.97260274;27.39726027;0.028687283;0.028687283;-0.024051839;-0.024051839;57.53424658;43.83561644;2;44;-0.007017054;0.338622943;-0.08331186;-0.090914744;3
8;8;11.62940179;21.75395245;0.223826463;0.936068959;-0.207537329;-0.518070124;78;255.2007615;15.38461538;85.8974359;0.02144777;-0.017802031;-0.017802031;57.69230769;43.58974359;0.020690316;0.020690316;-0.024051839;-0.024051839;62.82051282;38.46153846;2;44;-0.797805922;0.487349289;-0.450454882;-0.41687658;3
9;8;32.04024334;52.83950769;0.259705083;1.005130342;-0.196580202;-1.021359169;289;2581.019602;16.9550173;83.39100346;0.240855936;-0.015031771;-0.029205718;71.28027682;29.06574394;0.079017803;0.229619764;-0.018827314;-0.027271278;76.47058824;23.87543253;2;44;1.613861483;1.725824053;-2.12291449;-0.524715175;3
10;8;2.678188938;13.58645035;0.486154307;0.773221251;-0.107546787;-0.499410062;43;32.73342036;67.44186047;34.88372093;0.240855936;0;0;102.3255814;0;0.229619764;0.229619764;0;0;102.3255814;0;2;44;-2.170504162;3.599899167;-1.146971078;1.633160545;3
11;8;1.46487972;3.583577622;0.219802331;0.452620629;-0.162185703;-0.53049359;11;4.882932401;54.54545455;54.54545455;0.240855936;0;0;109.0909091;0;0.229619764;0.229619764;0;0;109.0909091;0;2;44;-2.372791098;3.778691217;-1.697119239;1.503107681;3
12;8;10.06377321;17.16041958;0.351396284;0.902071678;-0.410845409;-0.751570319;25;72.68280653;16;88;0.240855936;0;0;104;0;0.213222701;0.229619764;0;0;104;0;2;44;-0.082218029;3.409667231;-1.061438544;1.924484609;3
13;8;20.66288027;34.60273007;0.236115019;1.405110917;-0.246169672;-0.991171911;150;866.6930334;1.333333333;99.33333333;0.078155975;-0.043363201;-0.055556062;66;34.66666667;0.046171808;0.069585839;-0.059514488;-0.074766897;58;42.66666667;2;44;0.941062932;0.306376874;-0.975030777;0.017449237;3
14;8;2.688794213;9.886338462;0.256139439;0.672422883;-0.178128297;-0.859458819;28;21.65973116;50;53.57142857;0;-0.013287477;-0.013287477;0;103.5714286;0;0;-0.013757261;-0.013757261;0;103.5714286;2;44;-2.287870104;-1.154858484;0.23466192;-0.911415118;1
15;8;10.13443296;21.05296783;0.36928034;0.954725136;-0.478238131;-1.173757576;45;129.4955322;8.888888889;93.33333333;0;-0.011704326;-0.013287477;0;102.2222222;0;0;-0.014981085;-0.025016438;0;102.2222222;2;44;0.082775509;-1.371009933;0.725264978;-0.291547865;1
16;8;1.297356859;3.40914965;0.210407459;0.444601593;-0.135483877;-0.496293512;12;4.684899767;58.33333333;50;0;-0.009003658;-0.009003658;0;108.3333333;0;0;-0.025016438;-0.025016438;0;108.3333333;2;44;-3.102334501;-1.195170785;-0.099459619;-0.986558242;1
17;8;1.619307725;8.115658741;0.342658508;0.754889666;-0.066164665;-0.551525447;42;19.34173116;73.80952381;28.57142857;0;-0.009003658;-0.009003658;0;102.3809524;0;0;-0.025016438;-0.025016438;0;102.3809524;2;44;-3.151900616;-1.174566906;0.201382054;-0.965290861;1
18;8;3.224822307;15.81443916;0.252886418;0.614722611;-0.074493902;-0.660039239;78;70.76693395;65.38461538;35.8974359;0;-0.009003658;-0.009003658;0;101.2820513;0;0;-0.025016438;-0.025016438;0;101.2820513;2;44;-2.792622075;-1.150835977;-0.119448139;-1.179389726;1
19;8;7.224361602;14.33438601;0.254289379;0.621250583;-0.17598839;-0.534408314;43;88.29775291;30.23255814;72.09302326;0.002893712;-0.009003658;-0.009003658;76.74418605;25.58139535;0;0;-0.025016438;-0.025016438;0;102.3255814;2;44;-1.83806915;-1.200325267;-0.117064371;-0.924166137;1
20;8;0.550967832;2.329779021;0.257069736;0.3782162;-0.059420253;-0.371864802;15;2.448745921;80;26.66666667;0.002893712;0;0;106.6666667;0;0;0;-0.025016438;-0.025016438;0;106.6666667;2;44;-3.865155223;-1.141928485;-0.074953925;-1.108999641;1
21;8;9.651176201;27.04928392;0.299105623;1.050177545;-0.187797011;-0.793011849;121;327.0676379;19.83471074;80.99173554;0.002893712;-0.015727938;-0.015727938;76.85950413;23.96694215;0;0;-0.00726202;-0.025016438;0;100.8264463;2;44;-0.657164097;-1.225116644;-0.004791526;-1.059937248;1
22;8;12.86649109;28.40932028;0.479727414;0.981686869;-0.290356311;-0.850675019;105;378.8466822;23.80952381;77.14285714;0.002468205;-0.018238138;-0.026335911;26.66666667;74.28571429;0;0;-0.016975935;-0.028429649;0;100.952381;2;44;-0.331927422;-1.346452107;0.458136597;-0.676576544;1
23;8;13.77337637;35.15741538;0.286308932;1.064883644;-0.167509444;-1.067306527;148;570.0647444;33.78378378;66.89189189;0;-0.054389506;-0.099036564;0;100.6756757;0;0;-0.050416294;-0.08622571;0;100.6756757;2;44;-0.495330125;-1.561153644;-0.36568848;-0.870273752;1
24;8;16.73791789;30.69081399;0.516038881;1.449809635;-0.378176813;-0.880402681;44;209.2239736;13.63636364;88.63636364;0.049429886;-0.099036564;-0.099036564;54.54545455;47.72727273;0.038127233;0.038127233;-0.08622571;-0.08622571;47.72727273;54.54545455;2;44;0.564705501;-0.313912878;0.192963953;0.851426669;2
25;8;31.2913005;53.27678601;0.40409944;0.862017871;-0.727740627;-1.514287685;56;495.4455913;1.785714286;100;0.049429886;-0.022363201;-0.024082946;55.35714286;46.42857143;0.02544392;0.038127233;-0.025219867;-0.025219867;75;26.78571429;2;44;2.306863752;0.529243194;0.596454104;0.521032908;2
