t_s	speed_m_s	speed_km_h	acel_m_s2	Alt_api_c_f	N_intervalo_200m	Pendiente_200m	R2_200m	Grade_200m	Driver	micro_ciclo	Cluster
0	0	0	0,303394911	1496,338779	9	-0,01699103	0,426910729	-0,973420623	8	23	1
1	0,632244755	2,276081119	0,756480186	1496,320311	9	-0,01699103	0,426910729	-0,973420623	8	23	1
2	1,417219114	5,101988811	0,835533023	1496,289615	9	-0,01699103	0,426910729	-0,973420623	8	23	1
3	2,259990676	8,135966434	0,821771173	1496,248254	9	-0,01699103	0,426910729	-0,973420623	8	23	1
4	2,995571096	10,78405594	0,578428904	1496,197761	9	-0,01699103	0,426910729	-0,973420623	8	23	1
5	3,397806527	12,2321035	0,287698718	1496,139658	9	-0,01699103	0,426910729	-0,973420623	8	23	1
6	3,578599068	12,88295664	0,042242036	1496,075476	9	-0,01699103	0,426910729	-0,973420623	8	23	1
7	3,471829837	12,49858741	-0,291947358	1496,006769	9	-0,01699103	0,426910729	-0,973420623	8	23	1
8	3,080853147	11,09107133	-0,315599456	1495,930713	9	-0,01699103	0,426910729	-0,973420623	8	23	1
9	2,919207459	10,50914685	-0,062258741	1495,847559	9	-0,01699103	0,426910729	-0,973420623	8	23	1
10	2,94481352	10,60132867	0,118674437	1495,757483	9	-0,01699103	0,426910729	-0,973420623	8	23	1
11	3,130617716	11,27022378	0,205095765	1495,660589	9	-0,01699103	0,426910729	-0,973420623	8	23	1
12	3,348041958	12,05295105	0,279245726	1495,556922	9	-0,01699103	0,426910729	-0,973420623	8	23	1
13	3,683885781	13,26198881	0,361315268	1495,446478	9	-0,01699103	0,426910729	-0,973420623	8	23	1
14	4,020009324	14,47203357	0,231232712	1495,329209	9	-0,01699103	0,426910729	-0,973420623	8	23	1
15	4,170573427	15,01406434	0,209092852	1495,205037	9	-0,01699103	0,426910729	-0,973420623	8	23	1
16	4,466750583	16,0803021	0,295497863	1495,07386	9	-0,01699103	0,426910729	-0,973420623	8	23	1
17	4,748701632	17,09532587	0,316219503	1494,935559	9	-0,01699103	0,426910729	-0,973420623	8	23	1
18	5,099060606	18,35661818	0,347702603	1494,79001	9	-0,01699103	0,426910729	-0,973420623	8	23	1
19	5,43441958	19,56391049	0,343045649	1494,637086	9	-0,01699103	0,426910729	-0,973420623	8	23	1
20	5,780062937	20,80822657	0,326806333	1494,476671	9	-0,01699103	0,426910729	-0,973420623	8	23	1
21	6,080172494	21,88862098	0,283999223	1494,308664	9	-0,01699103	0,426910729	-0,973420623	8	23	1
22	6,343407925	22,83626853	0,226295455	1494,132983	9	-0,01699103	0,426910729	-0,973420623	8	23	1
23	6,533188811	23,51947972	0,168301088	1493,949577	9	-0,01699103	0,426910729	-0,973420623	8	23	1
24	6,688648019	24,07913287	0,135506605	1493,758431	9	-0,01699103	0,426910729	-0,973420623	8	23	1
25	6,822480186	24,56092867	0,177618881	1493,559569	9	-0,01699103	0,426910729	-0,973420623	8	23	1
26	7,031659674	25,31397483	0,169406566	1493,353065	9	-0,01699103	0,426910729	-0,973420623	8	23	1
27	7,145855478	25,72507972	0,096917249	1493,139042	10	-0,028698093	0,999752681	-1,643828437	8	23	1
28	7,242771562	26,07397762	0,095918609	1492,925174	10	-0,028698093	0,999752681	-1,643828437	8	23	1
29	7,348368298	26,45412587	0,130593823	1492,711583	10	-0,028698093	0,999752681	-1,643828437	8	23	1
30	7,500738928	27,00266014	0,157236985	1492,498332	10	-0,028698093	0,999752681	-1,643828437	8	23	1
31	7,642468531	27,51288671	0,108480381	1492,285435	10	-0,028698093	0,999752681	-1,643828437	8	23	1
32	7,708729604	27,75142657	0,02032906	1492,072856	10	-0,028698093	0,999752681	-1,643828437	8	23	1
33	7,710529138	27,7579049	0,029006993	1491,860519	10	-0,028698093	0,999752681	-1,643828437	8	23	1
34	7,801275058	28,08459021	0,170243201	1491,648311	10	-0,028698093	0,999752681	-1,643828437	8	23	1
35	8,034748252	28,92509371	0,242543124	1491,436084	10	-0,028698093	0,999752681	-1,643828437	8	23	1
36	8,259564103	29,73443077	0,222512238	1491,223667	10	-0,028698093	0,999752681	-1,643828437	8	23	1
37	8,466324009	30,47876643	0,163645105	1491,010861	10	-0,028698093	0,999752681	-1,643828437	8	23	1
38	8,583734266	30,90144336	0,094045455	1490,797452	10	-0,028698093	0,999752681	-1,643828437	8	23	1
39	8,664368298	31,19172587	0,077530303	1490,583213	10	-0,028698093	0,999752681	-1,643828437	8	23	1
40	8,71537296	31,37534266	-0,025177739	1490,367906	10	-0,028698093	0,999752681	-1,643828437	8	23	1
41	8,58906993	30,92065175	-0,217443862	1490,15129	10	-0,028698093	0,999752681	-1,643828437	8	23	1
42	8,283480186	29,82052867	-0,388459984	1489,933125	10	-0,028698093	0,999752681	-1,643828437	8	23	1
43	7,818552448	28,14678881	-0,525832556	1489,713175	10	-0,028698093	0,999752681	-1,643828437	8	23	1
44	7,212752914	25,96591049	-0,774703963	1489,492463	10	-0,028698093	0,999752681	-1,643828437	8	23	1
45	6,333242424	22,79967273	-0,804075758	1489,270753	10	-0,028698093	0,999752681	-1,643828437	8	23	1
46	5,697447552	20,51081119	-0,502061577	1489,047812	10	-0,028698093	0,999752681	-1,643828437	8	23	1
47	5,345018648	19,24206713	-0,196768065	1488,823404	10	-0,028698093	0,999752681	-1,643828437	8	23	1
48	5,331701632	19,19412587	0,199592075	1488,597302	10	-0,028698093	0,999752681	-1,643828437	8	23	1
49	5,768491841	20,76657063	0,705916861	1488,369289	10	-0,028698093	0,999752681	-1,643828437	8	23	1
50	6,690128205	24,08446154	1,030070513	1488,139163	10	-0,028698093	0,999752681	-1,643828437	8	23	1
51	7,741428904	27,86914406	1,064883644	1487,906743	10	-0,028698093	0,999752681	-1,643828437	8	23	1
52	8,754351981	31,51566713	0,918514569	1487,671869	10	-0,028698093	0,999752681	-1,643828437	8	23	1
53	9,503678322	34,21324196	0,528520785	1487,434414	10	-0,028698093	0,999752681	-1,643828437	8	23	1
54	9,765948718	35,15741538	-0,046990482	1487,193031	11	-0,029960386	0,956194664	-1,716090313	8	23	1
55	9,49195338	34,17103217	-0,301592463	1486,947684	11	-0,029960386	0,956194664	-1,716090313	8	23	1
56	9,224438228	33,20797762	-0,349982323	1486,698396	11	-0,029960386	0,956194664	-1,716090313	8	23	1
57	8,790703963	31,64653427	-0,454363248	1486,445259	11	-0,029960386	0,956194664	-1,716090313	8	23	1
58	8,355741259	30,08066853	-0,41202972	1486,188437	11	-0,029960386	0,956194664	-1,716090313	8	23	1
59	7,994736597	28,78105175	-0,277211733	1485,928167	11	-0,029960386	0,956194664	-1,716090313	8	23	1
60	7,801055944	28,0838014	-0,149419192	1485,66477	11	-0,029960386	0,956194664	-1,716090313	8	23	1
61	7,679762238	27,64714406	-0,086120047	1485,398648	11	-0,029960386	0,956194664	-1,716090313	8	23	1
62	7,62897669	27,46431608	-0,00114763	1485,140278	11	-0,029960386	0,956194664	-1,716090313	8	23	1
63	7,651543124	27,54555524	-0,009075563	1484,890077	11	-0,029960386	0,956194664	-1,716090313	8	23	1
64	7,589074592	27,32066853	-0,08749087	1484,648392	11	-0,029960386	0,956194664	-1,716090313	8	23	1
65	7,469452214	26,89002797	-0,180852758	1484,415504	11	-0,029960386	0,956194664	-1,716090313	8	23	1
66	7,22213986	25,9997035	-0,295503302	1484,191636	11	-0,029960386	0,956194664	-1,716090313	8	23	1
67	6,886298368	24,79067413	-0,383302253	1483,976954	11	-0,029960386	0,956194664	-1,716090313	8	23	1
68	6,46988345	23,29158042	-0,426143162	1483,771573	11	-0,029960386	0,956194664	-1,716090313	8	23	1
69	6,051027972	21,7837007	-0,407209207	1483,575567	11	-0,029960386	0,956194664	-1,716090313	8	23	1
70	5,653694639	20,3533007	-0,416858003	1483,388971	11	-0,029960386	0,956194664	-1,716090313	8	23	1
71	5,243298368	18,87587413	-0,335011072	1483,211788	11	-0,029960386	0,956194664	-1,716090313	8	23	1
72	5,010342657	18,03723357	-0,146767871	1483,043996	11	-0,029960386	0,956194664	-1,716090313	8	23	1
73	4,924344988	17,72764196	-0,065330225	1482,885556	11	-0,029960386	0,956194664	-1,716090313	8	23	1
74	4,863282051	17,50781538	-0,02850136	1482,736417	11	-0,029960386	0,956194664	-1,716090313	8	23	1
75	4,850776224	17,46279441	-0,047050505	1482,596525	11	-0,029960386	0,956194664	-1,716090313	8	23	1
76	4,763808858	17,14971189	-0,074947941	1482,46583	11	-0,029960386	0,956194664	-1,716090313	8	23	1
77	4,693165501	16,8953958	-0,125312743	1482,344294	11	-0,029960386	0,956194664	-1,716090313	8	23	1
78	4,501771562	16,20637762	-0,229509713	1482,231898	11	-0,029960386	0,956194664	-1,716090313	8	23	1
79	4,258230769	15,32963077	-0,242453186	1482,128653	11	-0,029960386	0,956194664	-1,716090313	8	23	1
80	4,038447552	14,53841119	-0,19422669	1482,034606	11	-0,029960386	0,956194664	-1,716090313	8	23	1
81	3,896011655	14,02564196	-0,04484965	1481,949854	11	-0,029960386	0,956194664	-1,716090313	8	23	1
82	3,934738928	14,16506014	0,051370435	1481,874544	11	-0,029960386	0,956194664	-1,716090313	8	23	1
83	3,966757576	14,28032727	0,019737179	1481,808893	11	-0,029960386	0,956194664	-1,716090313	8	23	1
84	3,987969697	14,35669091	0,059077312	1481,753191	11	-0,029960386	0,956194664	-1,716090313	8	23	1
85	4,085011655	14,70604196	0,091377428	1481,707813	11	-0,029960386	0,956194664	-1,716090313	8	23	1
86	4,171843823	15,01863776	0,131383061	1481,673231	11	-0,029960386	0,956194664	-1,716090313	8	23	1
87	4,341221445	15,6283972	0,146377622	1481,65002	11	-0,029960386	0,956194664	-1,716090313	8	23	1
88	4,461051282	16,05978462	0,131028361	1481,634452	12	-0,08622571	0,63673611	-4,928179935	8	23	1
89	4,64213986	16,7117035	0,270295066	1481,625942	12	-0,08622571	0,63673611	-4,928179935	8	23	1
90	5,006850816	18,02466294	0,444204545	1481,623893	12	-0,08622571	0,63673611	-4,928179935	8	23	1
91	5,464076923	19,67067692	0,384217949	1481,627692	12	-0,08622571	0,63673611	-4,928179935	8	23	1
92	5,70609324	20,54193566	0,084778749	1481,636718	12	-0,08622571	0,63673611	-4,928179935	8	23	1
93	5,625463869	20,25166993	-0,205893939	1481,65035	12	-0,08622571	0,63673611	-4,928179935	8	23	1
94	5,280601399	19,01016503	-0,546760684	1481,667965	12	-0,08622571	0,63673611	-4,928179935	8	23	1
95	4,530869464	16,31113007	-0,915615773	1481,68895	12	-0,08622571	0,63673611	-4,928179935	8	23	1
96	3,5104662	12,63767832	-1,067306527	1481,712702	12	-0,08622571	0,63673611	-4,928179935	8	23	1
97	2,451771562	8,826377622	-1,048444444	1481,732299	12	-0,08622571	0,63673611	-4,928179935	8	23	1
98	1,455496503	5,239787413	-0,89367871	1481,749404	12	-0,08622571	0,63673611	-4,928179935	8	23	1
99	0,672445221	2,420802797	-0,766016706	1481,765439	12	-0,08622571	0,63673611	-4,928179935	8	23	1
100	0	0	-0,327005439	1481,781599	12	-0,08622571	0,63673611	-4,928179935	8	23	1
101	0	0	0,056037102	1481,79888	12	-0,08622571	0,63673611	-4,928179935	8	23	1
102	0	0	0	1481,818091	12	-0,08622571	0,63673611	-4,928179935	8	23	1
