type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-02-18 14:24:11,6.17255318,-75.64241917,7.50,1717.190,24.403,0.000,,12,36,20230218-092411,GPS Logger: 20230218-092411 - Bajaj_boxerct10_ruta_1
T,2023-02-18 14:24:12,6.17255294,-75.64243318,6.43,1717.045,24.403,0.000,,13,36,,
T,2023-02-18 14:24:13,6.17255080,-75.64244395,5.36,1716.770,24.403,0.000,,13,36,,
T,2023-02-18 14:24:14,6.17254642,-75.64244630,5.36,1716.810,24.403,0.000,,13,36,,
T,2023-02-18 14:24:15,6.17254484,-75.64244788,4.29,1716.677,24.403,0.000,,13,36,,
T,2023-02-18 14:24:16,6.17254445,-75.64244827,4.29,1716.575,24.403,0.000,,12,34,,
T,2023-02-18 14:24:17,6.17254268,-75.64245337,3.22,1716.208,24.403,0.290,281,13,34,,
T,2023-02-18 14:24:18,6.17254141,-75.64245916,3.22,1715.798,24.403,0.390,280,13,34,,
T,2023-02-18 14:24:19,6.17253567,-75.64246513,4.29,1714.925,24.403,0.450,280,15,34,,
T,2023-02-18 14:24:20,6.17253034,-75.64246810,4.29,1714.730,24.403,0.480,280,16,34,,
T,2023-02-18 14:24:21,6.17251446,-75.64246866,4.29,1714.623,24.403,0.000,,16,34,,
T,2023-02-18 14:24:22,6.17250878,-75.64246749,5.36,1714.950,24.403,0.000,,16,34,,
T,2023-02-18 14:24:23,6.17250928,-75.64246403,5.36,1715.313,24.403,0.000,,15,34,,
T,2023-02-18 14:24:24,6.17250978,-75.64246244,5.36,1715.893,24.403,0.000,,14,34,,
T,2023-02-18 14:24:25,6.17251327,-75.64246227,5.36,1715.950,24.403,0.000,,15,34,,
T,2023-02-18 14:24:26,6.17251783,-75.64246246,5.36,1715.913,24.403,0.000,,15,34,,
T,2023-02-18 14:24:27,6.17251913,-75.64246392,5.36,1715.970,24.403,0.000,,15,34,,
T,2023-02-18 14:24:28,6.17252116,-75.64246917,5.36,1716.187,24.403,0.000,,16,34,,
T,2023-02-18 14:24:29,6.17252480,-75.64246974,5.36,1715.539,24.403,0.000,,16,34,,
T,2023-02-18 14:24:30,6.17252682,-75.64247007,5.36,1715.803,24.403,0.000,,16,34,,
T,2023-02-18 14:24:31,6.17252853,-75.64247072,5.36,1715.966,24.403,0.000,,15,34,,
T,2023-02-18 14:24:32,6.17252866,-75.64247347,4.29,1715.672,24.403,0.000,,16,34,,
T,2023-02-18 14:24:33,6.17253103,-75.64247465,4.29,1715.802,24.403,0.000,,17,34,,
T,2023-02-18 14:24:34,6.17253167,-75.64247564,5.36,1715.765,24.403,0.000,,18,34,,
T,2023-02-18 14:24:35,6.17254459,-75.64249035,5.36,1716.302,24.403,3.840,284,17,34,,
T,2023-02-18 14:24:36,6.17257066,-75.64251044,5.36,1716.442,24.403,4.800,289,17,34,,
T,2023-02-18 14:24:37,6.17260745,-75.64252856,5.36,1716.137,24.403,4.950,290,18,34,,
T,2023-02-18 14:24:38,6.17275814,-75.64245586,4.29,1716.958,24.403,5.590,347,19,34,,
T,2023-02-18 14:24:39,6.17280886,-75.64245837,4.29,1717.266,24.403,4.540,353,19,34,,
T,2023-02-18 14:24:40,6.17285880,-75.64244823,4.29,1716.729,24.402,3.920,10,19,34,,
T,2023-02-18 14:24:41,6.17288959,-75.64240656,4.29,1716.277,24.402,4.980,58,19,34,,
T,2023-02-18 14:24:42,6.17289272,-75.64237809,4.29,1714.287,24.402,1.680,76,19,34,,
T,2023-02-18 14:24:43,6.17289327,-75.64235662,4.29,1714.138,24.402,0.890,79,19,34,,
T,2023-02-18 14:24:44,6.17290637,-75.64229243,4.29,1715.240,24.401,6.890,77,19,34,,
T,2023-02-18 14:24:45,6.17292375,-75.64219584,4.29,1715.318,24.401,9.590,83,19,34,,
T,2023-02-18 14:24:46,6.17295059,-75.64206736,4.29,1715.359,24.400,10.290,79,19,34,,
T,2023-02-18 14:24:47,6.17295835,-75.64197701,4.29,1715.096,24.400,10.720,84,19,34,,
T,2023-02-18 14:24:48,6.17301784,-75.64185051,4.29,1708.065,24.399,9.680,79,18,34,,
T,2023-02-18 14:24:49,6.17304320,-75.64175936,4.29,1709.401,24.398,9.530,76,18,34,,
T,2023-02-18 14:24:50,6.17304418,-75.64168159,4.29,1714.737,24.398,8.810,81,18,34,,
T,2023-02-18 14:24:51,6.17305288,-75.64161082,4.29,1714.339,24.398,7.930,83,12,34,,
T,2023-02-18 14:24:52,6.17307390,-75.64154048,4.29,1714.202,24.397,7.280,79,15,34,,
T,2023-02-18 14:24:53,6.17308734,-75.64147146,5.36,1710.032,24.397,7.440,79,16,34,,
T,2023-02-18 14:24:54,6.17310304,-75.64138877,6.43,1709.288,24.396,8.440,77,18,34,,
T,2023-02-18 14:24:55,6.17313765,-75.64127268,5.36,1712.557,24.396,11.440,75,18,34,,
T,2023-02-18 14:24:56,6.17315696,-75.64118517,5.36,1713.172,24.395,10.370,80,18,34,,
