type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-02-21 10:26:18,6.37783167,-75.44989000,3.20,1537.785,22.915,0.181,265,18,31,20230221-052618,GPS Logger: 20230221-052618 - Suzuki _Vstrom_Viaje_7
T,2023-02-21 10:26:19,6.37783667,-75.44988333,3.10,1537.785,22.915,0.112,273,19,31,,
T,2023-02-21 10:26:20,6.37782000,-75.44989167,3.00,1537.685,22.915,0.161,268,20,31,,
T,2023-02-21 10:26:21,6.37779833,-75.44989333,2.70,1537.585,22.915,0.135,246,21,31,,
T,2023-02-21 10:26:22,6.37778167,-75.44990333,2.60,1537.584,22.916,0.173,245,20,31,,
T,2023-02-21 10:26:23,6.37778167,-75.44990500,2.60,1537.584,22.916,0.000,,19,31,,
T,2023-02-21 10:26:24,6.37778000,-75.44990667,2.60,1537.584,22.916,0.000,,18,31,,
T,2023-02-21 10:26:25,6.37776667,-75.44991333,2.60,1537.584,22.916,0.000,,20,31,,
T,2023-02-21 10:26:26,6.37776333,-75.44991000,2.50,1537.484,22.916,0.220,186,20,31,,
T,2023-02-21 10:26:27,6.37776333,-75.44991000,2.50,1537.384,22.916,0.239,209,20,31,,
T,2023-02-21 10:26:28,6.37776000,-75.44990833,2.50,1537.284,22.916,0.234,1,19,31,,
T,2023-02-21 10:26:29,6.37776000,-75.44991000,2.40,1537.084,22.916,0.241,203,18,31,,
T,2023-02-21 10:26:30,6.37776500,-75.44991000,2.40,1536.984,22.916,0.235,235,18,31,,
T,2023-02-21 10:26:31,6.37776000,-75.44991000,2.30,1536.984,22.916,0.248,237,19,31,,
T,2023-02-21 10:26:32,6.37776000,-75.44990833,2.30,1536.884,22.916,0.249,237,21,31,,
T,2023-02-21 10:26:33,6.37775667,-75.44991000,2.20,1536.784,22.916,0.000,,23,31,,
T,2023-02-21 10:26:34,6.37774833,-75.44991333,2.20,1536.584,22.916,0.000,,21,31,,
T,2023-02-21 10:26:35,6.37774000,-75.44991833,2.20,1536.384,22.916,0.000,,20,31,,
T,2023-02-21 10:26:36,6.37774000,-75.44991833,2.20,1536.384,22.916,0.000,,21,31,,
T,2023-02-21 10:26:37,6.37774000,-75.44991833,2.20,1536.384,22.916,0.000,,22,31,,
T,2023-02-21 10:26:38,6.37774000,-75.44991833,3.00,1536.384,22.916,0.000,,21,31,,
T,2023-02-21 10:26:39,6.37774000,-75.44991833,2.70,1536.384,22.916,0.000,,22,31,,
T,2023-02-21 10:26:40,6.37774000,-75.44991833,2.50,1536.384,22.916,0.000,,21,31,,
T,2023-02-21 10:26:41,6.37774000,-75.44991833,2.40,1536.384,22.916,0.000,,21,31,,
T,2023-02-21 10:26:42,6.37774000,-75.44991833,2.30,1536.384,22.916,0.000,,21,31,,
T,2023-02-21 10:26:43,6.37774000,-75.44991833,2.20,1536.384,22.916,0.000,,22,31,,
T,2023-02-21 10:26:44,6.37774000,-75.44991833,2.80,1536.384,22.916,0.000,,22,31,,
T,2023-02-21 10:26:45,6.37774000,-75.44991833,2.60,1536.384,22.916,0.000,,23,31,,
T,2023-02-21 10:26:46,6.37774000,-75.44991833,2.30,1536.384,22.916,0.000,,24,31,,
T,2023-02-21 10:26:47,6.37774000,-75.44991833,2.30,1536.384,22.916,0.000,,22,31,,
T,2023-02-21 10:26:48,6.37774000,-75.44991833,2.20,1536.384,22.916,0.000,,23,31,,
T,2023-02-21 10:26:49,6.37774000,-75.44991833,2.20,1536.384,22.916,0.000,,21,31,,
T,2023-02-21 10:26:50,6.37774000,-75.44991833,2.20,1536.384,22.916,0.000,,20,31,,
T,2023-02-21 10:26:51,6.37774000,-75.44991833,2.10,1536.384,22.916,0.000,,21,31,,
T,2023-02-21 10:26:52,6.37774000,-75.44991833,2.10,1536.384,22.916,0.000,,21,31,,
T,2023-02-21 10:26:53,6.37774000,-75.44991833,2.10,1536.384,22.916,0.000,,21,31,,
T,2023-02-21 10:26:54,6.37774000,-75.44991833,2.10,1536.384,22.916,0.000,,21,31,,
T,2023-02-21 10:26:55,6.37774000,-75.44991833,2.90,1536.384,22.916,0.000,,22,31,,
T,2023-02-21 10:26:56,6.37774000,-75.44991833,2.60,1536.384,22.916,0.000,,23,31,,
T,2023-02-21 10:26:57,6.37763333,-75.44992667,2.30,1493.784,22.916,0.119,213,23,31,,
T,2023-02-21 10:26:58,6.37757833,-75.44995000,2.20,1490.484,22.916,0.000,,23,31,,
T,2023-02-21 10:26:59,6.37752833,-75.44996667,2.00,1485.283,22.917,0.000,,23,31,,
T,2023-02-21 10:27:00,6.37751833,-75.44997167,2.00,1483.283,22.917,0.000,,23,31,,
T,2023-02-21 10:27:01,6.37751833,-75.44997167,2.80,1483.283,22.917,0.000,,23,31,,
T,2023-02-21 10:27:02,6.37751833,-75.44997167,2.60,1483.283,22.917,0.000,,22,31,,
T,2023-02-21 10:27:03,6.37751833,-75.44997167,2.50,1483.283,22.917,0.000,,22,31,,
T,2023-02-21 10:27:04,6.37751833,-75.44997167,2.40,1483.283,22.917,0.000,,23,31,,
T,2023-02-21 10:27:05,6.37751833,-75.44997167,2.30,1483.283,22.917,0.000,,22,31,,
T,2023-02-21 10:27:06,6.37751833,-75.44997167,2.30,1483.283,22.917,0.000,,23,31,,
T,2023-02-21 10:27:07,6.37751833,-75.44997167,2.30,1483.283,22.917,0.000,,22,31,,
T,2023-02-21 10:27:08,6.37751833,-75.44997167,2.30,1483.283,22.917,0.000,,21,31,,
T,2023-02-21 10:27:09,6.37751833,-75.44997167,2.30,1483.283,22.917,0.000,,20,31,,
T,2023-02-21 10:27:10,6.37751833,-75.44997167,2.30,1483.283,22.917,0.000,,20,31,,
T,2023-02-21 10:27:11,6.37751833,-75.44997167,2.30,1483.283,22.917,0.000,,19,31,,
T,2023-02-21 10:27:12,6.37751833,-75.44997167,2.30,1483.283,22.917,0.000,,19,31,,
T,2023-02-21 10:27:13,6.37751833,-75.44997167,2.20,1483.283,22.917,0.000,,18,31,,
T,2023-02-21 10:27:14,6.37751833,-75.44997167,2.20,1483.283,22.917,0.000,,17,31,,
T,2023-02-21 10:27:15,6.37751833,-75.44997167,2.20,1483.283,22.917,0.000,,20,31,,
T,2023-02-21 10:27:16,6.37751833,-75.44997167,2.10,1483.283,22.917,0.000,,20,31,,
T,2023-02-21 10:27:17,6.37751833,-75.44997167,2.10,1483.283,22.917,0.000,,20,31,,
T,2023-02-21 10:27:18,6.37751833,-75.44997167,2.10,1483.283,22.917,0.000,,20,31,,
T,2023-02-21 10:27:19,6.37751833,-75.44997167,2.10,1483.283,22.917,0.000,,20,31,,
T,2023-02-21 10:27:20,6.37751833,-75.44997167,2.10,1483.283,22.917,0.000,,21,31,,
T,2023-02-21 10:27:21,6.37751833,-75.44997167,2.00,1483.283,22.917,0.000,,21,31,,
T,2023-02-21 10:27:22,6.37751833,-75.44997167,1.90,1483.283,22.917,0.000,,21,31,,
T,2023-02-21 10:27:23,6.37751833,-75.44997167,1.90,1483.283,22.917,0.000,,21,31,,
T,2023-02-21 10:27:24,6.37751833,-75.44997167,1.90,1483.283,22.917,0.000,,20,31,,
