type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-02-23 20:35:59.771,6.27278333,-75.58595167,2.90,1517.995,23.905,0.224,331,15,30,20230223-153559,GPS Logger: 20230223-153559 - Suzuki_Vstron_Viaje_8
T,2023-02-23 20:36:00.779,6.27277000,-75.58593667,2.50,1523.295,23.905,0.130,357,15,30,,
T,2023-02-23 20:36:02,6.27277333,-75.58594000,2.50,1522.895,23.905,0.000,,14,30,,
T,2023-02-23 20:36:03,6.27277667,-75.58594167,2.50,1522.295,23.905,0.000,,13,30,,
T,2023-02-23 20:36:04,6.27277667,-75.58594167,2.60,1522.295,23.905,0.000,,11,31,,
T,2023-02-23 20:36:05,6.27277833,-75.58594333,2.60,1521.895,23.905,0.000,,11,31,,
T,2023-02-23 20:36:06,6.27277667,-75.58594500,2.70,1521.195,23.905,0.000,,12,31,,
T,2023-02-23 20:36:07,6.27277000,-75.58594000,2.70,1521.095,23.905,0.000,,9,31,,
T,2023-02-23 20:36:08,6.27276833,-75.58594000,2.50,1518.695,23.905,0.000,,10,31,,
T,2023-02-23 20:36:09,6.27276167,-75.58593333,2.20,1518.895,23.905,0.000,,11,31,,
T,2023-02-23 20:36:10,6.27276667,-75.58592667,2.10,1518.795,23.905,0.171,91,13,31,,
T,2023-02-23 20:36:11,6.27276500,-75.58592500,2.00,1519.195,23.905,0.220,76,14,31,,
T,2023-02-23 20:36:12,6.27276500,-75.58592000,1.90,1519.395,23.905,0.220,86,14,31,,
T,2023-02-23 20:36:13,6.27276167,-75.58591833,1.80,1519.495,23.905,0.209,98,15,31,,
T,2023-02-23 20:36:14,6.27275833,-75.58592000,1.80,1519.295,23.905,0.217,113,15,31,,
T,2023-02-23 20:36:15,6.27275500,-75.58592167,1.80,1519.295,23.905,0.208,52,15,31,,
T,2023-02-23 20:36:16,6.27275667,-75.58591833,1.80,1519.595,23.905,0.211,316,15,31,,
T,2023-02-23 20:36:17,6.27276000,-75.58592167,1.80,1519.695,23.905,0.222,268,15,31,,
T,2023-02-23 20:36:18,6.27276333,-75.58592500,1.90,1519.195,23.905,0.230,268,15,31,,
T,2023-02-23 20:36:19,6.27276667,-75.58593167,1.90,1518.995,23.905,0.241,285,15,31,,
T,2023-02-23 20:36:20,6.27276667,-75.58593167,2.00,1519.095,23.905,0.233,252,15,31,,
T,2023-02-23 20:36:21,6.27276667,-75.58593167,2.00,1518.995,23.905,0.240,230,15,31,,
T,2023-02-23 20:36:22,6.27276500,-75.58592667,2.00,1518.795,23.905,0.000,,14,31,,
T,2023-02-23 20:36:23,6.27276333,-75.58592667,2.00,1518.595,23.905,0.000,,14,31,,
T,2023-02-23 20:36:24,6.27276500,-75.58592833,1.90,1518.395,23.905,0.000,,15,31,,
T,2023-02-23 20:36:25,6.27276500,-75.58592833,2.50,1518.395,23.905,0.000,,15,31,,
T,2023-02-23 20:36:26,6.27276500,-75.58592833,2.30,1518.395,23.905,0.000,,15,30,,
T,2023-02-23 20:36:27,6.27276500,-75.58592833,2.30,1518.395,23.905,0.000,,14,31,,
T,2023-02-23 20:36:28,6.27276500,-75.58592833,2.20,1518.395,23.905,0.000,,15,31,,
T,2023-02-23 20:36:29,6.27276500,-75.58592833,2.10,1518.395,23.905,0.000,,14,31,,
T,2023-02-23 20:36:30,6.27276500,-75.58592833,2.00,1518.395,23.905,0.000,,17,31,,
T,2023-02-23 20:36:31,6.27276500,-75.58592833,2.00,1518.395,23.905,0.000,,17,31,,
T,2023-02-23 20:36:32,6.27276500,-75.58592833,2.10,1518.395,23.905,0.000,,16,31,,
T,2023-02-23 20:36:33,6.27276500,-75.58592833,2.10,1518.395,23.905,0.000,,16,31,,
T,2023-02-23 20:36:34,6.27276500,-75.58592833,2.10,1518.395,23.905,0.000,,17,31,,
T,2023-02-23 20:36:35,6.27274500,-75.58596833,2.10,1518.095,23.905,0.451,139,17,31,,
