type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-02-23 22:29:36.402,6.24213667,-75.54648500,3.40,1614.633,23.767,0.025,316,8,31,20230223-172936,GPS Logger: 20230223-172936 - Suzuki_Vstrom_Viaje_9
T,2023-02-23 22:29:37.404,6.24213500,-75.54648667,3.10,1616.133,23.767,0.058,39,8,31,,
T,2023-02-23 22:29:38.402,6.24213333,-75.54646500,3.00,1612.333,23.767,0.164,11,8,31,,
T,2023-02-23 22:29:39.402,6.24213500,-75.54646667,3.00,1612.433,23.767,0.122,10,9,31,,
T,2023-02-23 22:29:40.381,6.24219000,-75.54643500,7.10,1609.533,23.767,0.032,235,9,31,,
T,2023-02-23 22:29:42,6.24216833,-75.54643833,5.50,1611.633,23.767,0.466,223,11,31,,
T,2023-02-23 22:29:43,6.24216500,-75.54642333,3.60,1610.833,23.767,0.845,227,11,31,,
T,2023-02-23 22:29:44,6.24217500,-75.54643000,3.20,1613.433,23.767,0.879,226,16,31,,
T,2023-02-23 22:29:45,6.24217167,-75.54643667,3.00,1612.533,23.767,0.944,222,17,31,,
T,2023-02-23 22:29:46,6.24217000,-75.54644167,2.80,1610.933,23.767,0.846,220,17,31,,
T,2023-02-23 22:29:47,6.24217333,-75.54644500,2.70,1609.933,23.767,0.620,227,17,31,,
T,2023-02-23 22:29:48,6.24217667,-75.54644833,2.60,1608.933,23.767,0.506,235,18,31,,
T,2023-02-23 22:29:49,6.24218167,-75.54644833,2.60,1608.733,23.767,0.000,,17,31,,
T,2023-02-23 22:29:50,6.24218000,-75.54645000,2.60,1608.833,23.767,0.000,,17,31,,
T,2023-02-23 22:29:51,6.24216500,-75.54646167,2.50,1609.533,23.767,0.505,170,18,31,,
T,2023-02-23 22:29:52,6.24216000,-75.54646500,2.50,1608.933,23.767,0.665,193,17,31,,
T,2023-02-23 22:29:53,6.24215500,-75.54647000,2.50,1607.733,23.767,0.000,,16,31,,
T,2023-02-23 22:29:54,6.24215500,-75.54647667,2.50,1606.433,23.767,0.674,194,16,31,,
T,2023-02-23 22:29:55,6.24215500,-75.54647333,2.50,1604.833,23.767,0.650,176,17,31,,
T,2023-02-23 22:29:56,6.24215000,-75.54646833,2.60,1603.633,23.767,0.000,,17,31,,
T,2023-02-23 22:29:57,6.24212667,-75.54646500,2.60,1602.733,23.767,0.000,,17,31,,
T,2023-02-23 22:29:58,6.24210833,-75.54646500,2.70,1602.233,23.767,0.919,178,18,31,,
