type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-02-25 12:09:38,6.27915434,-75.59194567,11.79,1601.098,23.921,0.000,,11,36,20230225-070938,GPS Logger: 20230225-070938 - Bajaj_bocerct100_ruta_5
T,2023-02-25 12:09:39,6.27915429,-75.59194551,11.79,1601.044,23.921,0.000,,12,36,,
T,2023-02-25 12:09:40,6.27915427,-75.59194547,11.79,1601.645,23.921,0.000,,12,36,,
T,2023-02-25 12:09:41,6.27915392,-75.59194468,11.79,1601.706,23.921,0.000,,12,36,,
T,2023-02-25 12:09:42,6.27915383,-75.59194449,11.79,1601.757,23.921,0.000,,12,36,,
T,2023-02-25 12:09:43,6.27915381,-75.59194444,11.79,1601.784,23.921,0.000,,11,36,,
T,2023-02-25 12:09:44,6.27915381,-75.59194442,11.79,1601.805,23.921,0.000,,11,36,,
T,2023-02-25 12:09:45,6.27915380,-75.59194442,12.86,1601.822,23.921,0.000,,11,36,,
T,2023-02-25 12:09:46,6.27915380,-75.59194442,12.86,1601.833,23.921,0.000,,11,36,,
T,2023-02-25 12:09:47,6.27915380,-75.59194442,13.94,1601.839,23.921,0.000,,10,38,,
T,2023-02-25 12:09:48,6.27917079,-75.59194442,17.15,1606.549,23.921,0.390,121,2,38,,
T,2023-02-25 12:09:49,6.27915380,-75.59194442,16.08,1601.578,23.921,0.000,,2,38,,
T,2023-02-25 12:09:50,6.27915381,-75.59194441,13.94,1601.661,23.921,0.000,,6,38,,
T,2023-02-25 12:09:51,6.27915382,-75.59194441,15.01,1601.696,23.921,0.000,,7,36,,
T,2023-02-25 12:09:52,6.27915381,-75.59194441,16.08,1601.751,23.921,0.000,,7,36,,
T,2023-02-25 12:09:53,6.27915381,-75.59194441,16.08,1601.839,23.921,0.000,,8,36,,
T,2023-02-25 12:09:54,6.27915380,-75.59194440,16.08,1601.935,23.921,0.000,,9,38,,
