type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-03-02 14:26:41,6.30232951,-75.56820867,4.10,1619.741,,0.000,,22,34,20230302-092641,GPS Logger: 20230302-092641 - Fz2.0 viaje 1_sena_santa_cruz
T,2023-03-02 14:26:42,6.30233103,-75.56820404,3.92,1619.608,,0.000,,22,34,,
T,2023-03-02 14:26:43,6.30233249,-75.56819572,3.79,1620.613,,0.000,,22,34,,
T,2023-03-02 14:26:44,6.30233238,-75.56819190,3.79,1620.304,,0.000,,22,33,,
T,2023-03-02 14:26:45,6.30233266,-75.56818808,3.79,1619.535,,0.000,,22,33,,
T,2023-03-02 14:26:46,6.30233450,-75.56817868,3.79,1618.900,,0.000,,22,33,,
T,2023-03-02 14:26:47,6.30233497,-75.56817023,3.79,1617.364,,0.220,96,22,33,,
T,2023-03-02 14:26:48,6.30233169,-75.56817485,3.79,1617.252,,0.000,,22,33,,
T,2023-03-02 14:26:49,6.30232868,-75.56817268,3.79,1617.789,,0.380,144,22,33,,
T,2023-03-02 14:26:50,6.30233069,-75.56817213,3.79,1617.530,,0.000,,22,33,,
T,2023-03-02 14:26:51,6.30231226,-75.56816124,3.79,1617.569,,2.450,141,22,33,,
T,2023-03-02 14:26:52,6.30229727,-75.56815851,3.79,1616.509,,2.620,154,22,33,,
T,2023-03-02 14:26:53,6.30221351,-75.56814701,3.79,1617.382,,6.690,168,21,33,,
T,2023-03-02 14:26:54,6.30213663,-75.56812393,3.79,1616.655,,8.160,169,20,33,,
T,2023-03-02 14:26:55,6.30205371,-75.56811715,3.79,1617.279,,9.170,175,21,33,,
T,2023-03-02 14:26:56,6.30195647,-75.56812794,3.79,1617.729,,10.240,184,21,33,,
T,2023-03-02 14:26:57,6.30184648,-75.56814625,3.85,1619.010,,10.980,188,21,33,,
T,2023-03-02 14:26:58,6.30174587,-75.56816526,4.02,1619.427,,11.140,188,20,33,,
T,2023-03-02 14:26:59,6.30168714,-75.56818112,4.20,1619.317,,8.360,189,20,33,,
T,2023-03-02 14:27:00,6.30162220,-75.56820085,4.62,1619.352,,7.220,192,21,33,,
T,2023-03-02 14:27:01,6.30157605,-75.56821614,5.36,1619.672,,6.150,193,21,33,,
T,2023-03-02 14:27:02,6.30155651,-75.56821453,4.82,1619.851,,3.360,185,20,33,,
T,2023-03-02 14:27:03,6.30151545,-75.56821708,4.43,1620.368,,4.570,182,21,33,,
T,2023-03-02 14:27:04,6.30146158,-75.56822675,4.29,1620.507,,5.990,182,21,33,,
T,2023-03-02 14:27:05,6.30139824,-75.56824513,4.18,1620.875,,7.220,188,21,33,,
T,2023-03-02 14:27:06,6.30132084,-75.56825208,4.01,1619.854,,7.230,187,20,33,,
T,2023-03-02 14:27:07,6.30124854,-75.56825930,3.98,1618.172,,7.230,191,21,33,,
T,2023-03-02 14:27:08,6.30119450,-75.56826566,4.29,1616.626,,6.480,190,21,33,,
T,2023-03-02 14:27:09,6.30112936,-75.56828356,4.91,1616.413,,6.830,196,21,33,,
T,2023-03-02 14:27:10,6.30106945,-75.56830806,6.52,1617.440,,6.920,200,21,33,,
T,2023-03-02 14:27:11,6.30101719,-75.56832498,7.22,1617.178,,6.820,205,21,33,,
T,2023-03-02 14:27:12,6.30104212,-75.56832496,6.01,1616.408,,2.650,210,20,33,,
T,2023-03-02 14:27:13,6.30102791,-75.56833716,5.59,1616.547,,1.390,208,20,33,,
T,2023-03-02 14:27:14,6.30102251,-75.56835001,5.62,1615.116,,1.670,217,19,33,,
T,2023-03-02 14:27:15,6.30103231,-75.56834188,5.42,1614.366,,0.000,,17,33,,
T,2023-03-02 14:27:16,6.30103097,-75.56834286,5.73,1614.804,,0.000,,17,33,,
T,2023-03-02 14:27:17,6.30102924,-75.56834370,7.29,1614.649,,0.290,208,17,33,,
