type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-03-03 13:54:48,6.27553110,-75.63832596,3.22,1860.120,24.171,0.000,,12,36,20230303-085448,GPS Logger: 20230303-085448 - Akt_nkd125_ruta_7
T,2023-03-03 13:54:49,6.27552856,-75.63832804,3.22,1860.478,24.171,0.000,,13,36,,
T,2023-03-03 13:54:50,6.27552655,-75.63833013,3.22,1860.214,24.171,0.000,,13,36,,
T,2023-03-03 13:54:51,6.27552360,-75.63833547,3.22,1861.006,24.171,0.000,,13,36,,
T,2023-03-03 13:54:52,6.27551977,-75.63833445,3.22,1860.972,24.171,0.220,146,14,36,,
T,2023-03-03 13:54:53,6.27551616,-75.63833481,3.22,1862.338,24.171,0.260,152,13,37,,
T,2023-03-03 13:54:54,6.27552360,-75.63834017,4.29,1862.745,24.171,0.360,51,15,37,,
T,2023-03-03 13:54:55,6.27552825,-75.63834745,4.29,1864.392,24.171,0.330,315,15,37,,
T,2023-03-03 13:54:56,6.27553926,-75.63836093,4.29,1864.854,24.171,1.280,317,15,37,,
T,2023-03-03 13:54:57,6.27553903,-75.63837492,5.36,1864.486,24.171,0.990,311,15,37,,
T,2023-03-03 13:54:58,6.27552754,-75.63837247,5.36,1864.594,24.171,0.280,220,14,37,,
T,2023-03-03 13:54:59,6.27552321,-75.63838128,5.36,1864.889,24.171,0.430,192,14,37,,
T,2023-03-03 13:55:00,6.27552589,-75.63837596,5.36,1863.192,24.171,0.290,137,15,37,,
T,2023-03-03 13:55:01,6.27550894,-75.63836875,5.36,1862.946,24.171,0.310,144,14,37,,
T,2023-03-03 13:55:02,6.27550026,-75.63837098,5.36,1861.837,24.171,0.470,151,14,37,,
T,2023-03-03 13:55:03,6.27549817,-75.63837294,5.36,1860.409,24.171,0.000,,15,35,,
T,2023-03-03 13:55:04,6.27549492,-75.63837318,4.29,1860.960,24.171,0.000,,14,35,,
T,2023-03-03 13:55:05,6.27549043,-75.63836998,4.29,1861.397,24.171,0.000,,15,35,,
T,2023-03-03 13:55:06,6.27548645,-75.63836588,4.29,1861.390,24.171,0.000,,16,35,,
T,2023-03-03 13:55:07,6.27548336,-75.63836205,4.29,1861.464,24.171,0.000,,16,35,,
T,2023-03-03 13:55:08,6.27548062,-75.63836156,4.29,1861.955,24.171,0.000,,16,35,,
T,2023-03-03 13:55:09,6.27547852,-75.63836223,3.22,1862.229,24.171,0.000,,17,35,,
T,2023-03-03 13:55:10,6.27547677,-75.63836254,3.22,1862.281,24.171,0.000,,18,35,,
T,2023-03-03 13:55:11,6.27547585,-75.63836268,4.29,1862.128,24.171,0.000,,19,35,,
T,2023-03-03 13:55:12,6.27547542,-75.63836330,6.43,1861.926,24.171,0.000,,18,34,,
T,2023-03-03 13:55:13,6.27548066,-75.63838597,7.50,1862.134,24.171,4.080,283,18,35,,
T,2023-03-03 13:55:14,6.27548504,-75.63843438,6.43,1862.495,24.171,4.770,277,18,35,,
T,2023-03-03 13:55:15,6.27544282,-75.63854693,6.43,1862.334,24.172,5.900,263,20,35,,
T,2023-03-03 13:55:16,6.27543756,-75.63861892,7.50,1860.773,24.172,5.860,261,20,35,,
T,2023-03-03 13:55:17,6.27540034,-75.63868479,7.50,1859.395,24.173,5.580,249,20,35,,
T,2023-03-03 13:55:18,6.27537866,-75.63871894,6.43,1859.471,24.173,5.750,238,20,35,,
T,2023-03-03 13:55:19,6.27534805,-75.63871324,5.36,1858.351,24.173,5.220,211,20,35,,
T,2023-03-03 13:55:20,6.27528044,-75.63872811,4.29,1857.128,24.173,6.680,197,21,35,,
T,2023-03-03 13:55:21,6.27520619,-75.63876523,4.29,1857.335,24.174,6.950,201,21,35,,
T,2023-03-03 13:55:22,6.27517128,-75.63882222,4.29,1857.282,24.174,6.490,219,21,35,,
T,2023-03-03 13:55:23,6.27513560,-75.63884488,3.22,1857.131,24.174,6.630,224,21,35,,
T,2023-03-03 13:55:24,6.27510689,-75.63890434,3.22,1858.101,24.175,6.970,239,21,35,,
T,2023-03-03 13:55:25,6.27507728,-75.63896629,3.22,1856.515,24.175,7.660,246,20,35,,
T,2023-03-03 13:55:26,6.27505953,-75.63905173,4.29,1856.995,24.175,8.900,256,19,35,,
T,2023-03-03 13:55:27,6.27505161,-75.63913856,4.29,1857.093,24.176,10.420,263,18,35,,
T,2023-03-03 13:55:28,6.27505931,-75.63924526,4.29,1856.859,24.176,11.030,268,17,35,,
T,2023-03-03 13:55:29,6.27506958,-75.63934367,3.22,1857.499,24.177,11.210,276,17,35,,
T,2023-03-03 13:55:30,6.27508950,-75.63944870,3.22,1857.247,24.177,11.940,281,14,35,,
T,2023-03-03 13:55:31,6.27511049,-75.63955603,4.29,1857.223,24.178,12.190,286,16,35,,
T,2023-03-03 13:55:32,6.27515658,-75.63966810,4.29,1858.071,24.178,12.780,294,18,35,,
T,2023-03-03 13:55:33,6.27522414,-75.63976047,4.29,1857.896,24.179,12.840,300,19,35,,
T,2023-03-03 13:55:34,6.27531296,-75.63985754,4.29,1858.639,24.179,13.500,308,19,35,,
T,2023-03-03 13:55:35,6.27539645,-75.63995564,4.29,1858.553,24.179,13.710,311,19,35,,
T,2023-03-03 13:55:36,6.27548555,-75.64004644,5.36,1858.742,24.180,13.860,314,18,35,,
T,2023-03-03 13:55:37,6.27557904,-75.64013807,5.36,1859.103,24.180,14.160,315,18,35,,
T,2023-03-03 13:55:38,6.27567619,-75.64022324,5.36,1859.505,24.180,14.590,317,15,35,,
T,2023-03-03 13:55:39,6.27576715,-75.64031398,6.43,1859.201,24.180,14.620,316,13,35,,
T,2023-03-03 13:55:40,6.27583706,-75.64042170,6.43,1859.252,24.181,14.530,312,13,35,,
T,2023-03-03 13:55:41,6.27595898,-75.64055523,6.43,1859.763,24.181,16.580,308,11,35,,
T,2023-03-03 13:55:42,6.27605300,-75.64068000,6.43,1859.624,24.182,17.120,306,11,35,,
T,2023-03-03 13:55:43,6.27612234,-75.64081803,6.43,1859.733,24.182,17.450,301,11,34,,
T,2023-03-03 13:55:44,6.27618287,-75.64096596,5.36,1860.024,24.183,17.780,298,11,34,,
T,2023-03-03 13:55:45,6.27624860,-75.64110893,4.29,1860.288,24.183,18.460,297,12,35,,
T,2023-03-03 13:55:46,6.27632417,-75.64126252,4.29,1860.930,24.184,19.270,296,14,35,,
T,2023-03-03 13:55:47,6.27640838,-75.64143018,4.29,1861.308,24.185,19.960,297,14,35,,
T,2023-03-03 13:55:48,6.27650227,-75.64160462,4.29,1861.243,24.185,20.580,298,16,35,,
T,2023-03-03 13:55:49,6.27659587,-75.64177798,3.22,1863.119,24.186,20.690,297,16,35,,
T,2023-03-03 13:55:50,6.27667585,-75.64194352,3.22,1866.959,24.187,20.820,301,16,35,,
T,2023-03-03 13:55:51,6.27675803,-75.64209442,3.22,1867.648,24.187,20.440,298,17,35,,
T,2023-03-03 13:55:52,6.27683596,-75.64225152,3.22,1870.211,24.188,19.410,298,18,34,,
T,2023-03-03 13:55:53,6.27692060,-75.64240450,3.22,1870.418,24.189,18.400,299,19,34,,
T,2023-03-03 13:55:54,6.27698320,-75.64254470,9.65,1868.700,24.189,16.870,298,19,34,,
T,2023-03-03 13:55:55,6.27704738,-75.64266149,9.65,1869.948,24.190,14.860,297,19,34,,
T,2023-03-03 13:55:56,6.27709592,-75.64276754,9.65,1870.901,24.190,13.170,299,19,34,,
T,2023-03-03 13:55:57,6.27714490,-75.64285080,9.65,1870.320,24.190,11.510,300,19,34,,
T,2023-03-03 13:55:58,6.27716685,-75.64291954,9.65,1870.304,24.191,9.270,298,19,34,,
T,2023-03-03 13:55:59,6.27721354,-75.64297929,9.65,1870.514,24.191,7.560,305,19,34,,
T,2023-03-03 13:56:00,6.27724454,-75.64301121,9.65,1871.284,24.191,5.690,331,18,34,,
T,2023-03-03 13:56:01,6.27728672,-75.64301892,9.65,1871.074,24.191,4.770,12,19,34,,
T,2023-03-03 13:56:02,6.27732929,-75.64300526,10.72,1870.958,24.191,4.570,33,19,34,,
T,2023-03-03 13:56:03,6.27737789,-75.64296035,10.72,1871.092,24.190,5.500,36,20,34,,
T,2023-03-03 13:56:04,6.27744813,-75.64290254,10.72,1871.102,24.190,6.790,35,20,34,,
T,2023-03-03 13:56:05,6.27749470,-75.64285373,10.72,1871.516,24.190,6.850,39,21,33,,
T,2023-03-03 13:56:06,6.27754659,-75.64282741,10.72,1870.812,24.189,5.590,44,21,34,,
T,2023-03-03 13:56:07,6.27755692,-75.64280898,10.72,1873.765,24.189,3.650,56,18,34,,
T,2023-03-03 13:56:08,6.27754550,-75.64279894,9.65,1875.133,24.189,1.740,83,19,34,,
T,2023-03-03 13:56:09,6.27754832,-75.64278092,9.65,1875.394,24.189,1.690,110,19,34,,
T,2023-03-03 13:56:10,6.27753678,-75.64276657,9.65,1874.727,24.189,1.560,127,20,34,,
T,2023-03-03 13:56:11,6.27750492,-75.64275619,9.65,1874.884,24.189,2.340,177,20,34,,
T,2023-03-03 13:56:12,6.27748237,-75.64276303,9.65,1875.583,24.189,2.590,207,20,34,,
T,2023-03-03 13:56:13,6.27745304,-75.64278078,9.65,1875.776,24.189,3.880,216,20,34,,
T,2023-03-03 13:56:14,6.27741649,-75.64280362,9.65,1875.619,24.189,4.640,208,21,34,,
T,2023-03-03 13:56:15,6.27737497,-75.64281325,9.65,1875.246,24.190,4.610,188,20,34,,
T,2023-03-03 13:56:16,6.27733193,-75.64282193,9.65,1874.855,24.190,4.710,198,19,34,,
T,2023-03-03 13:56:17,6.27729013,-75.64283684,9.65,1874.667,24.190,4.490,204,19,33,,
T,2023-03-03 13:56:18,6.27725493,-75.64284937,9.65,1875.096,24.190,3.470,204,18,33,,
T,2023-03-03 13:56:19,6.27722327,-75.64285856,9.65,1874.396,24.190,3.490,203,18,33,,
T,2023-03-03 13:56:20,6.27718990,-75.64286428,9.65,1874.397,24.190,3.580,197,18,33,,
T,2023-03-03 13:56:21,6.27717039,-75.64286342,9.65,1874.295,24.190,1.740,199,18,33,,
T,2023-03-03 13:56:22,6.27714306,-75.64286335,9.65,1874.242,24.190,2.960,195,18,33,,
T,2023-03-03 13:56:23,6.27711347,-75.64286291,10.72,1874.449,24.190,3.150,196,18,33,,
