type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-03-07 02:15:47.631,6.27318574,-75.57994060,4.25,1515.176,23.873,0.000,,22,31,20230306-211547,GPS Logger: 20230306-211547 - Fz16-6
T,2023-03-07 02:15:48.631,6.27318456,-75.57994512,4.50,1515.094,23.873,0.000,,22,32,,
T,2023-03-07 02:15:49.631,6.27317542,-75.57992073,4.47,1515.884,23.872,0.000,,23,32,,
T,2023-03-07 02:15:50.631,6.27317772,-75.57990305,5.16,1511.036,23.872,0.000,,23,32,,
T,2023-03-07 02:15:51,6.27319209,-75.57991333,4.61,1508.896,23.872,0.000,,23,32,,
T,2023-03-07 02:15:53,6.27320328,-75.57992598,4.29,1516.163,23.872,0.000,,23,32,,
T,2023-03-07 02:15:54,6.27320291,-75.57992148,3.79,1516.265,23.872,0.180,151,23,32,,
T,2023-03-07 02:15:55,6.27320101,-75.57992553,3.79,1514.377,23.872,0.000,,23,32,,
T,2023-03-07 02:15:56,6.27319963,-75.57992230,3.79,1513.931,23.872,0.000,,23,32,,
T,2023-03-07 02:15:57,6.27319945,-75.57991983,3.79,1514.465,23.872,0.000,,23,32,,
T,2023-03-07 02:15:58,6.27321149,-75.57991716,3.79,1515.844,23.872,0.900,8,23,32,,
T,2023-03-07 02:15:59,6.27322430,-75.57991867,3.79,1515.740,23.872,1.220,2,22,32,,
T,2023-03-07 02:16:00,6.27324840,-75.57991836,3.79,1515.813,23.872,2.870,3,22,32,,
T,2023-03-07 02:16:01,6.27327294,-75.57991674,3.79,1515.931,23.872,3.490,357,21,32,,
T,2023-03-07 02:16:02,6.27331186,-75.57991532,3.79,1515.466,23.872,4.910,359,21,31,,
T,2023-03-07 02:16:03,6.27336669,-75.57991294,3.79,1514.345,23.872,6.330,0,21,31,,
T,2023-03-07 02:16:04,6.27341348,-75.57991128,3.79,1514.761,23.872,5.440,6,21,31,,
T,2023-03-07 02:16:05,6.27345519,-75.57990645,3.79,1515.131,23.872,4.740,5,20,31,,
T,2023-03-07 02:16:06,6.27349656,-75.57990164,3.79,1514.693,23.872,4.560,5,19,31,,
T,2023-03-07 02:16:07,6.27353225,-75.57990489,3.79,1514.088,23.872,4.450,5,19,32,,
T,2023-03-07 02:16:08,6.27356627,-75.57989066,3.79,1513.669,23.871,4.400,18,19,32,,
T,2023-03-07 02:16:09,6.27359572,-75.57986623,3.79,1513.664,23.871,4.300,43,19,32,,
T,2023-03-07 02:16:10,6.27361931,-75.57983173,3.79,1513.648,23.871,4.010,55,19,32,,
T,2023-03-07 02:16:11,6.27363643,-75.57979853,3.79,1513.891,23.871,3.880,60,19,32,,
T,2023-03-07 02:16:12,6.27365184,-75.57976922,3.79,1513.204,23.871,3.490,59,19,32,,
T,2023-03-07 02:16:13,6.27367059,-75.57973957,3.79,1513.149,23.870,3.820,54,19,32,,
T,2023-03-07 02:16:14,6.27369237,-75.57970969,3.79,1512.368,23.870,4.020,51,19,31,,
T,2023-03-07 02:16:15,6.27371732,-75.57968050,3.79,1512.078,23.870,5.030,46,20,31,,
T,2023-03-07 02:16:16,6.27375485,-75.57963901,3.79,1512.885,23.870,5.800,40,20,31,,
T,2023-03-07 02:16:17,6.27379913,-75.57960245,3.79,1512.632,23.869,6.420,36,18,31,,
T,2023-03-07 02:16:18,6.27384765,-75.57956489,3.79,1512.908,23.869,6.810,35,19,31,,
T,2023-03-07 02:16:19,6.27390761,-75.57952471,3.79,1513.107,23.869,7.230,35,19,31,,
T,2023-03-07 02:16:20,6.27396775,-75.57948054,3.79,1513.498,23.868,7.870,36,19,31,,
T,2023-03-07 02:16:21,6.27403035,-75.57943998,3.79,1512.288,23.868,8.160,36,19,31,,
T,2023-03-07 02:16:22,6.27409187,-75.57939414,3.79,1513.419,23.868,8.200,37,19,31,,
T,2023-03-07 02:16:23,6.27415208,-75.57934805,3.79,1513.395,23.867,8.290,38,21,32,,
T,2023-03-07 02:16:24,6.27420483,-75.57930562,3.79,1513.331,23.867,8.230,39,22,32,,
T,2023-03-07 02:16:25,6.27426312,-75.57925967,3.79,1513.349,23.867,8.340,37,22,32,,
T,2023-03-07 02:16:26,6.27431954,-75.57920675,3.79,1513.420,23.866,8.340,37,22,32,,
T,2023-03-07 02:16:27,6.27437992,-75.57915705,3.79,1513.892,23.866,8.430,36,22,32,,
T,2023-03-07 02:16:28,6.27444044,-75.57911780,3.79,1514.234,23.865,8.340,35,22,32,,
T,2023-03-07 02:16:29,6.27449576,-75.57907495,3.79,1514.667,23.865,7.530,36,22,32,,
T,2023-03-07 02:16:30,6.27454677,-75.57903789,3.79,1514.174,23.865,6.720,36,22,32,,
T,2023-03-07 02:16:31,6.27458911,-75.57900096,3.79,1515.284,23.864,6.570,38,21,32,,
T,2023-03-07 02:16:32,6.27462754,-75.57896790,3.79,1515.698,23.864,5.980,38,21,32,,
T,2023-03-07 02:16:33,6.27466666,-75.57894158,3.79,1515.581,23.864,5.030,36,22,32,,
T,2023-03-07 02:16:34,6.27470562,-75.57891576,3.79,1515.448,23.864,4.810,34,22,32,,
T,2023-03-07 02:16:35,6.27474448,-75.57888680,3.79,1515.535,23.863,5.370,29,22,32,,
T,2023-03-07 02:16:36,6.27478802,-75.57886298,3.79,1515.294,23.863,5.330,26,22,32,,
T,2023-03-07 02:16:37,6.27482770,-75.57884440,3.79,1515.900,23.863,4.900,21,22,32,,
T,2023-03-07 02:16:38,6.27487028,-75.57882782,3.79,1515.865,23.863,4.710,20,22,32,,
T,2023-03-07 02:16:39,6.27491573,-75.57881128,3.79,1516.018,23.863,4.940,16,21,32,,
T,2023-03-07 02:16:40,6.27495096,-75.57879793,3.79,1515.312,23.863,4.670,17,20,32,,
T,2023-03-07 02:16:41,6.27499252,-75.57877563,3.79,1515.256,23.862,4.860,18,19,32,,
T,2023-03-07 02:16:42,6.27502925,-75.57875941,3.79,1515.526,23.862,4.450,15,20,32,,
T,2023-03-07 02:16:43,6.27505408,-75.57875226,3.79,1516.019,23.862,2.820,12,18,32,,
T,2023-03-07 02:16:44,6.27507869,-75.57874456,3.86,1516.320,23.862,2.900,16,18,32,,
T,2023-03-07 02:16:45,6.27510793,-75.57873762,3.79,1516.393,23.862,3.580,13,18,32,,
T,2023-03-07 02:16:46,6.27514621,-75.57873032,4.01,1516.908,23.862,4.430,10,19,32,,
T,2023-03-07 02:16:47,6.27521244,-75.57871532,4.46,1517.215,23.862,6.450,6,18,32,,
T,2023-03-07 02:16:48,6.27528706,-75.57870866,4.01,1517.824,23.861,7.740,5,18,32,,
T,2023-03-07 02:16:49,6.27535361,-75.57869894,3.90,1517.893,23.861,8.120,5,17,32,,
T,2023-03-07 02:16:50,6.27543005,-75.57869266,3.79,1518.741,23.861,8.530,4,17,32,,
T,2023-03-07 02:16:51,6.27551243,-75.57867833,3.79,1519.120,23.861,8.690,359,17,32,,
T,2023-03-07 02:16:52,6.27557632,-75.57868211,3.79,1520.076,23.861,8.030,355,17,32,,
T,2023-03-07 02:16:53,6.27564495,-75.57868675,3.79,1522.058,23.860,7.570,353,18,32,,
T,2023-03-07 02:16:54,6.27570460,-75.57869468,3.79,1523.480,23.860,6.730,348,19,32,,
T,2023-03-07 02:16:55,6.27576055,-75.57870607,3.79,1523.707,23.860,6.190,344,20,33,,
T,2023-03-07 02:16:56,6.27582293,-75.57871815,3.79,1523.931,23.860,6.090,350,21,33,,
T,2023-03-07 02:16:57,6.27588662,-75.57872027,3.79,1524.425,23.860,6.580,356,22,33,,
T,2023-03-07 02:16:58,6.27594783,-75.57873689,3.79,1525.285,23.860,5.790,357,21,32,,
T,2023-03-07 02:16:59,6.27600739,-75.57876710,3.79,1525.109,23.860,6.480,333,21,32,,
T,2023-03-07 02:17:00,6.27605118,-75.57880487,3.79,1525.499,23.860,6.580,315,21,32,,
T,2023-03-07 02:17:01,6.27608635,-75.57887182,3.79,1525.486,23.860,8.220,291,20,32,,
T,2023-03-07 02:17:02,6.27609708,-75.57893268,3.79,1525.683,23.861,7.920,273,21,32,,
T,2023-03-07 02:17:03,6.27609396,-75.57900626,3.79,1526.321,23.861,8.200,266,19,32,,
T,2023-03-07 02:17:04,6.27609904,-75.57909306,3.79,1524.964,23.861,8.790,276,19,32,,
T,2023-03-07 02:17:05,6.27610596,-75.57918671,3.79,1525.546,23.862,9.600,274,18,31,,
T,2023-03-07 02:17:06,6.27610868,-75.57927864,3.79,1526.797,23.862,10.240,273,18,31,,
T,2023-03-07 02:17:07,6.27611575,-75.57937514,3.79,1526.466,23.863,10.420,273,19,32,,
T,2023-03-07 02:17:08,6.27612242,-75.57947215,3.79,1525.785,23.863,10.590,273,20,32,,
T,2023-03-07 02:17:09,6.27613634,-75.57958274,3.79,1525.885,23.864,11.380,273,20,32,,
T,2023-03-07 02:17:10,6.27614393,-75.57968885,3.79,1526.260,23.864,11.470,273,20,32,,
T,2023-03-07 02:17:11,6.27614825,-75.57978762,3.79,1526.520,23.865,10.470,272,19,32,,
T,2023-03-07 02:17:12,6.27616672,-75.57988659,3.79,1526.093,23.865,10.620,278,18,30,,
T,2023-03-07 02:17:13,6.27619289,-75.57997986,3.79,1525.644,23.866,10.750,284,19,30,,
T,2023-03-07 02:17:14,6.27622502,-75.58006399,3.79,1526.303,23.866,10.380,290,17,32,,
T,2023-03-07 02:17:15,6.27626914,-75.58015683,3.79,1527.610,23.867,10.530,298,17,32,,
T,2023-03-07 02:17:16,6.27633902,-75.58023222,3.79,1528.576,23.867,10.590,307,19,32,,
T,2023-03-07 02:17:17,6.27638564,-75.58030583,4.03,1527.201,23.867,9.970,308,19,32,,
T,2023-03-07 02:17:18,6.27643728,-75.58037631,5.15,1526.346,23.867,9.690,308,17,32,,
T,2023-03-07 02:17:19,6.27644807,-75.58041457,4.34,1526.959,23.868,6.080,308,17,32,,
T,2023-03-07 02:17:20,6.27648664,-75.58046231,4.11,1527.917,23.868,5.480,309,17,32,,
T,2023-03-07 02:17:21,6.27652244,-75.58049644,4.03,1529.646,23.868,5.150,309,18,32,,
T,2023-03-07 02:17:22,6.27656372,-75.58053348,3.79,1531.492,23.868,4.710,312,19,31,,
T,2023-03-07 02:17:23,6.27658988,-75.58055014,3.79,1530.175,23.868,3.720,313,19,30,,
T,2023-03-07 02:17:24,6.27661403,-75.58057363,3.86,1531.098,23.868,2.930,315,19,30,,
T,2023-03-07 02:17:25,6.27663646,-75.58059486,3.89,1531.738,23.868,3.240,313,20,31,,
T,2023-03-07 02:17:26,6.27666540,-75.58062501,3.79,1531.798,23.868,4.330,314,19,31,,
T,2023-03-07 02:17:27,6.27670792,-75.58065742,3.79,1532.960,23.868,5.310,318,18,31,,
