type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-03-14 15:52:07,6.27517409,-75.58679048,3.22,1553.549,23.904,0.000,,23,38,20230314-105207,GPS Logger: 20230314-105207 - Bajaj_Pulsar180_Viaje_8
T,2023-03-14 15:52:08,6.27517343,-75.58678956,3.22,1553.242,23.904,0.180,115,23,38,,
T,2023-03-14 15:52:09,6.27517224,-75.58678684,3.22,1553.555,23.904,0.380,118,25,38,,
T,2023-03-14 15:52:10,6.27516973,-75.58678725,3.22,1553.398,23.904,0.300,149,26,38,,
T,2023-03-14 15:52:11,6.27516896,-75.58679232,3.22,1553.372,23.904,0.000,,26,38,,
T,2023-03-14 15:52:12,6.27516933,-75.58679610,3.22,1553.195,23.904,0.000,,26,38,,
T,2023-03-14 15:52:13,6.27516995,-75.58679829,3.22,1553.103,23.904,0.000,,25,38,,
T,2023-03-14 15:52:14,6.27517061,-75.58679996,3.22,1553.034,23.904,0.000,,24,38,,
T,2023-03-14 15:52:15,6.27517131,-75.58680072,3.22,1553.074,23.904,0.000,,20,38,,
T,2023-03-14 15:52:16,6.27517051,-75.58680153,3.22,1552.648,23.904,0.220,167,17,38,,
T,2023-03-14 15:52:17,6.27517062,-75.58680244,3.22,1552.501,23.904,0.000,,11,38,,
T,2023-03-14 15:52:18,6.27517106,-75.58680347,3.22,1552.384,23.904,0.000,,11,38,,
T,2023-03-14 15:52:19,6.27517318,-75.58680055,3.22,1551.862,23.904,0.360,72,11,38,,
T,2023-03-14 15:52:20,6.27517771,-75.58680087,3.22,1551.746,23.904,0.000,,17,38,,
T,2023-03-14 15:52:21,6.27518050,-75.58679989,4.29,1551.720,23.904,0.230,62,17,38,,
T,2023-03-14 15:52:22,6.27518311,-75.58679943,4.29,1551.781,23.904,0.000,,17,38,,
T,2023-03-14 15:52:23,6.27518431,-75.58679743,4.29,1551.844,23.904,0.000,,17,38,,
T,2023-03-14 15:52:24,6.27518376,-75.58680056,3.22,1551.733,23.904,0.330,222,20,38,,
T,2023-03-14 15:52:25,6.27518579,-75.58680651,3.22,1551.681,23.904,0.000,,23,38,,
T,2023-03-14 15:52:26,6.27518743,-75.58681010,4.29,1551.525,23.904,0.320,256,25,38,,
T,2023-03-14 15:52:27,6.27518837,-75.58681323,4.29,1551.003,23.904,0.300,268,25,38,,
T,2023-03-14 15:52:28,6.27519303,-75.58682355,4.29,1550.447,23.904,2.070,289,25,38,,
T,2023-03-14 15:52:29,6.27519563,-75.58684967,3.22,1550.781,23.904,3.130,274,25,38,,
T,2023-03-14 15:52:30,6.27519547,-75.58687354,3.22,1550.010,23.904,1.870,274,25,38,,
T,2023-03-14 15:52:31,6.27519621,-75.58689426,3.22,1549.683,23.904,2.660,271,23,38,,
T,2023-03-14 15:52:32,6.27519887,-75.58692040,3.22,1549.194,23.904,3.200,278,22,38,,
T,2023-03-14 15:52:33,6.27520056,-75.58694557,3.22,1549.658,23.904,2.590,273,23,38,,
T,2023-03-14 15:52:34,6.27518640,-75.58697037,3.22,1548.287,23.904,4.430,243,25,38,,
T,2023-03-14 15:52:35,6.27511158,-75.58696267,3.22,1548.174,23.905,6.820,193,26,38,,
T,2023-03-14 15:52:36,6.27506475,-75.58696764,3.22,1547.379,23.905,5.660,184,26,38,,
T,2023-03-14 15:52:37,6.27502149,-75.58697186,3.22,1547.198,23.905,4.790,184,26,38,,
T,2023-03-14 15:52:38,6.27498945,-75.58696868,3.22,1546.974,23.905,3.620,176,26,38,,
T,2023-03-14 15:52:39,6.27496690,-75.58694272,3.22,1547.035,23.905,3.700,127,26,38,,
T,2023-03-14 15:52:40,6.27494264,-75.58692174,3.22,1546.931,23.905,3.840,133,27,38,,
T,2023-03-14 15:52:41,6.27490444,-75.58690767,3.22,1546.613,23.905,4.730,163,28,38,,
T,2023-03-14 15:52:42,6.27486451,-75.58689175,3.22,1546.022,23.905,4.680,165,28,38,,
T,2023-03-14 15:52:43,6.27480302,-75.58690030,3.22,1544.549,23.905,6.640,187,28,38,,
T,2023-03-14 15:52:44,6.27476224,-75.58690415,3.22,1543.439,23.905,3.870,196,28,38,,
T,2023-03-14 15:52:45,6.27473036,-75.58690678,3.22,1543.745,23.905,3.040,199,28,38,,
T,2023-03-14 15:52:46,6.27470648,-75.58691143,3.22,1543.579,23.905,2.360,193,28,38,,
T,2023-03-14 15:52:47,6.27467613,-75.58691612,3.22,1543.561,23.905,3.400,189,24,38,,
T,2023-03-14 15:52:48,6.27463892,-75.58692573,3.22,1543.662,23.905,4.440,192,24,38,,
T,2023-03-14 15:52:49,6.27458588,-75.58692993,4.29,1543.424,23.906,6.010,188,24,38,,
T,2023-03-14 15:52:50,6.27453998,-75.58694414,3.22,1543.853,23.906,4.740,194,24,38,,
T,2023-03-14 15:52:51,6.27449346,-75.58694939,3.22,1540.969,23.906,3.470,186,26,38,,
T,2023-03-14 15:52:52,6.27446043,-75.58695047,3.22,1540.647,23.906,2.860,185,26,38,,
T,2023-03-14 15:52:53,6.27444106,-75.58695359,3.22,1540.710,23.906,2.230,184,26,38,,
T,2023-03-14 15:52:54,6.27439737,-75.58695983,3.22,1539.599,23.906,5.310,191,26,38,,
T,2023-03-14 15:52:55,6.27434248,-75.58696767,3.22,1539.540,23.906,6.950,187,26,38,,
T,2023-03-14 15:52:56,6.27428032,-75.58696037,3.22,1538.734,23.906,7.540,182,26,38,,
T,2023-03-14 15:52:57,6.27420952,-75.58694387,3.22,1537.321,23.907,7.650,170,26,38,,
T,2023-03-14 15:52:58,6.27415785,-75.58693091,3.22,1536.950,23.907,5.270,159,27,38,,
T,2023-03-14 15:52:59,6.27412343,-75.58690021,3.22,1536.583,23.907,3.290,155,27,38,,
T,2023-03-14 15:53:00,6.27410358,-75.58688904,3.22,1535.645,23.907,2.650,144,29,38,,
T,2023-03-14 15:53:01,6.27409000,-75.58688911,3.22,1535.205,23.907,1.810,152,29,38,,
T,2023-03-14 15:53:02,6.27406073,-75.58686586,3.22,1535.404,23.907,3.840,148,29,38,,
T,2023-03-14 15:53:03,6.27402091,-75.58682706,3.22,1534.567,23.906,6.570,137,29,38,,
T,2023-03-14 15:53:04,6.27397968,-75.58677679,3.22,1536.067,23.906,7.440,129,29,38,,
T,2023-03-14 15:53:05,6.27394525,-75.58672206,3.22,1535.740,23.906,7.900,118,29,38,,
T,2023-03-14 15:53:06,6.27390619,-75.58666304,3.22,1535.265,23.906,8.210,121,28,38,,
T,2023-03-14 15:53:07,6.27388451,-75.58659025,3.22,1534.123,23.905,8.260,111,28,38,,
T,2023-03-14 15:53:08,6.27386391,-75.58653436,3.22,1533.892,23.905,6.140,106,28,38,,
T,2023-03-14 15:53:09,6.27384357,-75.58649837,3.22,1532.851,23.905,4.240,117,28,38,,
T,2023-03-14 15:53:10,6.27383545,-75.58646419,3.22,1533.313,23.905,3.370,106,27,38,,
T,2023-03-14 15:53:11,6.27383413,-75.58643714,3.22,1532.380,23.905,2.100,107,28,38,,
T,2023-03-14 15:53:12,6.27383088,-75.58641327,3.22,1532.425,23.905,2.030,106,28,38,,
T,2023-03-14 15:53:13,6.27382623,-75.58638475,3.22,1532.391,23.905,3.250,102,28,38,,
T,2023-03-14 15:53:14,6.27380417,-75.58636094,3.22,1531.924,23.904,3.400,124,27,38,,
T,2023-03-14 15:53:15,6.27378455,-75.58632495,3.22,1531.061,23.904,4.650,121,27,38,,
T,2023-03-14 15:53:16,6.27376475,-75.58629217,3.22,1529.405,23.904,4.320,123,26,37,,
T,2023-03-14 15:53:17,6.27374599,-75.58624813,3.22,1529.803,23.904,5.080,118,26,37,,
T,2023-03-14 15:53:18,6.27370603,-75.58617238,4.29,1529.571,23.904,8.650,119,26,37,,
T,2023-03-14 15:53:19,6.27368790,-75.58613242,4.29,1529.322,23.904,4.930,114,24,37,,
T,2023-03-14 15:53:20,6.27368124,-75.58608580,4.29,1528.011,23.903,3.870,105,23,37,,
T,2023-03-14 15:53:21,6.27366222,-75.58606682,3.22,1528.985,23.903,2.150,122,25,36,,
T,2023-03-14 15:53:22,6.27365878,-75.58604861,3.22,1528.773,23.903,1.080,119,25,37,,
T,2023-03-14 15:53:23,6.27364867,-75.58602723,3.22,1528.394,23.903,2.200,111,25,37,,
T,2023-03-14 15:53:24,6.27364328,-75.58599429,3.22,1528.758,23.903,3.570,116,25,37,,
T,2023-03-14 15:53:25,6.27362416,-75.58596043,3.22,1524.390,23.903,4.770,125,25,37,,
T,2023-03-14 15:53:26,6.27360323,-75.58592123,3.22,1525.111,23.903,4.950,131,25,37,,
T,2023-03-14 15:53:27,6.27355595,-75.58587610,3.22,1524.919,23.903,7.410,141,25,37,,
T,2023-03-14 15:53:28,6.27349642,-75.58583863,4.29,1525.197,23.902,7.610,147,25,37,,
T,2023-03-14 15:53:29,6.27346179,-75.58579767,4.29,1525.545,23.902,6.050,143,25,37,,
T,2023-03-14 15:53:30,6.27339845,-75.58578589,4.29,1525.843,23.902,7.120,162,26,37,,
T,2023-03-14 15:53:31,6.27335117,-75.58573002,4.29,1530.043,23.902,6.740,157,26,37,,
T,2023-03-14 15:53:32,6.27329656,-75.58572913,4.29,1528.191,23.902,5.760,172,26,37,,
T,2023-03-14 15:53:33,6.27324390,-75.58569329,4.29,1526.820,23.902,5.720,160,26,37,,
T,2023-03-14 15:53:34,6.27319560,-75.58568040,4.29,1526.756,23.902,5.160,167,27,37,,
T,2023-03-14 15:53:35,6.27314410,-75.58570684,4.29,1526.760,23.903,5.370,198,27,37,,
T,2023-03-14 15:53:36,6.27311846,-75.58573645,3.22,1526.628,23.903,4.310,236,25,37,,
T,2023-03-14 15:53:38,6.27306582,-75.58577740,4.29,1525.846,23.903,4.210,220,24,37,,
T,2023-03-14 15:53:39,6.27304299,-75.58578791,3.22,1525.864,23.903,3.660,225,25,37,,
T,2023-03-14 15:53:40,6.27302101,-75.58578831,3.22,1525.420,23.903,2.430,215,25,37,,
T,2023-03-14 15:53:41,6.27300792,-75.58580912,3.22,1525.076,23.903,2.090,233,25,37,,
T,2023-03-14 15:53:42,6.27300825,-75.58580874,3.22,1524.915,23.903,0.610,217,24,37,,
T,2023-03-14 15:53:43,6.27300923,-75.58580621,3.22,1523.968,23.903,0.310,217,24,37,,
T,2023-03-14 15:53:44,6.27300826,-75.58580998,3.22,1523.777,23.903,0.240,217,23,37,,
T,2023-03-14 15:53:45,6.27300646,-75.58580584,3.22,1523.283,23.903,0.000,,22,37,,
T,2023-03-14 15:53:46,6.27300520,-75.58580780,3.22,1523.309,23.903,0.000,,22,37,,
T,2023-03-14 15:53:47,6.27300405,-75.58580907,3.22,1523.295,23.903,0.000,,22,37,,
T,2023-03-14 15:53:48,6.27300118,-75.58581174,3.22,1522.757,23.903,0.000,,22,37,,
T,2023-03-14 15:53:49,6.27299878,-75.58581086,3.22,1522.560,23.903,0.000,,22,37,,
T,2023-03-14 15:53:50,6.27299886,-75.58581112,3.22,1522.303,23.903,0.000,,22,37,,
T,2023-03-14 15:53:51,6.27299754,-75.58581399,3.22,1522.322,23.903,0.000,,22,37,,
T,2023-03-14 15:53:52,6.27299775,-75.58581408,3.22,1522.395,23.903,0.000,,22,37,,
T,2023-03-14 15:53:53,6.27299903,-75.58581155,3.22,1522.466,23.903,0.000,,21,37,,
T,2023-03-14 15:53:54,6.27300104,-75.58581287,3.22,1522.979,23.903,0.000,,21,37,,
T,2023-03-14 15:53:55,6.27300164,-75.58581355,3.22,1522.837,23.903,0.000,,21,37,,
T,2023-03-14 15:53:56,6.27300164,-75.58581471,3.22,1522.805,23.903,0.000,,22,37,,
T,2023-03-14 15:53:57,6.27300014,-75.58581601,3.22,1522.942,23.903,0.000,,22,37,,
T,2023-03-14 15:53:58,6.27299901,-75.58581508,3.22,1523.092,23.903,0.000,,22,36,,
T,2023-03-14 15:53:59,6.27299530,-75.58581805,3.22,1522.840,23.904,0.580,216,22,36,,
T,2023-03-14 15:54:00,6.27299100,-75.58581942,3.22,1522.189,23.904,0.500,216,23,37,,
T,2023-03-14 15:54:01,6.27298181,-75.58582735,3.22,1522.434,23.904,2.200,227,23,37,,
T,2023-03-14 15:54:02,6.27296722,-75.58584647,3.22,1521.786,23.904,3.070,234,23,37,,
T,2023-03-14 15:54:03,6.27294746,-75.58587544,3.22,1520.896,23.904,4.480,235,23,37,,
T,2023-03-14 15:54:04,6.27292642,-75.58590097,4.29,1521.543,23.904,3.010,231,23,37,,
T,2023-03-14 15:54:05,6.27286334,-75.58592646,3.22,1522.277,23.904,6.140,215,24,37,,
T,2023-03-14 15:54:06,6.27281962,-75.58595243,3.22,1522.815,23.905,5.010,211,23,37,,
T,2023-03-14 15:54:07,6.27278475,-75.58598035,3.22,1522.825,23.905,4.660,216,23,37,,
T,2023-03-14 15:54:08,6.27275203,-75.58600348,3.22,1522.197,23.905,4.630,214,23,37,,
T,2023-03-14 15:54:09,6.27271701,-75.58601969,3.22,1522.551,23.905,4.050,200,22,37,,
T,2023-03-14 15:54:10,6.27269011,-75.58602721,3.22,1522.270,23.905,3.400,198,22,37,,
T,2023-03-14 15:54:11,6.27266283,-75.58603346,3.22,1522.361,23.905,2.570,194,22,37,,
T,2023-03-14 15:54:12,6.27265249,-75.58603426,3.22,1522.313,23.905,0.900,192,22,37,,
T,2023-03-14 15:54:13,6.27264705,-75.58603308,3.22,1522.016,23.905,0.270,192,22,37,,
T,2023-03-14 15:54:14,6.27264938,-75.58603151,3.22,1521.441,23.905,0.000,,23,37,,
T,2023-03-14 15:54:15,6.27265052,-75.58603325,3.22,1521.135,23.905,0.000,,23,37,,
T,2023-03-14 15:54:16,6.27264745,-75.58603238,3.22,1520.891,23.905,0.400,192,23,37,,
T,2023-03-14 15:54:17,6.27264320,-75.58603299,3.22,1520.755,23.905,0.390,192,23,37,,
T,2023-03-14 15:54:18,6.27263928,-75.58603341,3.22,1520.534,23.905,0.000,,23,37,,
T,2023-03-14 15:54:19,6.27263679,-75.58603359,3.22,1520.215,23.905,0.000,,23,37,,
T,2023-03-14 15:54:20,6.27263486,-75.58603279,3.22,1519.926,23.905,0.000,,21,37,,
T,2023-03-14 15:54:21,6.27263316,-75.58603140,3.22,1519.899,23.905,0.000,,21,37,,
T,2023-03-14 15:54:22,6.27263175,-75.58602967,3.22,1519.590,23.905,0.000,,20,37,,
T,2023-03-14 15:54:23,6.27263107,-75.58602860,3.22,1519.540,23.905,0.000,,19,37,,
T,2023-03-14 15:54:24,6.27263027,-75.58602784,3.22,1519.624,23.905,0.000,,18,37,,
T,2023-03-14 15:54:25,6.27263086,-75.58602764,3.22,1519.651,23.905,0.000,,19,37,,
T,2023-03-14 15:54:26,6.27263243,-75.58602752,3.22,1519.733,23.905,0.000,,19,37,,
T,2023-03-14 15:54:27,6.27263338,-75.58602805,3.22,1519.641,23.905,0.000,,19,37,,
T,2023-03-14 15:54:28,6.27263361,-75.58602877,3.22,1519.459,23.905,0.000,,19,37,,
T,2023-03-14 15:54:29,6.27263368,-75.58602883,3.22,1519.490,23.905,0.000,,19,37,,
T,2023-03-14 15:54:30,6.27263359,-75.58602887,3.22,1519.455,23.905,0.000,,19,37,,
T,2023-03-14 15:54:31,6.27263351,-75.58602918,3.22,1519.499,23.905,0.000,,19,37,,
T,2023-03-14 15:54:32,6.27263350,-75.58602939,3.22,1519.504,23.905,0.000,,19,37,,
T,2023-03-14 15:54:33,6.27262875,-75.58603069,3.22,1519.407,23.905,0.680,192,20,37,,
T,2023-03-14 15:54:34,6.27261399,-75.58602185,3.22,1517.424,23.905,2.910,152,21,37,,
T,2023-03-14 15:54:35,6.27259117,-75.58599923,3.22,1516.312,23.905,4.380,136,22,37,,
T,2023-03-14 15:54:36,6.27260007,-75.58594980,3.22,1514.983,23.905,5.270,95,23,37,,
T,2023-03-14 15:54:37,6.27261207,-75.58589838,3.22,1515.938,23.905,7.070,80,23,37,,
T,2023-03-14 15:54:38,6.27262378,-75.58584070,3.22,1515.153,23.904,6.950,75,23,37,,
T,2023-03-14 15:54:39,6.27263512,-75.58579032,3.22,1515.148,23.904,5.660,75,23,37,,
T,2023-03-14 15:54:40,6.27263985,-75.58574743,3.22,1516.057,23.904,4.520,80,23,37,,
T,2023-03-14 15:54:41,6.27265059,-75.58569897,3.22,1514.984,23.904,5.380,76,23,37,,
T,2023-03-14 15:54:42,6.27266960,-75.58563146,3.22,1514.780,23.903,8.780,75,20,37,,
T,2023-03-14 15:54:43,6.27268785,-75.58555651,3.22,1515.116,23.903,9.170,77,19,37,,
T,2023-03-14 15:54:44,6.27271440,-75.58546151,3.22,1514.733,23.902,11.490,76,18,37,,
T,2023-03-14 15:54:45,6.27274656,-75.58535943,3.22,1515.157,23.902,12.200,75,18,37,,
T,2023-03-14 15:54:46,6.27277116,-75.58525878,3.22,1514.816,23.901,11.750,75,17,37,,
T,2023-03-14 15:54:47,6.27280792,-75.58515334,3.22,1514.057,23.900,12.380,71,18,37,,
T,2023-03-14 15:54:48,6.27284516,-75.58505082,3.22,1514.031,23.900,11.270,74,20,37,,
T,2023-03-14 15:54:49,6.27288255,-75.58495407,3.22,1514.291,23.899,10.780,73,23,37,,
T,2023-03-14 15:54:50,6.27291365,-75.58487433,3.22,1514.305,23.899,9.270,72,23,37,,
T,2023-03-14 15:54:51,6.27294718,-75.58479735,3.22,1513.635,23.898,8.820,66,22,37,,
T,2023-03-14 15:54:52,6.27296690,-75.58472755,3.22,1513.792,23.898,8.270,71,22,37,,
T,2023-03-14 15:54:53,6.27300144,-75.58465519,3.22,1514.110,23.897,8.920,67,21,37,,
T,2023-03-14 15:54:54,6.27302869,-75.58458055,3.22,1513.723,23.897,9.080,70,21,37,,
T,2023-03-14 15:54:55,6.27306024,-75.58449876,3.22,1513.116,23.897,9.800,71,19,37,,
T,2023-03-14 15:54:56,6.27309905,-75.58442282,3.22,1512.412,23.896,9.620,64,19,37,,
T,2023-03-14 15:54:57,6.27313818,-75.58434377,3.22,1513.744,23.896,9.350,67,20,37,,
T,2023-03-14 15:54:59,6.27323155,-75.58419279,3.22,1512.959,23.895,10.190,65,17,37,,
T,2023-03-14 15:55:00,6.27328131,-75.58410734,3.22,1512.813,23.894,9.800,64,21,37,,
T,2023-03-14 15:55:01,6.27331245,-75.58402738,3.22,1513.241,23.893,8.470,67,21,37,,
T,2023-03-14 15:55:02,6.27334745,-75.58395817,3.22,1512.648,23.893,9.000,67,24,36,,
T,2023-03-14 15:55:03,6.27337773,-75.58388508,3.22,1513.001,23.893,9.170,68,25,37,,
T,2023-03-14 15:55:04,6.27341063,-75.58379883,3.22,1512.994,23.892,10.250,67,24,37,,
T,2023-03-14 15:55:05,6.27344439,-75.58371422,3.22,1512.412,23.892,9.920,68,23,37,,
T,2023-03-14 15:55:06,6.27347571,-75.58364042,3.22,1511.860,23.891,8.600,68,22,37,,
T,2023-03-14 15:55:07,6.27350179,-75.58355418,3.22,1511.093,23.891,9.840,71,22,37,,
T,2023-03-14 15:55:09,6.27354931,-75.58339330,3.22,1511.013,23.890,8.840,74,22,37,,
T,2023-03-14 15:55:10,6.27356864,-75.58331916,3.22,1510.484,23.889,8.400,76,22,37,,
T,2023-03-14 15:55:11,6.27358003,-75.58324500,3.22,1510.873,23.889,8.070,82,23,37,,
T,2023-03-14 15:55:12,6.27359480,-75.58316842,3.22,1510.277,23.888,9.140,80,23,37,,
T,2023-03-14 15:55:13,6.27360403,-75.58308393,3.22,1510.120,23.888,9.560,84,24,37,,
T,2023-03-14 15:55:14,6.27360069,-75.58300197,3.22,1510.550,23.887,9.670,94,23,37,,
T,2023-03-14 15:55:15,6.27360395,-75.58290676,3.22,1510.701,23.887,10.850,89,21,37,,
T,2023-03-14 15:55:16,6.27360091,-75.58280934,3.22,1510.773,23.886,11.650,91,20,37,,
T,2023-03-14 15:55:17,6.27360676,-75.58270859,3.22,1509.207,23.886,11.710,87,20,37,,
T,2023-03-14 15:55:18,6.27360618,-75.58260647,3.22,1509.730,23.885,11.520,90,23,37,,
T,2023-03-14 15:55:19,6.27360739,-75.58251307,3.22,1510.771,23.885,10.440,86,25,37,,
T,2023-03-14 15:55:20,6.27361305,-75.58243269,3.22,1510.495,23.885,8.440,85,25,37,,
T,2023-03-14 15:55:21,6.27361946,-75.58236574,3.22,1510.311,23.884,6.710,85,25,37,,
T,2023-03-14 15:55:22,6.27362749,-75.58231131,3.22,1510.161,23.884,5.480,85,25,37,,
T,2023-03-14 15:55:23,6.27363235,-75.58226388,3.22,1510.687,23.884,4.660,88,25,37,,
T,2023-03-14 15:55:24,6.27363754,-75.58222237,3.22,1510.171,23.883,4.340,81,25,37,,
T,2023-03-14 15:55:25,6.27363893,-75.58218887,3.22,1510.079,23.883,3.360,83,23,37,,
T,2023-03-14 15:55:26,6.27363657,-75.58217080,3.22,1509.336,23.883,1.520,99,23,37,,
T,2023-03-14 15:55:27,6.27363884,-75.58216554,3.22,1508.533,23.883,0.500,90,24,37,,
T,2023-03-14 15:55:28,6.27362874,-75.58216283,3.22,1508.138,23.883,0.000,,24,37,,
T,2023-03-14 15:55:29,6.27362247,-75.58216082,3.22,1508.396,23.883,0.000,,24,37,,
T,2023-03-14 15:55:30,6.27362522,-75.58216259,3.22,1508.933,23.883,0.000,,24,37,,
T,2023-03-14 15:55:31,6.27362716,-75.58216525,3.22,1509.322,23.883,0.000,,23,37,,
T,2023-03-14 15:55:32,6.27363036,-75.58216729,3.22,1509.603,23.883,0.000,,23,37,,
T,2023-03-14 15:55:33,6.27363032,-75.58216753,3.22,1509.887,23.883,0.000,,22,37,,
T,2023-03-14 15:55:34,6.27363184,-75.58216750,3.22,1510.351,23.883,0.000,,22,37,,
T,2023-03-14 15:55:35,6.27362966,-75.58216849,3.22,1510.141,23.883,0.000,,23,37,,
T,2023-03-14 15:55:36,6.27362693,-75.58216921,3.22,1510.007,23.883,0.000,,23,37,,
T,2023-03-14 15:55:37,6.27362561,-75.58216879,3.22,1510.247,23.883,0.000,,23,37,,
T,2023-03-14 15:55:38,6.27362428,-75.58216871,3.22,1510.365,23.883,0.000,,23,37,,
T,2023-03-14 15:55:39,6.27362503,-75.58216666,3.22,1510.543,23.883,0.000,,23,37,,
T,2023-03-14 15:55:40,6.27362480,-75.58216574,3.22,1510.639,23.883,0.000,,23,37,,
T,2023-03-14 15:55:41,6.27362474,-75.58216506,3.22,1510.653,23.883,0.000,,23,37,,
T,2023-03-14 15:55:42,6.27362448,-75.58216491,3.22,1510.649,23.883,0.000,,23,37,,
T,2023-03-14 15:55:43,6.27362459,-75.58216486,3.22,1510.661,23.883,0.000,,22,37,,
T,2023-03-14 15:55:44,6.27362472,-75.58216482,3.22,1510.665,23.883,0.000,,22,37,,
T,2023-03-14 15:55:45,6.27362474,-75.58216480,3.22,1510.662,23.883,0.000,,22,37,,
T,2023-03-14 15:55:46,6.27362478,-75.58216479,3.22,1510.662,23.883,0.000,,22,37,,
T,2023-03-14 15:55:47,6.27362484,-75.58216477,3.22,1510.671,23.883,0.000,,22,37,,
T,2023-03-14 15:55:48,6.27362492,-75.58216474,3.22,1510.681,23.883,0.000,,24,37,,
T,2023-03-14 15:55:49,6.27362498,-75.58216475,3.22,1510.687,23.883,0.000,,24,37,,
T,2023-03-14 15:55:50,6.27362717,-75.58214131,3.22,1510.412,23.883,3.230,88,24,37,,
T,2023-03-14 15:55:51,6.27363385,-75.58210244,3.22,1510.052,23.883,5.520,82,24,37,,
T,2023-03-14 15:55:52,6.27363685,-75.58205624,3.22,1509.598,23.882,5.710,85,24,36,,
T,2023-03-14 15:55:53,6.27364164,-75.58199470,3.22,1509.436,23.882,7.150,88,24,37,,
T,2023-03-14 15:55:54,6.27364657,-75.58192585,3.22,1510.199,23.882,8.240,86,25,37,,
T,2023-03-14 15:55:55,6.27364960,-75.58185239,3.22,1509.969,23.881,8.510,90,25,37,,
T,2023-03-14 15:55:56,6.27365113,-75.58177529,3.22,1509.846,23.881,8.830,89,25,37,,
