type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-03-17 10:56:00,6.30507640,-75.55422847,3.79,1495.794,,0.000,,14,37,20230317-055600,GPS Logger: 20230317-055600 - SantaCruz-SENApedregal
T,2023-03-17 10:56:01,6.30508035,-75.55422823,3.79,1494.495,,0.000,,14,37,,
T,2023-03-17 10:56:02,6.30506932,-75.55424472,3.79,1496.755,,0.000,,14,37,,
T,2023-03-17 10:56:03,6.30507416,-75.55424614,3.79,1497.344,,0.000,,14,37,,
T,2023-03-17 10:56:04,6.30507273,-75.55425397,3.79,1496.503,,0.000,,14,36,,
T,2023-03-17 10:56:05,6.30507305,-75.55425618,3.79,1495.592,,0.000,,14,36,,
T,2023-03-17 10:56:06,6.30507325,-75.55425653,3.79,1494.624,,0.000,,14,36,,
T,2023-03-17 10:56:07,6.30507338,-75.55426005,3.79,1497.145,,0.000,,14,36,,
T,2023-03-17 10:56:08,6.30507377,-75.55425708,3.79,1496.770,,0.000,,14,36,,
T,2023-03-17 10:56:09,6.30507412,-75.55425326,3.85,1495.506,,0.000,,14,36,,
T,2023-03-17 10:56:10,6.30507346,-75.55426112,4.03,1497.875,,0.000,,14,36,,
T,2023-03-17 10:56:11,6.30507261,-75.55426433,4.11,1498.060,,0.000,,14,36,,
T,2023-03-17 10:56:12,6.30507155,-75.55427031,4.49,1499.484,,0.000,,15,36,,
T,2023-03-17 10:56:13,6.30507228,-75.55426570,5.63,1498.452,,0.000,,12,36,,
T,2023-03-17 10:56:14,6.30507202,-75.55426918,5.42,1499.057,,0.000,,11,36,,
T,2023-03-17 10:56:15,6.30507109,-75.55426968,5.03,1499.901,,0.000,,12,36,,
T,2023-03-17 10:56:16,6.30507057,-75.55426970,5.16,1500.199,,0.000,,15,36,,
T,2023-03-17 10:56:17,6.30507082,-75.55426048,5.30,1498.958,,0.000,,15,36,,
T,2023-03-17 10:56:18,6.30507101,-75.55426061,4.86,1499.694,,0.000,,16,36,,
T,2023-03-17 10:56:19,6.30507238,-75.55426243,4.55,1499.791,,0.000,,16,36,,
T,2023-03-17 10:56:20,6.30507240,-75.55426755,4.24,1500.324,,0.000,,16,36,,
T,2023-03-17 10:56:21,6.30507255,-75.55426643,4.15,1500.266,,0.000,,17,36,,
T,2023-03-17 10:56:22,6.30507281,-75.55426244,4.04,1500.137,,0.000,,16,36,,
T,2023-03-17 10:56:23,6.30507233,-75.55426485,3.91,1500.377,,0.000,,17,36,,
T,2023-03-17 10:56:24,6.30507289,-75.55426375,4.24,1500.292,,0.000,,18,36,,
T,2023-03-17 10:56:25,6.30507287,-75.55426406,4.06,1500.135,,0.000,,18,36,,
T,2023-03-17 10:56:26,6.30507253,-75.55426484,3.93,1500.157,,0.000,,18,36,,
T,2023-03-17 10:56:27,6.30507242,-75.55426520,4.00,1500.137,,0.000,,17,36,,
T,2023-03-17 10:56:28,6.30507457,-75.55430632,4.90,1502.834,,4.060,273,17,36,,
T,2023-03-17 10:56:29,6.30512181,-75.55437168,4.85,1500.790,,7.110,305,16,36,,
T,2023-03-17 10:56:30,6.30508659,-75.55442986,4.09,1497.652,,3.200,249,15,36,,
T,2023-03-17 10:56:31,6.30506841,-75.55446243,3.90,1496.851,,2.450,232,16,36,,
T,2023-03-17 10:56:32,6.30505828,-75.55449076,4.00,1498.140,,1.730,231,17,36,,
T,2023-03-17 10:56:33,6.30504650,-75.55452354,4.51,1496.370,,2.430,223,17,36,,
T,2023-03-17 10:56:34,6.30500666,-75.55454104,5.33,1494.070,,3.260,202,17,36,,
T,2023-03-17 10:56:35,6.30494446,-75.55456743,5.60,1494.813,,5.810,202,18,36,,
T,2023-03-17 10:56:36,6.30488074,-75.55457457,6.40,1496.002,,6.310,193,18,36,,
