type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-03-17 17:05:58,6.23991667,-75.57247167,1.80,1476.294,23.906,0.154,122,21,36,20230317-120558,GPS Logger: 20230317-120558 - Tornado_250_viaje_2
T,2023-03-17 17:05:59,6.23991667,-75.57247000,1.80,1476.294,23.906,0.079,107,21,36,,
T,2023-03-17 17:06:00,6.23991667,-75.57247167,1.70,1476.694,23.906,0.171,318,22,36,,
T,2023-03-17 17:06:01,6.23991333,-75.57246667,1.70,1476.394,23.906,0.164,38,21,36,,
T,2023-03-17 17:06:02,6.23991333,-75.57246333,1.70,1476.194,23.906,0.118,224,24,36,,
T,2023-03-17 17:06:03,6.23991000,-75.57246167,1.70,1476.094,23.906,0.398,216,24,36,,
T,2023-03-17 17:06:04,6.23991000,-75.57246000,1.70,1475.994,23.906,0.343,306,24,36,,
T,2023-03-17 17:06:05,6.23991000,-75.57245833,1.60,1475.894,23.906,0.349,313,25,36,,
T,2023-03-17 17:06:06,6.23991167,-75.57246000,1.60,1475.894,23.906,0.242,294,25,36,,
T,2023-03-17 17:06:07,6.23991667,-75.57246500,1.60,1475.794,23.906,0.306,293,27,36,,
T,2023-03-17 17:06:08,6.23991833,-75.57246667,1.50,1475.794,23.906,0.341,291,26,36,,
T,2023-03-17 17:06:09,6.23992333,-75.57247000,1.60,1475.794,23.906,0.400,314,26,36,,
T,2023-03-17 17:06:10,6.23993500,-75.57247667,1.60,1475.794,23.906,0.481,328,27,36,,
T,2023-03-17 17:06:11,6.23997833,-75.57246000,1.60,1475.494,23.906,0.807,11,27,36,,
T,2023-03-17 17:06:12,6.24001167,-75.57245500,1.60,1475.294,23.906,1.143,4,26,36,,
T,2023-03-17 17:06:13,6.24004167,-75.57245333,1.80,1475.194,23.906,1.396,3,26,36,,
T,2023-03-17 17:06:14,6.24003833,-75.57247333,1.90,1475.194,23.906,1.564,247,26,36,,
T,2023-03-17 17:06:15,6.24003500,-75.57249833,1.90,1475.394,23.906,1.738,277,26,36,,
T,2023-03-17 17:06:16,6.24004000,-75.57252500,1.90,1475.694,23.906,1.892,281,26,36,,
T,2023-03-17 17:06:17,6.24004667,-75.57255667,2.00,1476.093,23.907,2.027,282,25,36,,
T,2023-03-17 17:06:18,6.24004833,-75.57258833,1.90,1476.193,23.907,2.238,256,24,36,,
T,2023-03-17 17:06:19,6.24003667,-75.57263000,1.80,1475.593,23.907,2.663,247,25,36,,
T,2023-03-17 17:06:20,6.24002500,-75.57268000,1.80,1474.893,23.907,3.085,255,26,36,,
T,2023-03-17 17:06:21,6.24001833,-75.57272833,1.80,1474.392,23.908,3.307,262,27,36,,
T,2023-03-17 17:06:22,6.24001833,-75.57278000,1.90,1473.792,23.908,3.568,267,26,36,,
T,2023-03-17 17:06:23,6.24005500,-75.57284833,2.00,1473.292,23.908,4.129,292,24,36,,
T,2023-03-17 17:06:24,6.24008000,-75.57292833,1.90,1473.491,23.909,8.460,290,26,36,,
T,2023-03-17 17:06:25,6.24010667,-75.57300167,1.80,1473.491,23.909,7.685,290,26,36,,
