type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-03-18 20:02:15,6.28888000,-75.56941000,2.30,1501.718,23.782,0.072,275,25,32,20230318-150215,GPS Logger: 20230318-150215 - Honda_tornado_250_viaje 4
T,2023-03-18 20:02:16,6.28888333,-75.56940500,2.20,1501.918,23.782,0.117,275,25,32,,
T,2023-03-18 20:02:17,6.28888667,-75.56940500,2.20,1501.818,23.782,0.173,275,25,32,,
T,2023-03-18 20:02:18,6.28888667,-75.56940333,2.10,1502.118,23.782,0.121,275,25,32,,
T,2023-03-18 20:02:19,6.28888667,-75.56940167,2.00,1503.118,23.782,0.091,34,25,32,,
T,2023-03-18 20:02:20,6.28888500,-75.56940167,1.90,1504.018,23.782,0.172,355,25,32,,
T,2023-03-18 20:02:21,6.28887833,-75.56940500,1.70,1505.018,23.782,0.033,127,25,32,,
T,2023-03-18 20:02:22,6.28887167,-75.56940500,1.70,1505.218,23.782,0.337,180,24,32,,
T,2023-03-18 20:02:23,6.28886667,-75.56940667,1.70,1505.518,23.782,0.470,178,24,32,,
T,2023-03-18 20:02:24,6.28883833,-75.56942000,1.70,1505.718,23.782,5.265,206,24,32,,
T,2023-03-18 20:02:25,6.28878667,-75.56944500,1.80,1505.618,23.782,5.842,203,22,32,,
T,2023-03-18 20:02:26,6.28873167,-75.56946667,2.10,1505.518,23.782,6.319,202,22,32,,
T,2023-03-18 20:02:27,6.28862500,-75.56950333,2.10,1505.617,23.783,11.544,200,21,32,,
T,2023-03-18 20:02:28,6.28851667,-75.56954333,2.10,1505.717,23.783,11.784,201,21,32,,
T,2023-03-18 20:02:29,6.28840833,-75.56958000,2.10,1505.816,23.784,12.022,199,19,32,,
T,2023-03-18 20:02:30,6.28829167,-75.56961833,2.10,1505.616,23.784,12.385,199,23,32,,
T,2023-03-18 20:02:31,6.28817667,-75.56964833,2.10,1505.315,23.785,11.938,200,23,32,,
T,2023-03-18 20:02:32,6.28807333,-75.56968000,2.10,1504.815,23.785,10.986,200,22,32,,
T,2023-03-18 20:02:33,6.28797667,-75.56971167,2.10,1504.515,23.785,11.085,198,22,32,,
T,2023-03-18 20:02:34,6.28787000,-75.56974500,2.10,1504.214,23.786,12.138,197,24,32,,
T,2023-03-18 20:02:35,6.28775333,-75.56978167,2.10,1503.614,23.786,13.310,197,23,32,,
T,2023-03-18 20:02:36,6.28762833,-75.56981500,2.10,1503.013,23.787,14.544,197,23,32,,
T,2023-03-18 20:02:37,6.28749167,-75.56986500,2.00,1502.313,23.787,15.800,198,24,32,,
T,2023-03-18 20:02:38,6.28735167,-75.56991000,2.00,1501.812,23.788,16.074,198,23,32,,
T,2023-03-18 20:02:39,6.28721833,-75.56996167,2.00,1500.511,23.789,15.741,197,23,32,,
T,2023-03-18 20:02:40,6.28707667,-75.57000167,2.00,1499.711,23.789,15.746,198,22,32,,
T,2023-03-18 20:02:41,6.28693500,-75.57004333,1.90,1498.910,23.790,15.584,197,23,32,,
T,2023-03-18 20:02:42,6.28680000,-75.57008333,1.90,1498.110,23.790,14.854,197,24,32,,
T,2023-03-18 20:02:43,6.28667333,-75.57012500,1.90,1497.109,23.791,14.476,198,21,32,,
T,2023-03-18 20:02:44,6.28654833,-75.57016500,1.90,1496.209,23.791,13.984,198,22,32,,
T,2023-03-18 20:02:45,6.28642500,-75.57020500,1.90,1495.308,23.792,14.103,196,22,32,,
T,2023-03-18 20:02:46,6.28629667,-75.57024333,1.90,1494.708,23.792,14.951,196,23,32,,
T,2023-03-18 20:02:47,6.28616667,-75.57028333,1.90,1493.907,23.793,15.242,196,22,32,,
T,2023-03-18 20:02:48,6.28603333,-75.57032333,1.90,1493.407,23.793,15.075,197,23,32,,
T,2023-03-18 20:02:49,6.28590500,-75.57036333,1.80,1492.906,23.794,14.381,198,21,32,,
T,2023-03-18 20:02:50,6.28578333,-75.57040000,1.80,1492.506,23.794,13.263,197,24,32,,
T,2023-03-18 20:02:51,6.28567500,-75.57043167,1.80,1492.105,23.795,11.682,195,25,32,,
T,2023-03-18 20:02:52,6.28558167,-75.57045667,1.80,1491.605,23.795,10.022,194,24,32,,
T,2023-03-18 20:02:53,6.28550500,-75.57047833,1.80,1491.205,23.795,8.331,193,24,32,,
T,2023-03-18 20:02:54,6.28543833,-75.57049833,1.80,1490.205,23.795,8.049,192,24,32,,
T,2023-03-18 20:02:55,6.28536333,-75.57052167,1.80,1489.704,23.796,9.364,194,24,32,,
T,2023-03-18 20:02:56,6.28527500,-75.57055000,1.80,1489.204,23.796,10.788,197,24,32,,
T,2023-03-18 20:02:57,6.28517667,-75.57058500,1.80,1488.804,23.796,11.446,201,24,32,,
T,2023-03-18 20:02:58,6.28507667,-75.57062667,1.80,1488.803,23.797,12.345,203,24,32,,
T,2023-03-18 20:02:59,6.28496500,-75.57067500,1.80,1488.503,23.797,13.757,204,24,32,,
T,2023-03-18 20:03:00,6.28484500,-75.57072667,1.90,1488.402,23.798,14.625,202,25,32,,
T,2023-03-18 20:03:01,6.28471833,-75.57077333,1.80,1488.102,23.798,14.339,200,25,32,,
T,2023-03-18 20:03:02,6.28459667,-75.57081833,1.80,1487.601,23.799,13.427,200,26,32,,
T,2023-03-18 20:03:03,6.28448167,-75.57085500,1.80,1487.301,23.799,12.462,198,26,32,,
T,2023-03-18 20:03:04,6.28438000,-75.57088500,1.80,1487.300,23.800,10.615,198,26,32,,
T,2023-03-18 20:03:05,6.28429500,-75.57091167,1.80,1487.000,23.800,9.152,199,25,32,,
T,2023-03-18 20:03:06,6.28421000,-75.57094000,1.80,1486.599,23.801,10.360,200,25,32,,
T,2023-03-18 20:03:07,6.28411333,-75.57097333,1.80,1486.399,23.801,12.058,200,25,32,,
T,2023-03-18 20:03:08,6.28400000,-75.57101000,1.80,1486.399,23.801,13.796,200,25,32,,
T,2023-03-18 20:03:09,6.28387000,-75.57105000,1.80,1486.298,23.802,15.620,197,25,32,,
T,2023-03-18 20:03:10,6.28372833,-75.57109667,1.80,1486.198,23.802,16.842,198,24,32,,
T,2023-03-18 20:03:11,6.28358000,-75.57114333,1.80,1486.097,23.803,17.264,197,24,32,,
T,2023-03-18 20:03:12,6.28343000,-75.57119000,1.90,1485.796,23.804,16.988,197,24,32,,
T,2023-03-18 20:03:13,6.28328167,-75.57123333,1.90,1485.596,23.804,16.225,195,24,32,,
T,2023-03-18 20:03:14,6.28314000,-75.57127333,1.90,1485.595,23.805,15.875,194,24,32,,
T,2023-03-18 20:03:15,6.28300167,-75.57131667,1.90,1485.495,23.805,15.659,197,24,32,,
T,2023-03-18 20:03:16,6.28286833,-75.57136167,2.00,1485.394,23.806,15.024,198,23,32,,
T,2023-03-18 20:03:17,6.28274500,-75.57140667,2.00,1485.494,23.806,13.605,198,24,32,,
T,2023-03-18 20:03:18,6.28262833,-75.57144500,2.00,1485.093,23.807,12.410,198,22,32,,
T,2023-03-18 20:03:19,6.28252833,-75.57148333,2.00,1484.493,23.807,11.610,197,22,32,,
T,2023-03-18 20:03:20,6.28242167,-75.57151333,2.00,1484.192,23.808,12.485,197,22,32,,
T,2023-03-18 20:03:21,6.28231333,-75.57154833,1.90,1483.992,23.808,13.036,198,22,32,,
T,2023-03-18 20:03:22,6.28220167,-75.57159000,1.90,1483.792,23.808,13.371,198,23,32,,
T,2023-03-18 20:03:23,6.28208333,-75.57163000,1.90,1483.691,23.809,13.600,201,22,32,,
T,2023-03-18 20:03:24,6.28196500,-75.57167333,1.90,1483.191,23.809,13.627,202,22,32,,
T,2023-03-18 20:03:25,6.28184667,-75.57171167,1.90,1482.490,23.810,12.941,200,22,32,,
T,2023-03-18 20:03:26,6.28173667,-75.57174500,1.90,1481.890,23.810,12.086,198,22,32,,
T,2023-03-18 20:03:27,6.28163167,-75.57177333,2.00,1481.089,23.811,12.073,194,22,32,,
T,2023-03-18 20:03:28,6.28152167,-75.57179500,1.90,1480.189,23.811,12.702,192,22,32,,
T,2023-03-18 20:03:29,6.28140833,-75.57181500,1.90,1479.089,23.811,12.920,190,22,32,,
T,2023-03-18 20:03:30,6.28129167,-75.57183167,1.90,1478.488,23.812,13.068,190,22,32,,
T,2023-03-18 20:03:31,6.28117167,-75.57185167,1.90,1477.588,23.812,13.729,190,22,32,,
T,2023-03-18 20:03:32,6.28104833,-75.57186833,1.90,1476.787,23.813,13.532,187,22,32,,
T,2023-03-18 20:03:33,6.28093167,-75.57188000,1.80,1476.087,23.813,12.368,186,21,32,,
T,2023-03-18 20:03:34,6.28082667,-75.57188833,1.80,1475.487,23.813,11.157,186,21,32,,
T,2023-03-18 20:03:35,6.28073000,-75.57190000,1.80,1474.887,23.813,10.294,186,24,32,,
T,2023-03-18 20:03:36,6.28064333,-75.57190833,1.80,1474.386,23.814,9.336,186,24,32,,
T,2023-03-18 20:03:37,6.28056667,-75.57191833,1.90,1473.786,23.814,8.244,188,24,32,,
T,2023-03-18 20:03:38,6.28049000,-75.57192500,1.90,1473.286,23.814,9.077,186,23,32,,
T,2023-03-18 20:03:39,6.28040333,-75.57193833,1.90,1473.286,23.814,10.341,188,23,32,,
T,2023-03-18 20:03:40,6.28030500,-75.57195500,1.90,1472.885,23.815,10.873,189,23,32,,
T,2023-03-18 20:03:41,6.28021167,-75.57196833,1.90,1472.685,23.815,9.611,187,23,32,,
T,2023-03-18 20:03:42,6.28013000,-75.57197167,1.90,1472.385,23.815,8.380,183,24,32,,
T,2023-03-18 20:03:43,6.28006000,-75.57197333,1.90,1471.885,23.815,7.296,183,24,32,,
T,2023-03-18 20:03:44,6.28000000,-75.57197333,1.90,1471.384,23.816,6.317,185,24,32,,
T,2023-03-18 20:03:45,6.27995000,-75.57197500,1.90,1470.984,23.816,5.186,185,24,32,,
T,2023-03-18 20:03:46,6.27991167,-75.57198000,1.90,1470.484,23.816,4.186,188,24,32,,
T,2023-03-18 20:03:47,6.27987333,-75.57198167,1.90,1470.384,23.816,4.768,187,24,32,,
T,2023-03-18 20:03:48,6.27982667,-75.57198500,1.90,1470.084,23.816,5.668,183,24,32,,
T,2023-03-18 20:03:49,6.27977500,-75.57199000,1.90,1469.484,23.816,6.095,188,23,32,,
T,2023-03-18 20:03:50,6.27971833,-75.57199667,1.90,1469.184,23.816,6.433,189,22,32,,
T,2023-03-18 20:03:51,6.27965500,-75.57200500,1.90,1468.884,23.816,7.330,185,22,32,,
T,2023-03-18 20:03:52,6.27958167,-75.57201000,1.90,1468.783,23.817,8.013,183,22,32,,
T,2023-03-18 20:03:53,6.27951000,-75.57201167,1.90,1468.683,23.817,7.186,185,22,32,,
T,2023-03-18 20:03:54,6.27945167,-75.57201500,1.90,1468.383,23.817,6.015,186,22,32,,
T,2023-03-18 20:03:55,6.27939833,-75.57201833,1.80,1468.183,23.817,5.318,186,22,32,,
T,2023-03-18 20:03:56,6.27935333,-75.57202167,1.80,1467.883,23.817,4.676,186,22,32,,
T,2023-03-18 20:03:57,6.27930833,-75.57202833,1.80,1467.783,23.817,5.163,189,22,32,,
T,2023-03-18 20:03:58,6.27926000,-75.57203500,1.80,1468.082,23.818,5.339,187,22,32,,
T,2023-03-18 20:03:59,6.27920833,-75.57204167,1.80,1468.282,23.818,5.831,187,23,32,,
T,2023-03-18 20:04:00,6.27915500,-75.57204667,1.80,1468.282,23.818,6.048,188,23,32,,
T,2023-03-18 20:04:01,6.27910333,-75.57205000,1.80,1468.582,23.818,5.693,186,23,32,,
T,2023-03-18 20:04:02,6.27905000,-75.57205500,1.80,1468.782,23.818,6.002,186,23,32,,
T,2023-03-18 20:04:03,6.27899500,-75.57205833,1.80,1469.482,23.818,6.209,186,24,32,,
T,2023-03-18 20:04:04,6.27894000,-75.57206667,1.70,1470.082,23.818,5.997,189,24,32,,
T,2023-03-18 20:04:05,6.27889000,-75.57207500,1.70,1470.181,23.819,5.110,189,24,32,,
T,2023-03-18 20:04:06,6.27884500,-75.57208500,1.70,1470.081,23.819,4.948,189,24,32,,
T,2023-03-18 20:04:07,6.27880000,-75.57209333,1.70,1470.281,23.819,5.064,188,24,32,,
T,2023-03-18 20:04:08,6.27875833,-75.57209833,1.70,1470.481,23.819,4.214,188,24,32,,
T,2023-03-18 20:04:09,6.27872333,-75.57210500,1.70,1470.581,23.819,3.787,191,24,32,,
T,2023-03-18 20:04:10,6.27868833,-75.57210667,1.70,1470.981,23.819,3.790,188,24,32,,
T,2023-03-18 20:04:11,6.27865500,-75.57211000,1.70,1470.481,23.819,3.596,185,24,32,,
T,2023-03-18 20:04:12,6.27862333,-75.57211333,1.70,1470.781,23.819,3.710,184,24,32,,
T,2023-03-18 20:04:13,6.27858833,-75.57212000,1.70,1470.680,23.820,3.735,185,24,32,,
T,2023-03-18 20:04:14,6.27855333,-75.57212500,1.70,1470.080,23.820,4.456,188,24,32,,
T,2023-03-18 20:04:15,6.27850500,-75.57213000,1.70,1469.980,23.820,6.118,187,23,32,,
T,2023-03-18 20:04:16,6.27844333,-75.57213667,1.70,1469.780,23.820,7.154,186,22,32,,
T,2023-03-18 20:04:17,6.27837833,-75.57214333,1.70,1469.880,23.820,7.432,187,23,32,,
T,2023-03-18 20:04:18,6.27830667,-75.57215667,1.70,1469.480,23.820,8.077,189,23,32,,
T,2023-03-18 20:04:19,6.27822667,-75.57217000,1.70,1469.479,23.821,9.431,188,24,32,,
T,2023-03-18 20:04:20,6.27813333,-75.57218833,1.70,1469.079,23.821,10.660,190,24,32,,
T,2023-03-18 20:04:21,6.27803333,-75.57220833,1.70,1468.479,23.821,11.753,187,22,32,,
T,2023-03-18 20:04:22,6.27792000,-75.57222167,1.70,1468.178,23.822,12.832,187,22,32,,
T,2023-03-18 20:04:23,6.27779833,-75.57223667,1.70,1467.878,23.822,13.285,187,22,32,,
T,2023-03-18 20:04:24,6.27766833,-75.57225000,1.70,1467.578,23.822,14.801,187,22,32,,
T,2023-03-18 20:04:25,6.27752167,-75.57226500,1.70,1467.077,23.823,16.227,188,22,32,,
T,2023-03-18 20:04:26,6.27736667,-75.57228833,1.70,1466.377,23.823,17.265,188,22,32,,
T,2023-03-18 20:04:27,6.27720833,-75.57231000,1.80,1466.176,23.824,17.568,189,22,32,,
T,2023-03-18 20:04:28,6.27705167,-75.57233500,1.90,1465.676,23.824,17.453,190,21,32,,
