type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-03-21 17:02:41,6.24479167,-75.57161500,1.70,1485.507,23.893,0.134,192,24,37,20230321-120241,GPS Logger: 20230321-120241 - Bajaj_ns200_viaje 1
T,2023-03-21 17:02:42,6.24479167,-75.57161667,1.60,1485.607,23.893,0.137,204,25,37,,
T,2023-03-21 17:02:43,6.24479333,-75.57161667,1.60,1485.607,23.893,0.073,350,24,37,,
T,2023-03-21 17:02:44,6.24479500,-75.57161500,1.70,1485.607,23.893,0.237,55,25,37,,
T,2023-03-21 17:02:45,6.24479667,-75.57161333,1.70,1485.708,23.892,0.194,38,25,37,,
T,2023-03-21 17:02:46,6.24479667,-75.57161333,1.70,1485.608,23.892,0.108,17,24,37,,
T,2023-03-21 17:02:47,6.24479500,-75.57161167,1.70,1485.608,23.892,0.034,273,24,37,,
T,2023-03-21 17:02:48,6.24479500,-75.57161000,1.70,1485.608,23.892,0.073,11,25,37,,
T,2023-03-21 17:02:49,6.24482667,-75.57160333,1.70,1485.508,23.892,0.322,16,25,37,,
T,2023-03-21 17:02:50,6.24486500,-75.57159500,1.80,1485.308,23.892,5.420,13,25,37,,
T,2023-03-21 17:02:51,6.24492500,-75.57158667,1.80,1485.208,23.892,6.234,10,25,37,,
T,2023-03-21 17:02:52,6.24498833,-75.57158000,1.90,1485.108,23.892,6.590,4,25,37,,
T,2023-03-21 17:02:53,6.24505333,-75.57157833,2.00,1485.008,23.892,6.708,360,25,37,,
T,2023-03-21 17:02:54,6.24510667,-75.57160833,2.10,1485.008,23.892,6.862,326,25,37,,
T,2023-03-21 17:02:55,6.24515833,-75.57165000,2.20,1484.908,23.892,7.065,320,24,37,,
T,2023-03-21 17:02:56,6.24521000,-75.57171833,2.40,1484.808,23.892,8.312,312,25,37,,
T,2023-03-21 17:02:57,6.24525500,-75.57181333,2.50,1484.707,23.893,9.655,303,25,37,,
T,2023-03-21 17:02:58,6.24529833,-75.57192833,2.50,1484.707,23.893,11.244,297,25,37,,
