type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-03-22 00:54:24,6.16727667,-75.63122333,3.30,1634.045,24.355,0.124,185,15,46,20230321-195424,GPS Logger: 20230321-195424 - NMax _viaje_13
T,2023-03-22 00:54:25,6.16727167,-75.63120667,3.10,1634.445,24.355,0.009,185,15,46,,
T,2023-03-22 00:54:26,6.16725333,-75.63121500,2.90,1638.245,24.355,0.153,185,18,46,,
T,2023-03-22 00:54:27,6.16724000,-75.63122000,2.90,1640.345,24.355,0.224,185,16,46,,
T,2023-03-22 00:54:28,6.16724000,-75.63121833,2.90,1640.545,24.355,0.146,185,16,46,,
T,2023-03-22 00:54:29,6.16724333,-75.63122167,2.90,1639.545,24.355,0.133,185,13,46,,
T,2023-03-22 00:54:30,6.16724500,-75.63122333,2.90,1639.245,24.355,0.065,185,14,46,,
T,2023-03-22 00:54:31,6.16725000,-75.63123167,2.90,1636.745,24.355,0.058,331,16,46,,
T,2023-03-22 00:54:32,6.16726167,-75.63124333,2.90,1633.645,24.355,0.089,23,16,46,,
T,2023-03-22 00:54:33,6.16727833,-75.63124667,2.70,1629.745,24.355,0.094,74,16,46,,
T,2023-03-22 00:54:35,6.16728000,-75.63125000,2.50,1627.345,24.355,0.181,139,16,46,,
T,2023-03-22 00:54:36,6.16727500,-75.63125000,2.40,1627.445,24.355,0.111,142,16,46,,
T,2023-03-22 00:54:37,6.16726500,-75.63123833,2.30,1627.545,24.355,0.197,152,19,46,,
T,2023-03-22 00:54:38,6.16726000,-75.63122833,2.20,1629.045,24.355,0.110,184,19,46,,
T,2023-03-22 00:54:39,6.16726000,-75.63121833,2.10,1630.445,24.355,0.124,170,22,46,,
T,2023-03-22 00:54:40,6.16725833,-75.63121167,2.00,1631.345,24.355,0.121,262,23,46,,
T,2023-03-22 00:54:41,6.16725833,-75.63120667,1.90,1631.845,24.355,0.130,74,22,46,,
T,2023-03-22 00:54:42,6.16726000,-75.63120167,1.80,1632.145,24.355,0.136,52,22,46,,
T,2023-03-22 00:54:43,6.16726000,-75.63120000,1.80,1632.345,24.355,0.141,84,22,46,,
T,2023-03-22 00:54:44,6.16726000,-75.63120000,1.80,1632.245,24.355,0.138,55,23,46,,
T,2023-03-22 00:54:45,6.16725833,-75.63120000,1.70,1632.545,24.355,0.125,185,24,46,,
T,2023-03-22 00:54:46,6.16725833,-75.63119667,1.70,1632.745,24.355,0.116,148,23,46,,
T,2023-03-22 00:54:47,6.16725833,-75.63119333,1.70,1632.745,24.355,0.111,60,25,46,,
T,2023-03-22 00:54:48,6.16725833,-75.63119167,1.70,1632.745,24.355,0.110,104,26,46,,
T,2023-03-22 00:54:49,6.16725833,-75.63119000,1.70,1632.845,24.355,0.101,93,26,46,,
T,2023-03-22 00:54:50,6.16726000,-75.63118500,1.80,1632.746,24.354,0.000,,26,46,,
T,2023-03-22 00:54:51,6.16726167,-75.63117833,1.80,1632.946,24.354,0.000,,26,46,,
T,2023-03-22 00:54:52,6.16726333,-75.63117500,1.70,1633.246,24.354,0.000,,26,46,,
T,2023-03-22 00:54:53,6.16726333,-75.63117500,1.70,1633.246,24.354,0.000,,26,46,,
T,2023-03-22 00:54:54,6.16726333,-75.63117500,1.80,1633.246,24.354,0.000,,25,46,,
T,2023-03-22 00:54:55,6.16726333,-75.63117500,1.80,1633.246,24.354,0.000,,25,46,,
T,2023-03-22 00:54:56,6.16726333,-75.63117500,1.80,1633.246,24.354,0.000,,25,46,,
T,2023-03-22 00:54:57,6.16726333,-75.63117500,1.90,1633.246,24.354,0.000,,25,46,,
T,2023-03-22 00:54:58,6.16726333,-75.63117500,1.90,1633.246,24.354,0.000,,25,46,,
T,2023-03-22 00:54:59,6.16726333,-75.63117500,1.90,1633.246,24.354,0.000,,26,46,,
T,2023-03-22 00:55:00,6.16726333,-75.63117500,1.90,1633.246,24.354,0.000,,25,46,,
T,2023-03-22 00:55:01,6.16726333,-75.63117500,1.80,1633.246,24.354,0.000,,26,46,,
T,2023-03-22 00:55:02,6.16726333,-75.63117500,1.80,1633.246,24.354,0.000,,25,46,,
