type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-03-22 20:23:56,6.45074866,-75.74441066,3.79,666.515,24.315,11.940,328,21,38,20230322-152356,GPS Logger: 20230322-152356
T,2023-03-22 20:23:57,6.45084012,-75.74446878,3.79,665.636,24.315,11.810,328,22,38,,
T,2023-03-22 20:23:58,6.45093208,-75.74452093,3.79,664.579,24.316,11.840,330,22,38,,
T,2023-03-22 20:23:59,6.45102621,-75.74457553,3.79,664.422,24.316,11.810,330,22,38,,
T,2023-03-22 20:24:00,6.45111793,-75.74463025,3.79,663.643,24.316,11.680,329,22,38,,
T,2023-03-22 20:24:01,6.45121283,-75.74468006,3.79,663.978,24.316,11.630,331,22,38,,
T,2023-03-22 20:24:02,6.45130104,-75.74473663,3.79,663.513,24.316,11.770,328,17,27,,
T,2023-03-22 20:24:03,6.45137496,-75.74479435,3.79,661.823,24.316,10.910,328,20,30,,
T,2023-03-22 20:24:04,6.45146383,-75.74484682,3.79,661.563,24.316,11.240,329,15,24,,
T,2023-03-22 20:24:05,6.45156595,-75.74489243,3.79,661.250,24.316,12.430,332,18,27,,
T,2023-03-22 20:24:06,6.45166249,-75.74494335,4.30,661.174,24.316,12.110,332,18,27,,
T,2023-03-22 20:24:07,6.45175904,-75.74498572,5.84,660.556,24.316,11.720,332,20,29,,
T,2023-03-22 20:24:08,6.45185200,-75.74503513,8.43,660.564,24.316,11.560,332,20,29,,
T,2023-03-22 20:24:09,6.45192184,-75.74509746,7.87,658.675,24.316,10.970,328,18,28,,
T,2023-03-22 20:24:10,6.45200994,-75.74515111,10.51,658.727,24.316,11.250,328,18,28,,
T,2023-03-22 20:24:11,6.45207879,-75.74521477,8.33,657.411,24.316,12.660,322,13,28,,
T,2023-03-22 20:24:12,6.45216879,-75.74528531,10.50,657.216,24.317,12.650,322,13,28,,
T,2023-03-22 20:24:13,6.45226956,-75.74540150,11.31,658.522,24.317,14.640,313,13,26,,
T,2023-03-22 20:24:14,6.45233345,-75.74564019,10.23,656.903,24.318,18.310,299,15,30,,
T,2023-03-22 20:24:15,6.45241351,-75.74578449,11.67,656.557,24.319,18.290,299,15,30,,
T,2023-03-22 20:24:16,6.45246268,-75.74596898,9.13,654.362,24.319,19.930,287,15,30,,
T,2023-03-22 20:24:17,6.45249846,-75.74616602,7.70,652.588,24.320,22.450,274,14,27,,
T,2023-03-22 20:24:18,6.45253755,-75.74635399,7.12,652.383,24.321,22.300,280,15,29,,
T,2023-03-22 20:24:19,6.45260336,-75.74657218,6.87,650.622,24.322,23.270,288,15,28,,
T,2023-03-22 20:24:20,6.45268257,-75.74677065,6.63,650.408,24.323,22.920,298,17,29,,
T,2023-03-22 20:24:21,6.45278912,-75.74695096,6.48,650.511,24.324,22.960,305,17,29,,
