type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-03-23 03:00:18.606,6.15520667,-75.58505667,6.90,1655.563,24.137,0.000,,5,46,20230322-220018,GPS Logger: 20230322-220018 - Victory_Bomber150_Viaje_8
T,2023-03-23 03:00:19.606,6.15520500,-75.58506167,6.60,1652.963,24.137,0.000,,4,46,,
T,2023-03-23 03:00:20.606,6.15519667,-75.58508000,6.10,1654.163,24.137,0.000,,5,46,,
T,2023-03-23 03:00:21.606,6.15518500,-75.58509833,5.80,1655.763,24.137,0.000,,5,46,,
T,2023-03-23 03:00:22.608,6.15517667,-75.58511167,5.60,1653.463,24.137,0.000,,5,46,,
T,2023-03-23 03:00:23.608,6.15514667,-75.58518333,5.60,1651.762,24.138,0.000,,5,46,,
T,2023-03-23 03:00:24.606,6.15511500,-75.58519000,5.70,1656.162,24.138,0.000,,4,46,,
T,2023-03-23 03:00:25.606,6.15512667,-75.58518833,5.80,1656.462,24.138,0.000,,4,46,,
T,2023-03-23 03:00:26.603,6.15514667,-75.58519167,5.90,1657.362,24.138,0.000,,4,46,,
T,2023-03-23 03:00:27.603,6.15515167,-75.58519667,6.00,1655.862,24.138,0.000,,5,46,,
T,2023-03-23 03:00:28.605,6.15514667,-75.58520333,6.20,1653.862,24.138,0.000,,5,46,,
T,2023-03-23 03:00:29.606,6.15513667,-75.58520833,6.40,1653.162,24.138,0.000,,5,46,,
T,2023-03-23 03:00:30.606,6.15516167,-75.58520000,6.50,1652.162,24.138,0.000,,5,46,,
T,2023-03-23 03:00:31.606,6.15513667,-75.58517500,6.60,1651.362,24.138,0.000,,5,46,,
T,2023-03-23 03:00:32.606,6.15516000,-75.58516667,6.60,1650.162,24.138,0.000,,5,46,,
T,2023-03-23 03:00:33.606,6.15517000,-75.58515333,6.50,1650.363,24.137,0.000,,5,46,,
T,2023-03-23 03:00:34.606,6.15516500,-75.58515833,6.50,1649.963,24.137,0.000,,5,46,,
T,2023-03-23 03:00:35.604,6.15516667,-75.58515667,6.40,1649.563,24.137,0.000,,5,46,,
T,2023-03-23 03:00:36.604,6.15516833,-75.58515000,6.50,1649.663,24.137,0.000,,5,46,,
T,2023-03-23 03:00:37.604,6.15516667,-75.58515167,6.50,1649.163,24.137,0.000,,4,46,,
T,2023-03-23 03:00:38.604,6.15516500,-75.58515167,43.90,1648.863,24.137,0.000,,3,46,,
T,2023-03-23 03:00:39.604,6.15516500,-75.58514500,44.70,1648.363,24.137,0.000,,3,46,,
T,2023-03-23 03:00:40.604,6.15518667,-75.58512667,6.70,1648.963,24.137,0.000,,5,46,,
T,2023-03-23 03:00:41.604,6.15519333,-75.58512333,6.40,1653.463,24.137,0.000,,7,46,,
T,2023-03-23 03:00:42.603,6.15520833,-75.58511167,6.10,1656.663,24.137,0.000,,7,46,,
T,2023-03-23 03:00:43.603,6.15521000,-75.58511500,6.10,1656.563,24.137,0.000,,5,46,,
T,2023-03-23 03:00:44.603,6.15521500,-75.58511667,6.10,1656.663,24.137,0.000,,5,46,,
T,2023-03-23 03:00:45.600,6.15521167,-75.58512833,6.30,1655.363,24.137,0.000,,4,46,,
T,2023-03-23 03:00:46.593,6.15523833,-75.58515833,5.70,1654.763,24.137,0.000,,4,46,,
T,2023-03-23 03:00:47.590,6.15524833,-75.58516000,5.60,1655.363,24.137,0.000,,5,46,,
T,2023-03-23 03:00:48.588,6.15526333,-75.58516000,5.40,1655.863,24.137,0.000,,5,46,,
T,2023-03-23 03:00:49.588,6.15526667,-75.58516333,5.40,1657.363,24.137,0.000,,5,46,,
T,2023-03-23 03:00:50.587,6.15527333,-75.58516833,5.40,1658.663,24.137,0.000,,6,46,,
T,2023-03-23 03:00:51.585,6.15527667,-75.58517000,5.40,1659.763,24.137,0.000,,6,46,,
T,2023-03-23 03:00:52.584,6.15528500,-75.58516833,5.40,1661.363,24.137,0.000,,7,46,,
T,2023-03-23 03:00:53.581,6.15528833,-75.58516333,4.90,1663.163,24.137,0.000,,9,46,,
T,2023-03-23 03:00:54.576,6.15528333,-75.58516500,4.20,1666.163,24.137,0.000,,9,46,,
T,2023-03-23 03:00:55.575,6.15529000,-75.58516833,4.40,1667.163,24.137,0.000,,11,46,,
T,2023-03-23 03:00:57,6.15524333,-75.58517000,4.00,1670.063,24.137,0.000,,9,46,,
T,2023-03-23 03:00:58,6.15522833,-75.58515333,3.80,1670.363,24.137,0.000,,9,46,,
T,2023-03-23 03:00:59,6.15524000,-75.58513833,3.60,1670.463,24.137,0.000,,10,46,,
T,2023-03-23 03:01:00,6.15524500,-75.58513833,3.60,1671.863,24.137,0.000,,12,46,,
T,2023-03-23 03:01:01,6.15524667,-75.58512667,3.50,1672.563,24.137,0.000,,11,46,,
T,2023-03-23 03:01:02,6.15525167,-75.58511667,3.60,1673.363,24.137,0.000,,12,46,,
T,2023-03-23 03:01:03,6.15525000,-75.58511333,3.40,1673.963,24.137,0.000,,11,46,,
T,2023-03-23 03:01:04,6.15525000,-75.58511167,3.30,1674.163,24.137,0.000,,13,46,,
T,2023-03-23 03:01:05,6.15524167,-75.58511167,3.20,1675.663,24.137,0.000,,13,46,,
T,2023-03-23 03:01:06,6.15523667,-75.58511333,3.20,1676.863,24.137,0.000,,12,46,,
T,2023-03-23 03:01:07,6.15523000,-75.58510000,3.00,1677.063,24.137,0.000,,14,46,,
T,2023-03-23 03:01:08,6.15522333,-75.58510500,2.90,1676.863,24.137,0.000,,13,46,,
T,2023-03-23 03:01:09,6.15522000,-75.58510833,2.80,1676.563,24.137,0.000,,13,46,,
T,2023-03-23 03:01:10,6.15522167,-75.58510833,2.80,1676.763,24.137,0.000,,13,46,,
T,2023-03-23 03:01:11,6.15522500,-75.58510500,2.80,1676.763,24.137,0.000,,13,46,,
T,2023-03-23 03:01:12,6.15522833,-75.58510333,2.70,1677.963,24.137,0.000,,13,46,,
T,2023-03-23 03:01:13,6.15523000,-75.58510167,2.70,1678.263,24.137,0.000,,14,46,,
T,2023-03-23 03:01:14,6.15523000,-75.58510167,2.80,1678.763,24.137,0.000,,15,46,,
T,2023-03-23 03:01:15,6.15523167,-75.58509167,2.80,1681.263,24.137,0.000,,15,45,,
T,2023-03-23 03:01:16,6.15523167,-75.58509167,2.80,1681.263,24.137,0.000,,13,46,,
T,2023-03-23 03:01:17,6.15523333,-75.58508333,2.70,1683.863,24.137,0.000,,13,46,,
T,2023-03-23 03:01:18,6.15523000,-75.58508500,2.70,1684.263,24.137,0.000,,13,46,,
T,2023-03-23 03:01:19,6.15522667,-75.58509000,2.70,1685.363,24.137,0.000,,13,46,,
T,2023-03-23 03:01:20,6.15522500,-75.58509500,2.70,1685.563,24.137,0.000,,14,46,,
T,2023-03-23 03:01:21,6.15522500,-75.58509500,2.70,1685.663,24.137,0.000,,15,46,,
T,2023-03-23 03:01:22,6.15522500,-75.58509500,2.70,1685.663,24.137,0.000,,14,46,,
