type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-03-23 10:40:54,6.30478839,-75.55475996,3.79,1490.031,,0.000,,21,37,20230323-054054,GPS Logger: 20230323-054054 - Santacruz -senapedregal
T,2023-03-23 10:40:55,6.30478576,-75.55476230,3.79,1490.051,,0.000,,21,37,,
T,2023-03-23 10:40:56,6.30478774,-75.55476103,3.79,1491.741,,0.000,,20,37,,
T,2023-03-23 10:40:57,6.30478829,-75.55476111,3.79,1492.178,,0.000,,20,37,,
T,2023-03-23 10:40:58,6.30478767,-75.55475733,3.79,1491.825,,0.510,97,20,37,,
T,2023-03-23 10:40:59,6.30478915,-75.55475662,3.79,1491.781,,0.160,332,20,37,,
T,2023-03-23 10:41:00,6.30479623,-75.55477082,3.79,1491.427,,1.560,287,19,37,,
T,2023-03-23 10:41:01,6.30478980,-75.55476650,3.79,1490.689,,0.370,256,19,37,,
T,2023-03-23 10:41:02,6.30478992,-75.55476628,3.79,1490.748,,0.000,,19,37,,
T,2023-03-23 10:41:03,6.30478998,-75.55476602,3.79,1490.742,,0.000,,20,37,,
T,2023-03-23 10:41:04,6.30479000,-75.55476596,3.79,1490.736,,0.000,,20,37,,
T,2023-03-23 10:41:05,6.30479218,-75.55477605,3.79,1490.076,,1.190,280,20,37,,
T,2023-03-23 10:41:06,6.30479800,-75.55479506,3.79,1490.452,,2.090,285,20,37,,
T,2023-03-23 10:41:07,6.30480740,-75.55481832,3.79,1490.985,,2.520,295,20,37,,
T,2023-03-23 10:41:08,6.30482834,-75.55485167,3.84,1490.680,,3.740,304,20,37,,
T,2023-03-23 10:41:09,6.30484415,-75.55488060,4.15,1490.756,,3.370,305,19,37,,
T,2023-03-23 10:41:10,6.30487485,-75.55493648,3.98,1490.195,,6.010,301,19,37,,
T,2023-03-23 10:41:11,6.30490056,-75.55498856,4.02,1489.871,,5.020,297,19,37,,
T,2023-03-23 10:41:12,6.30492231,-75.55503291,4.14,1488.359,,4.700,294,18,37,,
T,2023-03-23 10:41:13,6.30494622,-75.55509603,4.03,1487.482,,6.730,292,17,37,,
T,2023-03-23 10:41:14,6.30496739,-75.55516159,4.10,1487.765,,6.750,289,16,37,,
T,2023-03-23 10:41:15,6.30498513,-75.55522038,4.35,1487.312,,6.010,288,16,37,,
T,2023-03-23 10:41:16,6.30500529,-75.55525853,4.36,1486.839,,4.590,297,16,37,,
T,2023-03-23 10:41:17,6.30503213,-75.55530055,4.32,1485.241,,5.510,303,17,37,,
T,2023-03-23 10:41:18,6.30506318,-75.55536645,4.02,1486.045,,7.590,294,18,37,,
T,2023-03-23 10:41:19,6.30508363,-75.55543264,4.28,1486.034,,7.350,290,19,37,,
T,2023-03-23 10:41:20,6.30510085,-75.55550778,4.72,1485.602,,7.830,284,20,37,,
T,2023-03-23 10:41:21,6.30512320,-75.55559720,5.17,1484.817,,9.050,285,20,37,,
T,2023-03-23 10:41:22,6.30514370,-75.55567009,4.18,1482.724,,7.370,286,20,37,,
T,2023-03-23 10:41:23,6.30516525,-75.55572104,4.11,1483.133,,5.530,292,20,37,,
T,2023-03-23 10:41:24,6.30518954,-75.55575658,4.13,1482.078,,4.220,303,20,37,,
T,2023-03-23 10:41:25,6.30524135,-75.55576562,4.40,1481.929,,4.840,343,20,37,,
T,2023-03-23 10:41:26,6.30529958,-75.55576078,4.45,1478.440,,5.380,0,20,37,,
T,2023-03-23 10:41:27,6.30534982,-75.55575910,4.59,1478.775,,5.480,5,20,37,,
T,2023-03-23 10:41:28,6.30542662,-75.55573580,5.82,1478.791,,6.500,13,19,37,,
T,2023-03-23 10:41:29,6.30549066,-75.55572316,4.62,1479.305,,6.540,15,14,37,,
T,2023-03-23 10:41:30,6.30555822,-75.55571977,4.07,1478.927,,7.460,3,18,37,,
T,2023-03-23 10:41:31,6.30562389,-75.55570313,3.86,1477.665,,8.230,5,19,37,,
T,2023-03-23 10:41:32,6.30570488,-75.55569202,3.82,1476.509,,8.290,8,19,37,,
T,2023-03-23 10:41:33,6.30578405,-75.55568406,3.79,1475.396,,8.050,11,19,37,,
T,2023-03-23 10:41:34,6.30585377,-75.55568261,3.83,1475.267,,8.000,5,19,37,,
T,2023-03-23 10:41:35,6.30593593,-75.55568332,3.83,1475.601,,8.880,2,19,37,,
T,2023-03-23 10:41:36,6.30602579,-75.55566837,3.80,1474.969,,9.770,9,19,37,,
T,2023-03-23 10:41:37,6.30612527,-75.55565911,3.79,1474.979,,10.600,8,19,37,,
T,2023-03-23 10:41:38,6.30622807,-75.55564237,3.79,1475.811,,11.490,7,19,37,,
T,2023-03-23 10:41:39,6.30633284,-75.55562449,3.79,1475.695,,11.640,7,19,37,,
T,2023-03-23 10:41:40,6.30643762,-75.55561327,3.79,1476.755,,11.880,7,19,37,,
T,2023-03-23 10:41:41,6.30653444,-75.55560143,3.93,1476.347,,10.980,8,19,37,,
T,2023-03-23 10:41:42,6.30663462,-75.55559097,5.01,1474.626,,10.870,14,19,37,,
T,2023-03-23 10:41:43,6.30665076,-75.55560326,4.31,1473.275,,5.820,353,19,37,,
T,2023-03-23 10:41:44,6.30668715,-75.55561555,4.33,1474.917,,5.500,332,19,37,,
T,2023-03-23 10:41:45,6.30672239,-75.55566684,4.10,1475.305,,6.480,304,19,36,,
T,2023-03-23 10:41:46,6.30675658,-75.55572325,4.12,1475.024,,7.460,290,19,37,,
T,2023-03-23 10:41:47,6.30677582,-75.55579091,4.34,1474.877,,7.360,282,19,37,,
T,2023-03-23 10:41:48,6.30678488,-75.55589444,3.87,1474.473,,10.400,280,19,37,,
T,2023-03-23 10:41:49,6.30680179,-75.55598878,3.81,1474.205,,11.400,283,18,37,,
T,2023-03-23 10:41:50,6.30682433,-75.55610142,3.79,1473.621,,12.280,281,18,37,,
T,2023-03-23 10:41:51,6.30684432,-75.55619000,3.79,1474.492,,10.090,283,17,37,,
T,2023-03-23 10:41:52,6.30686001,-75.55628502,3.79,1473.251,,10.400,282,20,37,,
T,2023-03-23 10:41:53,6.30688696,-75.55639585,3.79,1471.430,,12.300,281,20,37,,
