type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-03-23 19:59:15,6.30513307,-75.55424084,3.81,1502.045,,0.000,,15,36,20230323-145915,GPS Logger: 20230323-145915 - Santacruz -itmrobledo
T,2023-03-23 19:59:16,6.30514125,-75.55423831,3.82,1502.706,,1.160,15,15,36,,
T,2023-03-23 19:59:17,6.30514408,-75.55423716,3.79,1502.427,,0.180,13,15,36,,
T,2023-03-23 19:59:18,6.30514433,-75.55423676,3.79,1501.979,,0.330,28,14,36,,
T,2023-03-23 19:59:19,6.30514302,-75.55424182,3.79,1502.086,,0.470,259,14,36,,
T,2023-03-23 19:59:20,6.30512551,-75.55423754,3.79,1501.089,,0.000,,15,36,,
T,2023-03-23 19:59:21,6.30512164,-75.55423449,3.79,1500.979,,0.000,,16,36,,
T,2023-03-23 19:59:22,6.30512160,-75.55423325,3.93,1501.044,,0.000,,16,36,,
T,2023-03-23 19:59:23,6.30512103,-75.55423217,4.40,1500.957,,0.000,,16,36,,
T,2023-03-23 19:59:24,6.30512196,-75.55423054,4.56,1500.400,,0.000,,16,36,,
T,2023-03-23 19:59:25,6.30512327,-75.55423054,4.90,1500.184,,0.000,,15,36,,
T,2023-03-23 19:59:26,6.30512073,-75.55423383,5.03,1500.745,,0.000,,14,36,,
T,2023-03-23 19:59:27,6.30511546,-75.55423381,4.37,1500.620,,0.000,,14,36,,
T,2023-03-23 19:59:28,6.30511367,-75.55423583,4.14,1501.119,,0.000,,13,36,,
T,2023-03-23 19:59:29,6.30511320,-75.55423826,4.05,1501.822,,0.000,,15,36,,
T,2023-03-23 19:59:30,6.30511052,-75.55423949,4.07,1501.808,,0.000,,15,36,,
T,2023-03-23 19:59:31,6.30510664,-75.55423840,4.16,1501.498,,0.000,,15,36,,
T,2023-03-23 19:59:32,6.30510439,-75.55423787,4.18,1501.708,,0.000,,15,35,,
T,2023-03-23 19:59:33,6.30510352,-75.55423851,4.13,1501.862,,0.000,,15,36,,
T,2023-03-23 19:59:34,6.30510307,-75.55423903,4.20,1501.932,,0.000,,16,36,,
T,2023-03-23 19:59:35,6.30510271,-75.55423895,4.27,1501.918,,0.000,,16,36,,
T,2023-03-23 19:59:36,6.30510261,-75.55423885,4.56,1501.905,,0.000,,16,36,,
T,2023-03-23 19:59:37,6.30510255,-75.55423880,5.02,1501.906,,0.000,,16,36,,
