type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-03-23 23:07:26,6.27518333,-75.58724000,1.60,1553.394,23.906,0.090,258,24,40,20230323-180726,GPS Logger: 20230323-180726 - Apache1604v_ruta 1
T,2023-03-23 23:07:27,6.27518167,-75.58724000,1.50,1552.694,23.906,0.149,229,24,40,,
T,2023-03-23 23:07:28,6.27518500,-75.58724000,1.50,1551.894,23.906,0.091,233,23,40,,
T,2023-03-23 23:07:29,6.27518667,-75.58723833,1.50,1551.594,23.906,0.091,4,23,40,,
T,2023-03-23 23:07:30,6.27518833,-75.58723833,1.40,1551.094,23.906,0.079,15,22,40,,
T,2023-03-23 23:07:31,6.27519167,-75.58723667,1.50,1550.694,23.906,0.132,46,23,40,,
T,2023-03-23 23:07:32,6.27519333,-75.58723333,1.60,1550.294,23.906,0.158,45,22,40,,
T,2023-03-23 23:07:33,6.27519500,-75.58723000,1.60,1549.994,23.906,0.080,36,22,40,,
T,2023-03-23 23:07:34,6.27519333,-75.58723000,1.60,1549.794,23.906,0.102,234,22,40,,
T,2023-03-23 23:07:35,6.27519167,-75.58723000,1.70,1549.394,23.906,0.112,198,22,40,,
T,2023-03-23 23:07:36,6.27519167,-75.58723000,1.70,1549.094,23.906,0.113,154,22,40,,
T,2023-03-23 23:07:37,6.27519167,-75.58722833,1.70,1548.694,23.906,0.113,100,22,40,,
T,2023-03-23 23:07:38,6.27519333,-75.58722333,1.70,1548.594,23.906,0.130,89,22,40,,
T,2023-03-23 23:07:39,6.27519167,-75.58722000,1.70,1548.394,23.906,0.146,98,21,40,,
T,2023-03-23 23:07:40,6.27519000,-75.58721667,1.70,1548.294,23.906,0.162,103,20,40,,
T,2023-03-23 23:07:41,6.27518833,-75.58721500,1.80,1548.194,23.906,0.169,107,20,40,,
T,2023-03-23 23:07:42,6.27519000,-75.58721500,1.80,1547.994,23.906,0.169,91,20,40,,
T,2023-03-23 23:07:43,6.27517167,-75.58720833,2.70,1547.694,23.906,0.173,94,20,40,,
T,2023-03-23 23:07:44,6.27516833,-75.58720500,2.50,1547.594,23.906,0.180,98,20,40,,
T,2023-03-23 23:07:45,6.27515500,-75.58721000,3.00,1547.594,23.906,0.000,,23,40,,
T,2023-03-23 23:07:46,6.27515500,-75.58720333,2.50,1546.194,23.906,0.000,,23,40,,
T,2023-03-23 23:07:47,6.27515667,-75.58720667,2.40,1546.194,23.906,0.000,,24,40,,
T,2023-03-23 23:07:48,6.27515667,-75.58720667,2.20,1546.194,23.906,0.000,,24,40,,
T,2023-03-23 23:07:49,6.27515667,-75.58720667,2.10,1546.194,23.906,0.000,,24,40,,
T,2023-03-23 23:07:50,6.27515667,-75.58720667,2.10,1546.194,23.906,0.000,,24,40,,
T,2023-03-23 23:07:51,6.27515667,-75.58720667,2.10,1546.194,23.906,0.000,,24,40,,
T,2023-03-23 23:07:52,6.27515667,-75.58720667,2.10,1546.194,23.906,0.000,,24,40,,
T,2023-03-23 23:07:53,6.27515667,-75.58720667,2.10,1546.194,23.906,0.000,,24,40,,
T,2023-03-23 23:07:54,6.27515667,-75.58720667,2.10,1546.194,23.906,0.000,,24,40,,
T,2023-03-23 23:07:55,6.27515667,-75.58720667,2.10,1546.194,23.906,0.000,,24,40,,
T,2023-03-23 23:07:56,6.27515667,-75.58720667,2.10,1546.194,23.906,0.000,,24,40,,
T,2023-03-23 23:07:57,6.27515667,-75.58720667,2.10,1546.194,23.906,0.000,,24,40,,
T,2023-03-23 23:07:58,6.27515667,-75.58720667,2.10,1546.194,23.906,0.000,,23,40,,
T,2023-03-23 23:07:59,6.27515667,-75.58720667,2.00,1546.194,23.906,0.000,,23,40,,
T,2023-03-23 23:08:00,6.27515667,-75.58720667,2.00,1546.194,23.906,0.000,,23,40,,
T,2023-03-23 23:08:01,6.27515667,-75.58720667,2.00,1546.194,23.906,0.000,,23,40,,
T,2023-03-23 23:08:02,6.27515667,-75.58720667,2.00,1546.194,23.906,0.000,,24,40,,
T,2023-03-23 23:08:03,6.27515667,-75.58720667,2.00,1546.194,23.906,0.000,,24,40,,
T,2023-03-23 23:08:04,6.27515667,-75.58720667,2.00,1546.194,23.906,0.000,,24,40,,
T,2023-03-23 23:08:05,6.27515667,-75.58720667,2.00,1546.194,23.906,0.000,,24,40,,
T,2023-03-23 23:08:06,6.27515667,-75.58720667,2.00,1546.194,23.906,0.000,,24,40,,
