type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-03-24 12:12:58.131,6.16599333,-75.59677000,2.50,1528.423,24.177,3.571,50,22,44,20230324-071258,GPS Logger: 20230324-071258 - NMax_viaje_5
T,2023-03-24 12:13:00,6.16602833,-75.59672667,2.80,1527.523,24.177,4.953,48,23,44,,
T,2023-03-24 12:13:01,6.16605833,-75.59670667,2.60,1527.123,24.177,6.293,49,22,44,,
T,2023-03-24 12:13:02,6.16609833,-75.59667000,2.40,1528.024,24.176,6.518,49,22,44,,
T,2023-03-24 12:13:03,6.16614833,-75.59662667,2.40,1528.224,24.176,8.481,45,22,44,,
T,2023-03-24 12:13:04,6.16621667,-75.59657333,2.40,1528.624,24.176,9.064,44,21,44,,
T,2023-03-24 12:13:05,6.16629167,-75.59652167,2.40,1529.025,24.175,9.622,39,21,44,,
T,2023-03-24 12:13:06,6.16637167,-75.59646833,2.50,1529.025,24.175,10.363,33,21,44,,
T,2023-03-24 12:13:07,6.16644667,-75.59642000,2.30,1529.426,24.174,10.445,25,22,44,,
T,2023-03-24 12:13:08,6.16654500,-75.59638333,2.10,1529.126,24.174,11.722,21,23,44,,
T,2023-03-24 12:13:09,6.16665833,-75.59634333,2.20,1529.726,24.174,11.959,19,24,44,,
T,2023-03-24 12:13:10,6.16677167,-75.59629333,2.30,1529.627,24.173,11.689,18,23,44,,
T,2023-03-24 12:13:11,6.16686833,-75.59624667,2.50,1529.227,24.173,11.299,18,22,44,,
T,2023-03-24 12:13:12,6.16696333,-75.59619333,2.50,1529.428,24.172,10.622,19,20,44,,
T,2023-03-24 12:13:13,6.16704167,-75.59614833,2.50,1529.528,24.172,10.087,21,21,44,,
T,2023-03-24 12:13:14,6.16712167,-75.59611333,2.50,1529.529,24.171,9.895,19,21,44,,
T,2023-03-24 12:13:15,6.16720167,-75.59609333,2.60,1529.529,24.171,9.190,18,20,44,,
T,2023-03-24 12:13:16,6.16728000,-75.59608167,2.70,1529.429,24.171,7.684,18,19,44,,
T,2023-03-24 12:13:17,6.16733833,-75.59606667,2.60,1529.229,24.171,6.138,16,20,44,,
T,2023-03-24 12:13:18,6.16736667,-75.59606500,2.50,1529.629,24.171,4.791,18,20,44,,
T,2023-03-24 12:13:19,6.16741167,-75.59604833,2.30,1529.929,24.171,3.451,19,22,44,,
