type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-03-24 16:33:14.157,6.32958833,-75.48494500,4.60,2132.260,23.240,19.332,107,13,32,20230324-113314,GPS Logger: 20230324-113314 - Yamaha _Nmax155-viaje 2
T,2023-03-24 16:33:15.154,6.32951667,-75.48479667,3.30,2133.460,23.240,19.475,113,13,32,,
T,2023-03-24 16:33:16.157,6.32943167,-75.48464500,2.80,2136.661,23.239,19.201,120,14,32,,
T,2023-03-24 16:33:17.155,6.32932833,-75.48450500,2.70,2139.262,23.238,19.123,128,13,32,,
T,2023-03-24 16:33:18.155,6.32921167,-75.48437667,2.60,2141.762,23.238,19.151,135,13,32,,
T,2023-03-24 16:33:19.155,6.32908667,-75.48425833,2.40,2142.963,23.237,19.129,138,13,32,,
T,2023-03-24 16:33:20.158,6.32894667,-75.48412167,2.30,2141.463,23.237,19.073,139,13,32,,
T,2023-03-24 16:33:22,6.32871667,-75.48391167,2.60,2144.264,23.236,19.014,138,14,32,,
T,2023-03-24 16:33:23,6.32859000,-75.48379833,2.50,2143.364,23.236,18.995,138,13,32,,
T,2023-03-24 16:33:24,6.32846167,-75.48368333,2.40,2143.265,23.235,19.057,137,13,32,,
T,2023-03-24 16:33:25,6.32833500,-75.48356833,2.30,2143.365,23.235,18.883,137,13,32,,
T,2023-03-24 16:33:26,6.32821500,-75.48345167,2.30,2143.765,23.235,19.095,138,14,32,,
T,2023-03-24 16:33:27,6.32809000,-75.48334500,2.50,2143.966,23.234,19.040,138,13,32,,
T,2023-03-24 16:33:28,6.32795667,-75.48321500,2.40,2144.566,23.234,18.734,135,13,32,,
T,2023-03-24 16:33:29,6.32784833,-75.48308333,2.50,2145.867,23.233,18.773,129,13,32,,
T,2023-03-24 16:33:30,6.32775500,-75.48294167,2.40,2147.367,23.233,18.857,122,13,32,,
T,2023-03-24 16:33:31,6.32767333,-75.48278500,2.50,2146.968,23.232,18.383,116,13,32,,
T,2023-03-24 16:33:32,6.32761667,-75.48262333,2.40,2146.569,23.231,18.367,103,13,32,,
T,2023-03-24 16:33:33,6.32758833,-75.48245167,2.40,2147.170,23.230,18.201,91,12,32,,
T,2023-03-24 16:33:34,6.32759333,-75.48228667,2.40,2147.271,23.229,17.651,84,12,32,,
T,2023-03-24 16:33:35,6.32762167,-75.48213000,2.40,2147.272,23.228,18.035,77,13,32,,
T,2023-03-24 16:33:36,6.32767167,-75.48198000,2.40,2146.873,23.227,18.215,74,14,32,,
T,2023-03-24 16:33:37,6.32772333,-75.48182000,2.50,2148.874,23.226,18.347,73,14,32,,
T,2023-03-24 16:33:38,6.32778333,-75.48166667,2.40,2150.975,23.225,18.208,72,14,32,,
T,2023-03-24 16:33:39,6.32784333,-75.48150167,2.70,2152.276,23.224,18.200,70,14,32,,
T,2023-03-24 16:33:40,6.32789833,-75.48135167,2.80,2153.577,23.223,17.642,71,14,32,,
T,2023-03-24 16:33:41,6.32795500,-75.48120333,2.90,2154.378,23.222,17.250,67,14,32,,
T,2023-03-24 16:33:42,6.32802000,-75.48105667,3.00,2154.679,23.221,16.553,64,14,32,,
T,2023-03-24 16:33:43,6.32809333,-75.48093000,2.90,2155.580,23.220,16.825,62,14,32,,
T,2023-03-24 16:33:44,6.32817667,-75.48079333,3.00,2156.581,23.219,17.299,60,14,32,,
T,2023-03-24 16:33:45,6.32825500,-75.48066333,3.00,2156.882,23.218,16.922,59,15,32,,
T,2023-03-24 16:33:46,6.32834333,-75.48054000,2.90,2158.283,23.217,16.946,58,13,32,,
T,2023-03-24 16:33:47,6.32842500,-75.48042000,2.80,2159.784,23.216,16.160,57,14,32,,
T,2023-03-24 16:33:48,6.32850333,-75.48029667,2.80,2160.784,23.216,16.002,58,14,32,,
T,2023-03-24 16:33:49,6.32857833,-75.48016833,2.80,2161.885,23.215,16.104,61,13,32,,
T,2023-03-24 16:33:50,6.32864667,-75.48003333,3.10,2163.086,23.214,16.609,64,12,32,,
T,2023-03-24 16:33:51,6.32870500,-75.47989500,3.10,2164.487,23.213,16.940,68,12,32,,
T,2023-03-24 16:33:52,6.32875500,-75.47974667,3.20,2165.788,23.212,17.080,72,12,32,,
T,2023-03-24 16:33:53,6.32878667,-75.47959000,3.10,2166.789,23.211,17.739,77,12,32,,
T,2023-03-24 16:33:54,6.32879833,-75.47942667,3.30,2167.990,23.210,18.106,80,12,32,,
T,2023-03-24 16:33:55,6.32878500,-75.47925333,3.50,2168.791,23.209,18.198,86,12,32,,
T,2023-03-24 16:33:56,6.32877000,-75.47907833,3.50,2169.492,23.208,18.459,91,13,32,,
T,2023-03-24 16:33:57,6.32873500,-75.47889667,3.60,2170.193,23.207,18.849,95,13,32,,
T,2023-03-24 16:33:58,6.32868500,-75.47871833,3.70,2170.894,23.206,18.842,99,13,32,,
T,2023-03-24 16:33:59,6.32862833,-75.47855500,3.70,2171.995,23.205,18.803,101,11,32,,
T,2023-03-24 16:34:00,6.32855500,-75.47838833,3.90,2172.496,23.204,19.156,105,10,32,,
T,2023-03-24 16:34:01,6.32848000,-75.47823167,4.00,2174.197,23.203,18.922,109,9,32,,
T,2023-03-24 16:34:02,6.32835167,-75.47807333,4.00,2174.797,23.203,19.807,116,9,32,,
T,2023-03-24 16:34:03,6.32822000,-75.47792333,4.20,2174.998,23.202,20.271,121,9,32,,
T,2023-03-24 16:34:04,6.32809667,-75.47778500,4.30,2175.298,23.202,19.934,122,9,32,,
T,2023-03-24 16:34:05,6.32796167,-75.47765167,4.10,2175.799,23.201,19.937,124,9,32,,
T,2023-03-24 16:34:06,6.32784167,-75.47752000,3.90,2176.499,23.201,19.398,125,9,32,,
T,2023-03-24 16:34:07,6.32775167,-75.47739167,3.90,2178.200,23.200,19.307,128,7,31,,
T,2023-03-24 16:34:08,6.32765333,-75.47725333,3.90,2179.200,23.200,18.996,125,7,32,,
T,2023-03-24 16:34:09,6.32755000,-75.47711000,4.00,2180.201,23.199,19.363,127,7,32,,
T,2023-03-24 16:34:10,6.32745667,-75.47696833,4.10,2181.402,23.198,18.903,125,7,32,,
T,2023-03-24 16:34:11,6.32736667,-75.47682333,4.30,2182.902,23.198,18.884,124,7,32,,
T,2023-03-24 16:34:12,6.32726500,-75.47669833,4.50,2183.803,23.197,18.708,127,6,32,,
T,2023-03-24 16:34:13,6.32716500,-75.47657500,4.80,2184.703,23.197,18.229,127,5,32,,
T,2023-03-24 16:34:14,6.32706333,-75.47644667,5.10,2185.504,23.196,18.231,128,4,31,,
T,2023-03-24 16:34:15,6.32696500,-75.47631833,30.70,2185.704,23.196,18.008,127,3,31,,
T,2023-03-24 16:34:20,6.32649667,-75.47571167,78.70,2185.707,23.193,16.863,128,3,31,,
T,2023-03-24 16:34:21,6.32641000,-75.47560000,9.10,2185.607,23.193,16.643,128,4,31,,
T,2023-03-24 16:34:22,6.32631500,-75.47544333,9.20,2185.608,23.192,16.984,128,4,31,,
T,2023-03-24 16:34:23,6.32622167,-75.47532000,9.80,2185.608,23.192,17.225,124,6,31,,
T,2023-03-24 16:34:24,6.32621667,-75.47520333,9.20,2188.209,23.191,18.005,117,6,31,,
T,2023-03-24 16:34:25,6.32631333,-75.47479000,7.10,2196.112,23.188,18.791,113,6,32,,
T,2023-03-24 16:34:26,6.32631500,-75.47454500,6.00,2197.813,23.187,18.802,115,6,32,,
T,2023-03-24 16:34:27,6.32624500,-75.47438833,5.70,2199.814,23.186,18.961,116,6,32,,
T,2023-03-24 16:34:28,6.32614333,-75.47425833,5.50,2201.714,23.186,18.751,119,5,32,,
T,2023-03-24 16:34:29,6.32605333,-75.47412333,5.50,2203.415,23.185,18.520,121,5,32,,
T,2023-03-24 16:34:30,6.32594500,-75.47399833,5.50,2205.015,23.185,18.330,124,5,32,,
T,2023-03-24 16:34:31,6.32581833,-75.47388333,5.70,2206.216,23.184,18.136,128,5,31,,
T,2023-03-24 16:34:32,6.32571500,-75.47375333,6.10,2206.016,23.184,18.167,128,4,31,,
T,2023-03-24 16:34:33,6.32561833,-75.47363333,6.50,2205.217,23.183,17.282,128,4,31,,
T,2023-03-24 16:34:36,6.32532333,-75.47325667,7.10,2204.018,23.182,17.502,128,4,31,,
T,2023-03-24 16:34:37,6.32523167,-75.47312333,7.10,2202.919,23.181,17.516,126,4,31,,
T,2023-03-24 16:34:38,6.32511833,-75.47306167,5.50,2203.119,23.181,16.666,123,5,31,,
T,2023-03-24 16:34:39,6.32502167,-75.47291667,4.90,2201.219,23.181,17.123,113,5,31,,
T,2023-03-24 16:34:40,6.32496833,-75.47275500,4.60,2199.820,23.180,17.752,104,5,31,,
T,2023-03-24 16:34:41,6.32494000,-75.47257667,4.50,2200.021,23.179,18.252,102,5,31,,
T,2023-03-24 16:34:42,6.32493000,-75.47240167,4.50,2200.122,23.178,18.830,99,5,31,,
T,2023-03-24 16:34:43,6.32495333,-75.47223500,4.50,2199.923,23.177,18.916,94,5,32,,
T,2023-03-24 16:34:44,6.32498000,-75.47206333,4.60,2200.724,23.176,19.103,90,5,32,,
T,2023-03-24 16:34:45,6.32501667,-75.47190500,4.80,2201.025,23.175,18.878,87,5,32,,
T,2023-03-24 16:34:46,6.32503500,-75.47174167,5.10,2200.926,23.174,18.659,86,5,32,,
T,2023-03-24 16:34:47,6.32504000,-75.47157167,5.40,2201.027,23.173,18.653,87,4,32,,
T,2023-03-24 16:34:48,6.32502000,-75.47139833,5.60,2201.428,23.172,18.690,90,4,32,,
T,2023-03-24 16:34:49,6.32500667,-75.47123000,5.80,2201.629,23.171,18.905,92,4,31,,
T,2023-03-24 16:34:50,6.32498000,-75.47105667,6.10,2201.730,23.170,19.018,93,4,31,,
T,2023-03-24 16:34:51,6.32495167,-75.47088667,6.50,2201.231,23.169,18.878,95,4,31,,
T,2023-03-24 16:34:52,6.32491000,-75.47071500,6.80,2200.832,23.168,18.892,96,4,31,,
T,2023-03-24 16:34:53,6.32486667,-75.47055000,7.20,2200.233,23.167,18.676,98,4,31,,
T,2023-03-24 16:34:54,6.32482333,-75.47041000,7.40,2199.534,23.166,17.913,99,4,31,,
T,2023-03-24 16:34:55,6.32475500,-75.47025000,7.60,2198.834,23.166,18.032,102,4,31,,
T,2023-03-24 16:34:56,6.32470000,-75.47010333,7.80,2197.935,23.165,17.805,103,4,31,,
T,2023-03-24 16:34:57,6.32463500,-75.46996333,8.00,2197.336,23.164,17.641,105,4,31,,
T,2023-03-24 16:34:58,6.32451833,-75.46984667,7.80,2196.636,23.164,17.217,109,4,32,,
T,2023-03-24 16:34:59,6.32439167,-75.46971667,7.50,2196.237,23.163,17.239,112,4,32,,
T,2023-03-24 16:35:00,6.32429000,-75.46959500,7.50,2195.437,23.163,16.948,113,4,32,,
T,2023-03-24 16:35:01,6.32419500,-75.46945167,7.50,2194.638,23.162,17.610,112,4,32,,
T,2023-03-24 16:35:02,6.32412167,-75.46932833,7.50,2193.738,23.162,17.177,111,4,32,,
T,2023-03-24 16:35:03,6.32405667,-75.46920167,7.40,2192.839,23.161,17.208,109,4,32,,
T,2023-03-24 16:35:04,6.32377500,-75.46916167,6.90,2194.838,23.162,17.239,112,5,32,,
T,2023-03-24 16:35:05,6.32362167,-75.46902667,5.80,2195.739,23.161,17.381,114,5,32,,
T,2023-03-24 16:35:06,6.32350500,-75.46888667,5.20,2198.239,23.161,17.737,113,7,32,,
T,2023-03-24 16:35:07,6.32342667,-75.46869500,4.60,2203.240,23.160,18.624,112,7,32,,
T,2023-03-24 16:35:08,6.32335500,-75.46853000,4.00,2210.741,23.159,18.782,111,7,32,,
T,2023-03-24 16:35:09,6.32330167,-75.46838500,3.70,2213.642,23.158,18.258,109,7,32,,
T,2023-03-24 16:35:10,6.32325167,-75.46823500,3.70,2214.143,23.157,18.244,110,7,32,,
T,2023-03-24 16:35:11,6.32319333,-75.46807667,3.70,2214.543,23.157,18.978,111,7,32,,
T,2023-03-24 16:35:12,6.32313833,-75.46792333,3.70,2215.144,23.156,18.676,111,7,32,,
T,2023-03-24 16:35:13,6.32309000,-75.46777167,3.80,2216.845,23.155,18.790,113,8,32,,
T,2023-03-24 16:35:14,6.32304667,-75.46760833,3.70,2220.746,23.154,18.819,111,9,32,,
T,2023-03-24 16:35:15,6.32300167,-75.46745500,3.60,2223.247,23.153,18.446,110,10,32,,
T,2023-03-24 16:35:16,6.32293833,-75.46730167,3.60,2225.147,23.153,18.465,110,10,32,,
T,2023-03-24 16:35:17,6.32287500,-75.46714333,3.60,2226.948,23.152,19.116,112,10,32,,
T,2023-03-24 16:35:18,6.32281000,-75.46698167,3.70,2228.249,23.151,19.405,110,9,32,,
T,2023-03-24 16:35:19,6.32275000,-75.46681833,3.80,2229.550,23.150,19.667,110,8,32,,
T,2023-03-24 16:35:20,6.32269333,-75.46665500,3.70,2230.750,23.150,19.260,108,8,32,,
T,2023-03-24 16:35:21,6.32263000,-75.46649667,3.80,2231.251,23.149,19.366,108,8,32,,
T,2023-03-24 16:35:22,6.32256333,-75.46633167,3.70,2231.552,23.148,19.193,110,7,32,,
T,2023-03-24 16:35:23,6.32250000,-75.46617167,3.70,2231.853,23.147,19.016,109,7,32,,
T,2023-03-24 16:35:24,6.32243833,-75.46602167,3.80,2232.454,23.146,18.328,110,7,31,,
T,2023-03-24 16:35:25,6.32237500,-75.46587667,3.70,2236.354,23.146,18.929,110,8,31,,
T,2023-03-24 16:35:26,6.32231667,-75.46572667,3.80,2236.855,23.145,19.031,110,8,31,,
T,2023-03-24 16:35:27,6.32226167,-75.46558167,3.90,2237.556,23.144,18.564,113,8,31,,
T,2023-03-24 16:35:28,6.32219833,-75.46544000,4.00,2238.356,23.144,18.306,114,8,31,,
T,2023-03-24 16:35:29,6.32213667,-75.46528167,3.90,2239.857,23.143,18.725,112,8,31,,
T,2023-03-24 16:35:30,6.32208000,-75.46511667,4.00,2241.558,23.142,19.084,110,8,31,,
T,2023-03-24 16:35:31,6.32202333,-75.46494833,4.00,2242.859,23.141,18.331,112,8,31,,
T,2023-03-24 16:35:32,6.32196333,-75.46481333,3.80,2247.359,23.141,19.294,114,7,31,,
T,2023-03-24 16:35:33,6.32188000,-75.46465833,3.70,2248.760,23.140,19.756,116,7,31,,
T,2023-03-24 16:35:34,6.32177667,-75.46450000,3.60,2248.461,23.139,19.885,118,7,31,,
T,2023-03-24 16:35:35,6.32167667,-75.46434500,3.60,2248.761,23.139,19.592,120,7,32,,
T,2023-03-24 16:35:36,6.32158333,-75.46420167,3.80,2248.762,23.138,19.049,121,7,32,,
T,2023-03-24 16:35:37,6.32148000,-75.46406833,3.90,2248.863,23.137,18.796,124,7,32,,
T,2023-03-24 16:35:38,6.32137667,-75.46394500,4.10,2249.063,23.137,18.115,126,6,32,,
T,2023-03-24 16:35:39,6.32126000,-75.46382833,4.30,2249.163,23.137,17.828,128,6,32,,
T,2023-03-24 16:35:40,6.32113667,-75.46372667,4.50,2249.064,23.136,17.627,132,5,32,,
T,2023-03-24 16:35:41,6.32103167,-75.46362500,5.10,2248.964,23.136,16.886,133,4,31,,
T,2023-03-24 16:35:42,6.32092667,-75.46351500,6.00,2248.865,23.135,16.858,142,4,32,,
T,2023-03-24 16:35:43,6.32078833,-75.46343833,6.60,2248.465,23.135,17.469,148,4,32,,
T,2023-03-24 16:35:44,6.32062000,-75.46338667,7.80,2248.065,23.135,18.239,154,4,32,,
T,2023-03-24 16:35:45,6.32040000,-75.46340167,8.60,2247.764,23.136,19.565,165,4,32,,
T,2023-03-24 16:35:46,6.32010667,-75.46345333,9.10,2247.463,23.137,22.316,174,4,32,,
T,2023-03-24 16:35:47,6.31980000,-75.46354000,9.40,2247.262,23.138,24.595,180,4,32,,
T,2023-03-24 16:35:48,6.31949833,-75.46355167,93.80,2247.961,23.139,26.720,181,3,31,,
T,2023-03-24 16:35:50,6.31907833,-75.46379333,9.50,2248.358,23.142,26.967,189,4,31,,
T,2023-03-24 16:35:51,6.31875333,-75.46394500,6.60,2251.357,23.143,28.165,192,5,31,,
T,2023-03-24 16:35:52,6.31847833,-75.46407167,5.70,2253.155,23.145,28.154,192,5,31,,
T,2023-03-24 16:35:53,6.31821500,-75.46416167,5.00,2254.154,23.146,28.482,192,6,31,,
T,2023-03-24 16:35:54,6.31793667,-75.46423333,4.80,2255.753,23.147,28.877,192,6,31,,
T,2023-03-24 16:35:55,6.31767167,-75.46426667,4.60,2256.652,23.148,28.663,190,6,31,,
T,2023-03-24 16:35:56,6.31741667,-75.46427333,4.60,2257.152,23.148,28.548,188,6,31,,
T,2023-03-24 16:35:57,6.31715667,-75.46424667,4.60,2257.951,23.149,28.441,184,6,32,,
T,2023-03-24 16:35:58,6.31691667,-75.46416333,4.80,2258.051,23.149,27.956,178,6,32,,
T,2023-03-24 16:35:59,6.31674167,-75.46405833,4.90,2261.651,23.149,26.446,171,6,32,,
T,2023-03-24 16:36:00,6.31652500,-75.46392500,4.60,2262.051,23.149,26.472,166,5,32,,
T,2023-03-24 16:36:01,6.31627833,-75.46385167,4.80,2261.951,23.149,27.476,165,4,32,,
T,2023-03-24 16:36:02,6.31604000,-75.46378333,5.10,2261.551,23.149,27.468,165,4,32,,
T,2023-03-24 16:36:03,6.31579167,-75.46365000,5.00,2262.251,23.149,28.014,162,5,31,,
T,2023-03-24 16:36:04,6.31554500,-75.46351667,4.90,2263.251,23.149,28.401,159,5,31,,
T,2023-03-24 16:36:05,6.31529333,-75.46338833,4.80,2264.152,23.148,28.963,158,5,31,,
T,2023-03-24 16:36:06,6.31499833,-75.46325500,4.20,2269.352,23.148,29.542,156,5,32,,
T,2023-03-24 16:36:07,6.31472000,-75.46315333,4.00,2276.952,23.148,29.332,156,5,32,,
T,2023-03-24 16:36:08,6.31452500,-75.46306167,3.80,2271.652,23.148,28.345,154,7,32,,
T,2023-03-24 16:36:09,6.31429667,-75.46292167,3.70,2269.952,23.148,28.663,149,7,32,,
T,2023-03-24 16:36:10,6.31408167,-75.46278000,3.70,2268.852,23.148,28.857,149,7,32,,
T,2023-03-24 16:36:11,6.31389833,-75.46262000,3.80,2267.953,23.147,26.846,142,7,32,,
T,2023-03-24 16:36:12,6.31371167,-75.46245833,3.80,2266.853,23.147,26.540,141,7,31,,
T,2023-03-24 16:36:13,6.31355333,-75.46229167,3.80,2264.854,23.146,26.129,139,7,31,,
T,2023-03-24 16:36:14,6.31340333,-75.46208500,3.60,2251.155,23.145,25.357,138,7,31,,
T,2023-03-24 16:36:15,6.31325333,-75.46190167,3.50,2242.655,23.145,24.726,136,7,31,,
T,2023-03-24 16:36:16,6.31308833,-75.46173333,3.50,2240.956,23.144,25.138,135,5,31,,
T,2023-03-24 16:36:17,6.31292500,-75.46156833,3.70,2240.256,23.144,25.492,135,5,31,,
T,2023-03-24 16:36:18,6.31275833,-75.46140833,4.00,2240.157,23.143,25.797,137,4,31,,
T,2023-03-24 16:36:19,6.31259667,-75.46127167,4.10,2239.457,23.143,25.359,137,5,31,,
T,2023-03-24 16:36:20,6.31242833,-75.46111500,4.40,2239.658,23.142,25.371,140,5,31,,
T,2023-03-24 16:36:21,6.31225333,-75.46099167,4.70,2238.058,23.142,24.779,145,5,31,,
T,2023-03-24 16:36:22,6.31206833,-75.46089333,4.80,2236.658,23.142,24.231,148,5,31,,
T,2023-03-24 16:36:23,6.31187167,-75.46082000,4.70,2235.858,23.142,23.841,153,5,31,,
T,2023-03-24 16:36:24,6.31166500,-75.46074167,5.00,2235.458,23.142,23.990,155,5,31,,
T,2023-03-24 16:36:25,6.31144167,-75.46068833,5.00,2234.858,23.142,24.396,158,5,31,,
T,2023-03-24 16:36:26,6.31123500,-75.46061500,5.20,2234.858,23.142,24.276,158,4,31,,
T,2023-03-24 16:36:27,6.31103000,-75.46052167,5.40,2234.758,23.142,24.405,157,4,31,,
T,2023-03-24 16:36:28,6.31081000,-75.46042500,5.70,2234.558,23.142,25.297,157,4,31,,
T,2023-03-24 16:36:29,6.31057833,-75.46032667,6.10,2234.458,23.142,26.244,157,4,31,,
T,2023-03-24 16:36:30,6.31034500,-75.46022667,6.40,2234.358,23.142,27.045,156,4,31,,
T,2023-03-24 16:36:31,6.31007167,-75.46015667,6.60,2233.958,23.142,27.998,157,4,31,,
T,2023-03-24 16:36:32,6.30980500,-75.46009833,6.70,2233.457,23.143,28.484,158,4,31,,
T,2023-03-24 16:36:33,6.30950667,-75.46007333,6.10,2232.557,23.143,28.787,160,5,31,,
T,2023-03-24 16:36:34,6.30919000,-75.46009333,5.30,2232.156,23.144,28.504,161,5,31,,
T,2023-03-24 16:36:35,6.30890833,-75.46004167,4.90,2230.656,23.144,29.103,161,6,31,,
T,2023-03-24 16:36:36,6.30864167,-75.45992833,4.90,2228.556,23.144,29.859,159,5,31,,
T,2023-03-24 16:36:37,6.30838167,-75.45982000,4.90,2226.356,23.144,29.899,160,7,31,,
T,2023-03-24 16:36:38,6.30810833,-75.45970333,4.90,2223.456,23.144,30.611,160,7,31,,
T,2023-03-24 16:36:39,6.30782833,-75.45958000,5.00,2220.956,23.144,30.972,160,7,31,,
T,2023-03-24 16:36:40,6.30755833,-75.45945167,5.00,2218.256,23.144,31.090,159,7,31,,
T,2023-03-24 16:36:41,6.30728167,-75.45935833,5.00,2214.256,23.144,30.641,161,7,31,,
