type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-03-25 01:31:43.354,6.24446833,-75.56245667,7.70,1224.754,23.846,0.000,,6,47,20230324-203143,GPS Logger: 20230324-203143 - Ecci- Casa-TVS
T,2023-03-25 01:31:44.235,6.24505000,-75.56277000,94.30,1342.854,23.846,0.000,,6,47,,
T,2023-03-25 01:31:46,6.24524167,-75.56290167,8.60,1405.254,23.846,0.000,,6,47,,
T,2023-03-25 01:31:47,6.24524167,-75.56290167,8.00,1405.254,23.846,0.000,,7,47,,
T,2023-03-25 01:31:48,6.24538833,-75.56299500,7.70,1449.153,23.847,0.000,,10,47,,
T,2023-03-25 01:31:49,6.24544500,-75.56302333,6.90,1461.353,23.847,0.000,,11,47,,
T,2023-03-25 01:31:50,6.24548000,-75.56303833,6.40,1468.953,23.847,0.000,,11,47,,
T,2023-03-25 01:31:51,6.24549167,-75.56304667,6.10,1472.653,23.847,0.000,,12,47,,
T,2023-03-25 01:31:52,6.24549167,-75.56304667,5.80,1472.653,23.847,0.000,,11,47,,
T,2023-03-25 01:31:53,6.24549167,-75.56304667,5.50,1472.653,23.847,0.000,,11,47,,
T,2023-03-25 01:31:54,6.24549167,-75.56304667,5.40,1472.653,23.847,0.000,,11,47,,
T,2023-03-25 01:31:55,6.24549167,-75.56304667,5.20,1472.653,23.847,0.000,,12,47,,
T,2023-03-25 01:31:56,6.24549167,-75.56304667,5.10,1472.653,23.847,0.000,,12,47,,
T,2023-03-25 01:31:57,6.24549167,-75.56304667,5.00,1472.653,23.847,0.000,,15,47,,
T,2023-03-25 01:31:58,6.24549167,-75.56304667,4.80,1472.653,23.847,0.000,,17,47,,
T,2023-03-25 01:31:59,6.24557333,-75.56310167,4.50,1497.753,23.847,0.534,307,18,47,,
T,2023-03-25 01:32:00,6.24554167,-75.56310167,3.50,1501.253,23.847,0.672,287,19,47,,
T,2023-03-25 01:32:01,6.24553500,-75.56312000,3.20,1499.753,23.847,0.790,261,20,47,,
T,2023-03-25 01:32:02,6.24549333,-75.56313333,2.90,1495.853,23.847,0.920,224,21,47,,
T,2023-03-25 01:32:03,6.24548000,-75.56313667,2.70,1496.053,23.847,1.027,209,21,47,,
T,2023-03-25 01:32:04,6.24546333,-75.56314167,2.70,1496.853,23.847,1.159,207,21,47,,
T,2023-03-25 01:32:05,6.24543833,-75.56315500,2.70,1495.653,23.847,1.395,211,20,47,,
T,2023-03-25 01:32:06,6.24540500,-75.56317667,2.70,1494.753,23.847,1.718,215,20,47,,
T,2023-03-25 01:32:07,6.24537833,-75.56320000,2.60,1494.452,23.848,2.039,214,20,47,,
T,2023-03-25 01:32:08,6.24534000,-75.56321000,2.60,1494.552,23.848,2.274,204,21,47,,
T,2023-03-25 01:32:09,6.24530333,-75.56323333,2.50,1494.252,23.848,2.473,207,21,47,,
T,2023-03-25 01:32:10,6.24527667,-75.56324500,2.60,1493.852,23.848,2.575,209,20,47,,
T,2023-03-25 01:32:11,6.24525167,-75.56323833,2.60,1492.852,23.848,2.624,208,21,47,,
