type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-03-25 14:08:34,6.30484500,-75.57994000,6.40,1736.300,23.800,0.237,341,15,42,20230325-090834,GPS Logger: 20230325-090834 - Casa-Flores-Manrique TVS
T,2023-03-25 14:08:35,6.30490333,-75.57987167,4.50,1730.101,23.799,0.086,15,16,42,,
T,2023-03-25 14:08:36,6.30491833,-75.57983167,3.10,1733.501,23.799,0.091,302,18,42,,
T,2023-03-25 14:08:37,6.30492500,-75.57982833,2.60,1735.001,23.799,0.116,338,23,42,,
T,2023-03-25 14:08:38,6.30491167,-75.57983833,2.30,1733.601,23.799,0.176,313,24,42,,
T,2023-03-25 14:08:39,6.30492167,-75.57983667,2.30,1734.001,23.799,0.000,,21,42,,
T,2023-03-25 14:08:40,6.30492167,-75.57983833,2.30,1733.901,23.799,0.000,,21,42,,
T,2023-03-25 14:08:41,6.30492500,-75.57983667,2.40,1734.201,23.799,0.000,,23,42,,
T,2023-03-25 14:08:42,6.30493333,-75.57983167,2.50,1734.301,23.799,0.000,,20,42,,
T,2023-03-25 14:08:43,6.30494333,-75.57983167,2.70,1734.501,23.799,0.000,,12,42,,
T,2023-03-25 14:08:44,6.30496167,-75.57983833,2.90,1734.701,23.799,0.000,,12,42,,
T,2023-03-25 14:08:45,6.30497000,-75.57984500,3.10,1734.701,23.799,0.000,,9,41,,
T,2023-03-25 14:08:46,6.30497000,-75.57984500,3.40,1734.701,23.799,0.000,,8,41,,
T,2023-03-25 14:08:47,6.30498500,-75.57985333,3.60,1734.701,23.799,0.000,,8,41,,
T,2023-03-25 14:08:48,6.30499000,-75.57986000,3.80,1734.701,23.799,0.000,,9,41,,
T,2023-03-25 14:08:49,6.30499167,-75.57986667,4.00,1734.601,23.799,0.000,,8,41,,
T,2023-03-25 14:08:50,6.30499167,-75.57987167,4.10,1734.501,23.799,0.000,,5,41,,
T,2023-03-25 14:08:51,6.30498333,-75.57987333,4.30,1734.401,23.799,0.000,,4,41,,
T,2023-03-25 14:08:52,6.30496333,-75.57987667,4.40,1734.301,23.799,0.000,,5,41,,
T,2023-03-25 14:08:53,6.30493000,-75.57989500,4.50,1734.200,23.800,0.000,,6,41,,
T,2023-03-25 14:08:54,6.30490000,-75.57991833,4.60,1734.100,23.800,0.000,,6,41,,
T,2023-03-25 14:08:55,6.30487333,-75.57993000,4.70,1734.000,23.800,0.000,,7,41,,
T,2023-03-25 14:08:56,6.30484667,-75.57994500,4.80,1733.800,23.800,0.000,,6,41,,
T,2023-03-25 14:08:57,6.30481833,-75.57996500,4.90,1733.600,23.800,0.000,,6,41,,
T,2023-03-25 14:08:58,6.30479333,-75.57998500,5.00,1733.500,23.800,0.000,,7,41,,
T,2023-03-25 14:08:59,6.30476333,-75.57999667,5.10,1733.400,23.800,0.000,,9,41,,
T,2023-03-25 14:09:00,6.30474333,-75.58000667,5.10,1733.399,23.801,0.000,,9,41,,
T,2023-03-25 14:09:01,6.30472167,-75.58002000,5.20,1733.299,23.801,0.000,,8,41,,
T,2023-03-25 14:09:02,6.30469667,-75.58005667,5.30,1733.399,23.801,0.000,,8,41,,
T,2023-03-25 14:09:03,6.30462333,-75.58008500,5.30,1733.299,23.801,0.000,,9,41,,
T,2023-03-25 14:09:04,6.30454167,-75.58007500,5.30,1732.799,23.801,0.000,,10,41,,
T,2023-03-25 14:09:05,6.30438500,-75.58005000,5.10,1732.698,23.802,0.000,,12,41,,
T,2023-03-25 14:09:06,6.30426667,-75.58001000,4.80,1732.598,23.802,0.000,,14,41,,
T,2023-03-25 14:09:07,6.30419667,-75.58001167,4.70,1732.398,23.802,0.000,,14,41,,
T,2023-03-25 14:09:08,6.30407333,-75.57997500,4.20,1731.698,23.802,0.000,,13,41,,
T,2023-03-25 14:09:09,6.30401333,-75.57998667,4.20,1731.398,23.802,0.000,,13,41,,
T,2023-03-25 14:09:10,6.30395833,-75.57999667,4.20,1731.098,23.802,0.000,,13,41,,
T,2023-03-25 14:09:11,6.30391000,-75.58000500,4.20,1730.798,23.802,0.000,,13,41,,
T,2023-03-25 14:09:12,6.30386667,-75.58001500,4.20,1730.497,23.803,4.516,187,11,41,,
T,2023-03-25 14:09:13,6.30382500,-75.58003333,4.30,1730.297,23.803,4.603,192,11,41,,
T,2023-03-25 14:09:14,6.30378333,-75.58003833,4.30,1730.297,23.803,4.669,191,13,41,,
T,2023-03-25 14:09:15,6.30372167,-75.58007000,4.00,1729.497,23.803,4.657,195,12,41,,
T,2023-03-25 14:09:16,6.30368167,-75.58009167,4.00,1729.197,23.803,4.594,197,13,41,,
T,2023-03-25 14:09:17,6.30363500,-75.58010500,4.00,1728.696,23.804,4.547,198,13,41,,
T,2023-03-25 14:09:18,6.30358167,-75.58012500,4.00,1728.196,23.804,4.537,195,12,41,,
T,2023-03-25 14:09:19,6.30353333,-75.58014333,4.10,1727.796,23.804,4.500,195,13,41,,
T,2023-03-25 14:09:20,6.30348000,-75.58015833,4.10,1727.796,23.804,4.548,193,14,41,,
T,2023-03-25 14:09:21,6.30342667,-75.58016833,4.20,1727.696,23.804,4.619,191,14,41,,
T,2023-03-25 14:09:22,6.30337833,-75.58017833,4.20,1727.795,23.805,4.707,191,15,41,,
T,2023-03-25 14:09:23,6.30333167,-75.58018833,4.20,1727.695,23.805,4.814,194,15,41,,
T,2023-03-25 14:09:24,6.30329333,-75.58019833,4.30,1727.595,23.805,4.858,194,14,41,,
T,2023-03-25 14:09:25,6.30324500,-75.58024333,4.20,1728.795,23.805,4.943,195,14,41,,
T,2023-03-25 14:09:26,6.30320000,-75.58024333,4.30,1728.795,23.805,5.105,180,12,41,,
T,2023-03-25 14:09:27,6.30315833,-75.58022500,4.40,1728.895,23.805,5.198,172,12,41,,
T,2023-03-25 14:09:28,6.30311333,-75.58022167,4.50,1728.995,23.805,5.185,168,11,41,,
T,2023-03-25 14:09:29,6.30307667,-75.58020500,4.60,1728.895,23.805,5.161,155,11,42,,
T,2023-03-25 14:09:30,6.30304667,-75.58019167,4.50,1728.695,23.805,5.054,157,12,42,,
T,2023-03-25 14:09:31,6.30303667,-75.58017333,4.40,1730.595,23.805,0.000,,11,42,,
T,2023-03-25 14:09:32,6.30298333,-75.58016000,4.50,1730.795,23.805,0.000,,10,42,,
T,2023-03-25 14:09:33,6.30293333,-75.58014000,4.60,1730.995,23.805,0.000,,9,42,,
T,2023-03-25 14:09:34,6.30287833,-75.58011833,4.70,1730.895,23.805,0.000,,8,42,,
T,2023-03-25 14:09:35,6.30284167,-75.58009167,4.90,1730.695,23.805,0.000,,9,42,,
T,2023-03-25 14:09:36,6.30280833,-75.58006667,5.00,1730.495,23.805,0.000,,8,42,,
T,2023-03-25 14:09:37,6.30276833,-75.58006167,5.20,1730.395,23.805,0.000,,8,42,,
T,2023-03-25 14:09:38,6.30271167,-75.58006500,5.30,1730.295,23.805,0.000,,9,41,,
