type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-03-25 18:38:40,6.30552667,-75.58113167,2.10,1762.695,23.805,0.153,72,20,40,20230325-133840,GPS Logger: 20230325-133840 - Casa-Castilla-Casa TVS
T,2023-03-25 18:38:41,6.30553000,-75.58112333,2.10,1762.895,23.805,0.295,83,20,40,,
T,2023-03-25 18:38:42,6.30552833,-75.58111833,2.00,1762.896,23.804,0.246,76,21,40,,
T,2023-03-25 18:38:43,6.30552833,-75.58111167,2.00,1762.996,23.804,0.264,75,21,40,,
T,2023-03-25 18:38:44,6.30553000,-75.58110000,2.00,1763.096,23.804,0.329,73,21,40,,
T,2023-03-25 18:38:45,6.30553000,-75.58108833,2.00,1763.096,23.804,0.386,73,20,40,,
T,2023-03-25 18:38:46,6.30552833,-75.58107667,2.00,1763.196,23.804,0.396,81,20,40,,
T,2023-03-25 18:38:47,6.30552833,-75.58107000,2.00,1763.196,23.804,0.365,83,23,40,,
T,2023-03-25 18:38:48,6.30552833,-75.58106500,1.90,1763.296,23.804,0.305,92,24,40,,
T,2023-03-25 18:38:49,6.30552667,-75.58106000,1.90,1763.496,23.804,0.592,91,24,40,,
T,2023-03-25 18:38:50,6.30552667,-75.58105667,1.90,1763.596,23.804,0.316,68,24,40,,
T,2023-03-25 18:38:51,6.30552667,-75.58105500,1.80,1763.796,23.804,0.310,68,25,40,,
T,2023-03-25 18:38:52,6.30552833,-75.58105167,1.80,1763.896,23.804,0.303,65,25,40,,
T,2023-03-25 18:38:53,6.30552833,-75.58105000,1.70,1763.996,23.804,0.289,53,25,40,,
T,2023-03-25 18:38:54,6.30552833,-75.58105000,1.70,1763.996,23.804,0.263,70,23,40,,
T,2023-03-25 18:38:55,6.30552833,-75.58105000,1.70,1764.096,23.804,0.229,92,24,40,,
T,2023-03-25 18:38:56,6.30552667,-75.58105167,1.70,1764.196,23.804,0.194,192,23,40,,
T,2023-03-25 18:38:57,6.30552333,-75.58105333,1.70,1764.096,23.804,0.165,209,25,40,,
T,2023-03-25 18:38:58,6.30552500,-75.58105333,1.70,1764.196,23.804,0.137,239,24,40,,
T,2023-03-25 18:38:59,6.30552333,-75.58105500,1.60,1764.196,23.804,0.112,248,24,40,,
T,2023-03-25 18:39:00,6.30552167,-75.58105500,1.60,1764.196,23.804,0.093,228,25,40,,
T,2023-03-25 18:39:01,6.30552000,-75.58105667,1.60,1764.196,23.804,0.000,,25,40,,
