type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-03-26 18:43:00,6.16549667,-75.59722000,1.90,1570.020,24.180,0.167,292,19,41,20230326-134300,GPS Logger: 20230326-134300 - Nmax_viaje_7
T,2023-03-26 18:43:01,6.16550000,-75.59722333,1.80,1569.820,24.180,0.166,302,19,41,,
T,2023-03-26 18:43:02,6.16550333,-75.59722500,1.80,1569.520,24.180,0.161,319,20,41,,
T,2023-03-26 18:43:03,6.16550333,-75.59722500,1.70,1569.120,24.180,0.168,330,20,41,,
T,2023-03-26 18:43:04,6.16550333,-75.59722833,1.70,1569.020,24.180,0.169,305,21,41,,
T,2023-03-26 18:43:05,6.16550333,-75.59723167,1.70,1568.920,24.180,0.163,269,21,41,,
T,2023-03-26 18:43:06,6.16550000,-75.59723333,1.70,1568.720,24.180,0.159,266,20,41,,
T,2023-03-26 18:43:07,6.16550167,-75.59723333,1.70,1568.620,24.180,0.000,,22,41,,
T,2023-03-26 18:43:08,6.16550333,-75.59723500,1.70,1568.320,24.180,0.000,,19,41,,
T,2023-03-26 18:43:09,6.16550500,-75.59723667,1.70,1568.020,24.180,0.000,,18,41,,
T,2023-03-26 18:43:10,6.16550500,-75.59723667,1.70,1568.020,24.180,0.000,,19,41,,
T,2023-03-26 18:43:11,6.16550500,-75.59723667,1.70,1568.020,24.180,0.000,,20,41,,
T,2023-03-26 18:43:12,6.16550500,-75.59723667,1.70,1568.020,24.180,0.000,,20,41,,
T,2023-03-26 18:43:13,6.16550500,-75.59723667,1.70,1568.020,24.180,0.000,,21,41,,
T,2023-03-26 18:43:14,6.16550500,-75.59723667,1.70,1568.020,24.180,0.000,,20,41,,
T,2023-03-26 18:43:15,6.16551500,-75.59724000,1.80,1566.620,24.180,0.271,34,21,41,,
T,2023-03-26 18:43:16,6.16552667,-75.59723000,1.70,1566.320,24.180,0.467,28,21,41,,
T,2023-03-26 18:43:17,6.16554500,-75.59721667,1.80,1566.220,24.180,0.726,25,21,41,,
T,2023-03-26 18:43:18,6.16557000,-75.59720500,1.90,1566.220,24.180,1.110,16,21,41,,
T,2023-03-26 18:43:19,6.16560833,-75.59718667,1.90,1566.120,24.180,1.571,27,22,41,,
T,2023-03-26 18:43:20,6.16564833,-75.59716167,2.20,1566.220,24.180,2.075,35,22,41,,
T,2023-03-26 18:43:21,6.16570333,-75.59712000,2.10,1565.621,24.179,7.135,40,21,41,,
T,2023-03-26 18:43:22,6.16575500,-75.59706500,2.10,1564.921,24.179,8.022,45,20,41,,
T,2023-03-26 18:43:23,6.16581000,-75.59700500,2.10,1564.221,24.179,8.140,45,19,41,,
T,2023-03-26 18:43:24,6.16586500,-75.59694667,2.00,1563.122,24.178,8.027,48,21,41,,
T,2023-03-26 18:43:25,6.16591167,-75.59689333,1.90,1562.422,24.178,7.700,49,21,41,,
T,2023-03-26 18:43:26,6.16595667,-75.59684667,1.90,1562.222,24.178,6.456,46,21,41,,
T,2023-03-26 18:43:27,6.16599333,-75.59680333,1.80,1561.723,24.177,5.902,46,23,41,,
T,2023-03-26 18:43:28,6.16602500,-75.59676833,1.80,1561.223,24.177,4.288,42,23,41,,
T,2023-03-26 18:43:29,6.16605000,-75.59674000,1.70,1561.123,24.177,3.748,41,23,41,,
T,2023-03-26 18:43:30,6.16607167,-75.59671167,1.70,1560.923,24.177,3.866,51,24,41,,
T,2023-03-26 18:43:31,6.16609167,-75.59668333,1.60,1561.424,24.176,3.639,53,24,41,,
T,2023-03-26 18:43:32,6.16611000,-75.59666000,1.60,1561.024,24.176,3.268,51,24,41,,
T,2023-03-26 18:43:33,6.16612667,-75.59663833,1.70,1560.924,24.176,2.861,49,23,41,,
T,2023-03-26 18:43:34,6.16614167,-75.59662167,1.80,1560.924,24.176,2.475,40,23,41,,
T,2023-03-26 18:43:35,6.16616500,-75.59660333,1.90,1561.024,24.176,3.702,38,23,41,,
T,2023-03-26 18:43:36,6.16619833,-75.59657667,1.90,1560.824,24.176,5.491,42,23,41,,
T,2023-03-26 18:43:37,6.16624000,-75.59653833,1.90,1560.625,24.175,6.770,44,23,41,,
T,2023-03-26 18:43:38,6.16629333,-75.59649333,1.90,1560.325,24.175,7.864,44,23,41,,
T,2023-03-26 18:43:39,6.16635000,-75.59644333,1.90,1560.125,24.175,8.541,43,22,41,,
T,2023-03-26 18:43:40,6.16641000,-75.59639000,1.90,1560.126,24.174,8.711,42,23,41,,
T,2023-03-26 18:43:41,6.16648000,-75.59634833,1.80,1559.826,24.174,8.704,30,23,41,,
