type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-03-27 14:41:14,6.30548667,-75.58106833,2.00,1740.896,23.804,0.000,,27,42,20230327-094114,GPS Logger: 20230327-094114 - Casa-EAFIT TVS
T,2023-03-27 14:41:15,6.30548667,-75.58106833,1.70,1740.896,23.804,0.000,,27,42,,
T,2023-03-27 14:41:16,6.30548667,-75.58106833,1.60,1740.896,23.804,0.000,,28,42,,
T,2023-03-27 14:41:17,6.30548667,-75.58106833,1.70,1740.896,23.804,0.000,,29,44,,
T,2023-03-27 14:41:18,6.30548667,-75.58106833,1.70,1740.896,23.804,0.000,,28,44,,
T,2023-03-27 14:41:19,6.30548667,-75.58106833,1.80,1740.896,23.804,0.000,,28,44,,
T,2023-03-27 14:41:20,6.30548667,-75.58106833,2.00,1740.896,23.804,0.000,,27,44,,
T,2023-03-27 14:41:21,6.30548667,-75.58106833,2.10,1740.896,23.804,0.000,,27,44,,
T,2023-03-27 14:41:22,6.30547333,-75.58106333,2.30,1741.096,23.804,0.000,,27,44,,
T,2023-03-27 14:41:23,6.30547333,-75.58106667,2.30,1741.196,23.804,0.227,260,27,44,,
T,2023-03-27 14:41:24,6.30547500,-75.58107333,2.20,1741.296,23.804,0.000,,28,44,,
T,2023-03-27 14:41:25,6.30547667,-75.58107333,2.10,1741.496,23.804,0.000,,27,44,,
T,2023-03-27 14:41:26,6.30548000,-75.58108000,2.10,1741.496,23.804,0.000,,25,44,,
T,2023-03-27 14:41:27,6.30548000,-75.58108000,2.00,1741.496,23.804,0.000,,23,44,,
T,2023-03-27 14:41:28,6.30548000,-75.58108000,2.00,1741.496,23.804,0.000,,25,44,,
T,2023-03-27 14:41:29,6.30548000,-75.58108000,2.00,1741.496,23.804,0.000,,24,44,,
T,2023-03-27 14:41:30,6.30548000,-75.58108000,2.10,1741.496,23.804,0.000,,25,44,,
T,2023-03-27 14:41:31,6.30548000,-75.58108000,2.20,1741.496,23.804,0.000,,25,44,,
T,2023-03-27 14:41:32,6.30548000,-75.58108000,2.30,1741.496,23.804,0.000,,25,44,,
T,2023-03-27 14:41:33,6.30548000,-75.58108000,2.40,1741.496,23.804,0.000,,26,44,,
T,2023-03-27 14:41:34,6.30548000,-75.58108000,2.40,1741.496,23.804,0.000,,24,44,,
T,2023-03-27 14:41:35,6.30548000,-75.58108000,2.40,1741.496,23.804,0.000,,24,44,,
T,2023-03-27 14:41:36,6.30548000,-75.58108000,2.50,1741.496,23.804,0.000,,23,44,,
T,2023-03-27 14:41:37,6.30548000,-75.58108000,2.60,1741.496,23.804,0.000,,23,44,,
T,2023-03-27 14:41:38,6.30548000,-75.58108000,2.60,1741.496,23.804,0.000,,23,44,,
T,2023-03-27 14:41:39,6.30548000,-75.58108000,2.60,1741.496,23.804,0.000,,22,44,,
T,2023-03-27 14:41:40,6.30548000,-75.58108000,2.70,1741.496,23.804,0.000,,22,44,,
T,2023-03-27 14:41:41,6.30548000,-75.58108000,2.70,1741.496,23.804,0.000,,22,44,,
T,2023-03-27 14:41:42,6.30548000,-75.58108000,2.80,1741.496,23.804,0.000,,24,44,,
T,2023-03-27 14:41:43,6.30548000,-75.58108000,2.80,1741.496,23.804,0.000,,24,44,,
T,2023-03-27 14:41:44,6.30548000,-75.58108000,2.70,1741.496,23.804,0.000,,24,44,,
T,2023-03-27 14:41:45,6.30548000,-75.58108000,2.70,1741.496,23.804,0.000,,24,44,,
T,2023-03-27 14:41:46,6.30548000,-75.58108000,2.70,1741.496,23.804,0.000,,23,44,,
T,2023-03-27 14:41:47,6.30548000,-75.58108000,2.70,1741.496,23.804,0.000,,23,44,,
T,2023-03-27 14:41:48,6.30548000,-75.58108000,2.70,1741.496,23.804,0.000,,25,44,,
T,2023-03-27 14:41:49,6.30545000,-75.58111833,2.70,1743.995,23.805,0.271,277,25,44,,
T,2023-03-27 14:41:50,6.30545167,-75.58113500,2.70,1744.095,23.805,0.309,290,25,44,,
T,2023-03-27 14:41:51,6.30545333,-75.58112833,2.70,1744.395,23.805,0.341,334,25,44,,
T,2023-03-27 14:41:52,6.30545667,-75.58113000,2.70,1744.395,23.805,0.000,,25,44,,
T,2023-03-27 14:41:53,6.30546500,-75.58113167,2.60,1744.395,23.805,0.000,,25,44,,
T,2023-03-27 14:41:54,6.30546833,-75.58112667,2.60,1744.595,23.805,0.000,,24,44,,
T,2023-03-27 14:41:55,6.30546833,-75.58112667,2.70,1744.595,23.805,0.000,,24,44,,
T,2023-03-27 14:41:56,6.30548333,-75.58111333,2.70,1744.395,23.805,0.504,357,22,44,,
T,2023-03-27 14:41:57,6.30549333,-75.58109833,2.70,1744.496,23.804,0.545,29,22,44,,
T,2023-03-27 14:41:58,6.30549833,-75.58109500,2.70,1744.196,23.804,0.509,37,22,44,,
T,2023-03-27 14:41:59,6.30550167,-75.58109667,2.60,1744.196,23.804,0.438,229,24,44,,
T,2023-03-27 14:42:00,6.30549833,-75.58109500,2.70,1744.196,23.804,0.408,210,24,44,,
T,2023-03-27 14:42:01,6.30550500,-75.58109000,2.70,1744.396,23.804,0.000,,23,44,,
T,2023-03-27 14:42:02,6.30551000,-75.58107500,2.70,1743.996,23.804,0.000,,22,44,,
T,2023-03-27 14:42:03,6.30550833,-75.58106333,2.80,1743.596,23.804,0.000,,22,44,,
T,2023-03-27 14:42:04,6.30550167,-75.58103833,2.90,1743.096,23.804,0.000,,21,44,,
T,2023-03-27 14:42:05,6.30549833,-75.58102833,2.90,1742.896,23.804,0.000,,22,44,,
T,2023-03-27 14:42:06,6.30550000,-75.58103500,2.80,1742.396,23.804,0.000,,20,44,,
T,2023-03-27 14:42:07,6.30549833,-75.58104667,2.70,1733.496,23.804,0.000,,17,44,,
T,2023-03-27 14:42:08,6.30549500,-75.58104667,2.70,1730.796,23.804,0.000,,18,44,,
T,2023-03-27 14:42:09,6.30549667,-75.58104167,2.70,1729.396,23.804,0.000,,18,44,,
T,2023-03-27 14:42:10,6.30549333,-75.58103833,2.70,1728.796,23.804,0.000,,18,44,,
T,2023-03-27 14:42:11,6.30549167,-75.58104333,2.70,1728.296,23.804,0.000,,19,44,,
T,2023-03-27 14:42:12,6.30548667,-75.58104667,2.80,1727.896,23.804,0.000,,17,44,,
T,2023-03-27 14:42:13,6.30548333,-75.58105000,2.80,1727.696,23.804,0.000,,18,44,,
T,2023-03-27 14:42:14,6.30548167,-75.58105667,2.80,1727.596,23.804,0.000,,19,44,,
T,2023-03-27 14:42:15,6.30548500,-75.58105000,2.80,1727.396,23.804,0.000,,19,44,,
T,2023-03-27 14:42:16,6.30548000,-75.58105333,2.80,1727.496,23.804,0.000,,20,44,,
T,2023-03-27 14:42:17,6.30548000,-75.58105333,2.70,1727.496,23.804,0.000,,20,44,,
T,2023-03-27 14:42:18,6.30548000,-75.58105333,2.70,1727.496,23.804,0.000,,19,44,,
T,2023-03-27 14:42:19,6.30548000,-75.58105333,2.70,1727.496,23.804,0.000,,19,44,,
T,2023-03-27 14:42:20,6.30548000,-75.58105333,2.70,1727.496,23.804,0.000,,19,44,,
T,2023-03-27 14:42:21,6.30548000,-75.58105333,2.70,1727.496,23.804,0.000,,18,44,,
T,2023-03-27 14:42:22,6.30548000,-75.58105333,2.60,1727.496,23.804,0.000,,18,44,,
T,2023-03-27 14:42:23,6.30548000,-75.58105333,1.90,1727.496,23.804,0.000,,17,44,,
T,2023-03-27 14:42:24,6.30548000,-75.58105333,2.00,1727.496,23.804,0.000,,18,44,,
T,2023-03-27 14:42:25,6.30548000,-75.58105333,2.10,1727.496,23.804,0.000,,18,44,,
T,2023-03-27 14:42:26,6.30548000,-75.58105333,2.20,1727.496,23.804,0.000,,18,44,,
T,2023-03-27 14:42:27,6.30548000,-75.58105333,2.30,1727.496,23.804,0.000,,18,44,,
T,2023-03-27 14:42:28,6.30548000,-75.58105333,2.40,1727.496,23.804,0.000,,18,44,,
T,2023-03-27 14:42:29,6.30548000,-75.58105333,2.40,1727.496,23.804,0.000,,18,44,,
T,2023-03-27 14:42:30,6.30548000,-75.58105333,2.40,1727.496,23.804,0.000,,18,44,,
T,2023-03-27 14:42:31,6.30548500,-75.58106667,3.40,1727.096,23.804,0.000,,18,44,,
T,2023-03-27 14:42:32,6.30546833,-75.58106500,3.20,1727.296,23.804,0.000,,18,44,,
T,2023-03-27 14:42:33,6.30547167,-75.58106333,3.10,1727.296,23.804,0.000,,18,44,,
T,2023-03-27 14:42:34,6.30547167,-75.58105833,3.00,1727.296,23.804,0.000,,18,44,,
T,2023-03-27 14:42:35,6.30547167,-75.58105833,2.90,1727.296,23.804,0.000,,18,44,,
T,2023-03-27 14:42:36,6.30547167,-75.58105833,2.80,1727.296,23.804,0.000,,18,44,,
T,2023-03-27 14:42:37,6.30547167,-75.58105833,2.80,1727.296,23.804,0.000,,18,44,,
T,2023-03-27 14:42:38,6.30547167,-75.58105833,2.00,1727.296,23.804,0.000,,19,44,,
T,2023-03-27 14:42:39,6.30547167,-75.58105833,1.70,1727.296,23.804,0.000,,19,44,,
T,2023-03-27 14:42:40,6.30547167,-75.58105833,1.90,1727.296,23.804,0.000,,19,44,,
T,2023-03-27 14:42:41,6.30547167,-75.58105833,1.70,1727.296,23.804,0.000,,19,44,,
T,2023-03-27 14:42:42,6.30547167,-75.58105833,1.70,1727.296,23.804,0.000,,19,44,,
T,2023-03-27 14:42:43,6.30547167,-75.58105833,1.70,1727.296,23.804,0.000,,19,44,,
T,2023-03-27 14:42:44,6.30547167,-75.58105833,1.60,1727.296,23.804,0.000,,20,44,,
T,2023-03-27 14:42:45,6.30547167,-75.58105833,1.60,1727.296,23.804,0.000,,20,44,,
T,2023-03-27 14:42:46,6.30550333,-75.58104000,1.60,1771.496,23.804,0.000,,19,44,,
T,2023-03-27 14:42:47,6.30550500,-75.58103833,1.60,1771.596,23.804,0.000,,19,44,,
T,2023-03-27 14:42:48,6.30550500,-75.58103667,1.60,1771.596,23.804,0.000,,18,44,,
T,2023-03-27 14:42:49,6.30550500,-75.58103333,1.80,1771.596,23.804,0.000,,18,44,,
T,2023-03-27 14:42:50,6.30550500,-75.58103333,1.90,1771.596,23.804,0.000,,18,44,,
T,2023-03-27 14:42:51,6.30550500,-75.58103333,2.10,1771.596,23.804,0.000,,18,44,,
T,2023-03-27 14:42:52,6.30550500,-75.58103333,2.20,1771.596,23.804,0.000,,18,44,,
T,2023-03-27 14:42:53,6.30550500,-75.58103333,2.20,1771.596,23.804,0.000,,18,44,,
T,2023-03-27 14:42:54,6.30550500,-75.58103333,2.30,1771.596,23.804,0.000,,18,44,,
T,2023-03-27 14:42:55,6.30550500,-75.58103333,2.30,1771.596,23.804,0.000,,18,44,,
T,2023-03-27 14:42:56,6.30550500,-75.58103333,2.40,1771.596,23.804,0.000,,17,44,,
T,2023-03-27 14:42:57,6.30550500,-75.58103333,2.50,1771.596,23.804,0.000,,17,44,,
T,2023-03-27 14:42:58,6.30548833,-75.58100500,2.60,1771.796,23.804,0.000,,17,44,,
T,2023-03-27 14:42:59,6.30549000,-75.58099500,2.70,1771.796,23.804,0.000,,17,44,,
T,2023-03-27 14:43:00,6.30548833,-75.58099333,2.70,1771.696,23.804,0.000,,17,44,,
T,2023-03-27 14:43:01,6.30548667,-75.58099333,2.70,1771.796,23.804,0.000,,18,44,,
T,2023-03-27 14:43:02,6.30548500,-75.58100000,2.90,1771.996,23.804,0.000,,17,44,,
T,2023-03-27 14:43:03,6.30549500,-75.58100667,3.00,1771.996,23.804,0.000,,17,44,,
T,2023-03-27 14:43:04,6.30550667,-75.58100000,3.10,1772.396,23.804,0.000,,16,44,,
T,2023-03-27 14:43:05,6.30550833,-75.58101000,3.20,1772.496,23.804,0.000,,15,44,,
T,2023-03-27 14:43:06,6.30551167,-75.58102000,3.30,1772.596,23.804,0.000,,16,44,,
T,2023-03-27 14:43:07,6.30551167,-75.58101500,2.00,1772.596,23.804,0.000,,16,43,,
T,2023-03-27 14:43:08,6.30551500,-75.58102000,1.80,1772.596,23.804,0.000,,16,43,,
T,2023-03-27 14:43:09,6.30551500,-75.58101833,1.90,1772.696,23.804,0.000,,15,44,,
T,2023-03-27 14:43:10,6.30551667,-75.58102333,1.80,1772.796,23.804,0.000,,15,44,,
T,2023-03-27 14:43:11,6.30552333,-75.58102833,2.10,1772.696,23.804,0.000,,15,44,,
T,2023-03-27 14:43:12,6.30552667,-75.58103167,2.30,1772.696,23.804,0.000,,15,44,,
T,2023-03-27 14:43:13,6.30553167,-75.58103833,2.60,1772.696,23.804,0.000,,15,44,,
T,2023-03-27 14:43:14,6.30553333,-75.58104500,2.70,1772.796,23.804,0.000,,15,44,,
T,2023-03-27 14:43:15,6.30553333,-75.58105000,2.80,1772.896,23.804,0.000,,15,44,,
T,2023-03-27 14:43:16,6.30553667,-75.58105000,2.90,1772.996,23.804,0.000,,17,44,,
T,2023-03-27 14:43:17,6.30554167,-75.58105500,3.00,1772.896,23.804,0.000,,18,44,,
T,2023-03-27 14:43:18,6.30554500,-75.58106000,3.00,1773.096,23.804,0.000,,18,44,,
T,2023-03-27 14:43:19,6.30554667,-75.58106667,3.00,1773.296,23.804,0.000,,17,44,,
T,2023-03-27 14:43:20,6.30554667,-75.58106667,2.90,1773.296,23.804,0.000,,19,44,,
T,2023-03-27 14:43:21,6.30554667,-75.58106667,2.80,1773.296,23.804,0.000,,18,44,,
T,2023-03-27 14:43:22,6.30554667,-75.58106667,2.80,1773.296,23.804,0.000,,18,44,,
T,2023-03-27 14:43:23,6.30554667,-75.58106667,2.80,1773.296,23.804,0.000,,18,44,,
T,2023-03-27 14:43:24,6.30554667,-75.58106667,2.70,1773.296,23.804,0.000,,19,44,,
T,2023-03-27 14:43:25,6.30554667,-75.58106667,2.00,1773.296,23.804,0.000,,19,44,,
T,2023-03-27 14:43:26,6.30554667,-75.58106667,1.80,1773.296,23.804,0.000,,19,44,,
T,2023-03-27 14:43:27,6.30554667,-75.58106667,1.70,1773.296,23.804,0.000,,19,44,,
T,2023-03-27 14:43:28,6.30554667,-75.58106667,1.90,1773.296,23.804,0.000,,18,44,,
T,2023-03-27 14:43:29,6.30554667,-75.58106667,2.10,1773.296,23.804,0.000,,18,44,,
T,2023-03-27 14:43:30,6.30554667,-75.58106667,2.20,1773.296,23.804,0.000,,19,44,,
T,2023-03-27 14:43:31,6.30554667,-75.58106667,2.30,1773.296,23.804,0.000,,19,44,,
T,2023-03-27 14:43:32,6.30554667,-75.58106667,2.30,1773.296,23.804,0.000,,19,44,,
T,2023-03-27 14:43:33,6.30554667,-75.58106667,2.40,1773.296,23.804,0.000,,19,44,,
T,2023-03-27 14:43:34,6.30554667,-75.58106667,2.40,1773.296,23.804,0.000,,19,44,,
T,2023-03-27 14:43:35,6.30554667,-75.58106667,2.40,1773.296,23.804,0.000,,19,44,,
T,2023-03-27 14:43:36,6.30554667,-75.58106667,2.40,1773.296,23.804,0.000,,19,44,,
T,2023-03-27 14:43:37,6.30554667,-75.58106667,1.90,1773.296,23.804,0.000,,19,44,,
T,2023-03-27 14:43:38,6.30554667,-75.58106667,1.70,1773.296,23.804,0.000,,19,44,,
T,2023-03-27 14:43:39,6.30554667,-75.58106667,1.70,1773.296,23.804,0.000,,19,44,,
T,2023-03-27 14:43:40,6.30554667,-75.58106667,1.60,1773.296,23.804,0.000,,19,44,,
T,2023-03-27 14:43:41,6.30554667,-75.58106667,1.60,1773.296,23.804,0.000,,19,44,,
T,2023-03-27 14:43:42,6.30554667,-75.58106667,1.80,1773.296,23.804,0.000,,19,44,,
T,2023-03-27 14:43:43,6.30554667,-75.58106667,1.90,1773.296,23.804,0.000,,19,44,,
T,2023-03-27 14:43:44,6.30554667,-75.58106667,2.00,1773.296,23.804,0.000,,19,44,,
T,2023-03-27 14:43:45,6.30554667,-75.58106667,2.20,1773.296,23.804,0.000,,19,44,,
T,2023-03-27 14:43:46,6.30554667,-75.58106667,2.30,1773.296,23.804,0.000,,19,44,,
T,2023-03-27 14:43:47,6.30554667,-75.58106667,2.40,1773.296,23.804,0.000,,19,44,,
T,2023-03-27 14:43:48,6.30554667,-75.58106667,2.50,1773.296,23.804,0.000,,19,44,,
T,2023-03-27 14:43:49,6.30554667,-75.58106667,2.50,1773.296,23.804,0.000,,19,44,,
T,2023-03-27 14:43:50,6.30554667,-75.58106667,2.60,1773.296,23.804,0.000,,19,44,,
T,2023-03-27 14:43:51,6.30554667,-75.58106667,2.50,1773.296,23.804,0.000,,20,44,,
T,2023-03-27 14:43:52,6.30554667,-75.58106667,2.50,1773.296,23.804,0.000,,20,44,,
T,2023-03-27 14:43:53,6.30547000,-75.58101833,2.60,1770.796,23.804,0.000,,19,44,,
T,2023-03-27 14:43:54,6.30546667,-75.58101833,2.60,1770.696,23.804,0.000,,18,44,,
T,2023-03-27 14:43:55,6.30546333,-75.58101833,2.70,1770.596,23.804,0.000,,18,44,,
T,2023-03-27 14:43:56,6.30545833,-75.58101167,2.80,1770.496,23.804,0.000,,19,44,,
T,2023-03-27 14:43:57,6.30545333,-75.58100500,2.90,1770.396,23.804,0.000,,19,44,,
T,2023-03-27 14:43:58,6.30544833,-75.58100167,3.00,1770.396,23.804,0.000,,19,44,,
T,2023-03-27 14:43:59,6.30544167,-75.58099833,3.00,1770.396,23.804,0.000,,19,44,,
T,2023-03-27 14:44:00,6.30543667,-75.58099667,3.00,1770.196,23.804,0.000,,18,44,,
T,2023-03-27 14:44:01,6.30543667,-75.58100000,3.00,1770.196,23.804,0.000,,17,44,,
T,2023-03-27 14:44:02,6.30543333,-75.58099667,3.00,1770.096,23.804,0.000,,16,44,,
T,2023-03-27 14:44:03,6.30544000,-75.58099667,3.00,1769.996,23.804,0.000,,16,44,,
T,2023-03-27 14:44:04,6.30544500,-75.58099167,3.00,1769.796,23.804,0.000,,16,44,,
T,2023-03-27 14:44:05,6.30545333,-75.58098667,3.00,1769.696,23.804,0.000,,15,44,,
