type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-03-27 18:41:10,6.19810500,-75.57850833,1.60,1517.881,24.019,0.971,124,27,47,20230327-134110,GPS Logger: 20230327-134110 - EAFIT-ECCI-TVS
T,2023-03-27 18:41:11,6.19810167,-75.57850000,1.60,1517.881,24.019,1.018,130,28,47,,
T,2023-03-27 18:41:12,6.19809667,-75.57849333,1.60,1517.881,24.019,0.992,142,28,47,,
T,2023-03-27 18:41:13,6.19809333,-75.57849000,1.80,1517.981,24.019,0.000,,26,47,,
T,2023-03-27 18:41:14,6.19809000,-75.57848500,2.00,1518.081,24.019,0.000,,24,47,,
T,2023-03-27 18:41:15,6.19808333,-75.57847833,2.10,1517.981,24.019,0.000,,20,47,,
T,2023-03-27 18:41:16,6.19808000,-75.57848667,2.20,1517.881,24.019,0.000,,21,47,,
T,2023-03-27 18:41:17,6.19807833,-75.57849167,2.40,1517.981,24.019,0.000,,21,47,,
T,2023-03-27 18:41:18,6.19807167,-75.57849833,2.60,1517.981,24.019,0.000,,21,46,,
T,2023-03-27 18:41:19,6.19806833,-75.57850833,2.70,1517.781,24.019,0.000,,21,46,,
T,2023-03-27 18:41:20,6.19806500,-75.57852167,2.70,1516.981,24.019,0.000,,19,46,,
T,2023-03-27 18:41:21,6.19805833,-75.57852167,2.80,1517.081,24.019,0.000,,19,46,,
T,2023-03-27 18:41:22,6.19806000,-75.57852500,2.90,1517.181,24.019,0.000,,18,46,,
T,2023-03-27 18:41:23,6.19806000,-75.57853500,2.90,1517.181,24.019,0.000,,20,46,,
T,2023-03-27 18:41:24,6.19805833,-75.57855000,2.80,1517.181,24.019,0.000,,20,46,,
T,2023-03-27 18:41:25,6.19805833,-75.57854667,2.70,1516.981,24.019,0.000,,21,46,,
T,2023-03-27 18:41:26,6.19806167,-75.57854500,2.70,1517.181,24.019,0.000,,20,47,,
T,2023-03-27 18:41:27,6.19806333,-75.57854167,2.70,1517.281,24.019,0.000,,21,47,,
T,2023-03-27 18:41:28,6.19807000,-75.57854667,2.70,1517.181,24.019,0.000,,22,47,,
T,2023-03-27 18:41:29,6.19807500,-75.57855333,2.70,1517.081,24.019,0.000,,21,47,,
T,2023-03-27 18:41:30,6.19807667,-75.57854833,2.70,1517.181,24.019,0.000,,21,47,,
T,2023-03-27 18:41:31,6.19808167,-75.57854500,2.70,1517.381,24.019,0.000,,22,47,,
T,2023-03-27 18:41:32,6.19808500,-75.57854000,2.70,1517.781,24.019,0.000,,22,47,,
T,2023-03-27 18:41:33,6.19808667,-75.57853000,2.60,1517.881,24.019,0.000,,20,47,,
T,2023-03-27 18:41:34,6.19808833,-75.57852833,2.60,1517.881,24.019,0.000,,19,47,,
T,2023-03-27 18:41:35,6.19808833,-75.57852167,2.60,1517.881,24.019,0.000,,19,47,,
T,2023-03-27 18:41:36,6.19808667,-75.57851333,2.60,1517.781,24.019,0.000,,18,47,,
T,2023-03-27 18:41:37,6.19808333,-75.57851167,2.50,1517.681,24.019,0.000,,18,47,,
T,2023-03-27 18:41:38,6.19808000,-75.57850333,2.50,1517.581,24.019,0.000,,19,47,,
T,2023-03-27 18:41:39,6.19808000,-75.57850333,2.50,1517.581,24.019,0.000,,19,46,,
T,2023-03-27 18:41:40,6.19808000,-75.57850333,2.50,1517.581,24.019,0.000,,19,47,,
T,2023-03-27 18:41:41,6.19808000,-75.57850333,2.50,1517.581,24.019,0.000,,19,47,,
T,2023-03-27 18:41:42,6.19808000,-75.57850333,2.50,1517.581,24.019,0.000,,19,47,,
T,2023-03-27 18:41:43,6.19808000,-75.57850333,2.40,1517.581,24.019,0.000,,18,47,,
T,2023-03-27 18:41:44,6.19808000,-75.57850333,1.90,1517.581,24.019,0.000,,17,47,,
T,2023-03-27 18:41:45,6.19808000,-75.57850333,2.10,1517.581,24.019,0.000,,16,47,,
T,2023-03-27 18:41:46,6.19807500,-75.57846500,2.20,1517.081,24.019,0.000,,17,47,,
T,2023-03-27 18:41:47,6.19807667,-75.57846167,2.30,1517.081,24.019,0.000,,19,47,,
T,2023-03-27 18:41:48,6.19807833,-75.57845833,2.30,1517.181,24.019,0.000,,21,47,,
T,2023-03-27 18:41:49,6.19808000,-75.57845667,2.40,1517.181,24.019,0.000,,22,47,,
T,2023-03-27 18:41:50,6.19808500,-75.57845833,2.40,1517.181,24.019,0.000,,21,47,,
T,2023-03-27 18:41:51,6.19809167,-75.57846000,2.50,1517.081,24.019,0.000,,22,47,,
T,2023-03-27 18:41:52,6.19809500,-75.57846000,2.50,1516.981,24.019,0.000,,22,47,,
T,2023-03-27 18:41:53,6.19810000,-75.57846167,2.50,1516.981,24.019,0.000,,22,47,,
T,2023-03-27 18:41:54,6.19810333,-75.57846000,2.50,1516.881,24.019,0.000,,21,47,,
T,2023-03-27 18:41:55,6.19810667,-75.57846333,2.60,1516.881,24.019,0.000,,20,47,,
T,2023-03-27 18:41:56,6.19810833,-75.57846500,2.60,1516.981,24.019,0.000,,19,47,,
T,2023-03-27 18:41:57,6.19811167,-75.57846333,2.60,1516.981,24.019,0.000,,21,47,,
T,2023-03-27 18:41:58,6.19812000,-75.57846667,2.60,1516.881,24.019,0.000,,19,47,,
T,2023-03-27 18:41:59,6.19812000,-75.57846667,2.60,1516.881,24.019,0.000,,19,47,,
T,2023-03-27 18:42:00,6.19812000,-75.57846667,2.60,1516.881,24.019,0.000,,16,47,,
T,2023-03-27 18:42:01,6.19812000,-75.57846667,2.60,1516.881,24.019,0.000,,16,47,,
T,2023-03-27 18:42:02,6.19812000,-75.57846667,2.60,1516.881,24.019,0.000,,17,47,,
