type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-03-28 11:57:58.277,6.30550833,-75.58108833,2.30,1763.896,23.804,0.707,210,18,41,20230328-065758,GPS Logger: 20230328-065758 - Casa-ECCI TVS
T,2023-03-28 11:57:59.277,6.30549500,-75.58109500,2.30,1763.596,23.804,0.287,196,18,41,,
T,2023-03-28 11:58:00.276,6.30547667,-75.58109833,2.10,1763.295,23.805,0.241,195,18,41,,
T,2023-03-28 11:58:02,6.30547667,-75.58109333,2.30,1763.696,23.804,0.000,,18,41,,
T,2023-03-28 11:58:03,6.30548000,-75.58108500,2.40,1763.896,23.804,0.000,,17,41,,
T,2023-03-28 11:58:04,6.30548500,-75.58107667,2.50,1763.996,23.804,0.000,,16,41,,
T,2023-03-28 11:58:05,6.30548833,-75.58106833,2.60,1764.196,23.804,0.000,,16,41,,
T,2023-03-28 11:58:06,6.30549333,-75.58105833,2.70,1764.296,23.804,0.000,,16,41,,
T,2023-03-28 11:58:07,6.30549500,-75.58105000,2.70,1764.396,23.804,0.000,,16,41,,
T,2023-03-28 11:58:08,6.30549667,-75.58104167,2.70,1764.496,23.804,0.000,,14,41,,
T,2023-03-28 11:58:09,6.30549833,-75.58103667,2.80,1764.596,23.804,0.000,,14,40,,
T,2023-03-28 11:58:10,6.30550000,-75.58103000,2.80,1764.596,23.804,0.000,,13,40,,
T,2023-03-28 11:58:11,6.30550667,-75.58102333,2.90,1764.596,23.804,0.000,,13,40,,
T,2023-03-28 11:58:12,6.30551000,-75.58101833,2.90,1764.696,23.804,0.000,,13,40,,
T,2023-03-28 11:58:13,6.30551333,-75.58103500,2.90,1764.696,23.804,0.000,,15,41,,
T,2023-03-28 11:58:14,6.30550500,-75.58103500,3.00,1764.796,23.804,0.000,,12,41,,
T,2023-03-28 11:58:15,6.30550333,-75.58102667,2.90,1764.796,23.804,0.000,,13,41,,
T,2023-03-28 11:58:16,6.30550167,-75.58102333,2.80,1764.796,23.804,0.000,,14,41,,
T,2023-03-28 11:58:17,6.30550500,-75.58101833,2.80,1764.896,23.804,0.000,,17,41,,
T,2023-03-28 11:58:18,6.30551000,-75.58100833,2.90,1764.896,23.804,0.000,,14,41,,
T,2023-03-28 11:58:19,6.30551500,-75.58099500,3.00,1764.796,23.804,0.000,,13,41,,
T,2023-03-28 11:58:20,6.30552167,-75.58097667,3.10,1764.796,23.804,0.000,,14,41,,
T,2023-03-28 11:58:21,6.30552333,-75.58094833,3.30,1764.596,23.804,0.000,,14,41,,
T,2023-03-28 11:58:22,6.30553333,-75.58092500,3.50,1764.497,23.803,0.000,,14,40,,
T,2023-03-28 11:58:23,6.30553667,-75.58090833,3.70,1764.597,23.803,0.000,,13,40,,
T,2023-03-28 11:58:24,6.30555833,-75.58089833,3.80,1764.497,23.803,0.000,,13,40,,
T,2023-03-28 11:58:25,6.30556833,-75.58089000,3.90,1764.297,23.803,0.000,,10,40,,
T,2023-03-28 11:58:26,6.30556667,-75.58088333,4.10,1764.197,23.803,0.000,,10,40,,
T,2023-03-28 11:58:27,6.30557333,-75.58088000,4.20,1764.197,23.803,0.000,,9,40,,
T,2023-03-28 11:58:28,6.30557167,-75.58087667,4.10,1764.197,23.803,0.000,,8,40,,
T,2023-03-28 11:58:29,6.30558500,-75.58086500,4.10,1764.197,23.803,0.000,,9,40,,
T,2023-03-28 11:58:30,6.30560167,-75.58085333,4.10,1764.097,23.803,0.000,,8,40,,
T,2023-03-28 11:58:31,6.30561333,-75.58084000,4.30,1763.997,23.803,0.000,,8,40,,
T,2023-03-28 11:58:32,6.30560667,-75.58084167,4.50,1763.997,23.803,0.000,,8,40,,
T,2023-03-28 11:58:33,6.30560500,-75.58084500,4.60,1763.897,23.803,0.000,,7,40,,
T,2023-03-28 11:58:34,6.30560833,-75.58083333,4.80,1763.897,23.803,0.000,,7,40,,
T,2023-03-28 11:58:35,6.30559667,-75.58084667,4.70,1763.797,23.803,0.000,,8,40,,
T,2023-03-28 11:58:36,6.30559000,-75.58084167,4.70,1763.897,23.803,0.000,,8,40,,
T,2023-03-28 11:58:37,6.30558667,-75.58084333,4.70,1763.997,23.803,0.000,,8,40,,
T,2023-03-28 11:58:38,6.30558667,-75.58084333,4.70,1763.997,23.803,0.000,,8,40,,
T,2023-03-28 11:58:39,6.30558667,-75.58084333,4.70,1763.997,23.803,0.000,,7,40,,
T,2023-03-28 11:58:40,6.30558667,-75.58084333,4.70,1763.997,23.803,0.000,,7,40,,
