type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-03-29 01:01:00.413,6.27123000,-75.54992167,6.00,1657.779,23.721,0.339,354,13,46,20230328-200100,GPS Logger: 20230328-200100 - Manríque -Casa-TVS
T,2023-03-29 01:01:01.413,6.27121333,-75.54993167,5.10,1658.479,23.721,0.191,316,17,46,,
T,2023-03-29 01:01:03,6.27122333,-75.54994000,4.70,1663.279,23.721,0.172,350,17,46,,
T,2023-03-29 01:01:04,6.27122667,-75.54994333,4.60,1663.579,23.721,0.000,,18,45,,
T,2023-03-29 01:01:05,6.27123333,-75.54995000,4.50,1664.279,23.721,0.000,,24,46,,
T,2023-03-29 01:01:06,6.27123667,-75.54995000,4.40,1664.679,23.721,0.000,,20,46,,
T,2023-03-29 01:01:07,6.27123833,-75.54994833,4.40,1664.579,23.721,0.000,,17,46,,
T,2023-03-29 01:01:08,6.27123667,-75.54994667,4.40,1664.579,23.721,0.000,,17,46,,
T,2023-03-29 01:01:09,6.27123500,-75.54995000,4.50,1664.479,23.721,0.000,,16,46,,
T,2023-03-29 01:01:10,6.27124167,-75.54995000,4.50,1664.479,23.721,0.000,,15,46,,
T,2023-03-29 01:01:11,6.27123833,-75.54995833,4.60,1664.379,23.721,0.000,,13,46,,
T,2023-03-29 01:01:12,6.27123500,-75.54994833,4.70,1664.279,23.721,0.000,,12,46,,
T,2023-03-29 01:01:13,6.27124167,-75.54994667,4.70,1664.579,23.721,0.000,,12,46,,
T,2023-03-29 01:01:14,6.27125333,-75.54995833,4.70,1664.979,23.721,0.000,,11,45,,
T,2023-03-29 01:01:15,6.27126167,-75.54995667,4.80,1665.179,23.721,0.000,,11,45,,
T,2023-03-29 01:01:16,6.27126500,-75.54995500,4.80,1664.679,23.721,0.000,,12,45,,
T,2023-03-29 01:01:17,6.27126333,-75.54995667,4.80,1664.079,23.721,0.000,,13,46,,
T,2023-03-29 01:01:18,6.27126167,-75.54995833,4.80,1663.479,23.721,0.000,,12,46,,
T,2023-03-29 01:01:19,6.27125833,-75.54996667,4.70,1663.579,23.721,0.000,,13,46,,
T,2023-03-29 01:01:20,6.27125000,-75.54996833,4.60,1663.179,23.721,0.000,,14,46,,
T,2023-03-29 01:01:21,6.27124167,-75.54996500,4.40,1662.579,23.721,0.000,,14,46,,
