type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-03-29 12:16:12.571,6.30546500,-75.58108000,2.60,1749.796,23.804,0.233,319,18,40,20230329-071612,GPS Logger: 20230329-071612 - Casa-ECCI- TVS
T,2023-03-29 12:16:14,6.30547500,-75.58105000,2.60,1750.796,23.804,0.196,299,19,40,,
T,2023-03-29 12:16:15,6.30545500,-75.58107833,2.40,1752.196,23.804,0.098,274,21,40,,
T,2023-03-29 12:16:16,6.30546833,-75.58104833,2.50,1752.296,23.804,0.000,,19,40,,
T,2023-03-29 12:16:17,6.30547000,-75.58104833,2.60,1752.496,23.804,0.000,,20,40,,
T,2023-03-29 12:16:18,6.30546000,-75.58107833,2.70,1753.096,23.804,0.573,260,20,40,,
T,2023-03-29 12:16:19,6.30546000,-75.58108167,2.80,1753.196,23.804,0.000,,19,40,,
T,2023-03-29 12:16:20,6.30546500,-75.58108667,2.80,1753.196,23.804,0.642,266,18,40,,
T,2023-03-29 12:16:21,6.30547167,-75.58109167,2.90,1753.196,23.804,0.379,251,18,40,,
T,2023-03-29 12:16:22,6.30547333,-75.58109833,3.00,1753.295,23.805,0.000,,19,40,,
T,2023-03-29 12:16:23,6.30547833,-75.58109500,3.00,1753.996,23.804,0.000,,19,40,,
T,2023-03-29 12:16:24,6.30548500,-75.58109167,3.00,1754.196,23.804,0.000,,19,40,,
T,2023-03-29 12:16:25,6.30549000,-75.58108833,3.00,1754.796,23.804,0.000,,19,40,,
T,2023-03-29 12:16:26,6.30550000,-75.58108167,3.00,1755.096,23.804,0.000,,17,40,,
T,2023-03-29 12:16:27,6.30549333,-75.58106833,2.90,1755.496,23.804,0.000,,17,40,,
T,2023-03-29 12:16:28,6.30549333,-75.58106333,2.90,1755.496,23.804,0.000,,17,40,,
T,2023-03-29 12:16:29,6.30549333,-75.58106167,2.80,1756.696,23.804,0.000,,17,40,,
T,2023-03-29 12:16:30,6.30549333,-75.58106000,2.70,1757.796,23.804,0.319,186,18,40,,
T,2023-03-29 12:16:31,6.30549333,-75.58105667,2.70,1757.796,23.804,0.316,102,17,40,,
T,2023-03-29 12:16:32,6.30549000,-75.58106000,2.70,1757.896,23.804,0.268,150,17,40,,
T,2023-03-29 12:16:33,6.30548833,-75.58106167,2.70,1758.096,23.804,0.263,37,17,40,,
T,2023-03-29 12:16:34,6.30548833,-75.58106667,2.60,1758.696,23.804,0.289,69,17,40,,
T,2023-03-29 12:16:35,6.30548833,-75.58106833,2.60,1758.796,23.804,0.000,,18,40,,
T,2023-03-29 12:16:36,6.30548667,-75.58106833,2.70,1758.796,23.804,0.316,244,16,40,,
T,2023-03-29 12:16:37,6.30548500,-75.58107333,2.80,1758.896,23.804,0.320,243,17,40,,
T,2023-03-29 12:16:38,6.30548333,-75.58107667,2.90,1758.896,23.804,0.000,,20,40,,
T,2023-03-29 12:16:39,6.30548000,-75.58107833,3.00,1758.996,23.804,0.000,,20,40,,
T,2023-03-29 12:16:40,6.30547500,-75.58108500,3.10,1759.096,23.804,0.000,,19,40,,
T,2023-03-29 12:16:41,6.30546833,-75.58109000,3.20,1759.296,23.804,0.000,,18,40,,
T,2023-03-29 12:16:42,6.30548500,-75.58108000,3.20,1759.496,23.804,0.000,,18,40,,
T,2023-03-29 12:16:43,6.30549167,-75.58106833,3.30,1759.996,23.804,0.000,,17,40,,
T,2023-03-29 12:16:44,6.30549667,-75.58105667,3.40,1760.296,23.804,0.000,,15,40,,
T,2023-03-29 12:16:45,6.30550000,-75.58104667,3.60,1760.496,23.804,0.000,,14,40,,
T,2023-03-29 12:16:46,6.30550167,-75.58103833,3.70,1760.796,23.804,0.000,,13,40,,
T,2023-03-29 12:16:47,6.30550333,-75.58103167,3.80,1760.996,23.804,0.000,,15,39,,
T,2023-03-29 12:16:48,6.30549500,-75.58103500,4.00,1760.996,23.804,0.000,,15,39,,
T,2023-03-29 12:16:49,6.30549333,-75.58102667,4.10,1761.196,23.804,0.000,,14,39,,
T,2023-03-29 12:16:50,6.30550500,-75.58104333,4.10,1760.796,23.804,0.000,,13,39,,
T,2023-03-29 12:16:51,6.30549667,-75.58104500,4.20,1760.996,23.804,0.000,,13,39,,
T,2023-03-29 12:16:52,6.30549500,-75.58104333,4.30,1761.196,23.804,0.000,,13,40,,
T,2023-03-29 12:16:53,6.30548500,-75.58104333,4.30,1761.896,23.804,0.000,,13,40,,
T,2023-03-29 12:16:54,6.30546667,-75.58106500,4.40,1761.996,23.804,0.000,,13,40,,
T,2023-03-29 12:16:55,6.30544333,-75.58108500,4.40,1761.995,23.805,0.000,,13,40,,
T,2023-03-29 12:16:56,6.30541833,-75.58110667,4.50,1762.095,23.805,0.000,,13,40,,
T,2023-03-29 12:16:57,6.30540833,-75.58111000,4.50,1761.995,23.805,0.000,,13,40,,
T,2023-03-29 12:16:58,6.30540667,-75.58111167,4.60,1761.995,23.805,0.000,,13,40,,
T,2023-03-29 12:16:59,6.30539833,-75.58112500,4.60,1762.095,23.805,0.000,,12,40,,
T,2023-03-29 12:17:00,6.30538333,-75.58114000,4.70,1762.095,23.805,0.000,,11,40,,
T,2023-03-29 12:17:01,6.30537667,-75.58114500,4.90,1762.195,23.805,0.000,,10,39,,
T,2023-03-29 12:17:02,6.30536167,-75.58116167,5.00,1762.295,23.805,0.000,,10,39,,
T,2023-03-29 12:17:03,6.30534167,-75.58116667,5.10,1762.395,23.805,0.000,,11,39,,
T,2023-03-29 12:17:04,6.30534500,-75.58112000,5.10,1762.195,23.805,0.000,,10,39,,
T,2023-03-29 12:17:05,6.30531500,-75.58113833,5.20,1762.495,23.805,0.000,,9,40,,
T,2023-03-29 12:17:06,6.30526500,-75.58117167,5.20,1762.495,23.805,0.000,,8,40,,
T,2023-03-29 12:17:07,6.30523333,-75.58115667,5.20,1762.695,23.805,0.000,,9,40,,
T,2023-03-29 12:17:08,6.30522167,-75.58113333,5.20,1762.695,23.805,0.000,,9,40,,
T,2023-03-29 12:17:09,6.30519500,-75.58117000,5.30,1762.894,23.806,0.000,,9,40,,
T,2023-03-29 12:17:10,6.30517000,-75.58122000,5.50,1763.094,23.806,0.000,,9,40,,
T,2023-03-29 12:17:11,6.30513667,-75.58125833,5.70,1763.194,23.806,0.000,,9,40,,
T,2023-03-29 12:17:12,6.30510000,-75.58127333,5.90,1763.394,23.806,0.000,,9,40,,
T,2023-03-29 12:17:13,6.30509000,-75.58126667,6.00,1763.494,23.806,0.000,,6,40,,
T,2023-03-29 12:17:14,6.30509167,-75.58127167,6.20,1763.494,23.806,0.000,,5,39,,
T,2023-03-29 12:17:15,6.30511333,-75.58123833,6.20,1763.394,23.806,0.000,,6,39,,
T,2023-03-29 12:17:16,6.30511500,-75.58125000,6.10,1763.394,23.806,0.000,,8,39,,
T,2023-03-29 12:17:17,6.30516000,-75.58122667,6.00,1763.394,23.806,0.000,,8,39,,
T,2023-03-29 12:17:18,6.30520833,-75.58122333,6.00,1763.394,23.806,0.000,,9,39,,
T,2023-03-29 12:17:19,6.30527500,-75.58120667,6.00,1763.294,23.806,0.000,,8,40,,
T,2023-03-29 12:17:20,6.30534333,-75.58120000,5.70,1763.195,23.805,0.000,,10,40,,
T,2023-03-29 12:17:21,6.30536833,-75.58118833,5.50,1763.195,23.805,0.000,,11,40,,
T,2023-03-29 12:17:22,6.30538500,-75.58117500,5.40,1763.195,23.805,0.000,,12,40,,
T,2023-03-29 12:17:23,6.30539667,-75.58115833,5.30,1762.995,23.805,0.000,,12,40,,
T,2023-03-29 12:17:24,6.30540000,-75.58113833,4.80,1762.295,23.805,1.808,73,13,40,,
T,2023-03-29 12:17:25,6.30540333,-75.58111667,4.70,1762.195,23.805,1.917,81,13,40,,
T,2023-03-29 12:17:26,6.30539667,-75.58108167,4.70,1761.995,23.805,2.183,98,14,40,,
T,2023-03-29 12:17:27,6.30538833,-75.58104833,4.60,1761.996,23.804,2.417,110,14,40,,
T,2023-03-29 12:17:28,6.30537833,-75.58101667,4.60,1761.996,23.804,2.441,109,13,40,,
T,2023-03-29 12:17:29,6.30536333,-75.58096833,4.40,1761.596,23.804,2.580,111,13,40,,
T,2023-03-29 12:17:30,6.30534667,-75.58092333,4.40,1761.396,23.804,2.962,108,13,39,,
T,2023-03-29 12:17:31,6.30532500,-75.58087000,4.30,1761.696,23.804,3.306,114,14,39,,
T,2023-03-29 12:17:32,6.30529833,-75.58081000,4.10,1761.297,23.803,3.639,115,14,39,,
T,2023-03-29 12:17:33,6.30526500,-75.58076167,3.80,1761.797,23.803,3.991,115,14,39,,
T,2023-03-29 12:17:34,6.30524333,-75.58072167,3.60,1761.697,23.803,4.420,113,16,39,,
T,2023-03-29 12:17:35,6.30521500,-75.58067500,3.60,1762.197,23.803,4.726,112,16,39,,
T,2023-03-29 12:17:36,6.30520667,-75.58062833,3.40,1761.497,23.803,4.862,112,17,39,,
T,2023-03-29 12:17:37,6.30519167,-75.58059500,3.40,1761.297,23.803,4.936,115,17,39,,
T,2023-03-29 12:17:38,6.30517667,-75.58056000,3.50,1761.098,23.802,4.966,111,17,39,,
T,2023-03-29 12:17:39,6.30517000,-75.58052833,3.50,1760.698,23.802,4.786,95,17,39,,
T,2023-03-29 12:17:40,6.30517500,-75.58050667,3.60,1760.698,23.802,4.439,69,17,39,,
T,2023-03-29 12:17:41,6.30518167,-75.58049000,3.70,1760.598,23.802,4.094,59,15,39,,
T,2023-03-29 12:17:42,6.30519000,-75.58047167,3.80,1760.598,23.802,3.764,46,13,39,,
T,2023-03-29 12:17:43,6.30519833,-75.58043667,4.00,1759.898,23.802,0.000,,10,39,,
T,2023-03-29 12:17:44,6.30519500,-75.58040500,4.30,1759.998,23.802,0.000,,10,39,,
T,2023-03-29 12:17:45,6.30517333,-75.58035833,4.60,1759.799,23.801,0.000,,8,38,,
T,2023-03-29 12:17:46,6.30516333,-75.58034000,4.90,1759.599,23.801,0.000,,8,38,,
T,2023-03-29 12:17:47,6.30514833,-75.58032167,5.20,1759.399,23.801,0.000,,7,38,,
T,2023-03-29 12:17:48,6.30512500,-75.58028167,5.50,1759.299,23.801,0.000,,7,38,,
T,2023-03-29 12:17:49,6.30508833,-75.58024167,5.70,1759.199,23.801,0.000,,7,38,,
T,2023-03-29 12:17:50,6.30505833,-75.58020667,5.90,1758.899,23.801,0.000,,7,39,,
T,2023-03-29 12:17:51,6.30501833,-75.58016000,6.00,1758.799,23.801,0.000,,7,39,,
T,2023-03-29 12:17:52,6.30495833,-75.58013667,6.20,1758.599,23.801,0.000,,7,39,,
T,2023-03-29 12:17:53,6.30494333,-75.58009667,6.40,1758.399,23.801,0.000,,6,39,,
T,2023-03-29 12:17:54,6.30494333,-75.58005333,6.70,1758.200,23.800,0.000,,6,39,,
T,2023-03-29 12:17:55,6.30489667,-75.58002167,6.90,1758.200,23.800,0.000,,7,39,,
T,2023-03-29 12:17:56,6.30478833,-75.58002500,7.00,1758.199,23.801,0.000,,7,39,,
T,2023-03-29 12:17:57,6.30467333,-75.57999000,7.00,1758.199,23.801,0.000,,6,38,,
T,2023-03-29 12:17:58,6.30462000,-75.57995500,7.10,1758.199,23.801,0.000,,6,38,,
T,2023-03-29 12:17:59,6.30457833,-75.57994000,7.10,1758.099,23.801,0.000,,6,39,,
T,2023-03-29 12:18:00,6.30455000,-75.57993667,7.10,1758.099,23.801,6.022,160,7,39,,
T,2023-03-29 12:18:01,6.30450667,-75.57992000,7.00,1757.999,23.801,6.060,154,7,39,,
T,2023-03-29 12:18:02,6.30450500,-75.57990167,6.90,1757.999,23.801,6.084,148,7,39,,
T,2023-03-29 12:18:03,6.30452167,-75.57987833,7.00,1758.100,23.800,5.969,144,7,39,,
T,2023-03-29 12:18:04,6.30451667,-75.57984167,7.00,1758.200,23.800,5.853,139,7,39,,
T,2023-03-29 12:18:05,6.30448667,-75.57980667,7.20,1758.400,23.800,5.549,138,7,38,,
T,2023-03-29 12:18:06,6.30449833,-75.57976833,7.20,1758.400,23.800,6.083,135,7,38,,
T,2023-03-29 12:18:07,6.30452667,-75.57975500,7.10,1758.500,23.800,5.276,135,7,39,,
T,2023-03-29 12:18:08,6.30454000,-75.57976333,6.90,1758.200,23.800,3.703,149,10,39,,
T,2023-03-29 12:18:09,6.30460000,-75.57976167,6.70,1757.800,23.800,3.127,149,9,39,,
T,2023-03-29 12:18:10,6.30487500,-75.57978167,4.70,1756.001,23.799,1.475,149,11,39,,
T,2023-03-29 12:18:11,6.30488333,-75.57975833,4.50,1754.801,23.799,1.439,149,15,39,,
T,2023-03-29 12:18:12,6.30489667,-75.57974667,4.30,1753.601,23.799,0.000,,15,39,,
T,2023-03-29 12:18:13,6.30490167,-75.57974500,4.30,1753.801,23.799,0.000,,14,39,,
T,2023-03-29 12:18:14,6.30490333,-75.57973167,4.30,1754.101,23.799,0.000,,15,39,,
T,2023-03-29 12:18:15,6.30490333,-75.57973167,4.10,1754.101,23.799,0.000,,14,39,,
T,2023-03-29 12:18:16,6.30490333,-75.57973167,4.10,1754.101,23.799,0.000,,15,39,,
T,2023-03-29 12:18:17,6.30490333,-75.57973167,4.00,1754.101,23.799,0.000,,16,39,,
T,2023-03-29 12:18:18,6.30490333,-75.57973167,4.00,1754.101,23.799,0.000,,16,39,,
T,2023-03-29 12:18:19,6.30490333,-75.57973167,3.80,1754.101,23.799,0.000,,15,39,,
