type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-03-29 18:37:46.091,6.24542000,-75.56319833,3.50,1510.552,23.848,1.474,98,14,41,20230329-133746,GPS Logger: 20230329-133746 - ECCI -Casa-TVS
T,2023-03-29 18:37:47.090,6.24545333,-75.56314500,3.20,1510.153,23.847,0.775,108,14,41,,
T,2023-03-29 18:37:48.090,6.24542333,-75.56318833,3.10,1509.853,23.847,0.000,,15,41,,
T,2023-03-29 18:37:49.091,6.24542500,-75.56318333,3.10,1509.653,23.847,0.000,,15,41,,
T,2023-03-29 18:37:50.091,6.24542500,-75.56318500,3.20,1509.653,23.847,0.000,,13,41,,
T,2023-03-29 18:37:51.091,6.24543333,-75.56319167,3.30,1510.253,23.847,0.000,,12,41,,
T,2023-03-29 18:37:52.091,6.24544000,-75.56322500,3.50,1510.652,23.848,0.000,,12,41,,
T,2023-03-29 18:37:53.091,6.24544500,-75.56326500,3.60,1510.552,23.848,0.000,,12,41,,
T,2023-03-29 18:37:54.091,6.24544833,-75.56331333,3.80,1510.652,23.848,0.000,,11,41,,
T,2023-03-29 18:37:55.091,6.24545333,-75.56334500,4.10,1510.552,23.848,0.000,,10,41,,
T,2023-03-29 18:37:56.091,6.24544667,-75.56337500,4.20,1510.652,23.848,0.000,,9,41,,
T,2023-03-29 18:37:57.091,6.24544167,-75.56338500,4.30,1510.652,23.848,0.000,,8,41,,
T,2023-03-29 18:37:58.091,6.24543500,-75.56339167,4.40,1510.652,23.848,1.523,259,8,41,,
T,2023-03-29 18:37:59.091,6.24542500,-75.56340500,4.60,1510.651,23.849,0.000,,8,41,,
T,2023-03-29 18:38:00.092,6.24541000,-75.56341833,4.70,1510.751,23.849,0.000,,7,41,,
T,2023-03-29 18:38:01.092,6.24540000,-75.56341667,4.80,1510.751,23.849,0.000,,9,41,,
T,2023-03-29 18:38:02.096,6.24539500,-75.56338500,4.90,1510.851,23.849,0.000,,8,41,,
T,2023-03-29 18:38:04,6.24537500,-75.56338167,5.30,1511.051,23.849,0.000,,9,41,,
T,2023-03-29 18:38:05,6.24536500,-75.56333000,5.20,1511.152,23.848,0.000,,12,41,,
T,2023-03-29 18:38:06,6.24538000,-75.56325000,4.90,1511.152,23.848,0.000,,13,41,,
T,2023-03-29 18:38:07,6.24540833,-75.56318833,4.60,1511.053,23.847,0.000,,16,41,,
T,2023-03-29 18:38:08,6.24539833,-75.56320000,4.50,1510.852,23.848,0.000,,15,41,,
T,2023-03-29 18:38:09,6.24537667,-75.56319833,4.50,1510.652,23.848,0.000,,16,41,,
T,2023-03-29 18:38:10,6.24535000,-75.56321000,4.40,1510.552,23.848,0.000,,16,41,,
T,2023-03-29 18:38:11,6.24533500,-75.56327167,4.20,1510.452,23.848,0.000,,15,41,,
T,2023-03-29 18:38:12,6.24531833,-75.56330667,4.10,1510.352,23.848,0.000,,16,41,,
T,2023-03-29 18:38:13,6.24529333,-75.56332667,3.40,1510.252,23.848,0.000,,18,41,,
T,2023-03-29 18:38:14,6.24526333,-75.56331000,3.00,1510.152,23.848,2.288,210,17,41,,
T,2023-03-29 18:38:15,6.24525167,-75.56332500,3.00,1509.951,23.849,2.389,220,17,41,,
T,2023-03-29 18:38:16,6.24523500,-75.56331000,2.90,1509.752,23.848,2.444,215,16,41,,
T,2023-03-29 18:38:17,6.24523000,-75.56330167,2.90,1509.652,23.848,2.434,197,16,41,,
T,2023-03-29 18:38:18,6.24522833,-75.56329167,2.80,1509.452,23.848,2.321,189,16,41,,
T,2023-03-29 18:38:19,6.24523000,-75.56328000,2.80,1509.352,23.848,2.076,129,16,41,,
T,2023-03-29 18:38:20,6.24523000,-75.56326833,2.70,1509.452,23.848,1.824,161,16,41,,
T,2023-03-29 18:38:21,6.24522167,-75.56325833,2.60,1509.252,23.848,1.515,154,16,41,,
T,2023-03-29 18:38:22,6.24521667,-75.56326000,2.60,1509.152,23.848,1.216,247,16,41,,
T,2023-03-29 18:38:23,6.24521667,-75.56326333,2.60,1509.152,23.848,0.968,256,16,41,,
T,2023-03-29 18:38:24,6.24521500,-75.56327500,2.70,1509.052,23.848,0.844,256,16,41,,
T,2023-03-29 18:38:25,6.24522000,-75.56329667,2.70,1508.952,23.848,0.000,,16,41,,
T,2023-03-29 18:38:26,6.24524333,-75.56333000,2.80,1508.951,23.849,1.231,300,16,41,,
T,2023-03-29 18:38:27,6.24527667,-75.56336667,2.90,1508.751,23.849,6.195,316,15,41,,
T,2023-03-29 18:38:28,6.24531333,-75.56341167,3.20,1508.751,23.849,6.738,305,15,41,,
T,2023-03-29 18:38:29,6.24533500,-75.56345167,3.40,1508.751,23.849,5.004,297,13,41,,
T,2023-03-29 18:38:30,6.24536167,-75.56349333,3.60,1508.851,23.849,4.897,302,13,41,,
T,2023-03-29 18:38:31,6.24540833,-75.56355167,3.60,1508.651,23.849,5.068,310,12,41,,
T,2023-03-29 18:38:32,6.24540000,-75.56361333,3.80,1508.650,23.850,5.340,297,13,41,,
T,2023-03-29 18:38:33,6.24539833,-75.56366667,3.70,1508.150,23.850,5.149,290,12,41,,
T,2023-03-29 18:38:34,6.24539500,-75.56371833,3.80,1508.150,23.850,4.889,270,13,41,,
T,2023-03-29 18:38:35,6.24539333,-75.56378000,3.60,1507.749,23.851,4.350,254,13,41,,
