type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-03-30 23:07:16,6.27517833,-75.58725000,2.00,1530.294,23.906,0.177,305,21,43,20230330-180716,GPS Logger: 20230330-180716 - Apache1604v_ruta8
T,2023-03-30 23:07:17,6.27517333,-75.58724500,1.90,1530.394,23.906,0.217,305,24,43,,
T,2023-03-30 23:07:18,6.27517167,-75.58724333,1.90,1530.094,23.906,0.235,305,24,43,,
T,2023-03-30 23:07:19,6.27516833,-75.58724333,1.90,1529.994,23.906,0.234,305,23,43,,
T,2023-03-30 23:07:20,6.27516833,-75.58724167,1.80,1529.994,23.906,0.090,305,23,43,,
T,2023-03-30 23:07:21,6.27516667,-75.58723833,1.80,1529.794,23.906,0.057,305,24,43,,
T,2023-03-30 23:07:22,6.27516333,-75.58723500,1.80,1529.694,23.906,0.050,305,24,43,,
T,2023-03-30 23:07:23,6.27516333,-75.58723333,1.80,1529.594,23.906,0.029,14,24,43,,
T,2023-03-30 23:07:24,6.27516167,-75.58723333,1.80,1529.294,23.906,0.040,167,24,43,,
T,2023-03-30 23:07:25,6.27516000,-75.58723833,1.70,1528.794,23.906,0.069,193,25,43,,
T,2023-03-30 23:07:26,6.27515667,-75.58724000,1.70,1528.394,23.906,0.142,166,25,43,,
T,2023-03-30 23:07:27,6.27515667,-75.58723833,1.70,1528.394,23.906,0.175,135,25,43,,
T,2023-03-30 23:07:28,6.27515500,-75.58724000,1.70,1528.694,23.906,0.151,138,23,43,,
T,2023-03-30 23:07:29,6.27515000,-75.58724000,1.80,1528.994,23.906,0.000,,23,43,,
T,2023-03-30 23:07:30,6.27514500,-75.58724000,1.80,1529.094,23.906,0.000,,23,43,,
T,2023-03-30 23:07:31,6.27514333,-75.58724167,1.90,1529.094,23.906,0.154,171,23,43,,
T,2023-03-30 23:07:32,6.27514333,-75.58724000,1.90,1528.994,23.906,0.170,184,23,43,,
T,2023-03-30 23:07:33,6.27514500,-75.58723833,1.90,1529.294,23.906,0.176,184,23,43,,
T,2023-03-30 23:07:34,6.27514833,-75.58723667,2.00,1529.394,23.906,0.000,,23,43,,
T,2023-03-30 23:07:35,6.27515000,-75.58723667,2.00,1529.594,23.906,0.000,,22,43,,
T,2023-03-30 23:07:36,6.27515167,-75.58723833,2.10,1529.694,23.906,0.000,,23,43,,
T,2023-03-30 23:07:37,6.27515333,-75.58723500,2.10,1529.594,23.906,0.000,,23,43,,
T,2023-03-30 23:07:38,6.27515333,-75.58723167,2.10,1529.494,23.906,0.000,,23,43,,
T,2023-03-30 23:07:39,6.27515167,-75.58722500,2.20,1529.394,23.906,0.000,,22,43,,
T,2023-03-30 23:07:40,6.27515667,-75.58722667,2.10,1529.294,23.906,0.000,,19,43,,
T,2023-03-30 23:07:41,6.27516167,-75.58722833,2.10,1529.394,23.906,0.000,,19,43,,
T,2023-03-30 23:07:42,6.27516167,-75.58723000,2.10,1529.294,23.906,0.000,,20,43,,
T,2023-03-30 23:07:43,6.27516333,-75.58723500,2.00,1529.394,23.906,0.000,,20,43,,
T,2023-03-30 23:07:44,6.27516000,-75.58723667,2.00,1529.394,23.906,0.000,,20,43,,
T,2023-03-30 23:07:45,6.27516000,-75.58723667,2.00,1529.394,23.906,0.000,,20,43,,
T,2023-03-30 23:07:46,6.27516000,-75.58723667,2.10,1529.394,23.906,0.000,,20,43,,
T,2023-03-30 23:07:47,6.27516000,-75.58723667,2.10,1529.394,23.906,0.000,,20,43,,
T,2023-03-30 23:07:48,6.27516000,-75.58723667,2.10,1529.394,23.906,0.000,,20,43,,
T,2023-03-30 23:07:49,6.27516000,-75.58723667,2.10,1529.394,23.906,0.000,,20,43,,
T,2023-03-30 23:07:50,6.27516000,-75.58723667,2.10,1529.394,23.906,0.000,,20,43,,
T,2023-03-30 23:07:51,6.27516000,-75.58723667,2.10,1529.394,23.906,0.000,,20,43,,
T,2023-03-30 23:07:52,6.27516000,-75.58723667,2.10,1529.394,23.906,0.000,,20,43,,
T,2023-03-30 23:07:53,6.27516333,-75.58722500,2.10,1529.294,23.906,0.387,96,21,43,,
T,2023-03-30 23:07:54,6.27516500,-75.58721000,2.20,1529.294,23.906,0.514,82,21,43,,
T,2023-03-30 23:07:55,6.27516500,-75.58719000,2.20,1529.194,23.906,0.000,,21,43,,
T,2023-03-30 23:07:56,6.27516667,-75.58717333,2.30,1529.194,23.906,0.000,,22,43,,
T,2023-03-30 23:07:57,6.27516333,-75.58715333,2.30,1529.295,23.905,0.000,,22,43,,
T,2023-03-30 23:07:58,6.27516000,-75.58713833,2.30,1529.395,23.905,0.000,,22,43,,
