type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-03-31 12:44:45.804,6.30547000,-75.58113000,2.60,1753.395,23.805,0.282,129,22,43,20230331-074445,GPS Logger: 20230331-074445 - Casa ECCI TVS
T,2023-03-31 12:44:46.804,6.30546833,-75.58111500,2.50,1753.195,23.805,0.059,120,23,43,,
T,2023-03-31 12:44:47.804,6.30546500,-75.58110667,2.40,1752.795,23.805,0.267,80,22,43,,
T,2023-03-31 12:44:48.804,6.30546667,-75.58110333,2.40,1752.495,23.805,0.000,,22,43,,
T,2023-03-31 12:44:49.804,6.30547000,-75.58110000,2.50,1752.495,23.805,0.000,,23,43,,
T,2023-03-31 12:44:50.804,6.30547500,-75.58109500,2.60,1752.696,23.804,0.000,,23,43,,
T,2023-03-31 12:44:51.804,6.30546667,-75.58108833,2.70,1752.596,23.804,0.000,,20,43,,
T,2023-03-31 12:44:52.804,6.30546167,-75.58108500,2.80,1752.596,23.804,0.000,,20,43,,
T,2023-03-31 12:44:53.804,6.30546167,-75.58108000,2.80,1752.796,23.804,0.000,,18,43,,
T,2023-03-31 12:44:54.804,6.30546500,-75.58107333,2.80,1753.096,23.804,0.000,,19,43,,
T,2023-03-31 12:44:55.804,6.30547000,-75.58106667,2.80,1753.096,23.804,0.000,,20,43,,
T,2023-03-31 12:44:57,6.30547667,-75.58105500,2.80,1753.296,23.804,0.000,,19,43,,
T,2023-03-31 12:44:58,6.30548000,-75.58105833,2.70,1753.296,23.804,0.000,,19,43,,
T,2023-03-31 12:44:59,6.30548333,-75.58105667,2.70,1753.396,23.804,0.000,,19,43,,
T,2023-03-31 12:45:00,6.30548833,-75.58105333,2.70,1753.496,23.804,0.000,,20,43,,
T,2023-03-31 12:45:01,6.30549000,-75.58105333,2.70,1753.496,23.804,0.000,,21,43,,
T,2023-03-31 12:45:02,6.30549500,-75.58105500,2.70,1753.596,23.804,0.000,,20,43,,
T,2023-03-31 12:45:03,6.30549833,-75.58105333,2.80,1754.096,23.804,0.000,,20,43,,
T,2023-03-31 12:45:04,6.30549500,-75.58106000,2.80,1754.396,23.804,0.000,,19,43,,
T,2023-03-31 12:45:05,6.30548667,-75.58106333,2.80,1754.596,23.804,0.000,,19,43,,
T,2023-03-31 12:45:06,6.30548000,-75.58106833,2.90,1754.996,23.804,0.000,,18,43,,
T,2023-03-31 12:45:07,6.30547500,-75.58108500,3.00,1754.996,23.804,0.000,,17,42,,
T,2023-03-31 12:45:08,6.30547000,-75.58109333,3.10,1754.896,23.804,0.000,,17,42,,
T,2023-03-31 12:45:09,6.30547000,-75.58109333,3.10,1754.896,23.804,0.000,,14,42,,
T,2023-03-31 12:45:10,6.30546500,-75.58109833,3.20,1755.195,23.805,0.000,,14,42,,
T,2023-03-31 12:45:11,6.30546333,-75.58109833,3.30,1755.295,23.805,0.000,,14,42,,
T,2023-03-31 12:45:12,6.30546667,-75.58110500,3.30,1755.395,23.805,0.000,,15,43,,
T,2023-03-31 12:45:13,6.30547667,-75.58111000,3.40,1755.595,23.805,0.000,,15,43,,
T,2023-03-31 12:45:14,6.30549000,-75.58110833,3.40,1756.095,23.805,0.000,,15,43,,
T,2023-03-31 12:45:15,6.30549667,-75.58110500,3.50,1756.296,23.804,0.000,,11,43,,
T,2023-03-31 12:45:16,6.30550000,-75.58110167,3.70,1756.296,23.804,0.000,,11,43,,
T,2023-03-31 12:45:17,6.30550167,-75.58111167,3.80,1756.095,23.805,0.000,,11,43,,
