type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-04-07 19:33:20.086,6.29941449,-75.55955675,13.21,1450.893,23.707,0.000,,23,26,20230407-143320,GPS Logger: 20230407-143320 - Honda_cb160f_6
T,2023-04-07 19:33:21.086,6.29939279,-75.55952610,13.50,1446.628,23.706,0.000,,25,27,,
T,2023-04-07 19:33:22,6.29937174,-75.55959168,11.41,1448.814,23.707,0.000,,26,28,,
T,2023-04-07 19:33:23,6.29938597,-75.55957697,7.15,1448.516,23.707,0.150,59,27,28,,
T,2023-04-07 19:33:24,6.29939756,-75.55959393,6.16,1443.357,23.707,0.160,12,27,29,,
T,2023-04-07 19:33:25,6.29939612,-75.55958178,6.71,1444.615,23.707,0.000,,28,29,,
T,2023-04-07 19:33:26,6.29939350,-75.55958848,6.10,1443.527,23.707,0.000,,28,29,,
T,2023-04-07 19:33:27,6.29939183,-75.55958941,5.86,1441.782,23.707,0.000,,28,29,,
T,2023-04-07 19:33:28,6.29939117,-75.55959181,5.80,1440.284,23.707,0.000,,28,29,,
T,2023-04-07 19:33:29,6.29939211,-75.55958847,6.06,1440.009,23.707,0.000,,27,29,,
T,2023-04-07 19:33:30,6.29939278,-75.55958804,7.12,1440.000,23.707,0.000,,21,29,,
T,2023-04-07 19:33:31,6.29939243,-75.55958832,7.51,1440.288,23.707,0.000,,17,29,,
T,2023-04-07 19:33:32,6.29939546,-75.55959820,7.66,1441.132,23.707,0.000,,18,29,,
T,2023-04-07 19:33:33,6.29939264,-75.55960138,7.28,1444.097,23.707,0.000,,18,29,,
T,2023-04-07 19:33:34,6.29939033,-75.55960161,6.46,1445.716,23.707,0.000,,19,29,,
T,2023-04-07 19:33:35,6.29939072,-75.55961247,5.92,1446.629,23.707,0.000,,24,29,,
T,2023-04-07 19:33:36,6.29938976,-75.55962329,5.64,1447.866,23.707,0.000,,24,29,,
T,2023-04-07 19:33:37,6.29934353,-75.55964143,4.65,1451.464,23.707,2.450,184,25,29,,
T,2023-04-07 19:33:38,6.29930778,-75.55963444,4.14,1454.549,23.707,1.550,191,24,29,,
T,2023-04-07 19:33:39,6.29927396,-75.55963484,3.97,1456.207,23.707,1.370,180,24,29,,
T,2023-04-07 19:33:40,6.29925870,-75.55963875,3.83,1458.882,23.707,0.860,199,24,29,,
T,2023-04-07 19:33:41,6.29925241,-75.55963722,3.79,1462.273,23.707,0.230,184,24,29,,
T,2023-04-07 19:33:42,6.29924236,-75.55963720,3.79,1463.602,23.707,0.760,184,25,29,,
T,2023-04-07 19:33:43,6.29921925,-75.55963896,3.79,1463.412,23.707,2.820,184,25,29,,
T,2023-04-07 19:33:44,6.29919539,-75.55964587,3.79,1461.990,23.708,2.520,192,26,29,,
T,2023-04-07 19:33:45,6.29918071,-75.55965223,3.79,1462.289,23.708,0.850,201,26,29,,
T,2023-04-07 19:33:46,6.29917639,-75.55965358,3.79,1463.086,23.708,0.370,194,26,29,,
T,2023-04-07 19:33:47,6.29917509,-75.55965380,3.79,1463.096,23.708,0.000,,27,29,,
T,2023-04-07 19:33:48,6.29917609,-75.55965480,3.79,1463.405,23.708,0.000,,25,29,,
T,2023-04-07 19:33:49,6.29917809,-75.55965729,4.23,1463.479,23.708,0.000,,24,29,,
T,2023-04-07 19:33:50,6.29917820,-75.55965912,4.22,1463.370,23.708,0.000,,24,29,,
T,2023-04-07 19:33:51,6.29917724,-75.55966021,4.29,1463.336,23.708,0.000,,23,29,,
T,2023-04-07 19:33:52,6.29917558,-75.55966375,4.40,1462.679,23.708,0.000,,23,29,,
T,2023-04-07 19:33:53,6.29917297,-75.55966693,5.30,1462.499,23.708,0.000,,24,29,,
T,2023-04-07 19:33:54,6.29916932,-75.55967091,5.27,1462.560,23.708,0.000,,24,29,,
T,2023-04-07 19:33:55,6.29916675,-75.55967397,5.68,1462.558,23.708,0.000,,24,29,,
T,2023-04-07 19:33:56,6.29912516,-75.55969307,4.52,1459.355,23.708,3.050,188,24,29,,
T,2023-04-07 19:33:57,6.29907527,-75.55970773,3.94,1461.534,23.708,4.960,198,23,29,,
T,2023-04-07 19:33:58,6.29898539,-75.55973403,3.79,1462.436,23.708,6.100,204,25,29,,
T,2023-04-07 19:33:59,6.29892065,-75.55974280,3.79,1463.183,23.709,6.250,206,25,29,,
T,2023-04-07 19:34:00,6.29885401,-75.55975789,3.79,1462.385,23.709,6.700,204,25,29,,
T,2023-04-07 19:34:01,6.29879242,-75.55977963,3.79,1461.122,23.709,7.190,200,27,29,,
T,2023-04-07 19:34:02,6.29874096,-75.55982212,3.79,1460.468,23.709,6.830,207,26,27,,
T,2023-04-07 19:34:03,6.29869338,-75.55985070,3.79,1460.261,23.710,6.140,200,26,27,,
T,2023-04-07 19:34:04,6.29864182,-75.55986857,3.79,1460.854,23.710,5.810,185,25,27,,
T,2023-04-07 19:34:05,6.29859134,-75.55988287,3.79,1461.491,23.710,5.290,180,24,27,,
T,2023-04-07 19:34:06,6.29854860,-75.55987510,3.79,1461.730,23.710,4.220,175,23,27,,
T,2023-04-07 19:34:07,6.29852212,-75.55985751,3.79,1462.141,23.710,2.950,167,23,27,,
T,2023-04-07 19:34:08,6.29849239,-75.55985962,3.79,1461.419,23.710,3.360,174,23,27,,
T,2023-04-07 19:34:09,6.29844231,-75.55986746,3.79,1460.969,23.710,5.850,195,24,27,,
T,2023-04-07 19:34:10,6.29839044,-75.55988350,3.79,1460.834,23.711,7.010,209,24,27,,
T,2023-04-07 19:34:11,6.29833240,-75.55991185,3.79,1461.279,23.711,8.160,213,24,28,,
T,2023-04-07 19:34:12,6.29826520,-75.55995157,3.79,1461.258,23.711,9.130,212,26,28,,
T,2023-04-07 19:34:13,6.29819540,-75.55999687,3.79,1461.530,23.712,9.810,213,26,30,,
T,2023-04-07 19:34:14,6.29812259,-75.56005236,3.79,1461.899,23.712,10.670,216,28,30,,
T,2023-04-07 19:34:15,6.29804271,-75.56011028,3.79,1461.971,23.713,10.820,218,28,30,,
T,2023-04-07 19:34:16,6.29795941,-75.56016790,3.79,1462.169,23.713,11.540,218,27,29,,
T,2023-04-07 19:34:17,6.29787641,-75.56023150,3.79,1463.040,23.714,11.970,218,27,29,,
T,2023-04-07 19:34:18,6.29779240,-75.56030432,3.79,1463.682,23.714,12.280,220,26,29,,
T,2023-04-07 19:34:19,6.29770196,-75.56037763,3.79,1464.301,23.715,12.510,219,28,29,,
