type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-04-11 22:18:20,6.27871222,-75.63709665,4.11,1871.926,24.157,0.000,,23,26,20230411-171820,GPS Logger: 20230411-171820 - Cb_160f_4
T,2023-04-11 22:18:21,6.27871172,-75.63710130,3.83,1872.417,24.157,0.000,,24,27,,
T,2023-04-11 22:18:22,6.27871479,-75.63710261,3.79,1872.394,24.157,0.000,,25,28,,
T,2023-04-11 22:18:23,6.27871594,-75.63710211,3.79,1872.083,24.157,0.000,,26,28,,
T,2023-04-11 22:18:24,6.27871593,-75.63710150,3.79,1871.715,24.157,0.000,,26,28,,
T,2023-04-11 22:18:25,6.27870002,-75.63709873,3.79,1870.893,24.157,1.640,168,26,29,,
T,2023-04-11 22:18:26,6.27867928,-75.63708625,3.79,1871.085,24.157,2.240,174,26,29,,
T,2023-04-11 22:18:27,6.27865198,-75.63708547,4.00,1871.730,24.157,2.800,178,25,29,,
T,2023-04-11 22:18:28,6.27863066,-75.63706039,3.94,1871.464,24.157,3.040,128,17,29,,
T,2023-04-11 22:18:29,6.27860928,-75.63705084,4.60,1870.299,24.157,2.700,144,16,29,,
T,2023-04-11 22:18:30,6.27860255,-75.63704309,4.25,1870.009,24.157,1.580,118,18,30,,
T,2023-04-11 22:18:31,6.27860817,-75.63704221,3.79,1870.660,24.157,0.000,,20,30,,
T,2023-04-11 22:18:32,6.27861284,-75.63705196,3.79,1871.200,24.157,0.000,,21,31,,
T,2023-04-11 22:18:33,6.27861674,-75.63705376,3.79,1871.690,24.157,0.000,,24,31,,
T,2023-04-11 22:18:34,6.27861753,-75.63705623,3.79,1872.265,24.157,0.000,,25,31,,
T,2023-04-11 22:18:35,6.27861625,-75.63705893,3.79,1872.735,24.157,0.000,,25,31,,
T,2023-04-11 22:18:36,6.27861676,-75.63706077,3.79,1873.198,24.157,0.000,,25,31,,
T,2023-04-11 22:18:37,6.27861724,-75.63706298,3.79,1873.678,24.157,0.000,,25,31,,
T,2023-04-11 22:18:38,6.27861947,-75.63706432,3.79,1874.245,24.157,0.000,,25,31,,
T,2023-04-11 22:18:39,6.27861886,-75.63706404,3.79,1874.385,24.157,0.000,,22,31,,
T,2023-04-11 22:18:40,6.27861541,-75.63706498,3.79,1873.869,24.157,0.000,,22,33,,
T,2023-04-11 22:18:41,6.27861516,-75.63706305,3.79,1874.416,24.157,0.000,,26,33,,
T,2023-04-11 22:18:42,6.27859902,-75.63699470,3.79,1875.789,24.157,5.760,113,25,32,,
T,2023-04-11 22:18:43,6.27862794,-75.63691822,3.85,1874.934,24.156,7.140,84,26,33,,
T,2023-04-11 22:18:44,6.27861657,-75.63685585,3.79,1874.323,24.156,6.510,101,26,33,,
T,2023-04-11 22:18:45,6.27859967,-75.63680112,3.79,1874.516,24.156,5.790,92,26,33,,
T,2023-04-11 22:18:46,6.27859839,-75.63676164,3.79,1874.291,24.155,4.240,84,25,34,,
T,2023-04-11 22:18:47,6.27860456,-75.63672038,3.79,1874.667,24.155,3.850,83,24,34,,
T,2023-04-11 22:18:48,6.27860723,-75.63668388,3.79,1874.345,24.155,3.910,86,24,34,,
T,2023-04-11 22:18:49,6.27861591,-75.63665155,3.79,1873.830,24.155,3.620,77,23,34,,
