type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-04-12 10:05:54,6.27888408,-75.63705819,4.07,1868.755,24.156,0.000,,25,27,20230412-050554,GPS Logger: 20230412-050554 - Cb-160f_8
T,2023-04-12 10:05:55,6.27888360,-75.63705495,4.09,1869.461,24.156,0.000,,25,27,,
T,2023-04-12 10:05:56,6.27888269,-75.63705041,3.80,1869.469,24.156,0.000,,25,27,,
T,2023-04-12 10:05:57,6.27888321,-75.63704641,3.88,1869.492,24.156,0.000,,25,27,,
T,2023-04-12 10:05:58,6.27888377,-75.63705192,3.79,1869.836,24.156,0.000,,25,27,,
T,2023-04-12 10:05:59,6.27888233,-75.63705110,3.79,1870.282,24.156,0.000,,25,27,,
T,2023-04-12 10:06:00,6.27888230,-75.63704933,3.79,1870.077,24.156,0.000,,25,27,,
T,2023-04-12 10:06:01,6.27888358,-75.63704943,3.79,1869.690,24.156,0.000,,25,27,,
T,2023-04-12 10:06:02,6.27887783,-75.63704814,3.79,1869.437,24.156,0.710,158,25,28,,
T,2023-04-12 10:06:03,6.27887642,-75.63705785,3.79,1869.992,24.156,0.270,317,26,28,,
T,2023-04-12 10:06:04,6.27886767,-75.63706272,3.79,1870.709,24.156,0.450,211,25,28,,
T,2023-04-12 10:06:05,6.27887403,-75.63706291,3.79,1869.451,24.156,0.420,312,25,28,,
T,2023-04-12 10:06:06,6.27887152,-75.63706535,3.79,1868.353,24.156,0.290,238,25,28,,
T,2023-04-12 10:06:07,6.27886888,-75.63706210,3.79,1868.020,24.156,0.000,,24,28,,
T,2023-04-12 10:06:08,6.27886801,-75.63706062,3.79,1867.947,24.156,0.000,,21,27,,
T,2023-04-12 10:06:09,6.27886489,-75.63705693,3.79,1867.934,24.156,0.340,112,19,27,,
T,2023-04-12 10:06:10,6.27886424,-75.63705489,3.79,1867.921,24.156,0.000,,20,28,,
T,2023-04-12 10:06:11,6.27886424,-75.63705444,3.79,1867.915,24.156,0.000,,20,28,,
T,2023-04-12 10:06:12,6.27886423,-75.63705433,3.79,1867.917,24.156,0.000,,20,27,,
T,2023-04-12 10:06:13,6.27886426,-75.63705431,3.79,1867.905,24.156,0.000,,19,28,,
T,2023-04-12 10:06:14,6.27886430,-75.63705431,3.79,1867.897,24.156,0.000,,17,28,,
T,2023-04-12 10:06:15,6.27886430,-75.63705434,3.79,1867.896,24.156,0.000,,17,28,,
T,2023-04-12 10:06:16,6.27886625,-75.63705644,3.79,1867.382,24.156,0.000,,18,28,,
T,2023-04-12 10:06:17,6.27886681,-75.63705980,3.79,1866.719,24.156,0.300,268,21,27,,
T,2023-04-12 10:06:18,6.27886837,-75.63706596,3.79,1866.725,24.156,0.000,,21,27,,
T,2023-04-12 10:06:19,6.27886757,-75.63706793,3.79,1866.619,24.156,0.000,,22,27,,
T,2023-04-12 10:06:20,6.27886688,-75.63706854,3.79,1866.653,24.156,0.000,,22,27,,
T,2023-04-12 10:06:21,6.27886671,-75.63706867,3.79,1866.647,24.156,0.000,,21,27,,
T,2023-04-12 10:06:22,6.27885005,-75.63706520,3.79,1866.538,24.156,2.100,169,20,27,,
T,2023-04-12 10:06:23,6.27881947,-75.63705684,3.79,1866.347,24.156,3.490,165,18,27,,
T,2023-04-12 10:06:24,6.27877783,-75.63704858,3.79,1865.098,24.156,4.650,170,19,27,,
T,2023-04-12 10:06:25,6.27873296,-75.63704029,3.79,1864.113,24.156,4.880,170,18,27,,
T,2023-04-12 10:06:26,6.27868851,-75.63703359,3.79,1862.825,24.157,4.840,173,19,27,,
T,2023-04-12 10:06:27,6.27863463,-75.63708488,4.43,1862.513,24.157,4.090,172,20,27,,
T,2023-04-12 10:06:28,6.27860965,-75.63707794,4.70,1861.274,24.157,3.260,170,21,27,,
T,2023-04-12 10:06:29,6.27857967,-75.63706712,4.06,1860.530,24.157,3.320,182,22,27,,
T,2023-04-12 10:06:30,6.27856193,-75.63703418,3.79,1860.952,24.157,3.540,138,16,27,,
T,2023-04-12 10:06:31,6.27854994,-75.63699380,3.79,1861.831,24.157,3.610,110,20,27,,
T,2023-04-12 10:06:32,6.27855582,-75.63694838,3.79,1862.851,24.156,4.510,84,22,28,,
