type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-04-14 15:02:16.658,6.34617333,-75.53447000,8.80,1104.631,23.469,0.000,,8,32,20230414-100216,GPS Logger: 20230414-100216 - yhamajaNmax_viaje 4
T,2023-04-14 15:02:17.664,6.34612333,-75.53447333,8.20,1110.730,23.470,0.000,,8,32,,
T,2023-04-14 15:02:18.664,6.34613000,-75.53446333,8.10,1113.230,23.470,0.000,,9,32,,
T,2023-04-14 15:02:19.664,6.34613667,-75.53446667,7.90,1115.330,23.470,0.000,,9,32,,
T,2023-04-14 15:02:20.661,6.34614833,-75.53447167,7.80,1117.730,23.470,0.000,,9,32,,
T,2023-04-14 15:02:21.660,6.34615833,-75.53447667,7.70,1119.230,23.470,0.000,,9,32,,
T,2023-04-14 15:02:22.658,6.34616667,-75.53448167,7.70,1120.130,23.470,0.000,,9,32,,
T,2023-04-14 15:02:23.655,6.34619500,-75.53448000,7.70,1120.731,23.469,0.000,,8,32,,
T,2023-04-14 15:02:24.653,6.34621833,-75.53449500,7.60,1121.531,23.469,0.000,,8,32,,
T,2023-04-14 15:02:25.652,6.34623833,-75.53450667,7.60,1122.331,23.469,0.000,,8,33,,
T,2023-04-14 15:02:26.650,6.34625333,-75.53451000,7.60,1123.631,23.469,0.000,,8,33,,
T,2023-04-14 15:02:27.649,6.34626167,-75.53451000,7.50,1124.931,23.469,0.000,,8,33,,
T,2023-04-14 15:02:28.611,6.34596500,-75.53448500,7.20,1306.330,23.470,0.000,,6,33,,
T,2023-04-14 15:02:29.606,6.34589500,-75.53449167,7.10,1338.230,23.470,0.000,,7,33,,
T,2023-04-14 15:02:30.574,6.34537167,-75.53401167,237.80,1347.131,23.469,0.000,,8,33,,
T,2023-04-14 15:02:32,6.34538667,-75.53408833,187.90,1350.831,23.469,0.000,,8,33,,
T,2023-04-14 15:02:33,6.34547333,-75.53427500,104.70,1364.030,23.470,0.000,,9,33,,
T,2023-04-14 15:02:34,6.34551167,-75.53433000,92.90,1365.330,23.470,0.000,,7,33,,
T,2023-04-14 15:02:35,6.34554333,-75.53436833,86.60,1366.630,23.470,0.000,,6,32,,
T,2023-04-14 15:02:36,6.34556333,-75.53439500,82.00,1367.930,23.470,0.000,,7,32,,
T,2023-04-14 15:02:37,6.34556833,-75.53438833,78.90,1369.730,23.470,0.000,,8,32,,
T,2023-04-14 15:02:38,6.34557333,-75.53438167,76.40,1371.130,23.470,0.000,,8,32,,
T,2023-04-14 15:02:39,6.34565000,-75.53440167,8.40,1390.330,23.470,0.000,,8,33,,
T,2023-04-14 15:02:40,6.34570500,-75.53442667,8.00,1400.730,23.470,0.000,,8,33,,
T,2023-04-14 15:02:41,6.34574333,-75.53445333,7.70,1408.430,23.470,0.000,,7,33,,
T,2023-04-14 15:02:42,6.34577000,-75.53447167,7.40,1411.630,23.470,0.000,,8,33,,
T,2023-04-14 15:02:43,6.34580833,-75.53450333,7.20,1417.430,23.470,0.000,,7,33,,
T,2023-04-14 15:02:44,6.34582667,-75.53452833,7.00,1418.729,23.471,0.000,,8,33,,
T,2023-04-14 15:02:45,6.34581167,-75.53452333,6.80,1411.129,23.471,0.000,,8,33,,
T,2023-04-14 15:02:46,6.34580167,-75.53451667,6.60,1406.529,23.471,0.000,,8,33,,
T,2023-04-14 15:02:47,6.34580833,-75.53451667,6.50,1405.229,23.471,0.000,,7,33,,
T,2023-04-14 15:02:48,6.34579500,-75.53451000,6.40,1402.029,23.471,0.000,,7,32,,
T,2023-04-14 15:02:49,6.34580500,-75.53451833,6.40,1403.329,23.471,0.000,,7,32,,
T,2023-04-14 15:02:50,6.34581333,-75.53453000,6.30,1406.329,23.471,0.000,,7,32,,
T,2023-04-14 15:02:51,6.34581667,-75.53453167,6.20,1408.029,23.471,0.000,,7,32,,
T,2023-04-14 15:02:52,6.34582667,-75.53453833,6.10,1410.829,23.471,0.000,,7,32,,
T,2023-04-14 15:02:53,6.34584333,-75.53454333,6.10,1413.629,23.471,0.000,,7,32,,
T,2023-04-14 15:02:54,6.34585667,-75.53454667,6.00,1415.329,23.471,0.000,,7,32,,
T,2023-04-14 15:02:55,6.34586500,-75.53454833,6.00,1416.729,23.471,0.000,,7,32,,
T,2023-04-14 15:02:56,6.34587667,-75.53455167,6.00,1417.629,23.471,0.000,,7,32,,
T,2023-04-14 15:02:57,6.34588333,-75.53455333,6.00,1418.129,23.471,0.000,,7,32,,
T,2023-04-14 15:02:58,6.34588833,-75.53455333,6.00,1418.529,23.471,0.000,,6,32,,
T,2023-04-14 15:02:59,6.34589833,-75.53455667,6.00,1419.429,23.471,0.000,,6,32,,
T,2023-04-14 15:03:00,6.34590667,-75.53456000,6.00,1420.229,23.471,0.000,,6,32,,
T,2023-04-14 15:03:01,6.34591667,-75.53455500,6.10,1421.730,23.470,0.000,,5,32,,
T,2023-04-14 15:03:02,6.34592167,-75.53454167,6.10,1421.830,23.470,0.000,,5,32,,
T,2023-04-14 15:03:03,6.34593000,-75.53453167,6.10,1423.230,23.470,0.000,,5,32,,
T,2023-04-14 15:03:04,6.34592833,-75.53451833,6.00,1425.830,23.470,0.000,,5,32,,
T,2023-04-14 15:03:05,6.34593167,-75.53451000,6.00,1428.830,23.470,0.000,,5,32,,
T,2023-04-14 15:03:06,6.34592667,-75.53450500,6.00,1431.330,23.470,0.000,,6,32,,
T,2023-04-14 15:03:07,6.34592667,-75.53450000,5.90,1434.330,23.470,0.000,,6,32,,
T,2023-04-14 15:03:08,6.34592500,-75.53449167,5.90,1436.030,23.470,0.000,,6,32,,
