type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-04-14 16:22:56,6.27596467,-75.58649199,4.36,1544.135,23.900,0.000,,20,35,20230414-112256,GPS Logger: 20230414-112256 - Ruta 2 Daniela
T,2023-04-14 16:22:57,6.27596990,-75.58650676,3.86,1544.765,23.900,0.000,,21,35,,
T,2023-04-14 16:22:58,6.27597652,-75.58651752,3.79,1547.216,23.900,0.000,,21,35,,
T,2023-04-14 16:22:59,6.27597729,-75.58651528,3.79,1547.488,23.900,0.000,,22,35,,
T,2023-04-14 16:23:00,6.27597707,-75.58651232,3.79,1548.305,23.900,0.000,,22,35,,
T,2023-04-14 16:23:01,6.27597811,-75.58651262,3.79,1548.726,23.900,0.000,,23,35,,
T,2023-04-14 16:23:02,6.27597964,-75.58650909,3.79,1548.176,23.900,0.000,,23,35,,
T,2023-04-14 16:23:03,6.27598287,-75.58650966,3.79,1548.330,23.900,0.000,,23,35,,
T,2023-04-14 16:23:04,6.27598346,-75.58650959,3.79,1548.594,23.900,0.000,,21,35,,
T,2023-04-14 16:23:05,6.27598711,-75.58651164,3.79,1548.338,23.900,0.000,,21,35,,
T,2023-04-14 16:23:06,6.27598939,-75.58650911,3.79,1548.826,23.900,0.390,90,21,35,,
T,2023-04-14 16:23:07,6.27599135,-75.58650821,3.79,1550.330,23.900,0.350,99,21,35,,
T,2023-04-14 16:23:08,6.27598899,-75.58651144,3.79,1550.458,23.900,0.000,,22,35,,
T,2023-04-14 16:23:09,6.27599101,-75.58651010,3.79,1550.085,23.900,0.000,,22,35,,
T,2023-04-14 16:23:10,6.27599098,-75.58651027,3.79,1550.201,23.900,0.000,,22,35,,
T,2023-04-14 16:23:11,6.27599068,-75.58651310,3.79,1549.995,23.900,0.000,,23,35,,
T,2023-04-14 16:23:12,6.27599236,-75.58651346,3.79,1550.617,23.900,0.000,,23,35,,
T,2023-04-14 16:23:13,6.27599294,-75.58651409,3.79,1550.753,23.900,0.000,,24,35,,
T,2023-04-14 16:23:14,6.27599455,-75.58651322,3.79,1551.031,23.900,0.000,,23,35,,
T,2023-04-14 16:23:15,6.27599669,-75.58651392,3.79,1551.230,23.900,0.000,,22,35,,
T,2023-04-14 16:23:16,6.27599767,-75.58651431,3.79,1551.392,23.900,0.000,,22,35,,
T,2023-04-14 16:23:17,6.27599760,-75.58651351,3.79,1551.522,23.900,0.000,,22,35,,
T,2023-04-14 16:23:18,6.27599804,-75.58651452,3.79,1551.734,23.900,0.000,,21,35,,
T,2023-04-14 16:23:19,6.27599768,-75.58651420,3.79,1551.674,23.900,0.000,,20,35,,
T,2023-04-14 16:23:20,6.27599551,-75.58651275,3.79,1552.392,23.900,0.280,193,19,35,,
T,2023-04-14 16:23:21,6.27599795,-75.58651838,3.79,1552.235,23.900,0.000,,19,35,,
T,2023-04-14 16:23:22,6.27599657,-75.58651359,3.79,1552.007,23.900,0.000,,20,35,,
T,2023-04-14 16:23:23,6.27599736,-75.58651014,3.79,1552.185,23.900,0.000,,20,35,,
T,2023-04-14 16:23:24,6.27599769,-75.58651184,3.79,1552.204,23.900,0.000,,21,35,,
T,2023-04-14 16:23:25,6.27599570,-75.58651018,3.79,1552.053,23.900,0.540,139,21,35,,
T,2023-04-14 16:23:26,6.27599588,-75.58651107,3.79,1552.647,23.900,0.000,,22,35,,
T,2023-04-14 16:23:27,6.27599759,-75.58651119,3.79,1552.591,23.900,0.000,,22,35,,
T,2023-04-14 16:23:28,6.27600050,-75.58651129,3.79,1553.000,23.900,0.240,139,23,35,,
T,2023-04-14 16:23:29,6.27600205,-75.58651190,3.79,1553.114,23.900,0.000,,23,35,,
T,2023-04-14 16:23:30,6.27600253,-75.58651331,3.79,1553.146,23.900,0.000,,25,35,,
T,2023-04-14 16:23:31,6.27600263,-75.58651519,3.79,1553.161,23.900,0.000,,25,35,,
T,2023-04-14 16:23:32,6.27600318,-75.58651451,3.79,1553.110,23.900,0.000,,25,34,,
T,2023-04-14 16:23:33,6.27600734,-75.58651856,3.94,1552.974,23.900,0.540,138,24,35,,
T,2023-04-14 16:23:34,6.27600829,-75.58652303,3.96,1551.810,23.900,0.560,121,20,35,,
T,2023-04-14 16:23:35,6.27600630,-75.58654494,3.91,1550.715,23.900,2.450,242,20,35,,
T,2023-04-14 16:23:36,6.27599964,-75.58657085,3.95,1550.229,23.901,2.590,239,17,35,,
T,2023-04-14 16:23:37,6.27599365,-75.58659717,3.99,1549.716,23.901,2.880,242,17,35,,
T,2023-04-14 16:23:38,6.27600287,-75.58662095,3.97,1549.168,23.901,2.460,286,15,35,,
T,2023-04-14 16:23:39,6.27602709,-75.58663937,4.03,1549.543,23.901,2.690,309,17,35,,
T,2023-04-14 16:23:40,6.27606055,-75.58663859,3.79,1550.006,23.901,2.990,7,19,35,,
T,2023-04-14 16:23:41,6.27608624,-75.58662563,3.79,1549.502,23.901,2.310,26,20,35,,
T,2023-04-14 16:23:42,6.27609501,-75.58661872,3.79,1549.768,23.901,0.680,26,23,35,,
T,2023-04-14 16:23:43,6.27609380,-75.58661452,3.79,1549.969,23.901,0.000,,23,35,,
T,2023-04-14 16:23:44,6.27609119,-75.58661277,3.79,1550.453,23.901,0.000,,24,35,,
T,2023-04-14 16:23:45,6.27609015,-75.58661330,3.79,1550.826,23.901,0.000,,24,35,,
T,2023-04-14 16:23:46,6.27609036,-75.58661238,3.79,1550.568,23.901,0.000,,24,35,,
T,2023-04-14 16:23:47,6.27609411,-75.58661224,3.79,1551.087,23.901,0.000,,25,35,,
T,2023-04-14 16:23:48,6.27609281,-75.58661212,3.79,1551.519,23.901,0.000,,25,35,,
T,2023-04-14 16:23:49,6.27608769,-75.58661253,3.79,1551.364,23.901,0.000,,25,35,,
T,2023-04-14 16:23:50,6.27608688,-75.58661395,3.79,1550.632,23.901,0.000,,25,35,,
T,2023-04-14 16:23:51,6.27608327,-75.58661798,3.79,1549.859,23.901,0.000,,24,35,,
T,2023-04-14 16:23:52,6.27608232,-75.58662033,3.79,1550.017,23.901,0.000,,24,35,,
T,2023-04-14 16:23:53,6.27608218,-75.58661932,3.79,1549.770,23.901,0.000,,24,35,,
T,2023-04-14 16:23:54,6.27608298,-75.58662102,3.79,1550.082,23.901,0.000,,24,35,,
T,2023-04-14 16:23:55,6.27608032,-75.58661948,3.79,1549.924,23.901,0.000,,24,35,,
T,2023-04-14 16:23:56,6.27607837,-75.58661797,3.79,1549.641,23.901,0.000,,24,35,,
T,2023-04-14 16:23:57,6.27607737,-75.58661735,3.79,1549.937,23.901,0.000,,24,35,,
T,2023-04-14 16:23:58,6.27607797,-75.58661701,3.79,1550.343,23.901,0.000,,25,35,,
T,2023-04-14 16:23:59,6.27607635,-75.58661616,3.79,1550.575,23.901,0.000,,24,35,,
T,2023-04-14 16:24:00,6.27607658,-75.58661660,3.79,1550.610,23.901,0.000,,24,35,,
T,2023-04-14 16:24:01,6.27607647,-75.58661663,3.79,1550.661,23.901,0.000,,24,35,,
T,2023-04-14 16:24:02,6.27607648,-75.58661665,3.79,1550.621,23.901,0.000,,24,35,,
T,2023-04-14 16:24:03,6.27607648,-75.58661675,3.79,1550.568,23.901,0.000,,24,35,,
T,2023-04-14 16:24:04,6.27607643,-75.58661673,3.79,1550.554,23.901,0.000,,24,35,,
T,2023-04-14 16:24:05,6.27607639,-75.58661667,3.79,1550.548,23.901,0.000,,24,35,,
T,2023-04-14 16:24:06,6.27607636,-75.58661664,3.79,1550.553,23.901,0.000,,23,35,,
T,2023-04-14 16:24:07,6.27607633,-75.58661659,3.79,1550.552,23.901,0.000,,23,35,,
T,2023-04-14 16:24:08,6.27608089,-75.58661541,3.79,1550.505,23.901,0.540,15,25,35,,
T,2023-04-14 16:24:09,6.27609513,-75.58661036,3.79,1550.667,23.901,1.710,20,26,35,,
T,2023-04-14 16:24:10,6.27611894,-75.58660295,3.79,1551.071,23.900,2.790,16,26,35,,
T,2023-04-14 16:24:11,6.27614465,-75.58659531,3.79,1551.525,23.900,2.860,8,26,35,,
T,2023-04-14 16:24:12,6.27617392,-75.58658851,3.79,1552.494,23.900,3.440,12,26,35,,
T,2023-04-14 16:24:13,6.27620419,-75.58657604,3.79,1552.964,23.900,3.610,20,25,35,,
T,2023-04-14 16:24:14,6.27623228,-75.58656342,3.79,1552.896,23.900,3.270,21,25,35,,
T,2023-04-14 16:24:15,6.27625770,-75.58655167,3.79,1552.558,23.900,2.840,24,25,35,,
T,2023-04-14 16:24:16,6.27627855,-75.58654259,3.79,1552.462,23.900,2.260,23,25,35,,
T,2023-04-14 16:24:17,6.27630202,-75.58653343,3.79,1552.628,23.900,2.930,21,25,35,,
T,2023-04-14 16:24:18,6.27632210,-75.58652931,3.79,1552.298,23.900,1.980,9,25,35,,
T,2023-04-14 16:24:19,6.27633769,-75.58653377,3.79,1552.176,23.900,1.720,342,24,35,,
T,2023-04-14 16:24:20,6.27635455,-75.58654661,3.79,1551.940,23.900,2.350,322,23,35,,
T,2023-04-14 16:24:21,6.27637367,-75.58656306,3.79,1552.098,23.900,2.660,358,23,35,,
T,2023-04-14 16:24:22,6.27638301,-75.58659274,3.79,1552.739,23.900,3.090,287,22,35,,
T,2023-04-14 16:24:23,6.27638665,-75.58662177,3.79,1552.678,23.900,2.650,283,21,35,,
T,2023-04-14 16:24:24,6.27638968,-75.58665266,3.79,1552.931,23.900,3.080,280,20,35,,
T,2023-04-14 16:24:25,6.27639310,-75.58668289,3.79,1552.915,23.900,3.110,277,19,35,,
T,2023-04-14 16:24:26,6.27639960,-75.58672152,3.79,1553.076,23.900,4.270,279,18,35,,
T,2023-04-14 16:24:27,6.27640640,-75.58676304,3.79,1553.137,23.901,4.460,279,19,35,,
T,2023-04-14 16:24:28,6.27641839,-75.58682352,3.79,1553.244,23.901,5.580,276,21,35,,
T,2023-04-14 16:24:29,6.27642369,-75.58689960,3.79,1553.241,23.901,6.880,272,23,35,,
T,2023-04-14 16:24:30,6.27643126,-75.58696197,3.79,1553.137,23.902,7.160,272,23,35,,
T,2023-04-14 16:24:31,6.27643434,-75.58703005,3.79,1553.317,23.902,7.720,273,23,35,,
T,2023-04-14 16:24:32,6.27644254,-75.58711620,3.79,1552.596,23.902,8.910,270,23,35,,
T,2023-04-14 16:24:33,6.27645679,-75.58722521,3.79,1552.457,23.903,11.280,271,22,35,,
T,2023-04-14 16:24:34,6.27646208,-75.58733111,3.79,1552.531,23.903,11.680,268,21,35,,
T,2023-04-14 16:24:35,6.27646116,-75.58743593,3.79,1552.338,23.904,11.680,266,21,35,,
T,2023-04-14 16:24:36,6.27645524,-75.58754309,3.79,1552.794,23.905,11.910,265,22,35,,
T,2023-04-14 16:24:37,6.27644658,-75.58765384,3.79,1553.028,23.905,11.710,266,22,35,,
T,2023-04-14 16:24:38,6.27644078,-75.58774825,3.79,1553.235,23.906,10.290,266,20,35,,
T,2023-04-14 16:24:39,6.27643490,-75.58782569,3.79,1553.958,23.906,8.580,267,20,35,,
T,2023-04-14 16:24:40,6.27643315,-75.58788499,3.79,1554.635,23.906,6.750,269,22,35,,
