type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-04-16 03:37:01,6.23213494,-75.60222345,3.79,1549.981,24.076,0.000,,19,38,20230415-223701,GPS Logger: 20230415-223701 - Ruta 3 Daniela Mejia
T,2023-04-16 03:37:02,6.23213921,-75.60222374,3.79,1549.647,24.076,0.000,,19,38,,
T,2023-04-16 03:37:03,6.23214103,-75.60222406,3.79,1549.603,24.076,0.000,,19,38,,
T,2023-04-16 03:37:04,6.23214182,-75.60222417,3.79,1549.551,24.076,0.000,,19,38,,
T,2023-04-16 03:37:05,6.23214172,-75.60222434,3.79,1549.588,24.076,0.000,,19,38,,
T,2023-04-16 03:37:06,6.23214170,-75.60222433,3.79,1549.528,24.076,0.000,,19,38,,
T,2023-04-16 03:37:07,6.23214192,-75.60222423,3.79,1549.416,24.076,0.000,,20,38,,
T,2023-04-16 03:37:08,6.23214175,-75.60222411,3.79,1549.259,24.076,0.000,,19,38,,
T,2023-04-16 03:37:09,6.23214126,-75.60222426,3.79,1549.447,24.076,0.000,,19,38,,
T,2023-04-16 03:37:10,6.23214106,-75.60222428,3.79,1549.438,24.076,0.000,,19,38,,
T,2023-04-16 03:37:11,6.23213240,-75.60222390,3.79,1549.144,24.076,1.030,175,19,38,,
T,2023-04-16 03:37:12,6.23211813,-75.60222728,3.79,1549.158,24.077,1.850,201,19,38,,
T,2023-04-16 03:37:13,6.23206097,-75.60220785,4.45,1548.775,24.077,5.880,161,19,38,,
T,2023-04-16 03:37:14,6.23198856,-75.60221940,3.79,1548.937,24.077,6.160,178,19,38,,
T,2023-04-16 03:37:15,6.23191961,-75.60221494,3.89,1548.608,24.077,7.360,178,19,38,,
T,2023-04-16 03:37:16,6.23184354,-75.60221440,3.89,1547.572,24.077,7.640,176,19,38,,
T,2023-04-16 03:37:17,6.23177716,-75.60221187,3.92,1547.416,24.077,7.500,179,20,38,,
T,2023-04-16 03:37:18,6.23172159,-75.60221089,4.03,1547.481,24.077,6.490,180,20,38,,
T,2023-04-16 03:37:19,6.23167383,-75.60221022,4.21,1546.805,24.077,5.930,184,20,38,,
T,2023-04-16 03:37:20,6.23163339,-75.60221219,4.04,1545.853,24.077,4.800,179,21,38,,
T,2023-04-16 03:37:21,6.23159093,-75.60221054,3.83,1546.226,24.077,4.540,176,21,38,,
T,2023-04-16 03:37:22,6.23155065,-75.60221899,4.05,1547.304,24.078,3.630,179,21,38,,
T,2023-04-16 03:37:23,6.23153692,-75.60221679,4.21,1547.574,24.078,1.790,174,21,38,,
T,2023-04-16 03:37:24,6.23151961,-75.60220884,4.92,1547.844,24.078,1.730,170,21,38,,
T,2023-04-16 03:37:25,6.23149420,-75.60221986,4.30,1547.543,24.078,2.060,161,21,38,,
T,2023-04-16 03:37:26,6.23147568,-75.60222212,4.35,1547.563,24.078,1.860,159,21,38,,
T,2023-04-16 03:37:27,6.23146129,-75.60222721,4.03,1546.511,24.078,1.660,160,21,38,,
T,2023-04-16 03:37:28,6.23144764,-75.60223361,4.00,1546.080,24.078,1.750,149,21,38,,
T,2023-04-16 03:37:29,6.23143563,-75.60223897,3.82,1546.234,24.078,1.360,140,21,38,,
T,2023-04-16 03:37:30,6.23142728,-75.60224757,3.95,1547.199,24.078,0.840,158,21,38,,
T,2023-04-16 03:37:31,6.23141375,-75.60225044,4.05,1545.420,24.078,1.890,140,21,38,,
T,2023-04-16 03:37:32,6.23140124,-75.60225350,4.28,1544.681,24.078,1.920,142,21,38,,
T,2023-04-16 03:37:33,6.23139439,-75.60226172,4.08,1543.193,24.078,1.630,139,21,38,,
T,2023-04-16 03:37:34,6.23138477,-75.60226730,4.01,1543.250,24.078,2.420,113,21,38,,
T,2023-04-16 03:37:35,6.23135646,-75.60229698,4.03,1542.900,24.078,3.630,212,21,38,,
T,2023-04-16 03:37:36,6.23132498,-75.60233314,3.87,1542.754,24.079,4.090,220,21,38,,
T,2023-04-16 03:37:37,6.23129466,-75.60236083,3.99,1542.474,24.079,3.720,216,21,38,,
T,2023-04-16 03:37:38,6.23127218,-75.60238037,3.79,1542.139,24.079,2.870,209,21,38,,
T,2023-04-16 03:37:39,6.23125228,-75.60239702,3.79,1542.173,24.079,2.610,213,20,38,,
T,2023-04-16 03:37:40,6.23122539,-75.60240977,3.79,1541.552,24.079,3.040,205,18,38,,
T,2023-04-16 03:37:41,6.23119310,-75.60241821,3.96,1541.916,24.079,3.330,196,18,38,,
T,2023-04-16 03:37:42,6.23116369,-75.60241712,4.77,1541.822,24.079,3.120,182,18,38,,
T,2023-04-16 03:37:43,6.23113052,-75.60241175,5.50,1541.506,24.079,3.420,171,18,38,,
T,2023-04-16 03:37:44,6.23108991,-75.60239891,5.35,1541.487,24.079,4.290,160,20,38,,
T,2023-04-16 03:37:45,6.23104297,-75.60237920,4.91,1541.620,24.079,4.980,150,20,38,,
T,2023-04-16 03:37:46,6.23100245,-75.60235706,4.70,1541.891,24.079,4.540,143,20,38,,
T,2023-04-16 03:37:47,6.23094722,-75.60233442,4.99,1542.251,24.079,5.580,137,20,38,,
T,2023-04-16 03:37:48,6.23090263,-75.60228364,5.21,1542.979,24.079,7.320,127,20,38,,
T,2023-04-16 03:37:49,6.23087583,-75.60221322,4.87,1543.191,24.079,7.590,112,20,38,,
T,2023-04-16 03:37:50,6.23085573,-75.60215347,4.83,1542.302,24.079,7.020,96,20,38,,
T,2023-04-16 03:37:51,6.23085166,-75.60210373,4.51,1541.345,24.078,6.950,79,20,38,,
T,2023-04-16 03:37:52,6.23086680,-75.60204153,4.19,1541.629,24.078,6.050,76,20,38,,
