type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-04-16 17:06:55,6.34610500,-75.53447667,5.40,1478.130,23.470,0.000,,10,30,20230416-120655,GPS Logger: 20230416-120655 - Yamaha_Nmax - viaje 5
T,2023-04-16 17:06:56,6.34610833,-75.53447833,3.80,1478.030,23.470,0.000,,10,30,,
T,2023-04-16 17:06:57,6.34611500,-75.53446833,3.30,1478.030,23.470,0.100,38,11,30,,
T,2023-04-16 17:06:58,6.34611500,-75.53446500,3.00,1477.930,23.470,0.094,56,10,30,,
T,2023-04-16 17:06:59,6.34607167,-75.53443333,2.80,1477.831,23.469,0.000,,10,30,,
T,2023-04-16 17:07:00,6.34607667,-75.53443333,2.70,1477.831,23.469,0.229,48,10,30,,
T,2023-04-16 17:07:01,6.34608000,-75.53443333,2.60,1477.731,23.469,0.266,9,11,30,,
T,2023-04-16 17:07:02,6.34607833,-75.53443167,2.50,1477.731,23.469,0.188,358,12,30,,
T,2023-04-16 17:07:03,6.34608000,-75.53443667,2.40,1477.831,23.469,0.094,336,12,30,,
T,2023-04-16 17:07:04,6.34608167,-75.53444333,2.40,1477.830,23.470,0.000,,12,30,,
T,2023-04-16 17:07:05,6.34608500,-75.53444667,2.50,1477.830,23.470,0.000,,12,30,,
T,2023-04-16 17:07:06,6.34608500,-75.53444833,2.50,1477.830,23.470,0.000,,12,30,,
T,2023-04-16 17:07:07,6.34607833,-75.53446167,2.40,1477.930,23.470,0.390,221,12,30,,
T,2023-04-16 17:07:08,6.34607500,-75.53447167,2.30,1478.030,23.470,0.289,201,13,30,,
T,2023-04-16 17:07:09,6.34607667,-75.53447333,2.30,1478.030,23.470,0.281,36,14,30,,
T,2023-04-16 17:07:10,6.34608000,-75.53447667,2.30,1478.030,23.470,0.240,89,14,30,,
T,2023-04-16 17:07:11,6.34607833,-75.53448000,2.30,1478.130,23.470,0.045,77,14,30,,
T,2023-04-16 17:07:12,6.34607500,-75.53448333,2.30,1478.130,23.470,0.219,177,14,30,,
T,2023-04-16 17:07:13,6.34607167,-75.53448500,2.30,1478.030,23.470,0.210,36,13,30,,
T,2023-04-16 17:07:14,6.34606833,-75.53448500,2.30,1478.030,23.470,0.000,,14,30,,
T,2023-04-16 17:07:15,6.34606500,-75.53448667,2.30,1478.030,23.470,0.212,140,15,30,,
T,2023-04-16 17:07:16,6.34606333,-75.53448500,2.30,1477.930,23.470,0.216,132,15,30,,
T,2023-04-16 17:07:17,6.34606667,-75.53448500,2.30,1477.930,23.470,0.000,,15,30,,
T,2023-04-16 17:07:18,6.34607167,-75.53449000,2.30,1477.930,23.470,0.000,,15,30,,
T,2023-04-16 17:07:19,6.34607500,-75.53449333,2.30,1477.930,23.470,0.176,321,15,30,,
