type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-04-17 20:04:58,6.25388207,-75.59913230,3.79,1510.784,24.017,6.510,35,24,27,20230417-150458,GPS Logger: 20230417-150458 - Honda_cb160_3
T,2023-04-17 20:04:59,6.25393051,-75.59910806,3.79,1508.946,24.016,6.260,24,24,27,,
T,2023-04-17 20:05:00,6.25398590,-75.59908979,3.79,1507.055,24.016,6.120,18,24,27,,
T,2023-04-17 20:05:01,6.25403378,-75.59907089,3.79,1506.514,24.016,5.500,20,24,27,,
T,2023-04-17 20:05:02,6.25407838,-75.59905898,3.79,1505.417,24.016,4.610,13,24,27,,
T,2023-04-17 20:05:03,6.25410499,-75.59904743,3.79,1505.868,24.016,2.710,17,24,27,,
T,2023-04-17 20:05:04,6.25411784,-75.59904020,3.79,1505.991,24.016,1.160,24,24,27,,
T,2023-04-17 20:05:05,6.25413893,-75.59904443,3.79,1505.244,24.016,0.340,24,24,30,,
T,2023-04-17 20:05:06,6.25413947,-75.59904847,3.79,1503.988,24.016,0.000,,25,32,,
T,2023-04-17 20:05:07,6.25414281,-75.59904258,3.79,1501.713,24.016,0.000,,27,32,,
T,2023-04-17 20:05:08,6.25414457,-75.59904548,3.79,1501.598,24.016,0.000,,26,32,,
T,2023-04-17 20:05:09,6.25414793,-75.59904024,3.79,1500.117,24.015,0.000,,27,32,,
T,2023-04-17 20:05:10,6.25415057,-75.59903712,3.79,1498.686,24.015,0.000,,26,32,,
T,2023-04-17 20:05:11,6.25415243,-75.59903422,3.79,1497.551,24.015,0.000,,26,32,,
T,2023-04-17 20:05:12,6.25415402,-75.59903231,3.79,1496.300,24.015,0.000,,26,32,,
T,2023-04-17 20:05:13,6.25415153,-75.59902069,3.79,1494.133,24.015,0.000,,29,32,,
T,2023-04-17 20:05:14,6.25416173,-75.59900137,3.79,1490.700,24.015,1.900,24,29,32,,
T,2023-04-17 20:05:15,6.25418436,-75.59898807,3.79,1491.780,24.015,3.900,38,29,32,,
T,2023-04-17 20:05:16,6.25422123,-75.59895695,3.79,1492.780,24.015,5.880,35,29,32,,
T,2023-04-17 20:05:17,6.25426846,-75.59892581,3.79,1494.408,24.015,6.520,38,29,32,,
T,2023-04-17 20:05:18,6.25431651,-75.59889158,3.79,1495.595,24.014,6.960,36,28,32,,
T,2023-04-17 20:05:19,6.25436276,-75.59885743,3.79,1495.996,24.014,6.240,33,25,32,,
T,2023-04-17 20:05:20,6.25441608,-75.59882733,3.79,1497.453,24.014,6.750,34,23,32,,
T,2023-04-17 20:05:21,6.25446897,-75.59879413,3.79,1497.600,24.013,6.900,31,23,32,,
T,2023-04-17 20:05:22,6.25452374,-75.59876399,3.79,1497.637,24.013,6.960,29,21,32,,
T,2023-04-17 20:05:23,6.25457994,-75.59873854,3.79,1498.220,24.013,6.550,28,21,32,,
T,2023-04-17 20:05:24,6.25462768,-75.59872163,3.79,1498.310,24.013,5.770,26,24,32,,
T,2023-04-17 20:05:25,6.25467729,-75.59870297,3.79,1499.147,24.013,5.580,22,25,32,,
T,2023-04-17 20:05:26,6.25473039,-75.59867615,3.79,1499.611,24.012,6.870,18,26,32,,
T,2023-04-17 20:05:27,6.25479577,-75.59864406,3.79,1500.021,24.012,8.320,21,26,32,,
T,2023-04-17 20:05:28,6.25486539,-75.59861609,3.79,1500.108,24.012,8.730,19,26,31,,
T,2023-04-17 20:05:29,6.25494516,-75.59859109,3.79,1501.147,24.011,8.940,19,26,31,,
T,2023-04-17 20:05:30,6.25501882,-75.59856315,3.79,1501.600,24.011,8.560,19,26,31,,
T,2023-04-17 20:05:31,6.25509327,-75.59854009,3.79,1502.032,24.011,8.370,17,25,31,,
T,2023-04-17 20:05:32,6.25516549,-75.59851579,3.79,1501.855,24.010,8.410,17,24,32,,
T,2023-04-17 20:05:33,6.25524711,-75.59849186,3.79,1502.199,24.010,8.900,14,25,32,,
T,2023-04-17 20:05:34,6.25532580,-75.59846687,3.79,1502.261,24.010,9.140,13,25,32,,
T,2023-04-17 20:05:35,6.25540705,-75.59843502,3.79,1502.405,24.009,9.360,13,25,32,,
T,2023-04-17 20:05:36,6.25548494,-75.59841559,3.79,1502.381,24.009,9.090,12,24,32,,
T,2023-04-17 20:05:37,6.25556020,-75.59840014,3.79,1501.867,24.009,8.720,11,24,31,,
T,2023-04-17 20:05:38,6.25562881,-75.59838599,3.79,1501.510,24.009,7.870,13,24,31,,
T,2023-04-17 20:05:39,6.25568844,-75.59837543,3.79,1501.506,24.008,7.210,11,23,31,,
T,2023-04-17 20:05:40,6.25575017,-75.59835887,3.79,1501.720,24.008,7.190,13,23,31,,
T,2023-04-17 20:05:41,6.25580954,-75.59834320,3.79,1501.636,24.008,7.120,12,24,31,,
T,2023-04-17 20:05:42,6.25587590,-75.59833000,3.79,1501.263,24.008,7.210,10,24,30,,
T,2023-04-17 20:05:43,6.25595088,-75.59831597,3.79,1501.065,24.008,7.830,9,23,31,,
T,2023-04-17 20:05:44,6.25603556,-75.59830819,3.79,1500.403,24.007,8.700,11,24,30,,
T,2023-04-17 20:05:45,6.25611574,-75.59829170,3.79,1501.075,24.007,8.980,12,25,30,,
T,2023-04-17 20:05:46,6.25619359,-75.59828108,3.79,1500.496,24.007,8.560,10,25,31,,
T,2023-04-17 20:05:47,6.25627246,-75.59826840,3.79,1501.181,24.007,9.190,10,25,31,,
T,2023-04-17 20:05:48,6.25636007,-75.59825248,3.79,1501.200,24.006,9.900,8,24,31,,
T,2023-04-17 20:05:49,6.25645020,-75.59823597,3.79,1501.144,24.006,10.240,12,26,31,,
T,2023-04-17 20:05:50,6.25654369,-75.59820910,3.79,1500.872,24.006,10.900,13,28,31,,
T,2023-04-17 20:05:51,6.25663661,-75.59818150,3.79,1500.675,24.005,10.840,13,27,31,,
T,2023-04-17 20:05:52,6.25673015,-75.59815566,3.79,1500.419,24.005,10.710,13,27,31,,
T,2023-04-17 20:05:53,6.25682650,-75.59813432,3.79,1500.687,24.005,10.500,13,27,31,,
T,2023-04-17 20:05:54,6.25692279,-75.59811489,3.79,1501.030,24.004,10.690,12,27,31,,
T,2023-04-17 20:05:55,6.25702123,-75.59809381,3.79,1500.425,24.004,10.750,12,26,31,,
T,2023-04-17 20:05:56,6.25711675,-75.59807314,3.79,1499.653,24.004,10.840,12,27,31,,
T,2023-04-17 20:05:57,6.25721048,-75.59805587,3.79,1499.289,24.003,10.730,11,26,31,,
T,2023-04-17 20:05:58,6.25729873,-75.59803369,3.79,1499.093,24.003,10.470,13,25,31,,
T,2023-04-17 20:05:59,6.25738721,-75.59801578,3.79,1499.212,24.003,9.940,12,25,31,,
T,2023-04-17 20:06:00,6.25746876,-75.59799434,3.79,1499.317,24.002,9.310,12,25,31,,
T,2023-04-17 20:06:01,6.25754508,-75.59797382,3.79,1499.109,24.002,8.700,12,25,31,,
T,2023-04-17 20:06:02,6.25761880,-75.59795867,9.94,1498.712,24.002,8.210,12,23,31,,
T,2023-04-17 20:06:03,6.25768402,-75.59794727,9.94,1498.898,24.002,7.590,12,23,31,,
T,2023-04-17 20:06:04,6.25774694,-75.59793254,9.94,1498.870,24.001,7.130,12,22,31,,
T,2023-04-17 20:06:05,6.25780108,-75.59791972,9.94,1498.506,24.001,6.120,11,23,31,,
T,2023-04-17 20:06:06,6.25784954,-75.59791173,9.94,1498.309,24.001,5.180,11,23,31,,
T,2023-04-17 20:06:07,6.25788960,-75.59789928,9.94,1498.049,24.001,4.480,11,24,31,,
T,2023-04-17 20:06:08,6.25792331,-75.59788966,9.94,1497.963,24.001,3.860,12,24,31,,
T,2023-04-17 20:06:09,6.25795221,-75.59788168,9.94,1498.406,24.001,3.570,14,24,31,,
T,2023-04-17 20:06:10,6.25798302,-75.59787457,9.94,1498.312,24.001,3.420,12,24,31,,
T,2023-04-17 20:06:11,6.25801684,-75.59786656,9.94,1497.945,24.001,3.860,13,24,31,,
T,2023-04-17 20:06:12,6.25805447,-75.59786111,9.94,1497.835,24.000,4.150,16,24,31,,
T,2023-04-17 20:06:13,6.25808226,-75.59785567,9.94,1497.497,24.000,3.150,7,24,31,,
T,2023-04-17 20:06:14,6.25810085,-75.59785302,9.94,1497.083,24.000,2.050,8,26,31,,
T,2023-04-17 20:06:15,6.25811229,-75.59785024,9.94,1496.917,24.000,1.350,11,26,31,,
T,2023-04-17 20:06:16,6.25811758,-75.59784801,9.94,1496.815,24.000,0.570,10,25,31,,
T,2023-04-17 20:06:17,6.25811658,-75.59784726,9.94,1496.840,24.000,0.000,,25,31,,
