type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-04-18 00:54:04,6.27425333,-75.58749667,2.40,1558.991,23.909,0.051,52,27,37,20230417-195404,GPS Logger: 20230417-195404 - Ruta_Agility_Ruta6
T,2023-04-18 00:54:05,6.27425500,-75.58750000,2.20,1558.791,23.909,0.053,239,27,37,,
T,2023-04-18 00:54:06,6.27425500,-75.58750000,2.20,1558.091,23.909,0.052,224,27,37,,
T,2023-04-18 00:54:07,6.27425500,-75.58750167,2.20,1557.791,23.909,0.000,,27,37,,
T,2023-04-18 00:54:08,6.27425333,-75.58750000,2.20,1557.391,23.909,0.000,,27,37,,
T,2023-04-18 00:54:09,6.27425333,-75.58750167,2.20,1557.291,23.909,0.000,,26,37,,
T,2023-04-18 00:54:10,6.27425333,-75.58750000,2.30,1557.191,23.909,0.000,,25,37,,
T,2023-04-18 00:54:11,6.27425500,-75.58750000,2.30,1556.991,23.909,0.000,,21,36,,
T,2023-04-18 00:54:12,6.27425833,-75.58750667,2.40,1556.791,23.909,0.000,,21,36,,
T,2023-04-18 00:54:13,6.27426167,-75.58751167,2.40,1556.691,23.909,0.000,,21,36,,
T,2023-04-18 00:54:14,6.27426500,-75.58751333,2.50,1556.591,23.909,0.000,,21,37,,
T,2023-04-18 00:54:15,6.27426500,-75.58751333,2.50,1556.591,23.909,0.000,,20,37,,
T,2023-04-18 00:54:16,6.27426500,-75.58751333,2.60,1556.591,23.909,0.000,,20,37,,
T,2023-04-18 00:54:17,6.27426500,-75.58751333,2.60,1556.591,23.909,0.000,,18,37,,
T,2023-04-18 00:54:18,6.27427167,-75.58751333,2.60,1555.691,23.909,0.000,,17,36,,
T,2023-04-18 00:54:19,6.27427000,-75.58751500,2.70,1555.591,23.909,0.000,,15,36,,
T,2023-04-18 00:54:20,6.27427667,-75.58752500,2.80,1555.391,23.909,0.000,,18,36,,
T,2023-04-18 00:54:21,6.27428667,-75.58754167,2.80,1555.190,23.910,0.000,,17,36,,
T,2023-04-18 00:54:22,6.27429667,-75.58755833,2.90,1555.090,23.910,0.000,,16,36,,
T,2023-04-18 00:54:23,6.27430500,-75.58757167,2.90,1554.990,23.910,0.000,,15,36,,
T,2023-04-18 00:54:24,6.27432000,-75.58758167,2.90,1554.790,23.910,0.000,,15,36,,
T,2023-04-18 00:54:25,6.27433333,-75.58759167,3.00,1554.490,23.910,0.000,,14,34,,
T,2023-04-18 00:54:26,6.27434500,-75.58759000,3.00,1554.190,23.910,0.000,,13,34,,
T,2023-04-18 00:54:27,6.27433500,-75.58755667,3.00,1553.791,23.909,0.000,,12,36,,
T,2023-04-18 00:54:28,6.27434167,-75.58752333,3.10,1553.491,23.909,0.000,,11,36,,
T,2023-04-18 00:54:29,6.27434667,-75.58748333,3.30,1553.291,23.909,0.000,,11,35,,
T,2023-04-18 00:54:30,6.27434667,-75.58743167,3.50,1553.091,23.909,0.000,,10,36,,
T,2023-04-18 00:54:31,6.27435167,-75.58738500,3.70,1552.891,23.909,0.000,,10,36,,
T,2023-04-18 00:54:32,6.27436167,-75.58733833,3.80,1552.692,23.908,0.000,,10,36,,
T,2023-04-18 00:54:33,6.27435667,-75.58728833,3.90,1552.392,23.908,0.000,,10,36,,
T,2023-04-18 00:54:34,6.27435667,-75.58724500,4.10,1552.092,23.908,4.549,86,9,36,,
T,2023-04-18 00:54:35,6.27436333,-75.58720167,4.10,1551.792,23.908,4.332,83,11,36,,
T,2023-04-18 00:54:36,6.27435167,-75.58714500,3.80,1550.893,23.907,3.945,81,11,36,,
T,2023-04-18 00:54:37,6.27434333,-75.58711833,3.70,1550.193,23.907,2.315,82,11,36,,
T,2023-04-18 00:54:38,6.27433333,-75.58709333,3.70,1549.393,23.907,2.457,90,12,36,,
T,2023-04-18 00:54:39,6.27431833,-75.58706667,3.60,1548.693,23.907,2.755,102,12,34,,
T,2023-04-18 00:54:40,6.27430833,-75.58703167,3.50,1548.293,23.907,3.853,107,12,34,,
T,2023-04-18 00:54:41,6.27428333,-75.58700000,3.50,1547.693,23.907,3.712,122,12,34,,
T,2023-04-18 00:54:42,6.27425167,-75.58697333,3.50,1546.893,23.907,3.641,138,13,35,,
T,2023-04-18 00:54:43,6.27421667,-75.58695167,3.40,1546.393,23.907,3.596,143,13,36,,
T,2023-04-18 00:54:44,6.27418000,-75.58693333,3.40,1545.893,23.907,3.555,148,13,36,,
T,2023-04-18 00:54:45,6.27413000,-75.58691000,3.40,1544.393,23.907,3.518,145,12,36,,
T,2023-04-18 00:54:46,6.27409500,-75.58688833,3.50,1543.693,23.907,3.526,144,12,36,,
T,2023-04-18 00:54:47,6.27405833,-75.58686000,3.60,1542.994,23.906,3.728,140,13,36,,
T,2023-04-18 00:54:48,6.27401167,-75.58681333,3.70,1542.294,23.906,4.072,134,13,36,,
T,2023-04-18 00:54:49,6.27397000,-75.58676167,3.70,1541.594,23.906,4.474,127,13,36,,
T,2023-04-18 00:54:50,6.27392333,-75.58670333,3.60,1540.294,23.906,4.853,124,13,36,,
T,2023-04-18 00:54:51,6.27389333,-75.58663833,3.50,1539.394,23.906,5.175,115,12,36,,
T,2023-04-18 00:54:52,6.27386500,-75.58658167,3.50,1537.895,23.905,5.388,112,12,35,,
T,2023-04-18 00:54:53,6.27384500,-75.58654000,3.40,1537.495,23.905,5.471,111,12,35,,
T,2023-04-18 00:54:54,6.27383333,-75.58650167,3.40,1537.095,23.905,5.497,112,12,35,,
T,2023-04-18 00:54:55,6.27382333,-75.58646833,3.40,1536.395,23.905,5.526,110,12,35,,
T,2023-04-18 00:54:56,6.27381833,-75.58643333,3.50,1535.895,23.905,5.618,110,12,35,,
T,2023-04-18 00:54:57,6.27381167,-75.58637833,3.50,1536.095,23.905,5.864,103,12,35,,
T,2023-04-18 00:54:58,6.27379667,-75.58630667,3.50,1536.196,23.904,6.081,99,12,35,,
T,2023-04-18 00:54:59,6.27379500,-75.58622667,3.50,1535.896,23.904,8.278,100,12,35,,
T,2023-04-18 00:55:00,6.27378667,-75.58615333,3.50,1535.897,23.903,6.988,98,10,35,,
T,2023-04-18 00:55:01,6.27377000,-75.58609667,3.50,1535.797,23.903,5.851,103,10,35,,
T,2023-04-18 00:55:02,6.27374500,-75.58606000,3.50,1534.797,23.903,4.188,106,11,36,,
T,2023-04-18 00:55:03,6.27372500,-75.58603833,3.50,1533.997,23.903,2.788,109,12,36,,
T,2023-04-18 00:55:04,6.27369833,-75.58602667,3.30,1533.097,23.903,2.278,120,14,36,,
T,2023-04-18 00:55:05,6.27367667,-75.58600667,3.30,1531.997,23.903,2.864,113,14,35,,
T,2023-04-18 00:55:06,6.27365500,-75.58596833,3.30,1530.897,23.903,3.803,113,12,35,,
T,2023-04-18 00:55:07,6.27362833,-75.58592500,3.40,1530.397,23.903,4.682,117,11,35,,
T,2023-04-18 00:55:08,6.27357500,-75.58588167,3.40,1529.197,23.903,5.547,121,13,35,,
T,2023-04-18 00:55:09,6.27352000,-75.58584000,3.60,1528.498,23.902,5.972,128,12,35,,
T,2023-04-18 00:55:10,6.27348500,-75.58579833,3.80,1528.398,23.902,6.236,135,12,35,,
T,2023-04-18 00:55:11,6.27339000,-75.58576667,3.80,1526.398,23.902,7.323,156,12,35,,
T,2023-04-18 00:55:12,6.27328000,-75.58576833,3.90,1524.097,23.903,7.594,170,12,34,,
T,2023-04-18 00:55:13,6.27319167,-75.58577667,3.90,1522.297,23.903,7.008,177,12,34,,
T,2023-04-18 00:55:14,6.27311167,-75.58575833,3.80,1521.497,23.903,6.528,176,10,34,,
T,2023-04-18 00:55:15,6.27306000,-75.58575333,3.70,1521.197,23.903,5.551,177,11,34,,
T,2023-04-18 00:55:16,6.27301667,-75.58575667,3.70,1521.297,23.903,4.264,181,12,34,,
T,2023-04-18 00:55:17,6.27299500,-75.58576000,3.60,1520.997,23.903,3.348,186,11,34,,
T,2023-04-18 00:55:18,6.27298000,-75.58576167,3.60,1520.597,23.903,2.446,184,11,34,,
T,2023-04-18 00:55:19,6.27296333,-75.58575500,3.50,1520.497,23.903,1.979,190,11,34,,
T,2023-04-18 00:55:20,6.27296333,-75.58575000,3.40,1520.897,23.903,2.294,207,12,35,,
T,2023-04-18 00:55:21,6.27296167,-75.58575167,3.30,1522.197,23.903,1.891,207,13,35,,
T,2023-04-18 00:55:22,6.27295833,-75.58575333,3.20,1522.697,23.903,0.000,,13,35,,
T,2023-04-18 00:55:23,6.27295833,-75.58575333,3.10,1522.097,23.903,0.000,,14,35,,
T,2023-04-18 00:55:24,6.27295833,-75.58575500,3.20,1521.897,23.903,0.000,,15,35,,
T,2023-04-18 00:55:25,6.27295833,-75.58575500,3.20,1521.897,23.903,0.000,,13,35,,
T,2023-04-18 00:55:26,6.27295833,-75.58575500,3.20,1521.897,23.903,0.000,,12,35,,
T,2023-04-18 00:55:27,6.27295833,-75.58575500,3.20,1521.897,23.903,0.000,,12,35,,
T,2023-04-18 00:55:28,6.27295833,-75.58575500,3.10,1521.897,23.903,0.000,,11,35,,
T,2023-04-18 00:55:29,6.27295833,-75.58575500,3.20,1521.897,23.903,0.000,,11,35,,
T,2023-04-18 00:55:30,6.27295833,-75.58575500,3.30,1521.897,23.903,0.000,,11,35,,
T,2023-04-18 00:55:31,6.27295833,-75.58575500,3.30,1521.897,23.903,0.000,,11,35,,
T,2023-04-18 00:55:32,6.27295833,-75.58575500,3.30,1521.897,23.903,0.000,,12,35,,
T,2023-04-18 00:55:33,6.27295833,-75.58575500,3.30,1521.897,23.903,0.000,,12,35,,
T,2023-04-18 00:55:34,6.27295833,-75.58575500,3.40,1521.897,23.903,0.000,,12,35,,
T,2023-04-18 00:55:35,6.27295833,-75.58575500,3.40,1521.897,23.903,0.000,,12,35,,
T,2023-04-18 00:55:36,6.27295833,-75.58575500,3.40,1521.897,23.903,0.000,,12,35,,
T,2023-04-18 00:55:37,6.27295833,-75.58575500,3.40,1521.897,23.903,0.000,,12,35,,
T,2023-04-18 00:55:38,6.27295833,-75.58575500,3.40,1521.897,23.903,0.000,,12,35,,
T,2023-04-18 00:55:39,6.27295833,-75.58575500,3.30,1521.897,23.903,0.000,,13,35,,
T,2023-04-18 00:55:40,6.27295833,-75.58575500,3.30,1521.897,23.903,0.000,,12,35,,
T,2023-04-18 00:55:41,6.27295833,-75.58575500,3.30,1521.897,23.903,0.000,,12,35,,
T,2023-04-18 00:55:42,6.27295833,-75.58575500,3.20,1521.897,23.903,0.000,,12,35,,
T,2023-04-18 00:55:43,6.27295833,-75.58575500,3.20,1521.897,23.903,0.000,,13,35,,
T,2023-04-18 00:55:44,6.27295833,-75.58575500,3.20,1521.897,23.903,0.000,,13,35,,
T,2023-04-18 00:55:45,6.27295833,-75.58575500,3.20,1521.897,23.903,0.000,,12,35,,
T,2023-04-18 00:55:46,6.27295833,-75.58581333,3.30,1511.596,23.904,2.417,201,12,35,,
T,2023-04-18 00:55:47,6.27293833,-75.58583500,3.30,1510.996,23.904,2.856,221,12,35,,
T,2023-04-18 00:55:48,6.27293167,-75.58584667,3.30,1505.296,23.904,3.124,211,9,34,,
T,2023-04-18 00:55:49,6.27290333,-75.58586333,3.30,1504.396,23.904,2.782,216,9,34,,
T,2023-04-18 00:55:50,6.27287500,-75.58588667,3.40,1503.696,23.904,3.114,213,9,34,,
T,2023-04-18 00:55:51,6.27283833,-75.58591333,3.40,1502.796,23.904,3.653,216,9,34,,
T,2023-04-18 00:55:52,6.27280833,-75.58594167,3.40,1502.095,23.905,4.292,220,10,34,,
T,2023-04-18 00:55:53,6.27277167,-75.58597333,3.40,1501.395,23.905,5.477,222,10,34,,
T,2023-04-18 00:55:54,6.27273333,-75.58600833,3.40,1500.895,23.905,6.505,224,11,34,,
T,2023-04-18 00:55:55,6.27268833,-75.58604833,3.30,1500.795,23.905,6.741,227,11,34,,
T,2023-04-18 00:55:56,6.27265500,-75.58609833,3.30,1500.394,23.906,5.924,238,12,34,,
T,2023-04-18 00:55:57,6.27266167,-75.58613833,3.30,1496.494,23.906,5.718,255,11,35,,
T,2023-04-18 00:55:58,6.27265833,-75.58619333,3.30,1496.294,23.906,5.462,273,12,35,,
T,2023-04-18 00:55:59,6.27265667,-75.58624500,3.30,1495.893,23.907,5.257,267,14,35,,
T,2023-04-18 00:56:00,6.27266167,-75.58629833,3.30,1495.593,23.907,5.539,276,14,35,,
T,2023-04-18 00:56:01,6.27267333,-75.58634500,3.30,1495.693,23.907,5.660,282,13,35,,
T,2023-04-18 00:56:02,6.27273500,-75.58640167,3.10,1492.393,23.907,7.530,292,13,35,,
