type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-04-18 22:23:43.006,6.24149667,-75.58313333,2.30,1478.041,23.959,0.036,187,25,48,20230418-172343,GPS Logger: 20230418-172343 - Kymco_Agility_Ruta8
T,2023-04-18 22:23:44,6.24149833,-75.58314000,2.10,1479.741,23.959,0.071,131,25,48,,
T,2023-04-18 22:23:45,6.24150000,-75.58314500,2.10,1481.441,23.959,0.201,314,26,48,,
T,2023-04-18 22:23:46,6.24150833,-75.58315000,2.00,1482.041,23.959,0.300,316,25,48,,
T,2023-04-18 22:23:47,6.24151000,-75.58315000,2.00,1481.541,23.959,0.156,83,25,48,,
T,2023-04-18 22:23:48,6.24149667,-75.58314000,1.80,1481.241,23.959,0.270,110,25,48,,
T,2023-04-18 22:23:49,6.24149000,-75.58314000,1.80,1481.541,23.959,0.224,123,26,48,,
T,2023-04-18 22:23:50,6.24148333,-75.58313667,1.70,1481.741,23.959,0.115,123,27,48,,
T,2023-04-18 22:23:51,6.24148000,-75.58313333,1.70,1481.741,23.959,0.084,21,27,48,,
T,2023-04-18 22:23:52,6.24148000,-75.58313167,1.60,1481.741,23.959,0.330,0,27,48,,
T,2023-04-18 22:23:53,6.24148667,-75.58313000,1.60,1481.841,23.959,0.699,5,28,50,,
T,2023-04-18 22:23:54,6.24149833,-75.58312833,1.60,1482.141,23.959,1.289,8,29,50,,
T,2023-04-18 22:23:55,6.24154167,-75.58313000,1.70,1482.341,23.959,4.666,357,29,50,,
T,2023-04-18 22:23:56,6.24159333,-75.58313667,1.70,1482.441,23.959,5.325,352,29,50,,
T,2023-04-18 22:23:57,6.24164500,-75.58314667,1.70,1482.241,23.959,5.540,346,29,50,,
T,2023-04-18 22:23:58,6.24169833,-75.58316000,1.80,1482.241,23.959,5.491,347,29,50,,
T,2023-04-18 22:23:59,6.24175500,-75.58317167,1.80,1482.441,23.959,5.587,349,29,50,,
T,2023-04-18 22:24:00,6.24181167,-75.58318000,1.80,1482.742,23.958,5.661,355,29,50,,
T,2023-04-18 22:24:01,6.24186500,-75.58318667,1.80,1482.942,23.958,5.726,356,26,50,,
T,2023-04-18 22:24:02,6.24192333,-75.58319167,1.80,1482.942,23.958,6.211,356,26,50,,
T,2023-04-18 22:24:03,6.24198333,-75.58319500,1.80,1482.842,23.958,6.196,354,26,50,,
T,2023-04-18 22:24:04,6.24204333,-75.58319833,1.80,1483.142,23.958,6.556,358,26,50,,
T,2023-04-18 22:24:05,6.24210333,-75.58320333,1.80,1483.042,23.958,6.500,358,25,50,,
