type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-04-21 16:35:09,6.26406754,-75.56337528,6.71,1471.167,23.807,0.000,,9,36,20230421-113509,GPS Logger: 20230421-113509 - TVS 100
T,2023-04-21 16:35:10,6.26407650,-75.56334895,5.94,1467.739,23.807,0.000,,15,36,,
T,2023-04-21 16:35:11,6.26408272,-75.56336642,4.63,1471.096,23.807,0.000,,16,36,,
T,2023-04-21 16:35:12,6.26408443,-75.56336896,4.22,1469.069,23.807,0.000,,20,36,,
T,2023-04-21 16:35:13,6.26408444,-75.56337378,4.05,1469.243,23.807,0.000,,20,36,,
T,2023-04-21 16:35:14,6.26408284,-75.56337597,4.00,1469.695,23.807,0.000,,21,36,,
T,2023-04-21 16:35:15,6.26408048,-75.56337749,4.01,1470.102,23.807,0.000,,20,36,,
T,2023-04-21 16:35:16,6.26408084,-75.56337936,3.96,1470.688,23.807,0.000,,20,36,,
T,2023-04-21 16:35:17,6.26408070,-75.56337711,3.95,1471.117,23.807,0.000,,20,36,,
T,2023-04-21 16:35:18,6.26408039,-75.56337387,4.76,1471.909,23.807,0.190,30,19,36,,
T,2023-04-21 16:35:19,6.26407875,-75.56335648,5.59,1473.128,23.807,0.690,65,18,36,,
T,2023-04-21 16:35:20,6.26409233,-75.56333354,6.51,1473.496,23.807,1.430,51,17,36,,
T,2023-04-21 16:35:21,6.26406779,-75.56332725,5.07,1476.284,23.807,1.960,144,18,36,,
T,2023-04-21 16:35:22,6.26405627,-75.56331645,5.17,1478.330,23.807,1.920,148,19,36,,
T,2023-04-21 16:35:23,6.26402564,-75.56333143,5.46,1478.437,23.807,1.780,186,19,36,,
T,2023-04-21 16:35:24,6.26403222,-75.56334903,5.98,1480.805,23.807,0.960,208,21,36,,
T,2023-04-21 16:35:25,6.26406517,-75.56340221,6.91,1484.538,23.807,3.520,281,21,36,,
T,2023-04-21 16:35:26,6.26409063,-75.56351713,7.14,1484.300,23.808,7.310,276,22,36,,
T,2023-04-21 16:35:27,6.26410595,-75.56370044,6.41,1483.008,23.809,12.000,270,22,36,,
T,2023-04-21 16:35:28,6.26408821,-75.56381007,6.48,1482.955,23.810,11.530,261,22,36,,
T,2023-04-21 16:35:29,6.26409819,-75.56393756,7.11,1484.266,23.810,12.950,265,21,36,,
T,2023-04-21 16:35:30,6.26410447,-75.56408532,7.14,1484.856,23.811,15.670,271,19,36,,
T,2023-04-21 16:35:31,6.26411157,-75.56422619,7.10,1486.926,23.812,14.950,273,19,36,,
T,2023-04-21 16:35:32,6.26410469,-75.56440903,7.56,1485.742,23.813,16.880,272,19,36,,
T,2023-04-21 16:35:33,6.26413910,-75.56457091,8.78,1486.047,23.813,17.180,275,19,36,,
T,2023-04-21 16:35:34,6.26419527,-75.56475291,8.23,1485.512,23.814,19.400,281,19,36,,
T,2023-04-21 16:35:35,6.26422169,-75.56492629,8.29,1485.007,23.815,18.710,281,20,36,,
T,2023-04-21 16:35:36,6.26424755,-75.56508576,8.87,1485.936,23.816,17.380,281,18,36,,
T,2023-04-21 16:35:37,6.26429148,-75.56521964,8.67,1486.071,23.816,15.410,281,19,36,,
T,2023-04-21 16:35:38,6.26428052,-75.56541068,8.15,1483.377,23.817,16.490,277,18,36,,
T,2023-04-21 16:35:39,6.26427957,-75.56551719,6.70,1483.374,23.818,11.180,276,18,36,,
T,2023-04-21 16:35:40,6.26430072,-75.56562923,6.24,1481.550,23.819,10.420,280,18,36,,
T,2023-04-21 16:35:41,6.26431467,-75.56573635,6.03,1479.342,23.819,8.810,280,16,36,,
T,2023-04-21 16:35:42,6.26433571,-75.56583626,6.22,1478.308,23.820,8.780,274,17,36,,
T,2023-04-21 16:35:43,6.26434266,-75.56587598,6.17,1477.367,23.820,4.820,270,17,36,,
T,2023-04-21 16:35:44,6.26434924,-75.56590777,5.56,1476.485,23.820,2.730,283,19,35,,
T,2023-04-21 16:35:45,6.26435229,-75.56594463,5.76,1475.748,23.820,3.160,279,19,36,,
T,2023-04-21 16:35:46,6.26435950,-75.56595509,5.01,1477.262,23.820,2.190,292,20,36,,
T,2023-04-21 16:35:47,6.26436385,-75.56598767,5.05,1478.999,23.820,4.330,280,21,36,,
T,2023-04-21 16:35:48,6.26437451,-75.56602165,4.60,1478.019,23.820,3.340,288,21,36,,
T,2023-04-21 16:35:49,6.26438650,-75.56603434,4.13,1477.393,23.820,0.990,291,21,36,,
T,2023-04-21 16:35:50,6.26439044,-75.56605014,3.84,1476.194,23.820,0.910,291,20,36,,
T,2023-04-21 16:35:51,6.26439780,-75.56605762,3.79,1475.259,23.821,0.970,291,21,36,,
T,2023-04-21 16:35:52,6.26438839,-75.56608024,3.79,1474.413,23.821,1.200,295,21,36,,
T,2023-04-21 16:35:53,6.26439868,-75.56609366,3.79,1474.887,23.821,1.970,295,21,36,,
T,2023-04-21 16:35:54,6.26440354,-75.56611144,3.79,1475.591,23.821,1.950,280,21,36,,
T,2023-04-21 16:35:55,6.26440607,-75.56612816,3.79,1475.663,23.821,1.610,277,21,36,,
