type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-04-22 00:06:18,6.31282052,-75.58285760,5.55,1833.837,23.797,0.000,,21,34,20230421-190618,GPS Logger: 20230421-190618 - Discover 135
T,2023-04-22 00:06:19,6.31281595,-75.58286207,4.98,1834.443,23.797,0.000,,23,34,,
T,2023-04-22 00:06:20,6.31281637,-75.58285488,4.71,1836.541,23.797,0.000,,23,34,,
T,2023-04-22 00:06:21,6.31281455,-75.58285238,4.72,1836.957,23.797,0.000,,23,34,,
T,2023-04-22 00:06:22,6.31281345,-75.58285423,4.51,1837.228,23.797,0.000,,23,34,,
T,2023-04-22 00:06:23,6.31281219,-75.58285258,4.35,1837.688,23.797,0.000,,24,34,,
T,2023-04-22 00:06:24,6.31280481,-75.58284497,4.50,1838.660,23.797,0.000,,24,34,,
T,2023-04-22 00:06:25,6.31280597,-75.58284649,4.56,1838.416,23.797,0.000,,23,34,,
T,2023-04-22 00:06:26,6.31280566,-75.58284397,4.50,1839.455,23.797,0.000,,23,34,,
T,2023-04-22 00:06:27,6.31280854,-75.58284438,4.59,1839.312,23.797,0.000,,23,34,,
T,2023-04-22 00:06:28,6.31280788,-75.58284269,4.92,1839.171,23.797,0.000,,23,34,,
T,2023-04-22 00:06:29,6.31280788,-75.58284269,5.48,1839.171,23.797,0.000,,22,34,,
T,2023-04-22 00:06:30,6.31280801,-75.58284296,7.05,1839.181,23.797,0.000,,21,34,,
T,2023-04-22 00:06:31,6.31280795,-75.58284291,9.50,1839.178,23.797,0.000,,22,34,,
T,2023-04-22 00:06:32,6.31280795,-75.58284305,11.95,1839.161,23.797,0.000,,20,34,,
T,2023-04-22 00:06:33,6.31280797,-75.58284303,15.52,1839.159,23.797,0.000,,17,34,,
T,2023-04-22 00:06:34,6.31280793,-75.58284302,18.38,1839.181,23.797,0.000,,13,34,,
T,2023-04-22 00:06:35,6.31280795,-75.58284308,21.34,1839.198,23.797,0.000,,8,34,,
T,2023-04-22 00:06:36,6.31280798,-75.58284304,23.08,1839.197,23.797,0.000,,9,34,,
T,2023-04-22 00:06:37,6.31280824,-75.58284367,24.82,1839.133,23.797,0.000,,9,34,,
T,2023-04-22 00:06:38,6.31280833,-75.58284379,26.40,1839.182,23.797,0.000,,9,34,,
T,2023-04-22 00:06:39,6.31280861,-75.58284400,26.93,1839.145,23.797,0.000,,10,34,,
T,2023-04-22 00:06:40,6.31280946,-75.58284492,25.58,1839.078,23.797,0.000,,11,34,,
T,2023-04-22 00:06:41,6.31280947,-75.58284492,26.98,1839.079,23.797,0.000,,16,34,,
T,2023-04-22 00:06:42,6.31280946,-75.58284504,28.69,1839.061,23.797,0.000,,15,34,,
T,2023-04-22 00:06:43,6.31280936,-75.58284484,25.27,1839.084,23.797,0.000,,14,34,,
T,2023-04-22 00:06:44,6.31280929,-75.58284454,18.73,1839.127,23.797,0.000,,13,34,,
