type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-04-24 16:00:22,6.15849500,-75.61887833,1.70,1599.893,24.307,0.048,65,23,45,20230424-110022,GPS Logger: 20230424-110022 - Kymco_Agility_go_Ruta9
T,2023-04-24 16:00:23,6.15849667,-75.61887167,1.70,1599.893,24.307,0.228,56,23,45,,
T,2023-04-24 16:00:24,6.15849500,-75.61886667,1.60,1599.793,24.307,0.143,58,24,45,,
T,2023-04-24 16:00:25,6.15849500,-75.61886333,1.60,1599.993,24.307,0.116,73,24,45,,
T,2023-04-24 16:00:26,6.15849500,-75.61886167,1.60,1599.993,24.307,0.120,108,24,45,,
T,2023-04-24 16:00:27,6.15849500,-75.61885833,1.60,1600.093,24.307,0.123,124,24,45,,
T,2023-04-24 16:00:28,6.15849667,-75.61885667,1.60,1599.993,24.307,0.118,109,24,45,,
T,2023-04-24 16:00:29,6.15850000,-75.61885833,1.60,1599.993,24.307,0.118,353,24,45,,
T,2023-04-24 16:00:30,6.15851333,-75.61885500,2.40,1599.793,24.307,0.112,340,25,45,,
T,2023-04-24 16:00:31,6.15852000,-75.61886500,2.00,1599.093,24.307,0.112,60,26,45,,
T,2023-04-24 16:00:32,6.15852000,-75.61886500,1.80,1598.893,24.307,0.128,47,26,45,,
T,2023-04-24 16:00:33,6.15851500,-75.61886333,1.70,1598.793,24.307,0.115,136,26,45,,
T,2023-04-24 16:00:34,6.15851500,-75.61886000,1.60,1598.793,24.307,0.108,155,26,45,,
T,2023-04-24 16:00:35,6.15851333,-75.61885833,1.60,1598.693,24.307,0.141,240,26,45,,
T,2023-04-24 16:00:36,6.15851167,-75.61886000,1.60,1598.493,24.307,0.000,,25,45,,
T,2023-04-24 16:00:37,6.15851000,-75.61886000,1.60,1598.493,24.307,0.000,,25,45,,
T,2023-04-24 16:00:38,6.15851000,-75.61886167,1.60,1598.093,24.307,0.000,,25,45,,
T,2023-04-24 16:00:39,6.15851667,-75.61887333,1.70,1597.793,24.307,0.421,277,25,45,,
T,2023-04-24 16:00:40,6.15852167,-75.61888667,1.80,1597.893,24.307,0.662,284,25,45,,
T,2023-04-24 16:00:41,6.15853167,-75.61891000,1.90,1598.593,24.307,0.949,294,25,45,,
T,2023-04-24 16:00:42,6.15854500,-75.61893500,2.00,1599.292,24.308,1.238,307,25,45,,
T,2023-04-24 16:00:43,6.15856500,-75.61895333,2.00,1599.992,24.308,1.552,309,25,45,,
