type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-04-24 21:53:18.106,6.27597167,-75.58675667,2.10,1539.598,23.902,0.556,310,14,41,20230424-165318,GPS Logger: 20230424-165318 - Recorrido 1
T,2023-04-24 21:53:19.108,6.27597167,-75.58675667,2.10,1539.598,23.902,0.171,347,14,41,,
T,2023-04-24 21:53:20.109,6.27596667,-75.58675167,2.00,1539.698,23.902,0.043,253,14,41,,
T,2023-04-24 21:53:21.111,6.27596667,-75.58675333,2.00,1539.798,23.902,0.124,217,12,41,,
T,2023-04-24 21:53:22.111,6.27596667,-75.58675333,1.90,1539.898,23.902,0.075,19,12,41,,
T,2023-04-24 21:53:23.111,6.27596833,-75.58675667,1.90,1539.998,23.902,0.152,335,15,41,,
T,2023-04-24 21:53:24.111,6.27596500,-75.58675667,1.80,1540.098,23.902,0.221,5,16,41,,
T,2023-04-24 21:53:25.111,6.27596333,-75.58675667,1.80,1540.498,23.902,0.177,223,17,41,,
T,2023-04-24 21:53:26.114,6.27596333,-75.58676000,1.70,1540.698,23.902,0.259,109,19,41,,
T,2023-04-24 21:53:28,6.27596500,-75.58676167,1.70,1540.498,23.902,0.030,168,20,41,,
T,2023-04-24 21:53:29,6.27596167,-75.58675833,1.70,1540.398,23.902,0.094,179,20,41,,
T,2023-04-24 21:53:30,6.27596000,-75.58675833,1.80,1540.298,23.902,0.092,174,21,41,,
T,2023-04-24 21:53:31,6.27595833,-75.58675667,1.90,1540.298,23.902,0.000,,20,41,,
T,2023-04-24 21:53:32,6.27595667,-75.58675667,2.00,1540.098,23.902,0.000,,17,41,,
T,2023-04-24 21:53:33,6.27594833,-75.58675667,2.30,1539.898,23.902,0.000,,15,41,,
T,2023-04-24 21:53:34,6.27594500,-75.58675667,2.60,1539.698,23.902,0.000,,14,41,,
T,2023-04-24 21:53:35,6.27595333,-75.58675333,2.70,1539.498,23.902,0.000,,12,41,,
T,2023-04-24 21:53:36,6.27595500,-75.58675333,2.90,1539.398,23.902,0.000,,9,41,,
T,2023-04-24 21:53:37,6.27595500,-75.58675333,3.00,1539.298,23.902,0.000,,9,41,,
T,2023-04-24 21:53:38,6.27595167,-75.58674833,3.10,1539.298,23.902,0.000,,9,41,,
T,2023-04-24 21:53:39,6.27594333,-75.58675500,3.10,1539.198,23.902,0.000,,10,41,,
T,2023-04-24 21:53:40,6.27594000,-75.58675833,3.20,1539.198,23.902,0.000,,9,41,,
T,2023-04-24 21:53:41,6.27594167,-75.58676000,3.30,1539.098,23.902,0.000,,9,41,,
T,2023-04-24 21:53:42,6.27596000,-75.58677000,3.30,1539.098,23.902,0.000,,9,41,,
T,2023-04-24 21:53:43,6.27597000,-75.58677167,3.30,1539.098,23.902,0.000,,10,41,,
T,2023-04-24 21:53:44,6.27598167,-75.58676000,3.40,1539.098,23.902,0.000,,10,41,,
T,2023-04-24 21:53:45,6.27600000,-75.58674667,3.40,1539.099,23.901,0.000,,10,40,,
T,2023-04-24 21:53:46,6.27601500,-75.58674333,3.50,1538.999,23.901,0.000,,10,40,,
T,2023-04-24 21:53:47,6.27603667,-75.58673667,3.50,1538.899,23.901,0.000,,10,40,,
T,2023-04-24 21:53:48,6.27602833,-75.58676500,3.50,1539.199,23.901,0.000,,10,40,,
T,2023-04-24 21:53:49,6.27603500,-75.58675000,3.50,1539.199,23.901,0.000,,10,40,,
T,2023-04-24 21:53:50,6.27604500,-75.58673000,3.40,1539.199,23.901,0.000,,12,40,,
T,2023-04-24 21:53:51,6.27604833,-75.58671500,3.40,1539.299,23.901,0.000,,11,40,,
T,2023-04-24 21:53:52,6.27605500,-75.58670000,3.40,1539.499,23.901,0.000,,11,40,,
T,2023-04-24 21:53:53,6.27606667,-75.58667667,3.40,1539.399,23.901,0.000,,10,41,,
T,2023-04-24 21:53:54,6.27609000,-75.58666500,3.40,1538.899,23.901,0.000,,11,41,,
T,2023-04-24 21:53:55,6.27611333,-75.58665000,3.20,1538.599,23.901,1.869,37,11,41,,
T,2023-04-24 21:53:56,6.27613167,-75.58664000,3.10,1538.199,23.901,1.771,32,12,41,,
T,2023-04-24 21:53:57,6.27614500,-75.58663833,3.00,1538.099,23.901,1.592,20,11,41,,
T,2023-04-24 21:53:58,6.27615333,-75.58663167,3.00,1538.200,23.900,1.468,37,11,41,,
T,2023-04-24 21:53:59,6.27615333,-75.58662667,3.00,1538.400,23.900,1.353,54,13,41,,
T,2023-04-24 21:54:00,6.27615000,-75.58663000,2.80,1538.400,23.900,1.181,58,14,41,,
T,2023-04-24 21:54:01,6.27614667,-75.58663667,2.70,1538.499,23.901,1.000,270,15,41,,
T,2023-04-24 21:54:02,6.27614500,-75.58664167,2.60,1538.599,23.901,0.835,243,16,41,,
T,2023-04-24 21:54:03,6.27614500,-75.58664167,2.60,1538.499,23.901,0.661,316,15,41,,
T,2023-04-24 21:54:04,6.27615167,-75.58663833,2.60,1538.399,23.901,0.000,,15,41,,
T,2023-04-24 21:54:05,6.27615333,-75.58663500,2.60,1538.299,23.901,0.000,,15,41,,
T,2023-04-24 21:54:06,6.27615833,-75.58663167,2.60,1538.400,23.900,0.000,,15,41,,
T,2023-04-24 21:54:07,6.27616333,-75.58662833,2.70,1538.400,23.900,0.000,,16,41,,
T,2023-04-24 21:54:08,6.27617667,-75.58663000,2.70,1538.300,23.900,0.000,,16,41,,
T,2023-04-24 21:54:09,6.27619000,-75.58662500,2.70,1538.100,23.900,0.000,,16,41,,
T,2023-04-24 21:54:10,6.27620000,-75.58662333,2.70,1538.000,23.900,0.000,,15,41,,
T,2023-04-24 21:54:11,6.27621333,-75.58661333,2.70,1537.900,23.900,0.000,,14,41,,
T,2023-04-24 21:54:12,6.27622500,-75.58660500,2.70,1537.800,23.900,0.000,,15,41,,
T,2023-04-24 21:54:13,6.27625167,-75.58660667,2.70,1538.000,23.900,0.000,,15,41,,
T,2023-04-24 21:54:14,6.27626833,-75.58659833,2.70,1537.900,23.900,0.000,,16,41,,
T,2023-04-24 21:54:15,6.27628833,-75.58659667,2.70,1538.000,23.900,0.000,,16,41,,
T,2023-04-24 21:54:16,6.27630667,-75.58659500,2.70,1537.800,23.900,0.000,,17,41,,
T,2023-04-24 21:54:17,6.27632667,-75.58658167,2.70,1537.700,23.900,0.000,,18,41,,
T,2023-04-24 21:54:18,6.27633500,-75.58657667,2.70,1537.300,23.900,0.000,,17,41,,
T,2023-04-24 21:54:19,6.27635500,-75.58657000,2.70,1537.400,23.900,0.000,,17,41,,
T,2023-04-24 21:54:20,6.27636667,-75.58656500,2.70,1537.200,23.900,1.559,30,17,41,,
T,2023-04-24 21:54:21,6.27637667,-75.58655833,2.60,1537.100,23.900,1.441,36,17,41,,
T,2023-04-24 21:54:22,6.27638000,-75.58655500,2.70,1537.100,23.900,0.000,,17,41,,
T,2023-04-24 21:54:23,6.27638000,-75.58655000,2.70,1537.000,23.900,1.231,161,17,41,,
T,2023-04-24 21:54:24,6.27637167,-75.58654167,2.70,1536.600,23.900,1.153,137,17,41,,
T,2023-04-24 21:54:25,6.27638000,-75.58653667,2.70,1536.701,23.899,1.000,71,16,41,,
T,2023-04-24 21:54:26,6.27638500,-75.58653333,2.70,1537.101,23.899,0.833,42,15,41,,
T,2023-04-24 21:54:27,6.27640000,-75.58653667,2.70,1537.201,23.899,0.727,12,15,41,,
T,2023-04-24 21:54:28,6.27641500,-75.58656333,2.70,1537.500,23.900,0.000,,16,41,,
T,2023-04-24 21:54:29,6.27643500,-75.58658667,2.80,1537.900,23.900,0.000,,16,41,,
T,2023-04-24 21:54:30,6.27645333,-75.58662000,2.90,1538.300,23.900,1.296,293,16,41,,
T,2023-04-24 21:54:31,6.27646167,-75.58664667,3.00,1538.600,23.900,0.000,,16,41,,
T,2023-04-24 21:54:32,6.27646833,-75.58668167,3.10,1538.700,23.900,1.828,282,16,41,,
T,2023-04-24 21:54:33,6.27647500,-75.58671833,3.10,1538.900,23.900,2.106,287,17,41,,
T,2023-04-24 21:54:34,6.27648333,-75.58676000,3.20,1539.000,23.900,2.456,284,15,41,,
T,2023-04-24 21:54:35,6.27649167,-75.58680500,3.40,1538.999,23.901,2.891,283,15,41,,
T,2023-04-24 21:54:36,6.27650833,-75.58685833,3.50,1538.999,23.901,3.418,286,14,41,,
T,2023-04-24 21:54:37,6.27651667,-75.58689833,3.50,1539.699,23.901,3.849,279,15,41,,
T,2023-04-24 21:54:38,6.27651667,-75.58695833,3.50,1539.699,23.901,4.082,280,15,41,,
T,2023-04-24 21:54:39,6.27651167,-75.58700667,3.60,1539.798,23.902,4.219,274,16,40,,
T,2023-04-24 21:54:40,6.27651500,-75.58704833,3.70,1539.798,23.902,4.281,280,14,41,,
T,2023-04-24 21:54:41,6.27652333,-75.58709000,3.80,1539.798,23.902,4.385,285,11,41,,
T,2023-04-24 21:54:42,6.27653667,-75.58713500,4.00,1539.798,23.902,4.418,287,12,41,,
T,2023-04-24 21:54:43,6.27654000,-75.58720500,4.00,1539.797,23.903,4.554,275,12,41,,
T,2023-04-24 21:54:44,6.27654333,-75.58728500,4.00,1539.797,23.903,4.697,274,13,41,,
T,2023-04-24 21:54:45,6.27654333,-75.58736667,3.90,1539.997,23.903,4.862,272,14,41,,
T,2023-04-24 21:54:46,6.27654500,-75.58743333,3.80,1540.096,23.904,5.023,267,16,41,,
T,2023-04-24 21:54:47,6.27653667,-75.58750000,3.80,1540.296,23.904,5.195,263,16,41,,
T,2023-04-24 21:54:48,6.27652667,-75.58757167,3.80,1540.495,23.905,5.404,266,15,41,,
T,2023-04-24 21:54:49,6.27651833,-75.58766167,3.70,1540.395,23.905,5.554,267,17,41,,
T,2023-04-24 21:54:50,6.27650667,-75.58772667,3.50,1540.995,23.905,5.747,270,16,40,,
T,2023-04-24 21:54:51,6.27650333,-75.58778500,3.60,1541.194,23.906,5.995,273,16,41,,
T,2023-04-24 21:54:52,6.27649667,-75.58784000,3.60,1541.394,23.906,6.207,267,16,41,,
T,2023-04-24 21:54:53,6.27649000,-75.58789333,3.50,1541.594,23.906,6.187,274,17,41,,
T,2023-04-24 21:54:54,6.27649167,-75.58793000,3.20,1541.894,23.906,6.063,278,16,41,,
T,2023-04-24 21:54:55,6.27649000,-75.58795833,3.10,1542.193,23.907,5.826,275,16,41,,
T,2023-04-24 21:54:56,6.27648667,-75.58798167,3.00,1542.493,23.907,5.395,268,17,41,,
T,2023-04-24 21:54:57,6.27648333,-75.58801000,3.00,1542.393,23.907,5.018,269,16,41,,
T,2023-04-24 21:54:58,6.27648333,-75.58804667,3.10,1542.993,23.907,4.681,275,14,41,,
T,2023-04-24 21:54:59,6.27648333,-75.58809667,3.10,1543.793,23.907,4.585,270,14,41,,
