type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-04-29 00:47:22,6.27552667,-75.58843500,3.70,1519.889,23.911,0.229,267,12,37,20230428-194722,GPS Logger: 20230428-194722 - Salida
T,2023-04-29 00:47:23,6.27551667,-75.58843500,3.50,1524.689,23.911,0.314,2,15,37,,
T,2023-04-29 00:47:24,6.27550167,-75.58844333,2.80,1528.489,23.911,0.284,2,17,37,,
T,2023-04-29 00:47:25,6.27548500,-75.58843667,2.40,1529.289,23.911,0.248,2,20,37,,
T,2023-04-29 00:47:26,6.27548000,-75.58843833,2.20,1530.189,23.911,0.169,2,22,37,,
T,2023-04-29 00:47:27,6.27547333,-75.58844333,2.10,1530.389,23.911,0.050,2,25,37,,
T,2023-04-29 00:47:28,6.27546833,-75.58844667,2.00,1530.989,23.911,0.069,2,24,37,,
T,2023-04-29 00:47:29,6.27545667,-75.58844500,1.90,1532.288,23.912,0.156,16,24,37,,
T,2023-04-29 00:47:31,6.27546000,-75.58844000,1.80,1532.889,23.911,0.229,59,23,37,,
T,2023-04-29 00:47:32,6.27545833,-75.58843833,1.80,1532.389,23.911,0.362,128,22,37,,
T,2023-04-29 00:47:33,6.27546000,-75.58844167,1.80,1532.389,23.911,0.174,99,23,37,,
T,2023-04-29 00:47:34,6.27546167,-75.58843667,1.80,1532.789,23.911,0.234,80,25,37,,
T,2023-04-29 00:47:35,6.27546333,-75.58843667,1.80,1532.289,23.911,0.173,80,25,37,,
T,2023-04-29 00:47:36,6.27546167,-75.58843833,1.80,1531.689,23.911,0.065,49,25,37,,
T,2023-04-29 00:47:37,6.27546167,-75.58844000,1.80,1531.489,23.911,0.172,35,25,37,,
T,2023-04-29 00:47:38,6.27546167,-75.58843500,1.80,1531.289,23.911,0.186,92,25,37,,
T,2023-04-29 00:47:39,6.27546167,-75.58843500,1.80,1531.089,23.911,0.187,50,23,37,,
T,2023-04-29 00:47:40,6.27546167,-75.58843500,1.80,1531.089,23.911,0.183,171,24,37,,
T,2023-04-29 00:47:41,6.27545833,-75.58843500,1.80,1530.889,23.911,0.177,144,24,37,,
T,2023-04-29 00:47:42,6.27545667,-75.58843167,1.80,1530.489,23.911,0.168,99,22,37,,
T,2023-04-29 00:47:43,6.27545667,-75.58842500,1.80,1530.389,23.911,0.183,106,23,37,,
T,2023-04-29 00:47:44,6.27545500,-75.58842500,1.80,1530.189,23.911,0.196,129,23,37,,
T,2023-04-29 00:47:45,6.27545167,-75.58842833,1.80,1529.789,23.911,0.207,117,23,37,,
T,2023-04-29 00:47:46,6.27545333,-75.58842833,1.80,1529.589,23.911,0.221,99,23,37,,
T,2023-04-29 00:47:47,6.27545500,-75.58843000,1.80,1529.689,23.911,0.231,105,23,37,,
T,2023-04-29 00:47:48,6.27545500,-75.58842500,1.80,1529.989,23.911,0.000,,23,37,,
T,2023-04-29 00:47:49,6.27545500,-75.58842667,1.80,1530.189,23.911,0.000,,22,37,,
T,2023-04-29 00:47:50,6.27545333,-75.58842667,1.70,1530.289,23.911,0.000,,22,37,,
