type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-02 13:04:21,6.24716333,-75.59858000,11.60,1490.872,24.028,0.000,,10,42,20230502-080421,GPS Logger: 20230502-080421
T,2023-05-02 13:04:22,6.24721833,-75.59854167,9.80,1495.672,24.028,4.176,108,10,42,,
T,2023-05-02 13:04:23,6.24721000,-75.59849167,7.70,1499.472,24.028,4.408,102,15,42,,
T,2023-05-02 13:04:24,6.24725000,-75.59844000,6.90,1499.673,24.027,4.621,97,14,42,,
T,2023-05-02 13:04:25,6.24726167,-75.59837500,6.60,1495.273,24.027,4.683,93,13,42,,
T,2023-05-02 13:04:26,6.24728333,-75.59831000,6.40,1494.473,24.027,4.759,90,13,42,,
T,2023-05-02 13:04:27,6.24738167,-75.59823167,6.00,1483.174,24.026,4.879,85,13,42,,
T,2023-05-02 13:04:28,6.24742500,-75.59816833,5.90,1470.174,24.026,4.986,80,12,42,,
T,2023-05-02 13:04:29,6.24754667,-75.59810500,5.60,1468.975,24.025,5.396,72,16,42,,
T,2023-05-02 13:04:30,6.24771833,-75.59795500,5.30,1488.176,24.024,8.589,54,16,42,,
T,2023-05-02 13:04:31,6.24777000,-75.59786667,5.10,1490.577,24.023,9.261,57,15,42,,
T,2023-05-02 13:04:32,6.24781833,-75.59778333,5.00,1491.377,24.023,9.542,60,16,42,,
T,2023-05-02 13:04:33,6.24786833,-75.59769167,4.90,1492.078,24.022,9.446,60,16,42,,
T,2023-05-02 13:04:34,6.24790500,-75.59759667,4.80,1491.378,24.022,10.070,69,16,42,,
T,2023-05-02 13:04:35,6.24794167,-75.59750667,4.80,1489.979,24.021,10.499,71,16,42,,
T,2023-05-02 13:04:36,6.24795000,-75.59741500,4.70,1490.279,24.021,7.763,83,15,42,,
T,2023-05-02 13:04:37,6.24797500,-75.59737500,4.70,1489.980,24.020,8.292,79,15,42,,
T,2023-05-02 13:04:38,6.24798000,-75.59730500,4.60,1490.480,24.020,8.461,87,15,42,,
T,2023-05-02 13:04:39,6.24796167,-75.59719833,4.50,1491.081,24.019,8.930,97,13,42,,
T,2023-05-02 13:04:40,6.24795500,-75.59709667,4.50,1490.481,24.019,9.124,97,12,42,,
T,2023-05-02 13:04:41,6.24794333,-75.59698000,4.50,1490.782,24.018,12.086,96,13,42,,
T,2023-05-02 13:04:42,6.24793833,-75.59685833,4.50,1492.382,24.018,12.671,95,13,42,,
T,2023-05-02 13:04:43,6.24792000,-75.59670167,4.40,1493.683,24.017,15.269,98,14,42,,
T,2023-05-02 13:04:44,6.24790333,-75.59655333,4.40,1493.984,24.016,15.912,97,14,42,,
T,2023-05-02 13:04:45,6.24788167,-75.59640833,4.40,1493.885,24.015,15.620,99,15,42,,
T,2023-05-02 13:04:46,6.24785833,-75.59628333,4.40,1493.785,24.015,13.861,99,14,42,,
T,2023-05-02 13:04:47,6.24784167,-75.59616000,4.40,1492.786,24.014,13.140,97,11,42,,
T,2023-05-02 13:04:48,6.24782833,-75.59603833,4.40,1492.486,24.014,13.129,96,13,42,,
T,2023-05-02 13:04:49,6.24782333,-75.59591667,4.40,1490.987,24.013,12.810,95,12,42,,
T,2023-05-02 13:04:50,6.24781500,-75.59581000,4.40,1491.088,24.012,11.619,96,15,42,,
T,2023-05-02 13:04:51,6.24780500,-75.59572500,4.40,1490.888,24.012,10.343,98,15,42,,
T,2023-05-02 13:04:52,6.24780167,-75.59563500,4.30,1491.388,24.012,10.303,96,15,42,,
T,2023-05-02 13:04:53,6.24781500,-75.59554667,4.40,1492.989,24.011,10.270,92,15,42,,
T,2023-05-02 13:04:54,6.24783667,-75.59546500,4.50,1491.889,24.011,10.176,81,15,42,,
T,2023-05-02 13:04:55,6.24787000,-75.59539500,4.60,1491.090,24.010,10.089,75,17,42,,
T,2023-05-02 13:04:56,6.24793833,-75.59536000,4.70,1490.490,24.010,9.347,66,17,42,,
T,2023-05-02 13:04:57,6.24806500,-75.59537000,4.60,1492.790,24.010,8.761,49,17,42,,
T,2023-05-02 13:04:58,6.24816000,-75.59536833,4.60,1489.790,24.010,9.213,38,18,42,,
T,2023-05-02 13:04:59,6.24840833,-75.59548000,4.50,1498.490,24.010,11.691,13,18,42,,
