type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-03 13:26:22,6.26421333,-75.56633167,4.50,1467.778,23.822,2.682,186,11,43,20230503-082622,GPS Logger: 20230503-082622 - Itinerario
T,2023-05-03 13:26:23,6.26416000,-75.56633500,4.50,1477.177,23.823,3.138,192,10,42,,
T,2023-05-03 13:26:24,6.26410167,-75.56634167,4.40,1485.377,23.823,3.612,194,10,42,,
T,2023-05-03 13:26:25,6.26406000,-75.56634667,4.40,1485.777,23.823,4.051,193,12,42,,
T,2023-05-03 13:26:26,6.26401000,-75.56634833,4.40,1487.277,23.823,4.551,189,13,43,,
T,2023-05-03 13:26:27,6.26394500,-75.56633667,4.30,1491.777,23.823,5.102,185,12,43,,
T,2023-05-03 13:26:28,6.26389167,-75.56634333,4.40,1493.277,23.823,5.280,187,11,43,,
T,2023-05-03 13:26:29,6.26383000,-75.56636000,4.40,1493.577,23.823,6.421,192,11,43,,
T,2023-05-03 13:26:30,6.26376667,-75.56637833,4.50,1493.676,23.824,7.014,194,11,43,,
T,2023-05-03 13:26:31,6.26369833,-75.56639833,4.50,1494.676,23.824,7.650,196,11,43,,
T,2023-05-03 13:26:32,6.26362000,-75.56641333,4.50,1494.076,23.824,8.320,190,9,43,,
T,2023-05-03 13:26:33,6.26353833,-75.56644667,4.40,1492.675,23.825,8.522,190,9,43,,
T,2023-05-03 13:26:34,6.26341333,-75.56644000,4.40,1490.375,23.825,9.217,186,9,43,,
T,2023-05-03 13:26:35,6.26330167,-75.56647000,4.20,1489.075,23.825,9.757,189,10,43,,
T,2023-05-03 13:26:36,6.26317500,-75.56649500,4.20,1487.474,23.826,10.627,189,10,43,,
T,2023-05-03 13:26:37,6.26303000,-75.56650667,4.20,1487.474,23.826,11.065,193,10,43,,
T,2023-05-03 13:26:38,6.26289833,-75.56652167,4.20,1487.874,23.826,10.522,191,10,43,,
T,2023-05-03 13:26:39,6.26277167,-75.56654667,4.20,1487.273,23.827,11.148,195,10,43,,
T,2023-05-03 13:26:40,6.26262500,-75.56658000,4.20,1475.673,23.827,10.798,197,9,43,,
T,2023-05-03 13:26:41,6.26246333,-75.56661500,4.20,1464.672,23.828,11.683,198,7,43,,
T,2023-05-03 13:26:42,6.26232333,-75.56665500,4.20,1460.072,23.828,12.170,200,9,43,,
T,2023-05-03 13:26:43,6.26219833,-75.56669833,4.20,1456.771,23.829,12.213,203,9,43,,
T,2023-05-03 13:26:44,6.26206500,-75.56674000,4.30,1456.071,23.829,13.349,204,9,43,,
T,2023-05-03 13:26:45,6.26194167,-75.56679667,4.40,1456.070,23.830,13.750,207,7,43,,
T,2023-05-03 13:26:46,6.26182000,-75.56685333,4.50,1455.969,23.831,14.150,207,8,42,,
T,2023-05-03 13:26:47,6.26171167,-75.56690833,4.60,1456.169,23.831,13.556,208,9,43,,
T,2023-05-03 13:26:48,6.26161167,-75.56696667,4.80,1456.868,23.832,13.576,211,10,43,,
T,2023-05-03 13:26:49,6.26150833,-75.56701833,5.00,1457.168,23.832,13.269,211,10,43,,
T,2023-05-03 13:26:50,6.26140000,-75.56705833,5.10,1456.867,23.833,13.758,212,10,43,,
T,2023-05-03 13:26:51,6.26128333,-75.56706833,5.10,1456.167,23.833,13.435,211,10,43,,
T,2023-05-03 13:26:52,6.26116333,-75.56707000,5.10,1455.267,23.833,13.605,209,12,43,,
T,2023-05-03 13:26:54,6.26094167,-75.56710167,5.10,1455.566,23.834,12.734,208,9,43,,
T,2023-05-03 13:26:55,6.26085667,-75.56714333,5.10,1456.266,23.834,12.122,212,12,42,,
T,2023-05-03 13:26:56,6.26075500,-75.56717000,5.00,1456.665,23.835,11.993,210,12,42,,
T,2023-05-03 13:26:57,6.26061833,-75.56713167,4.80,1456.065,23.835,11.960,204,13,42,,
T,2023-05-03 13:26:58,6.26052167,-75.56714833,4.60,1456.565,23.835,10.844,202,13,42,,
T,2023-05-03 13:26:59,6.26038333,-75.56710167,4.30,1456.065,23.835,10.965,198,12,42,,
T,2023-05-03 13:27:00,6.26025000,-75.56706833,4.10,1458.165,23.835,11.059,191,13,42,,
T,2023-05-03 13:27:01,6.26013167,-75.56705500,4.10,1459.265,23.835,11.090,187,13,42,,
T,2023-05-03 13:27:02,6.26001500,-75.56704167,4.00,1460.664,23.836,10.998,184,13,42,,
T,2023-05-03 13:27:03,6.25991333,-75.56704000,4.10,1461.264,23.836,10.858,185,10,42,,
T,2023-05-03 13:27:04,6.25982167,-75.56704833,4.10,1462.264,23.836,10.452,187,10,42,,
T,2023-05-03 13:27:05,6.25974833,-75.56705167,4.20,1463.364,23.836,9.756,183,14,42,,
T,2023-05-03 13:27:06,6.25972167,-75.56705000,4.30,1463.564,23.836,8.219,178,14,42,,
T,2023-05-03 13:27:07,6.25971667,-75.56703333,4.30,1465.064,23.836,6.636,170,15,43,,
T,2023-05-03 13:27:08,6.25974000,-75.56701833,4.10,1464.864,23.836,5.148,158,15,43,,
T,2023-05-03 13:27:09,6.25974833,-75.56700000,4.10,1464.964,23.836,4.315,153,15,43,,
T,2023-05-03 13:27:10,6.25973833,-75.56697333,4.00,1465.264,23.836,3.801,143,15,43,,
T,2023-05-03 13:27:11,6.25972667,-75.56694833,3.90,1465.264,23.836,3.603,134,15,43,,
T,2023-05-03 13:27:12,6.25971000,-75.56691000,3.90,1465.064,23.836,3.949,127,15,43,,
T,2023-05-03 13:27:13,6.25969667,-75.56687667,4.00,1465.164,23.836,4.141,122,14,43,,
T,2023-05-03 13:27:14,6.25968667,-75.56684833,4.10,1465.365,23.835,3.659,117,14,43,,
T,2023-05-03 13:27:15,6.25967500,-75.56682833,4.20,1465.365,23.835,3.247,124,14,43,,
T,2023-05-03 13:27:16,6.25966333,-75.56680000,4.30,1465.465,23.835,3.263,126,13,42,,
T,2023-05-03 13:27:17,6.25964833,-75.56677333,4.40,1465.365,23.835,3.124,131,13,42,,
T,2023-05-03 13:27:18,6.25963167,-75.56675167,4.50,1465.465,23.835,2.839,140,14,42,,
T,2023-05-03 13:27:19,6.25961167,-75.56672167,4.60,1465.465,23.835,2.982,146,13,42,,
T,2023-05-03 13:27:20,6.25958667,-75.56669667,4.70,1465.665,23.835,3.376,149,13,42,,
T,2023-05-03 13:27:21,6.25955333,-75.56668000,4.90,1466.065,23.835,3.778,154,11,42,,
