type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-04 16:01:30,6.26132831,-75.59725797,4.08,1495.427,23.990,0.230,69,13,25,20230504-110130,GPS Logger: 20230504-110130 - Honda_cb125f_ruta2
T,2023-05-04 16:01:31,6.26133152,-75.59725818,3.92,1495.404,23.990,0.000,,14,25,,
T,2023-05-04 16:01:32,6.26133434,-75.59725929,3.79,1494.805,23.990,0.000,,14,25,,
T,2023-05-04 16:01:33,6.26133805,-75.59725907,3.79,1495.689,23.990,0.350,19,14,25,,
T,2023-05-04 16:01:34,6.26134190,-75.59725900,3.79,1495.257,23.990,0.000,,14,25,,
T,2023-05-04 16:01:35,6.26134575,-75.59725826,3.79,1495.571,23.990,0.000,,14,25,,
T,2023-05-04 16:01:36,6.26134694,-75.59726185,3.82,1495.437,23.990,0.000,,14,25,,
T,2023-05-04 16:01:37,6.26134711,-75.59726378,3.89,1495.273,23.990,0.000,,13,25,,
T,2023-05-04 16:01:38,6.26134714,-75.59726431,3.91,1495.269,23.990,0.000,,13,25,,
T,2023-05-04 16:01:39,6.26134712,-75.59726447,3.85,1495.270,23.990,0.000,,12,25,,
T,2023-05-04 16:01:40,6.26134891,-75.59726687,3.79,1494.779,23.990,0.000,,12,25,,
T,2023-05-04 16:01:41,6.26135168,-75.59727080,3.79,1494.310,23.990,0.000,,12,25,,
T,2023-05-04 16:01:42,6.26135227,-75.59727161,3.79,1494.419,23.990,0.000,,12,25,,
T,2023-05-04 16:01:43,6.26135187,-75.59727121,3.79,1494.501,23.990,0.000,,12,25,,
T,2023-05-04 16:01:44,6.26135206,-75.59727163,3.79,1494.551,23.990,0.000,,12,25,,
T,2023-05-04 16:01:45,6.26135211,-75.59727173,3.79,1494.561,23.990,0.000,,13,25,,
T,2023-05-04 16:01:46,6.26135212,-75.59727172,3.79,1494.567,23.990,0.000,,13,25,,
T,2023-05-04 16:01:47,6.26135212,-75.59727175,3.79,1494.562,23.990,0.000,,13,25,,
T,2023-05-04 16:01:48,6.26135215,-75.59727177,3.79,1494.561,23.990,0.000,,13,25,,
T,2023-05-04 16:01:49,6.26135217,-75.59727179,3.79,1494.560,23.990,0.000,,13,25,,
T,2023-05-04 16:01:50,6.26135135,-75.59727124,3.79,1494.538,23.990,0.000,,13,25,,
T,2023-05-04 16:01:51,6.26135108,-75.59727124,3.79,1494.473,23.990,0.000,,13,25,,
T,2023-05-04 16:01:52,6.26135103,-75.59727123,3.79,1494.474,23.990,0.000,,13,24,,
T,2023-05-04 16:01:53,6.26135103,-75.59727125,3.79,1494.469,23.990,0.000,,13,25,,
T,2023-05-04 16:01:54,6.26135104,-75.59727124,3.79,1494.466,23.990,0.000,,13,25,,
T,2023-05-04 16:01:55,6.26135108,-75.59727126,3.79,1494.461,23.990,0.000,,13,25,,
T,2023-05-04 16:01:56,6.26135107,-75.59727126,3.79,1494.464,23.990,0.000,,13,25,,
T,2023-05-04 16:01:57,6.26135109,-75.59727125,3.79,1494.465,23.990,0.000,,13,25,,
T,2023-05-04 16:01:58,6.26135466,-75.59726945,3.79,1494.896,23.990,0.440,27,13,25,,
T,2023-05-04 16:01:59,6.26135464,-75.59726850,3.79,1495.285,23.990,0.000,,13,25,,
T,2023-05-04 16:02:00,6.26135440,-75.59726923,3.79,1495.428,23.990,0.000,,13,25,,
T,2023-05-04 16:02:01,6.26135483,-75.59727046,3.97,1495.713,23.990,0.000,,13,25,,
T,2023-05-04 16:02:02,6.26135196,-75.59726332,3.79,1496.406,23.990,0.460,102,13,25,,
T,2023-05-04 16:02:03,6.26135156,-75.59726021,3.79,1496.570,23.990,0.250,115,13,25,,
T,2023-05-04 16:02:04,6.26135026,-75.59725867,3.79,1497.203,23.990,0.150,198,12,25,,
T,2023-05-04 16:02:05,6.26134845,-75.59725566,3.85,1497.784,23.990,0.500,106,12,25,,
T,2023-05-04 16:02:06,6.26134952,-75.59725298,3.98,1498.306,23.990,0.330,91,13,25,,
T,2023-05-04 16:02:07,6.26135147,-75.59725147,4.02,1498.421,23.990,0.220,80,13,25,,
T,2023-05-04 16:02:08,6.26135080,-75.59724736,4.05,1498.157,23.990,0.000,,13,25,,
T,2023-05-04 16:02:09,6.26135037,-75.59724626,3.96,1498.150,23.990,0.000,,13,25,,
T,2023-05-04 16:02:10,6.26134680,-75.59724709,3.90,1498.260,23.990,0.290,149,13,25,,
T,2023-05-04 16:02:11,6.26134260,-75.59724422,3.81,1498.345,23.990,0.410,187,13,25,,
T,2023-05-04 16:02:12,6.26134153,-75.59724105,3.83,1498.332,23.990,0.000,,12,25,,
T,2023-05-04 16:02:13,6.26134138,-75.59724021,3.80,1498.332,23.990,0.000,,13,25,,
T,2023-05-04 16:02:14,6.26132927,-75.59723766,3.87,1497.803,23.990,1.500,166,13,25,,
T,2023-05-04 16:02:15,6.26130283,-75.59722952,4.18,1498.094,23.990,3.330,167,13,25,,
T,2023-05-04 16:02:16,6.26125040,-75.59723035,4.18,1497.226,23.990,5.210,182,13,25,,
T,2023-05-04 16:02:17,6.26118830,-75.59723878,4.21,1497.042,23.990,6.320,186,13,25,,
T,2023-05-04 16:02:18,6.26112485,-75.59724817,4.33,1497.137,23.990,6.510,188,14,25,,
T,2023-05-04 16:02:19,6.26106601,-75.59726154,4.41,1497.378,23.990,6.210,192,13,25,,
T,2023-05-04 16:02:20,6.26100069,-75.59730351,5.03,1498.779,23.991,5.230,203,13,25,,
T,2023-05-04 16:02:21,6.26096218,-75.59733195,5.48,1499.342,23.991,4.730,217,13,25,,
T,2023-05-04 16:02:22,6.26093676,-75.59735432,5.77,1499.361,23.991,3.920,222,12,25,,
T,2023-05-04 16:02:23,6.26091535,-75.59736937,6.58,1499.345,23.991,3.120,228,9,25,,
T,2023-05-04 16:02:24,6.26089376,-75.59741087,8.03,1499.955,23.992,3.530,239,11,25,,
T,2023-05-04 16:02:25,6.26090053,-75.59746536,7.87,1499.741,23.992,4.850,268,12,25,,
T,2023-05-04 16:02:26,6.26091267,-75.59752041,8.66,1499.214,23.992,5.140,272,12,25,,
T,2023-05-04 16:02:27,6.26093985,-75.59754529,10.17,1498.734,23.992,4.730,281,12,25,,
