type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-04 23:25:04,6.28586102,-75.59411062,5.49,1761.358,23.917,0.000,,9,30,20230504-182504,GPS Logger: 20230504-182504 - 2021_yamaha250_ruta2
T,2023-05-04 23:25:05,6.28587279,-75.59411123,3.79,1757.291,23.917,0.000,,20,30,,
T,2023-05-04 23:25:06,6.28586399,-75.59409060,3.79,1755.785,23.917,0.000,,22,30,,
T,2023-05-04 23:25:07,6.28586024,-75.59408869,3.79,1754.427,23.917,0.000,,23,30,,
T,2023-05-04 23:25:08,6.28585551,-75.59407870,3.79,1754.186,23.917,0.000,,24,30,,
T,2023-05-04 23:25:09,6.28586341,-75.59408578,3.79,1752.825,23.917,0.000,,24,30,,
T,2023-05-04 23:25:10,6.28586341,-75.59408578,3.79,1752.825,23.917,0.000,,24,30,,
T,2023-05-04 23:25:11,6.28586404,-75.59408665,3.79,1752.579,23.917,0.000,,24,30,,
T,2023-05-04 23:25:12,6.28586359,-75.59408610,3.81,1752.678,23.917,0.000,,17,23,,
T,2023-05-04 23:25:13,6.28586359,-75.59408610,3.81,1752.678,23.917,0.000,,17,23,,
T,2023-05-04 23:25:14,6.28586375,-75.59408620,4.83,1752.689,23.917,0.000,,21,28,,
T,2023-05-04 23:25:15,6.28586338,-75.59408586,5.36,1752.819,23.917,0.000,,21,29,,
T,2023-05-04 23:25:16,6.28586439,-75.59408720,5.45,1752.713,23.917,0.000,,14,30,,
T,2023-05-04 23:25:17,6.28586526,-75.59408880,5.35,1752.650,23.917,0.000,,10,30,,
T,2023-05-04 23:25:18,6.28586611,-75.59409033,5.73,1752.525,23.917,0.000,,14,30,,
T,2023-05-04 23:25:19,6.28586629,-75.59409026,6.00,1752.480,23.917,0.000,,16,30,,
T,2023-05-04 23:25:20,6.28586625,-75.59409066,6.00,1752.371,23.917,0.000,,18,30,,
T,2023-05-04 23:25:21,6.28582938,-75.59402516,5.98,1750.115,23.917,7.200,116,18,30,,
T,2023-05-04 23:25:22,6.28578858,-75.59399384,5.52,1750.617,23.917,6.400,137,20,30,,
T,2023-05-04 23:25:23,6.28578776,-75.59393067,5.30,1748.462,23.916,6.260,118,20,30,,
T,2023-05-04 23:25:24,6.28574878,-75.59389553,5.54,1748.650,23.916,6.030,123,21,30,,
T,2023-05-04 23:25:25,6.28571587,-75.59384632,6.42,1747.439,23.916,6.220,124,20,30,,
T,2023-05-04 23:25:26,6.28569350,-75.59379587,7.96,1747.651,23.916,6.060,119,17,30,,
T,2023-05-04 23:25:27,6.28557517,-75.59372481,8.95,1746.267,23.916,9.110,136,17,30,,
T,2023-05-04 23:25:28,6.28561018,-75.59371312,7.29,1744.960,23.916,3.200,110,20,30,,
T,2023-05-04 23:25:29,6.28557730,-75.59369116,5.61,1744.374,23.916,3.450,132,21,30,,
T,2023-05-04 23:25:30,6.28557096,-75.59364753,5.52,1743.706,23.915,4.410,140,19,30,,
T,2023-05-04 23:25:31,6.28550130,-75.59364242,4.76,1741.330,23.915,6.520,186,20,30,,
T,2023-05-04 23:25:32,6.28545687,-75.59363590,4.77,1741.102,23.916,5.890,180,21,30,,
T,2023-05-04 23:25:33,6.28540649,-75.59361283,5.09,1742.196,23.916,7.040,162,21,30,,
T,2023-05-04 23:25:34,6.28534858,-75.59359006,5.87,1740.775,23.916,7.200,156,22,30,,
T,2023-05-04 23:25:35,6.28530452,-75.59350479,5.69,1738.550,23.915,9.660,134,23,30,,
T,2023-05-04 23:25:36,6.28525300,-75.59343479,6.41,1739.182,23.915,8.820,126,21,30,,
T,2023-05-04 23:25:37,6.28520868,-75.59335345,7.29,1737.379,23.915,9.800,119,22,30,,
T,2023-05-04 23:25:38,6.28520211,-75.59328357,7.84,1736.362,23.914,8.130,105,22,30,,
T,2023-05-04 23:25:39,6.28530590,-75.59313056,5.90,1731.573,23.913,12.980,79,22,30,,
T,2023-05-04 23:25:40,6.28534955,-75.59303801,5.14,1729.623,23.913,9.870,89,21,30,,
T,2023-05-04 23:25:41,6.28537732,-75.59294066,4.13,1726.419,23.912,9.160,87,21,30,,
T,2023-05-04 23:25:42,6.28539081,-75.59284732,3.79,1724.874,23.912,8.510,90,21,30,,
T,2023-05-04 23:25:43,6.28539190,-75.59276480,3.79,1723.862,23.911,8.010,95,24,30,,
T,2023-05-04 23:25:44,6.28537658,-75.59269260,3.79,1722.127,23.911,7.510,110,24,30,,
T,2023-05-04 23:25:45,6.28534932,-75.59263717,3.79,1720.771,23.911,7.120,123,24,30,,
T,2023-05-04 23:25:46,6.28531907,-75.59258703,3.79,1719.212,23.910,6.910,129,24,30,,
T,2023-05-04 23:25:47,6.28527107,-75.59254249,3.79,1718.100,23.910,7.460,140,24,30,,
T,2023-05-04 23:25:48,6.28522677,-75.59250009,3.79,1717.216,23.910,7.300,138,24,30,,
T,2023-05-04 23:25:49,6.28518407,-75.59245857,3.79,1715.746,23.910,6.980,139,24,30,,
T,2023-05-04 23:25:50,6.28513971,-75.59241588,3.79,1714.948,23.910,6.270,141,20,26,,
T,2023-05-04 23:25:51,6.28509079,-75.59237514,3.79,1713.528,23.910,6.620,144,23,29,,
T,2023-05-04 23:25:52,6.28503152,-75.59234547,3.79,1712.194,23.910,7.030,150,23,28,,
T,2023-05-04 23:25:53,6.28497293,-75.59233930,3.79,1710.704,23.910,7.070,172,24,30,,
T,2023-05-04 23:25:54,6.28489502,-75.59234701,3.79,1708.676,23.910,8.150,192,23,29,,
T,2023-05-04 23:25:55,6.28482146,-75.59237770,3.79,1707.449,23.910,9.170,202,23,29,,
T,2023-05-04 23:25:56,6.28475306,-75.59241550,3.79,1706.482,23.911,8.450,213,20,26,,
