type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-05 03:04:41,6.27388634,-75.58215854,6.13,1505.698,23.882,0.000,,14,31,20230504-220441,GPS Logger: 20230504-220441 - Honda_cb125f-ruta3
T,2023-05-05 03:04:42,6.27388245,-75.58215673,5.66,1506.915,23.882,0.000,,14,31,,
T,2023-05-05 03:04:43,6.27387116,-75.58216001,5.13,1506.439,23.882,0.000,,14,31,,
T,2023-05-05 03:04:44,6.27386809,-75.58215205,4.75,1505.222,23.882,0.000,,14,31,,
T,2023-05-05 03:04:45,6.27386112,-75.58215479,4.47,1506.290,23.882,0.000,,14,31,,
T,2023-05-05 03:04:46,6.27385757,-75.58215760,4.26,1506.704,23.883,0.000,,13,31,,
T,2023-05-05 03:04:47,6.27380485,-75.58214525,4.21,1509.172,23.883,5.140,152,13,31,,
T,2023-05-05 03:04:48,6.27378023,-75.58215090,4.11,1508.939,23.883,1.950,163,13,31,,
T,2023-05-05 03:04:49,6.27376662,-75.58215938,4.29,1509.578,23.883,0.980,158,13,31,,
T,2023-05-05 03:04:50,6.27375368,-75.58216179,4.31,1511.308,23.883,0.820,153,13,31,,
T,2023-05-05 03:04:51,6.27374698,-75.58215432,3.98,1512.661,23.883,0.000,,12,31,,
T,2023-05-05 03:04:52,6.27374006,-75.58214867,3.90,1511.750,23.883,0.000,,13,31,,
T,2023-05-05 03:04:53,6.27373465,-75.58214729,3.85,1512.346,23.883,0.000,,14,31,,
T,2023-05-05 03:04:54,6.27372870,-75.58214865,3.79,1512.865,23.883,0.000,,14,31,,
T,2023-05-05 03:04:55,6.27372595,-75.58214635,3.79,1512.624,23.883,0.000,,14,31,,
T,2023-05-05 03:04:56,6.27372224,-75.58214674,3.79,1513.539,23.883,0.000,,14,31,,
T,2023-05-05 03:04:57,6.27371942,-75.58214148,3.79,1514.142,23.883,0.000,,14,31,,
T,2023-05-05 03:04:58,6.27371636,-75.58214020,3.79,1515.136,23.883,0.000,,13,31,,
T,2023-05-05 03:04:59,6.27371387,-75.58213791,3.79,1515.824,23.883,0.000,,12,31,,
T,2023-05-05 03:05:00,6.27371222,-75.58214029,3.79,1515.872,23.883,0.000,,12,31,,
