type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-05 17:36:41,6.26963458,-75.57622058,3.79,1482.201,23.861,9.520,307,22,29,20230505-123641,GPS Logger: 20230505-123641 - 2021_yamaha_250_ruta4
T,2023-05-05 17:36:42,6.26968357,-75.57628614,3.79,1482.416,23.862,8.900,305,22,29,,
T,2023-05-05 17:36:43,6.26973608,-75.57635552,3.79,1482.166,23.862,9.130,302,22,29,,
T,2023-05-05 17:36:44,6.26978322,-75.57642280,3.79,1480.481,23.862,8.890,304,22,29,,
T,2023-05-05 17:36:45,6.26982797,-75.57648542,3.79,1480.586,23.862,7.980,305,22,29,,
T,2023-05-05 17:36:46,6.26987950,-75.57655231,3.79,1478.860,23.863,9.310,307,20,29,,
T,2023-05-05 17:36:47,6.26993036,-75.57662067,3.79,1480.275,23.863,9.740,307,20,29,,
T,2023-05-05 17:36:48,6.26998897,-75.57668278,3.79,1479.510,23.863,9.660,316,21,29,,
T,2023-05-05 17:36:49,6.27003590,-75.57673599,3.79,1480.249,23.863,7.490,315,20,29,,
T,2023-05-05 17:36:50,6.27008303,-75.57677655,3.79,1480.643,23.863,6.340,319,19,29,,
T,2023-05-05 17:36:51,6.27011219,-75.57680224,3.79,1481.246,23.863,4.170,314,19,29,,
T,2023-05-05 17:36:52,6.27013649,-75.57682471,3.79,1481.051,23.863,2.940,313,19,29,,
T,2023-05-05 17:36:53,6.27015698,-75.57684479,3.79,1480.951,23.863,3.770,313,17,29,,
T,2023-05-05 17:36:54,6.27018578,-75.57687322,3.79,1481.112,23.863,5.160,315,17,29,,
T,2023-05-05 17:36:55,6.27022217,-75.57691217,3.79,1481.072,23.864,6.730,313,17,29,,
T,2023-05-05 17:36:56,6.27025660,-75.57693751,3.99,1480.436,23.864,6.100,312,15,29,,
T,2023-05-05 17:36:57,6.27027954,-75.57697898,4.11,1480.447,23.864,5.300,303,15,29,,
T,2023-05-05 17:36:58,6.27030513,-75.57701025,4.34,1481.567,23.864,4.450,304,15,29,,
T,2023-05-05 17:36:59,6.27032924,-75.57703820,4.17,1481.713,23.864,3.510,313,16,29,,
T,2023-05-05 17:37:00,6.27034459,-75.57706614,4.11,1481.682,23.864,3.130,308,17,29,,
T,2023-05-05 17:37:01,6.27036630,-75.57710024,3.97,1482.402,23.864,4.300,309,17,29,,
T,2023-05-05 17:37:02,6.27039081,-75.57711793,4.04,1482.149,23.864,3.830,310,18,29,,
