type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-08 15:04:17.559,6.32736500,-75.55997667,2.00,1431.855,23.645,0.102,348,21,41,20230508-100417,GPS Logger: 20230508-100417 - Viaje2
T,2023-05-08 15:04:18.559,6.32736833,-75.55998333,1.90,1431.155,23.645,0.059,346,22,41,,
T,2023-05-08 15:04:19.565,6.32737667,-75.55996667,1.80,1428.155,23.645,0.042,358,22,41,,
T,2023-05-08 15:04:21,6.32738000,-75.55997167,1.70,1427.955,23.645,0.245,295,22,41,,
T,2023-05-08 15:04:22,6.32738500,-75.55997833,1.70,1428.355,23.645,0.126,347,22,41,,
T,2023-05-08 15:04:23,6.32738833,-75.55997833,1.60,1429.255,23.645,0.048,0,24,41,,
T,2023-05-08 15:04:24,6.32739000,-75.55997500,1.60,1429.755,23.645,0.087,31,25,41,,
T,2023-05-08 15:04:25,6.32739333,-75.55997500,1.50,1430.155,23.645,0.088,304,25,41,,
T,2023-05-08 15:04:26,6.32739667,-75.55997667,1.60,1430.255,23.645,0.124,309,23,41,,
T,2023-05-08 15:04:27,6.32740167,-75.55998333,1.60,1430.355,23.645,0.227,335,24,41,,
T,2023-05-08 15:04:28,6.32740333,-75.55998333,1.70,1430.555,23.645,0.212,354,23,41,,
T,2023-05-08 15:04:29,6.32740167,-75.55998333,1.70,1430.655,23.645,0.133,109,21,41,,
T,2023-05-08 15:04:30,6.32740333,-75.55998833,1.80,1430.955,23.645,0.155,267,23,41,,
T,2023-05-08 15:04:31,6.32740333,-75.55999500,1.70,1431.155,23.645,0.147,173,23,41,,
T,2023-05-08 15:04:32,6.32740167,-75.55999667,1.70,1431.255,23.645,0.163,111,23,41,,
T,2023-05-08 15:04:33,6.32740000,-75.55999667,1.70,1431.455,23.645,0.218,262,23,41,,
T,2023-05-08 15:04:34,6.32739833,-75.56000500,1.70,1431.755,23.645,0.312,273,23,41,,
T,2023-05-08 15:04:35,6.32739667,-75.56002000,1.80,1431.955,23.645,0.436,269,22,41,,
T,2023-05-08 15:04:36,6.32739000,-75.56003667,1.90,1432.355,23.645,0.517,235,23,41,,
T,2023-05-08 15:04:37,6.32738000,-75.56004000,1.90,1432.655,23.645,0.601,175,23,41,,
T,2023-05-08 15:04:38,6.32735833,-75.56003667,1.90,1433.355,23.645,0.762,149,23,40,,
T,2023-05-08 15:04:39,6.32733000,-75.56002333,2.00,1434.155,23.645,0.965,139,23,40,,
T,2023-05-08 15:04:40,6.32732333,-75.55999333,2.00,1434.655,23.645,1.204,119,26,41,,
T,2023-05-08 15:04:41,6.32731833,-75.55992667,2.00,1435.555,23.645,6.241,91,25,40,,
T,2023-05-08 15:04:42,6.32732167,-75.55985333,2.00,1436.256,23.644,6.838,88,25,41,,
T,2023-05-08 15:04:43,6.32732500,-75.55977833,2.10,1436.856,23.644,8.084,89,24,41,,
T,2023-05-08 15:04:44,6.32732833,-75.55970167,2.10,1437.257,23.643,8.179,86,24,40,,
T,2023-05-08 15:04:45,6.32732833,-75.55962500,2.00,1437.357,23.643,8.150,90,25,40,,
T,2023-05-08 15:04:46,6.32733000,-75.55955333,1.90,1437.757,23.643,7.684,91,26,40,,
T,2023-05-08 15:04:47,6.32733000,-75.55948500,1.90,1437.958,23.642,7.421,88,26,41,,
T,2023-05-08 15:04:48,6.32733333,-75.55941500,1.90,1437.658,23.642,7.989,87,25,41,,
T,2023-05-08 15:04:49,6.32733333,-75.55933833,1.90,1437.258,23.642,8.910,87,26,40,,
T,2023-05-08 15:04:50,6.32733000,-75.55925333,1.90,1436.059,23.641,9.987,87,25,40,,
T,2023-05-08 15:04:51,6.32731833,-75.55915833,1.90,1433.659,23.641,8.398,87,25,40,,
T,2023-05-08 15:04:52,6.32732667,-75.55906000,1.90,1432.960,23.640,8.832,85,24,40,,
T,2023-05-08 15:04:53,6.32733500,-75.55896167,1.80,1432.660,23.640,9.076,81,24,40,,
T,2023-05-08 15:04:54,6.32734000,-75.55886833,1.80,1432.461,23.639,9.259,84,24,40,,
T,2023-05-08 15:04:55,6.32734333,-75.55878667,1.90,1432.561,23.639,9.279,89,22,40,,
T,2023-05-08 15:04:56,6.32734333,-75.55871500,1.90,1432.662,23.638,9.289,92,21,40,,
T,2023-05-08 15:04:57,6.32733833,-75.55865833,2.00,1432.662,23.638,6.436,88,20,40,,
T,2023-05-08 15:04:58,6.32734000,-75.55861000,2.00,1432.462,23.638,5.552,86,20,40,,
T,2023-05-08 15:04:59,6.32734500,-75.55856500,2.00,1432.563,23.637,4.281,88,21,40,,
T,2023-05-08 15:05:00,6.32734500,-75.55853167,2.00,1432.563,23.637,3.290,83,21,40,,
T,2023-05-08 15:05:01,6.32734000,-75.55850667,2.00,1432.563,23.637,3.021,104,21,40,,
T,2023-05-08 15:05:02,6.32732667,-75.55849167,2.10,1432.763,23.637,2.469,121,20,40,,
T,2023-05-08 15:05:03,6.32731667,-75.55847167,2.10,1432.463,23.637,2.337,107,20,40,,
T,2023-05-08 15:05:04,6.32730833,-75.55844500,2.00,1432.163,23.637,2.795,105,20,40,,
T,2023-05-08 15:05:05,6.32730167,-75.55841833,2.10,1432.063,23.637,1.989,105,20,40,,
T,2023-05-08 15:05:06,6.32730000,-75.55840500,2.10,1432.063,23.637,1.645,119,20,40,,
T,2023-05-08 15:05:07,6.32731167,-75.55839167,2.10,1432.163,23.637,0.000,,19,40,,
T,2023-05-08 15:05:08,6.32731333,-75.55838667,2.20,1431.863,23.637,0.000,,19,40,,
T,2023-05-08 15:05:09,6.32731833,-75.55838500,2.30,1431.763,23.637,0.000,,19,40,,
T,2023-05-08 15:05:10,6.32731833,-75.55838500,2.30,1431.763,23.637,0.000,,19,40,,
T,2023-05-08 15:05:11,6.32735667,-75.55836500,2.10,1432.864,23.636,1.580,42,22,40,,
T,2023-05-08 15:05:12,6.32736833,-75.55834000,2.00,1433.864,23.636,2.146,75,22,40,,
T,2023-05-08 15:05:13,6.32737167,-75.55831167,2.00,1434.464,23.636,2.136,84,21,40,,
T,2023-05-08 15:05:14,6.32737167,-75.55828667,2.00,1434.764,23.636,1.804,98,21,40,,
T,2023-05-08 15:05:15,6.32737333,-75.55826667,1.90,1434.964,23.636,1.514,91,21,40,,
T,2023-05-08 15:05:16,6.32737333,-75.55825000,1.90,1435.064,23.636,0.000,,22,40,,
T,2023-05-08 15:05:17,6.32737500,-75.55824333,2.00,1435.164,23.636,0.000,,22,40,,
T,2023-05-08 15:05:18,6.32737333,-75.55824000,2.00,1435.164,23.636,0.000,,22,40,,
T,2023-05-08 15:05:19,6.32737333,-75.55824000,2.00,1435.164,23.636,0.000,,23,40,,
T,2023-05-08 15:05:20,6.32737333,-75.55824000,2.00,1435.164,23.636,0.000,,23,40,,
T,2023-05-08 15:05:21,6.32737333,-75.55824000,2.00,1435.164,23.636,0.000,,23,40,,
T,2023-05-08 15:05:22,6.32737333,-75.55824000,2.00,1435.164,23.636,0.000,,23,40,,
T,2023-05-08 15:05:23,6.32737333,-75.55824000,2.00,1435.164,23.636,0.000,,23,40,,
T,2023-05-08 15:05:24,6.32737333,-75.55824000,2.00,1435.164,23.636,0.000,,22,40,,
T,2023-05-08 15:05:25,6.32737333,-75.55824000,1.90,1435.164,23.636,0.000,,22,40,,
T,2023-05-08 15:05:26,6.32737333,-75.55824000,1.90,1435.164,23.636,0.000,,23,40,,
T,2023-05-08 15:05:27,6.32737333,-75.55824000,1.90,1435.164,23.636,0.000,,22,40,,
T,2023-05-08 15:05:28,6.32737333,-75.55824000,1.10,1435.164,23.636,0.000,,22,40,,
T,2023-05-08 15:05:29,6.32737333,-75.55824000,1.40,1435.164,23.636,0.000,,22,40,,
T,2023-05-08 15:05:30,6.32737333,-75.55824000,1.60,1435.164,23.636,0.000,,22,40,,
T,2023-05-08 15:05:31,6.32737333,-75.55824000,1.60,1435.164,23.636,0.000,,22,40,,
T,2023-05-08 15:05:32,6.32737333,-75.55824000,1.60,1435.164,23.636,0.000,,22,40,,
T,2023-05-08 15:05:33,6.32737333,-75.55824000,1.60,1435.164,23.636,0.000,,22,40,,
T,2023-05-08 15:05:34,6.32737333,-75.55824000,1.70,1435.164,23.636,0.000,,22,40,,
T,2023-05-08 15:05:35,6.32737333,-75.55824000,1.10,1435.164,23.636,0.000,,22,40,,
T,2023-05-08 15:05:36,6.32737333,-75.55824000,1.00,1435.164,23.636,0.000,,21,40,,
T,2023-05-08 15:05:37,6.32737333,-75.55824000,1.00,1435.164,23.636,0.000,,22,40,,
T,2023-05-08 15:05:38,6.32737333,-75.55824000,1.30,1435.164,23.636,0.000,,22,40,,
T,2023-05-08 15:05:39,6.32737333,-75.55824000,1.40,1435.164,23.636,0.000,,22,40,,
T,2023-05-08 15:05:40,6.32737333,-75.55824000,1.50,1435.164,23.636,0.000,,23,40,,
T,2023-05-08 15:05:41,6.32737333,-75.55824000,1.70,1435.164,23.636,0.000,,23,40,,
T,2023-05-08 15:05:42,6.32735833,-75.55818833,1.80,1435.265,23.635,3.417,125,23,40,,
T,2023-05-08 15:05:43,6.32733667,-75.55814167,2.00,1435.165,23.635,5.128,131,23,40,,
T,2023-05-08 15:05:44,6.32729833,-75.55809333,2.00,1434.765,23.635,5.824,143,22,40,,
T,2023-05-08 15:05:45,6.32725000,-75.55805500,2.00,1434.065,23.635,6.256,154,23,40,,
T,2023-05-08 15:05:46,6.32719833,-75.55803167,2.10,1433.365,23.635,6.023,162,23,40,,
T,2023-05-08 15:05:47,6.32714167,-75.55801500,2.00,1432.565,23.635,7.126,166,23,40,,
T,2023-05-08 15:05:48,6.32708000,-75.55799833,2.20,1431.865,23.635,7.093,159,22,40,,
T,2023-05-08 15:05:49,6.32703167,-75.55795833,2.30,1431.265,23.635,6.455,141,20,40,,
T,2023-05-08 15:05:50,6.32700000,-75.55790833,2.40,1431.065,23.635,5.740,132,20,40,,
T,2023-05-08 15:05:51,6.32698000,-75.55785333,2.30,1431.065,23.635,5.714,123,20,40,,
T,2023-05-08 15:05:52,6.32697333,-75.55779667,2.40,1430.566,23.634,5.936,106,21,40,,
T,2023-05-08 15:05:53,6.32701000,-75.55772000,2.40,1431.066,23.634,6.388,81,23,40,,
T,2023-05-08 15:05:54,6.32706667,-75.55765833,2.50,1430.867,23.633,7.197,64,23,40,,
T,2023-05-08 15:05:55,6.32715167,-75.55761167,2.60,1430.167,23.633,7.806,47,22,40,,
T,2023-05-08 15:05:56,6.32727000,-75.55760167,2.50,1430.067,23.633,8.596,23,24,40,,
T,2023-05-08 15:05:57,6.32738500,-75.55761833,2.30,1429.768,23.632,10.261,5,24,40,,
T,2023-05-08 15:05:58,6.32750500,-75.55764000,2.00,1429.968,23.632,11.935,356,25,40,,
T,2023-05-08 15:05:59,6.32763000,-75.55766000,2.00,1430.668,23.632,12.603,355,25,40,,
T,2023-05-08 15:06:00,6.32775167,-75.55768167,2.00,1431.368,23.632,12.868,351,25,40,,
T,2023-05-08 15:06:01,6.32786167,-75.55771167,2.10,1431.168,23.632,12.218,344,25,40,,
T,2023-05-08 15:06:02,6.32796167,-75.55775167,2.10,1430.868,23.632,11.601,338,26,40,,
T,2023-05-08 15:06:03,6.32805500,-75.55779833,2.10,1430.168,23.632,11.326,331,25,40,,
T,2023-05-08 15:06:04,6.32814667,-75.55784833,2.00,1429.168,23.632,11.631,333,25,40,,
T,2023-05-08 15:06:05,6.32824500,-75.55789000,2.00,1429.768,23.632,12.070,341,26,40,,
T,2023-05-08 15:06:06,6.32834667,-75.55791333,2.10,1429.768,23.632,12.836,348,26,40,,
T,2023-05-08 15:06:07,6.32846833,-75.55793333,1.90,1429.768,23.632,13.630,352,26,40,,
T,2023-05-08 15:06:08,6.32859500,-75.55795167,1.80,1429.969,23.631,14.035,352,26,40,,
T,2023-05-08 15:06:09,6.32872333,-75.55796667,1.70,1430.269,23.631,14.682,352,26,40,,
T,2023-05-08 15:06:10,6.32885667,-75.55798167,2.00,1430.269,23.631,14.568,352,24,40,,
T,2023-05-08 15:06:11,6.32897333,-75.55798833,2.10,1430.769,23.631,12.629,356,24,40,,
T,2023-05-08 15:06:12,6.32907667,-75.55799167,2.00,1431.569,23.631,10.518,358,24,40,,
T,2023-05-08 15:06:13,6.32916333,-75.55799500,1.80,1432.070,23.630,8.555,356,24,40,,
T,2023-05-08 15:06:14,6.32922333,-75.55800167,1.90,1432.270,23.630,6.679,354,23,40,,
T,2023-05-08 15:06:15,6.32927667,-75.55800333,1.80,1432.070,23.630,5.266,358,22,40,,
T,2023-05-08 15:06:16,6.32931833,-75.55800500,1.80,1432.670,23.630,4.035,6,22,40,,
T,2023-05-08 15:06:17,6.32935167,-75.55800667,1.80,1432.470,23.630,4.233,358,22,40,,
