type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-09 01:17:38,6.26019022,-75.62352865,19.00,1611.462,24.129,0.000,,8,21,20230508-201738,GPS Logger: 20230508-201738 - 3
T,2023-05-09 01:17:39,6.26019022,-75.62352865,74.84,1594.745,24.129,0.000,,8,21,,
T,2023-05-09 01:17:40,6.26019022,-75.62352865,69.56,1592.566,24.129,0.000,,8,21,,
T,2023-05-09 01:17:41,6.26019022,-75.62352865,62.52,1592.124,24.129,0.000,,8,21,,
T,2023-05-09 01:17:42,6.26019022,-75.62352865,61.81,1590.161,24.129,0.000,,8,21,,
T,2023-05-09 01:17:43,6.26001183,-75.62340662,60.30,1589.181,24.129,0.000,,9,21,,
T,2023-05-09 01:17:44,6.26001183,-75.62340662,4.90,1594.200,24.129,0.000,,9,21,,
T,2023-05-09 01:17:45,6.26001183,-75.62340662,50.72,1595.081,24.129,0.000,,9,21,,
T,2023-05-09 01:17:46,6.26001183,-75.62340662,52.24,1596.449,24.129,0.000,,9,21,,
T,2023-05-09 01:17:47,6.26001183,-75.62340662,54.32,1598.319,24.129,0.000,,9,21,,
T,2023-05-09 01:17:48,6.26001183,-75.62340662,55.34,1599.460,24.129,0.000,,8,21,,
T,2023-05-09 01:17:49,6.26001183,-75.62340662,56.52,1602.714,24.129,0.000,,9,21,,
T,2023-05-09 01:17:50,6.26001183,-75.62340662,58.78,1604.309,24.129,0.000,,9,21,,
T,2023-05-09 01:17:51,6.26001183,-75.62340662,57.19,1609.397,24.129,0.000,,9,21,,
T,2023-05-09 01:17:52,6.26001183,-75.62340662,4.90,1614.744,24.129,0.000,,9,21,,
T,2023-05-09 01:17:53,6.26001183,-75.62340662,4.90,1615.271,24.129,0.000,,9,21,,
T,2023-05-09 01:17:54,6.26001183,-75.62340662,4.90,1618.548,24.129,0.000,,9,21,,
T,2023-05-09 01:17:55,6.26001183,-75.62340662,4.90,1618.848,24.129,0.000,,9,21,,
T,2023-05-09 01:17:56,6.26001183,-75.62340662,4.90,1618.060,24.129,0.000,,9,21,,
T,2023-05-09 01:17:57,6.26001183,-75.62340662,4.90,1617.101,24.129,0.000,,9,21,,
T,2023-05-09 01:17:58,6.26001183,-75.62340662,4.90,1615.026,24.129,0.000,,9,21,,
T,2023-05-09 01:17:59,6.26001183,-75.62340662,4.90,1612.309,24.129,0.000,,9,21,,
T,2023-05-09 01:18:00,6.26001183,-75.62340662,4.90,1610.644,24.129,0.000,,9,21,,
T,2023-05-09 01:18:01,6.26001183,-75.62340662,4.90,1609.070,24.129,0.000,,9,21,,
T,2023-05-09 01:18:02,6.26001183,-75.62340662,4.90,1608.973,24.129,0.000,,9,21,,
T,2023-05-09 01:18:03,6.26001183,-75.62340662,4.90,1609.193,24.129,0.000,,9,21,,
T,2023-05-09 01:18:04,6.26001183,-75.62340662,36.45,1609.484,24.129,0.000,,9,21,,
T,2023-05-09 01:18:05,6.26001183,-75.62340662,36.47,1609.101,24.129,0.000,,9,21,,
T,2023-05-09 01:18:06,6.26001183,-75.62340662,35.77,1608.428,24.129,0.000,,9,21,,
T,2023-05-09 01:18:07,6.26001183,-75.62340662,4.90,1609.382,24.129,0.000,,9,21,,
T,2023-05-09 01:18:08,6.26001183,-75.62340662,4.90,1609.382,24.129,0.000,,9,21,,
T,2023-05-09 01:18:09,6.25990994,-75.62332079,4.90,1609.382,24.128,0.497,117,9,21,,
T,2023-05-09 01:18:10,6.25990697,-75.62332265,30.97,1610.677,24.128,0.761,156,9,21,,
T,2023-05-09 01:18:11,6.25991253,-75.62332325,28.09,1612.347,24.128,1.003,136,9,21,,
T,2023-05-09 01:18:12,6.25992478,-75.62332067,22.79,1613.227,24.128,1.174,73,10,21,,
T,2023-05-09 01:18:13,6.25994678,-75.62331499,22.47,1618.209,24.128,1.074,43,10,21,,
