type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-09 13:44:48,6.28546500,-75.59548833,2.50,1750.175,23.925,0.000,,9,31,20230509-084448,GPS Logger: 20230509-084448 - Itinerario6
T,2023-05-09 13:44:49,6.28546667,-75.59548667,2.50,1750.275,23.925,0.000,,9,31,,
T,2023-05-09 13:44:50,6.28547000,-75.59549000,2.40,1749.275,23.925,0.000,,9,31,,
T,2023-05-09 13:44:51,6.28547500,-75.59549167,2.30,1748.975,23.925,0.398,175,9,31,,
T,2023-05-09 13:44:52,6.28547333,-75.59548833,2.20,1748.975,23.925,0.395,191,9,31,,
T,2023-05-09 13:44:53,6.28547167,-75.59548667,2.20,1748.875,23.925,0.000,,9,31,,
T,2023-05-09 13:44:54,6.28547167,-75.59548833,2.30,1748.675,23.925,0.000,,9,31,,
T,2023-05-09 13:44:55,6.28546833,-75.59549167,2.30,1748.975,23.925,0.000,,9,31,,
T,2023-05-09 13:44:56,6.28547667,-75.59549500,2.20,1749.075,23.925,0.000,,9,31,,
T,2023-05-09 13:44:57,6.28547667,-75.59549500,1.80,1749.075,23.925,0.000,,9,31,,
T,2023-05-09 13:44:58,6.28547667,-75.59549500,2.00,1749.075,23.925,0.000,,9,31,,
T,2023-05-09 13:44:59,6.28547500,-75.59549000,2.10,1748.975,23.925,0.375,75,9,31,,
T,2023-05-09 13:45:00,6.28547667,-75.59548833,2.20,1748.875,23.925,0.000,,9,31,,
T,2023-05-09 13:45:01,6.28548167,-75.59548500,2.30,1748.975,23.925,0.000,,9,31,,
T,2023-05-09 13:45:02,6.28549000,-75.59548500,2.40,1749.075,23.925,0.000,,9,31,,
T,2023-05-09 13:45:03,6.28549000,-75.59548500,2.30,1749.075,23.925,0.000,,9,31,,
T,2023-05-09 13:45:04,6.28549000,-75.59548500,2.30,1749.075,23.925,0.000,,9,31,,
T,2023-05-09 13:45:05,6.28549000,-75.59548500,2.40,1749.075,23.925,0.000,,9,31,,
T,2023-05-09 13:45:06,6.28549000,-75.59548500,2.40,1749.075,23.925,0.000,,9,31,,
T,2023-05-09 13:45:07,6.28549500,-75.59547000,2.50,1749.475,23.925,0.000,,9,31,,
T,2023-05-09 13:45:08,6.28549667,-75.59547167,2.50,1749.375,23.925,0.000,,9,31,,
T,2023-05-09 13:45:09,6.28550333,-75.59547333,2.60,1749.475,23.925,0.000,,9,31,,
T,2023-05-09 13:45:10,6.28550000,-75.59546500,2.60,1749.375,23.925,0.000,,9,31,,
T,2023-05-09 13:45:11,6.28550000,-75.59546500,2.50,1749.375,23.925,0.000,,9,31,,
T,2023-05-09 13:45:12,6.28550000,-75.59546500,2.40,1749.375,23.925,0.000,,9,31,,
T,2023-05-09 13:45:13,6.28550000,-75.59546500,2.50,1749.375,23.925,0.000,,9,31,,
T,2023-05-09 13:45:14,6.28550000,-75.59546500,2.50,1749.375,23.925,0.000,,9,31,,
T,2023-05-09 13:45:15,6.28550000,-75.59546500,2.40,1749.375,23.925,0.000,,9,31,,
T,2023-05-09 13:45:16,6.28550000,-75.59546500,2.40,1749.375,23.925,0.000,,9,31,,
T,2023-05-09 13:45:17,6.28550000,-75.59546500,2.40,1749.375,23.925,0.000,,9,31,,
T,2023-05-09 13:45:18,6.28550000,-75.59546500,2.40,1749.375,23.925,0.000,,9,31,,
T,2023-05-09 13:45:19,6.28550000,-75.59546500,2.30,1749.375,23.925,0.000,,9,31,,
T,2023-05-09 13:45:20,6.28550000,-75.59546500,2.30,1749.375,23.925,0.000,,9,31,,
T,2023-05-09 13:45:21,6.28550000,-75.59546500,2.30,1749.375,23.925,0.000,,9,31,,
T,2023-05-09 13:45:23,6.28554333,-75.59544000,2.40,1748.675,23.925,0.000,,9,31,,
T,2023-05-09 13:45:24,6.28555333,-75.59545000,2.40,1748.875,23.925,0.000,,9,31,,
T,2023-05-09 13:45:25,6.28556167,-75.59545333,2.30,1749.375,23.925,0.000,,13,37,,
T,2023-05-09 13:45:26,6.28556667,-75.59546333,2.30,1749.775,23.925,0.492,189,15,44,,
T,2023-05-09 13:45:27,6.28556833,-75.59547167,2.20,1749.875,23.925,0.464,277,18,44,,
T,2023-05-09 13:45:28,6.28557000,-75.59548333,2.20,1750.375,23.925,0.000,,16,44,,
T,2023-05-09 13:45:29,6.28558000,-75.59549333,2.20,1749.575,23.925,0.000,,22,44,,
T,2023-05-09 13:45:30,6.28558167,-75.59550333,2.10,1749.675,23.925,0.000,,25,44,,
T,2023-05-09 13:45:31,6.28558167,-75.59550333,2.00,1749.675,23.925,0.000,,25,44,,
T,2023-05-09 13:45:32,6.28558167,-75.59550333,2.00,1749.675,23.925,0.000,,25,44,,
T,2023-05-09 13:45:33,6.28558167,-75.59550333,2.00,1749.675,23.925,0.000,,25,44,,
T,2023-05-09 13:45:34,6.28558167,-75.59550333,2.00,1749.675,23.925,0.000,,25,44,,
T,2023-05-09 13:45:35,6.28558167,-75.59550333,2.00,1749.675,23.925,0.000,,24,44,,
T,2023-05-09 13:45:36,6.28558167,-75.59550333,2.00,1749.675,23.925,0.000,,24,44,,
T,2023-05-09 13:45:37,6.28558167,-75.59550333,1.90,1749.675,23.925,0.000,,24,44,,
T,2023-05-09 13:45:38,6.28558167,-75.59550333,1.90,1749.675,23.925,0.000,,24,44,,
T,2023-05-09 13:45:39,6.28558167,-75.59550333,1.90,1749.675,23.925,0.000,,26,44,,
T,2023-05-09 13:45:40,6.28555500,-75.59551333,1.90,1749.875,23.925,0.400,85,26,44,,
T,2023-05-09 13:45:41,6.28554833,-75.59549000,1.90,1750.375,23.925,0.619,94,26,44,,
T,2023-05-09 13:45:42,6.28554167,-75.59545667,2.00,1750.975,23.925,0.895,91,26,44,,
T,2023-05-09 13:45:43,6.28553500,-75.59541667,2.00,1751.875,23.925,1.239,87,26,44,,
T,2023-05-09 13:45:44,6.28553667,-75.59538167,2.10,1752.576,23.924,1.557,88,26,44,,
T,2023-05-09 13:45:45,6.28552667,-75.59532333,2.00,1752.976,23.924,1.959,98,24,44,,
T,2023-05-09 13:45:46,6.28552500,-75.59528333,2.30,1753.676,23.924,2.352,91,24,44,,
T,2023-05-09 13:45:47,6.28554833,-75.59523667,2.40,1754.276,23.924,2.827,65,24,44,,
T,2023-05-09 13:45:48,6.28557833,-75.59519667,2.60,1754.977,23.923,3.246,56,24,44,,
T,2023-05-09 13:45:49,6.28561333,-75.59515833,2.70,1755.577,23.923,3.656,54,25,44,,
T,2023-05-09 13:45:50,6.28564667,-75.59511833,2.70,1756.277,23.923,4.014,53,25,44,,
T,2023-05-09 13:45:51,6.28568667,-75.59507500,2.80,1756.778,23.922,4.321,51,25,44,,
T,2023-05-09 13:45:52,6.28572833,-75.59502833,2.80,1757.278,23.922,4.619,51,25,44,,
T,2023-05-09 13:45:53,6.28577833,-75.59498333,2.90,1757.778,23.922,4.892,46,24,44,,
T,2023-05-09 13:45:54,6.28583333,-75.59493667,3.10,1758.579,23.921,5.216,43,25,44,,
T,2023-05-09 13:45:55,6.28588500,-75.59489333,3.00,1758.979,23.921,5.372,43,25,44,,
T,2023-05-09 13:45:56,6.28593000,-75.59485500,2.90,1759.279,23.921,5.518,46,25,44,,
T,2023-05-09 13:45:57,6.28597667,-75.59481833,2.90,1758.980,23.920,5.548,44,25,44,,
