type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-09 14:50:46,6.24498915,-75.57062339,4.11,1476.562,23.887,0.000,,15,38,20230509-095046,GPS Logger: 20230509-095046 - Viaje 12
T,2023-05-09 14:50:47,6.24499951,-75.57064820,3.79,1478.272,23.887,0.000,,16,38,,
T,2023-05-09 14:50:48,6.24498816,-75.57063997,3.79,1479.597,23.887,0.000,,20,38,,
T,2023-05-09 14:50:49,6.24498084,-75.57064102,3.79,1480.063,23.887,0.000,,20,38,,
T,2023-05-09 14:50:50,6.24497581,-75.57064140,3.79,1480.699,23.887,0.000,,20,38,,
T,2023-05-09 14:50:51,6.24497864,-75.57064380,3.79,1479.888,23.887,0.000,,20,38,,
T,2023-05-09 14:50:52,6.24497736,-75.57065048,3.79,1479.986,23.887,0.000,,20,38,,
T,2023-05-09 14:50:53,6.24498120,-75.57064894,3.79,1478.452,23.887,0.000,,21,38,,
T,2023-05-09 14:50:54,6.24497563,-75.57064273,3.79,1478.891,23.887,0.000,,21,38,,
T,2023-05-09 14:50:55,6.24497485,-75.57064010,3.79,1478.850,23.887,0.000,,21,38,,
T,2023-05-09 14:50:56,6.24497570,-75.57064028,3.79,1478.780,23.887,0.000,,21,38,,
T,2023-05-09 14:50:57,6.24497536,-75.57064044,3.79,1478.897,23.887,0.000,,21,38,,
T,2023-05-09 14:50:58,6.24497552,-75.57064061,3.79,1478.957,23.887,0.000,,21,38,,
T,2023-05-09 14:50:59,6.24497470,-75.57064113,3.79,1479.051,23.887,0.000,,21,38,,
T,2023-05-09 14:51:00,6.24497358,-75.57064126,3.79,1479.226,23.887,0.000,,21,38,,
T,2023-05-09 14:51:01,6.24497274,-75.57064104,3.79,1479.370,23.887,0.000,,21,38,,
T,2023-05-09 14:51:02,6.24497267,-75.57064108,3.79,1479.372,23.887,0.000,,21,38,,
T,2023-05-09 14:51:03,6.24497191,-75.57064099,3.79,1479.507,23.887,0.000,,21,38,,
T,2023-05-09 14:51:04,6.24497143,-75.57064098,3.79,1479.587,23.887,0.000,,20,38,,
T,2023-05-09 14:51:05,6.24497096,-75.57064086,3.79,1479.672,23.887,0.000,,21,38,,
T,2023-05-09 14:51:06,6.24497035,-75.57064069,3.79,1479.776,23.887,0.000,,21,38,,
T,2023-05-09 14:51:07,6.24496996,-75.57064057,3.79,1479.838,23.887,0.000,,21,38,,
T,2023-05-09 14:51:08,6.24496830,-75.57064164,3.79,1479.877,23.887,0.000,,21,38,,
T,2023-05-09 14:51:09,6.24496831,-75.57064149,3.79,1479.887,23.887,0.000,,22,38,,
T,2023-05-09 14:51:10,6.24496823,-75.57064148,3.79,1479.902,23.887,0.000,,22,38,,
T,2023-05-09 14:51:11,6.24496782,-75.57064180,3.79,1479.891,23.887,0.000,,21,38,,
T,2023-05-09 14:51:12,6.24496787,-75.57064177,3.79,1479.876,23.887,0.000,,21,38,,
T,2023-05-09 14:51:13,6.24496768,-75.57064191,3.79,1479.856,23.887,0.000,,21,38,,
T,2023-05-09 14:51:14,6.24496769,-75.57064185,3.79,1479.852,23.887,0.000,,21,38,,
T,2023-05-09 14:51:15,6.24496763,-75.57064187,3.79,1479.841,23.887,0.000,,21,38,,
T,2023-05-09 14:51:16,6.24496764,-75.57064183,3.79,1479.840,23.887,0.000,,21,38,,
T,2023-05-09 14:51:17,6.24496756,-75.57064193,3.79,1479.831,23.887,0.000,,21,38,,
T,2023-05-09 14:51:18,6.24496754,-75.57064192,3.79,1479.825,23.887,0.000,,21,38,,
T,2023-05-09 14:51:19,6.24496749,-75.57064196,3.79,1479.824,23.887,0.000,,21,38,,
T,2023-05-09 14:51:20,6.24496743,-75.57064202,3.79,1479.817,23.887,0.000,,21,38,,
T,2023-05-09 14:51:21,6.24496737,-75.57064213,3.79,1479.811,23.887,0.000,,21,38,,
T,2023-05-09 14:51:22,6.24496738,-75.57064223,3.79,1479.807,23.887,0.000,,20,38,,
T,2023-05-09 14:51:23,6.24496733,-75.57064229,3.79,1479.808,23.887,0.000,,21,38,,
T,2023-05-09 14:51:24,6.24496728,-75.57064237,3.79,1479.817,23.887,0.000,,21,38,,
T,2023-05-09 14:51:25,6.24496723,-75.57064239,3.79,1479.824,23.887,0.000,,21,38,,
T,2023-05-09 14:51:26,6.24496718,-75.57064241,3.79,1479.836,23.887,0.000,,21,38,,
T,2023-05-09 14:51:27,6.24496709,-75.57064238,3.79,1479.846,23.887,0.000,,21,38,,
T,2023-05-09 14:51:28,6.24496706,-75.57064239,3.79,1479.850,23.887,0.000,,20,38,,
T,2023-05-09 14:51:29,6.24496699,-75.57064238,3.79,1479.848,23.887,0.000,,21,38,,
T,2023-05-09 14:51:30,6.24496692,-75.57064235,3.79,1479.847,23.887,0.000,,21,38,,
T,2023-05-09 14:51:31,6.24496688,-75.57064231,3.79,1479.844,23.887,0.000,,20,38,,
T,2023-05-09 14:51:32,6.24496676,-75.57064234,3.79,1479.857,23.887,0.000,,20,38,,
T,2023-05-09 14:51:33,6.24496671,-75.57064232,3.79,1479.861,23.887,0.000,,20,38,,
T,2023-05-09 14:51:34,6.24495953,-75.57064326,3.79,1479.754,23.887,0.490,192,20,38,,
T,2023-05-09 14:51:35,6.24494447,-75.57064995,3.79,1478.963,23.887,1.460,201,20,38,,
T,2023-05-09 14:51:36,6.24492148,-75.57066328,3.79,1478.642,23.887,2.750,220,21,38,,
T,2023-05-09 14:51:37,6.24488378,-75.57070694,3.79,1479.104,23.888,5.320,220,21,38,,
