type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-09 17:36:20.187,6.25149833,-75.56901333,3.60,1477.935,23.865,0.865,204,14,43,20230509-123620,GPS Logger: 20230509-123620 - Segundo viaje
T,2023-05-09 17:36:21.190,6.25149000,-75.56899667,3.30,1472.835,23.865,0.912,207,18,43,,
T,2023-05-09 17:36:22.189,6.25146667,-75.56901333,3.00,1470.334,23.866,0.844,213,20,43,,
T,2023-05-09 17:36:23.190,6.25143833,-75.56906833,2.90,1470.334,23.866,0.725,219,20,43,,
T,2023-05-09 17:36:24.204,6.25145667,-75.56907667,2.60,1473.734,23.866,0.620,274,22,43,,
T,2023-05-09 17:36:26,6.25144667,-75.56909833,2.50,1473.734,23.866,0.660,277,23,43,,
T,2023-05-09 17:36:27,6.25144167,-75.56911167,2.40,1473.334,23.866,0.846,257,23,43,,
T,2023-05-09 17:36:28,6.25142833,-75.56912500,2.30,1473.634,23.866,0.757,249,23,43,,
T,2023-05-09 17:36:29,6.25142833,-75.56913333,2.30,1473.734,23.866,0.204,249,23,43,,
T,2023-05-09 17:36:30,6.25141500,-75.56914000,2.30,1474.834,23.866,0.000,,25,43,,
T,2023-05-09 17:36:31,6.25139667,-75.56914500,2.30,1475.334,23.866,0.132,245,26,43,,
T,2023-05-09 17:36:32,6.25137500,-75.56914500,2.10,1475.534,23.866,0.154,104,25,43,,
T,2023-05-09 17:36:34,6.25136000,-75.56914500,2.10,1475.234,23.866,0.152,84,25,43,,
T,2023-05-09 17:36:35,6.25135333,-75.56915167,2.20,1475.634,23.866,0.191,38,26,43,,
T,2023-05-09 17:36:36,6.25135000,-75.56916000,2.20,1475.633,23.867,0.222,330,26,43,,
T,2023-05-09 17:36:37,6.25133500,-75.56917667,2.20,1474.633,23.867,0.328,252,26,43,,
T,2023-05-09 17:36:38,6.25133833,-75.56917667,2.20,1474.533,23.867,0.187,330,27,43,,
T,2023-05-09 17:36:39,6.25132500,-75.56918833,2.20,1473.433,23.867,0.212,283,28,43,,
T,2023-05-09 17:36:40,6.25132333,-75.56919500,2.20,1472.633,23.867,0.233,297,27,43,,
T,2023-05-09 17:36:41,6.25131667,-75.56920500,2.30,1471.433,23.867,0.253,280,27,43,,
T,2023-05-09 17:36:42,6.25131667,-75.56921167,2.30,1470.933,23.867,0.266,275,27,43,,
T,2023-05-09 17:36:43,6.25131000,-75.56921500,2.40,1470.233,23.867,0.278,257,26,43,,
T,2023-05-09 17:36:44,6.25130000,-75.56921667,2.40,1470.033,23.867,0.288,236,26,43,,
T,2023-05-09 17:36:45,6.25128667,-75.56922000,2.40,1469.533,23.867,0.297,223,26,43,,
T,2023-05-09 17:36:46,6.25125833,-75.56921833,2.30,1468.933,23.867,0.324,201,27,43,,
T,2023-05-09 17:36:47,6.25124833,-75.56922500,2.30,1468.733,23.867,0.337,181,26,43,,
T,2023-05-09 17:36:48,6.25124333,-75.56923167,2.20,1467.833,23.867,0.338,165,28,43,,
T,2023-05-09 17:36:49,6.25123000,-75.56923000,2.20,1466.833,23.867,0.000,,28,43,,
T,2023-05-09 17:36:50,6.25122000,-75.56923333,2.10,1466.933,23.867,0.000,,28,43,,
T,2023-05-09 17:36:51,6.25120167,-75.56923500,2.10,1466.733,23.867,0.000,,28,43,,
T,2023-05-09 17:36:52,6.25118000,-75.56923667,2.10,1466.333,23.867,0.387,177,28,43,,
T,2023-05-09 17:36:53,6.25116333,-75.56924000,2.10,1466.233,23.867,0.423,184,28,43,,
T,2023-05-09 17:36:54,6.25114333,-75.56924000,2.10,1465.833,23.867,0.462,187,27,43,,
T,2023-05-09 17:36:55,6.25112167,-75.56924333,2.10,1465.633,23.867,0.513,197,27,43,,
T,2023-05-09 17:36:56,6.25109833,-75.56924167,2.10,1465.532,23.868,0.557,190,27,43,,
T,2023-05-09 17:36:57,6.25107500,-75.56924500,2.10,1465.332,23.868,0.617,190,28,43,,
T,2023-05-09 17:36:58,6.25104833,-75.56924833,2.10,1464.932,23.868,0.697,189,29,43,,
T,2023-05-09 17:36:59,6.25102833,-75.56925500,2.00,1464.632,23.868,0.776,188,29,43,,
T,2023-05-09 17:37:00,6.25101500,-75.56925833,2.00,1464.432,23.868,0.859,188,28,43,,
T,2023-05-09 17:37:01,6.25100167,-75.56926000,2.00,1464.232,23.868,0.922,191,27,43,,
T,2023-05-09 17:37:02,6.25099167,-75.56926167,2.00,1464.132,23.868,0.000,,27,43,,
T,2023-05-09 17:37:03,6.25098000,-75.56926500,2.10,1463.932,23.868,1.014,191,27,43,,
T,2023-05-09 17:37:04,6.25096500,-75.56926833,2.10,1463.732,23.868,1.064,193,27,43,,
T,2023-05-09 17:37:05,6.25095000,-75.56927500,2.10,1463.732,23.868,1.098,193,26,43,,
T,2023-05-09 17:37:06,6.25093833,-75.56928000,2.20,1463.732,23.868,0.000,,26,43,,
T,2023-05-09 17:37:07,6.25092667,-75.56928500,2.20,1463.532,23.868,0.000,,27,43,,
T,2023-05-09 17:37:08,6.25091500,-75.56929000,2.20,1463.332,23.868,1.120,188,27,43,,
T,2023-05-09 17:37:09,6.25089833,-75.56929167,2.20,1463.132,23.868,1.092,196,27,43,,
T,2023-05-09 17:37:10,6.25088667,-75.56929500,2.30,1463.032,23.868,1.071,191,27,43,,
T,2023-05-09 17:37:11,6.25087500,-75.56930167,2.30,1462.832,23.868,1.055,192,27,43,,
T,2023-05-09 17:37:12,6.25086333,-75.56930333,2.30,1462.732,23.868,1.037,189,27,43,,
T,2023-05-09 17:37:13,6.25084333,-75.56931833,2.40,1462.831,23.869,1.092,243,27,43,,
T,2023-05-09 17:37:14,6.25083000,-75.56933833,2.40,1462.731,23.869,1.122,242,26,43,,
T,2023-05-09 17:37:15,6.25081667,-75.56935333,2.10,1462.631,23.869,1.142,211,26,43,,
