type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-09 18:00:06,6.21519333,-75.58444667,6.40,1476.283,24.017,0.000,,5,45,20230509-130006,GPS Logger: 20230509-130006 - Tercera
T,2023-05-09 18:00:07,6.21519167,-75.58444833,6.30,1476.283,24.017,0.000,,5,45,,
T,2023-05-09 18:00:08,6.21520333,-75.58443667,6.30,1476.283,24.017,0.000,,5,45,,
T,2023-05-09 18:00:09,6.21520333,-75.58442000,6.30,1476.283,24.017,0.000,,5,45,,
T,2023-05-09 18:00:10,6.21519500,-75.58441667,6.20,1476.283,24.017,0.000,,5,45,,
T,2023-05-09 18:00:11,6.21519333,-75.58440833,6.20,1476.283,24.017,0.000,,5,45,,
T,2023-05-09 18:00:12,6.21519000,-75.58441333,6.20,1476.283,24.017,0.000,,5,45,,
T,2023-05-09 18:00:13,6.21518167,-75.58441167,6.10,1476.283,24.017,0.000,,5,45,,
T,2023-05-09 18:00:14,6.21517833,-75.58441333,6.10,1476.283,24.017,0.000,,5,45,,
T,2023-05-09 18:00:15,6.21517667,-75.58441167,6.10,1476.283,24.017,0.000,,5,45,,
T,2023-05-09 18:00:16,6.21517833,-75.58440167,6.00,1476.383,24.017,0.000,,6,45,,
T,2023-05-09 18:00:17,6.21518000,-75.58439667,6.00,1476.383,24.017,0.000,,6,45,,
T,2023-05-09 18:00:18,6.21516833,-75.58438333,5.90,1476.383,24.017,0.000,,8,45,,
T,2023-05-09 18:00:19,6.21516333,-75.58436833,5.80,1476.383,24.017,0.000,,7,45,,
T,2023-05-09 18:00:20,6.21515667,-75.58435667,5.80,1476.384,24.016,0.000,,7,45,,
T,2023-05-09 18:00:21,6.21515833,-75.58435667,5.80,1476.384,24.016,0.000,,9,45,,
T,2023-05-09 18:00:22,6.21516833,-75.58435500,5.80,1476.384,24.016,0.000,,7,44,,
T,2023-05-09 18:00:23,6.21517500,-75.58437000,5.80,1476.383,24.017,0.000,,7,44,,
T,2023-05-09 18:00:24,6.21516667,-75.58436833,5.90,1476.383,24.017,0.000,,8,45,,
T,2023-05-09 18:00:25,6.21514667,-75.58436333,5.90,1476.383,24.017,0.000,,9,45,,
T,2023-05-09 18:00:26,6.21514667,-75.58438000,5.90,1476.383,24.017,0.000,,8,45,,
T,2023-05-09 18:00:27,6.21514000,-75.58439833,5.80,1476.383,24.017,0.000,,9,45,,
T,2023-05-09 18:00:28,6.21513833,-75.58440000,5.80,1476.383,24.017,0.000,,9,45,,
T,2023-05-09 18:00:29,6.21514000,-75.58441000,5.80,1476.383,24.017,0.000,,8,45,,
T,2023-05-09 18:00:30,6.21515167,-75.58438833,5.70,1476.383,24.017,0.000,,8,45,,
T,2023-05-09 18:00:31,6.21515333,-75.58437833,5.70,1476.383,24.017,0.000,,9,45,,
T,2023-05-09 18:00:32,6.21515000,-75.58437333,5.60,1476.383,24.017,0.000,,11,45,,
