type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-10 04:47:40,6.34661416,-75.50703288,7.99,1428.603,23.326,1.630,170,11,27,20230509-234740,GPS Logger: 20230509-234740 - Honda_cb125f_ruta 10
T,2023-05-10 04:47:41,6.34660661,-75.50701700,5.32,1425.593,23.326,0.850,137,12,27,,
T,2023-05-10 04:47:42,6.34659887,-75.50701718,4.62,1428.784,23.326,0.510,152,12,27,,
T,2023-05-10 04:47:43,6.34660054,-75.50701286,4.20,1429.239,23.326,0.950,126,12,27,,
T,2023-05-10 04:47:44,6.34660075,-75.50700629,4.57,1431.202,23.326,0.880,123,12,27,,
T,2023-05-10 04:47:45,6.34660285,-75.50699759,5.29,1434.541,23.326,0.740,114,12,27,,
T,2023-05-10 04:47:46,6.34660299,-75.50699170,4.81,1433.273,23.326,0.590,107,11,27,,
T,2023-05-10 04:47:47,6.34660338,-75.50698936,4.97,1433.625,23.326,0.470,97,11,27,,
T,2023-05-10 04:47:48,6.34660618,-75.50699058,5.43,1433.950,23.326,0.250,91,11,27,,
T,2023-05-10 04:47:49,6.34660877,-75.50699665,5.24,1435.651,23.326,0.000,,11,27,,
T,2023-05-10 04:47:50,6.34661262,-75.50700629,5.38,1435.696,23.326,0.000,,11,27,,
T,2023-05-10 04:47:51,6.34661354,-75.50700881,5.23,1435.692,23.326,0.000,,11,27,,
T,2023-05-10 04:47:52,6.34661373,-75.50700944,5.18,1435.677,23.326,0.000,,12,27,,
T,2023-05-10 04:47:53,6.34661379,-75.50700961,5.07,1435.671,23.326,0.000,,12,27,,
T,2023-05-10 04:47:54,6.34661370,-75.50700979,4.88,1435.682,23.326,0.000,,12,27,,
T,2023-05-10 04:47:55,6.34661369,-75.50700984,4.64,1435.695,23.326,0.000,,12,27,,
T,2023-05-10 04:47:56,6.34661368,-75.50700989,4.57,1435.713,23.326,0.000,,12,27,,
T,2023-05-10 04:47:57,6.34661361,-75.50701002,4.53,1435.732,23.326,0.000,,12,27,,
T,2023-05-10 04:47:58,6.34661353,-75.50701021,4.64,1435.759,23.326,0.000,,11,27,,
T,2023-05-10 04:47:59,6.34661343,-75.50701048,4.78,1435.794,23.326,0.000,,11,27,,
T,2023-05-10 04:48:00,6.34661335,-75.50701063,4.67,1435.803,23.326,0.000,,10,27,,
T,2023-05-10 04:48:01,6.34661101,-75.50701596,4.47,1436.648,23.326,0.000,,11,27,,
T,2023-05-10 04:48:02,6.34659902,-75.50702646,3.95,1435.686,23.326,0.000,,11,27,,
T,2023-05-10 04:48:03,6.34659598,-75.50702922,3.88,1435.732,23.326,0.000,,11,27,,
T,2023-05-10 04:48:04,6.34659527,-75.50702997,3.88,1435.752,23.326,0.000,,11,27,,
T,2023-05-10 04:48:05,6.34659508,-75.50703015,3.80,1435.757,23.326,0.000,,11,27,,
T,2023-05-10 04:48:06,6.34659923,-75.50703286,3.79,1436.445,23.326,0.210,348,11,27,,
T,2023-05-10 04:48:07,6.34660127,-75.50703645,3.79,1438.190,23.326,0.000,,9,27,,
T,2023-05-10 04:48:08,6.34660467,-75.50704112,3.79,1438.959,23.326,0.300,350,9,27,,
T,2023-05-10 04:48:09,6.34661996,-75.50704402,3.79,1439.541,23.326,1.520,4,9,27,,
T,2023-05-10 04:48:10,6.34662592,-75.50704711,3.79,1440.104,23.326,0.500,6,9,27,,
T,2023-05-10 04:48:11,6.34662346,-75.50705022,3.79,1440.678,23.326,0.200,356,10,27,,
T,2023-05-10 04:48:12,6.34661605,-75.50704991,3.79,1440.756,23.326,0.170,360,10,27,,
T,2023-05-10 04:48:13,6.34661495,-75.50705089,3.79,1441.040,23.326,0.000,,12,27,,
T,2023-05-10 04:48:14,6.34661467,-75.50705094,3.79,1441.024,23.326,0.000,,12,27,,
T,2023-05-10 04:48:15,6.34661455,-75.50705097,3.79,1441.020,23.326,0.000,,12,27,,
T,2023-05-10 04:48:16,6.34660180,-75.50704999,3.82,1440.401,23.326,1.000,177,12,27,,
T,2023-05-10 04:48:17,6.34658137,-75.50705146,3.79,1440.281,23.326,0.000,,12,27,,
T,2023-05-10 04:48:18,6.34657098,-75.50705130,3.79,1440.297,23.326,0.000,,12,27,,
T,2023-05-10 04:48:19,6.34656823,-75.50705126,3.79,1440.282,23.326,0.000,,13,27,,
T,2023-05-10 04:48:20,6.34655710,-75.50705181,3.79,1439.090,23.326,0.000,,12,27,,
T,2023-05-10 04:48:21,6.34652797,-75.50705273,3.85,1437.874,23.326,2.180,179,12,27,,
T,2023-05-10 04:48:22,6.34649845,-75.50705696,3.79,1437.307,23.327,2.610,190,10,27,,
T,2023-05-10 04:48:23,6.34646822,-75.50707850,3.79,1435.089,23.327,3.780,224,10,27,,
T,2023-05-10 04:48:24,6.34623874,-75.50709422,5.30,1438.640,23.327,4.340,242,13,27,,
T,2023-05-10 04:48:25,6.34621260,-75.50715542,4.81,1438.938,23.328,6.520,247,13,27,,
T,2023-05-10 04:48:26,6.34616178,-75.50721320,4.27,1439.525,23.328,8.170,249,13,27,,
T,2023-05-10 04:48:27,6.34612494,-75.50728749,4.36,1439.589,23.329,8.700,249,9,27,,
T,2023-05-10 04:48:28,6.34608767,-75.50735512,4.28,1439.649,23.329,8.320,243,9,27,,
T,2023-05-10 04:48:29,6.34605823,-75.50742632,4.43,1437.968,23.329,8.410,246,9,27,,
T,2023-05-10 04:48:30,6.34604202,-75.50749587,4.46,1437.552,23.330,7.540,248,11,27,,
T,2023-05-10 04:48:31,6.34602218,-75.50754551,4.48,1438.464,23.330,6.280,248,11,27,,
T,2023-05-10 04:48:32,6.34601201,-75.50759844,4.55,1437.790,23.330,5.660,252,11,27,,
T,2023-05-10 04:48:33,6.34600836,-75.50762406,4.45,1437.678,23.331,3.840,269,11,27,,
T,2023-05-10 04:48:34,6.34600938,-75.50765049,4.20,1436.554,23.331,2.390,274,10,27,,
T,2023-05-10 04:48:35,6.34600757,-75.50767357,3.95,1435.831,23.331,2.980,296,10,27,,
T,2023-05-10 04:48:36,6.34602291,-75.50769404,3.81,1435.775,23.331,2.960,310,10,27,,
T,2023-05-10 04:48:37,6.34604569,-75.50770996,3.83,1435.905,23.331,3.220,332,10,27,,
T,2023-05-10 04:48:38,6.34608536,-75.50773129,3.83,1435.005,23.331,4.880,346,11,27,,
T,2023-05-10 04:48:39,6.34613429,-75.50776121,3.79,1434.767,23.331,5.410,343,11,27,,
T,2023-05-10 04:48:40,6.34618818,-75.50777860,3.79,1434.797,23.331,6.060,346,12,27,,
T,2023-05-10 04:48:41,6.34623784,-75.50779769,3.79,1433.944,23.331,5.950,345,12,27,,
T,2023-05-10 04:48:42,6.34628701,-75.50780830,3.79,1432.630,23.331,5.380,343,11,27,,
T,2023-05-10 04:48:43,6.34631281,-75.50782708,3.79,1431.661,23.331,3.550,348,11,27,,
T,2023-05-10 04:48:44,6.34634265,-75.50784262,3.79,1430.645,23.331,3.510,342,11,27,,
T,2023-05-10 04:48:45,6.34638152,-75.50785003,3.79,1429.828,23.331,3.950,343,11,27,,
T,2023-05-10 04:48:46,6.34643005,-75.50786448,3.79,1429.491,23.331,5.260,346,11,27,,
T,2023-05-10 04:48:47,6.34648910,-75.50788015,3.79,1428.909,23.331,6.350,345,10,27,,
T,2023-05-10 04:48:48,6.34655084,-75.50789941,3.79,1428.928,23.331,6.880,343,10,27,,
T,2023-05-10 04:48:49,6.34661464,-75.50791961,3.83,1427.727,23.331,7.650,343,10,27,,
T,2023-05-10 04:48:50,6.34667943,-75.50794264,3.79,1427.244,23.331,8.160,342,9,27,,
T,2023-05-10 04:48:51,6.34674894,-75.50796792,3.79,1426.567,23.331,8.280,341,10,27,,
T,2023-05-10 04:48:52,6.34681701,-75.50799225,3.79,1425.152,23.331,8.180,338,10,27,,
T,2023-05-10 04:48:53,6.34688983,-75.50802030,3.79,1424.268,23.331,8.380,339,10,27,,
T,2023-05-10 04:48:54,6.34696733,-75.50804902,3.79,1423.635,23.331,8.700,336,10,27,,
T,2023-05-10 04:48:55,6.34703574,-75.50808226,3.79,1424.358,23.331,8.210,335,11,27,,
T,2023-05-10 04:48:56,6.34710258,-75.50812539,3.82,1424.079,23.331,7.430,335,12,27,,
T,2023-05-10 04:48:57,6.34716335,-75.50815614,4.30,1423.520,23.331,7.440,334,14,27,,
T,2023-05-10 04:48:58,6.34722783,-75.50817081,5.42,1424.562,23.331,7.130,338,14,27,,
T,2023-05-10 04:48:59,6.34727980,-75.50819465,5.33,1425.479,23.331,6.040,341,14,27,,
T,2023-05-10 04:49:00,6.34733956,-75.50821900,5.09,1427.731,23.331,6.090,357,14,27,,
T,2023-05-10 04:49:01,6.34735801,-75.50818540,4.61,1425.897,23.330,4.810,19,15,27,,
T,2023-05-10 04:49:02,6.34740227,-75.50816339,4.35,1425.760,23.330,5.030,11,15,27,,
T,2023-05-10 04:49:03,6.34745154,-75.50816350,4.55,1424.975,23.330,5.900,352,15,27,,
T,2023-05-10 04:49:04,6.34751999,-75.50817462,5.08,1423.619,23.330,7.370,343,15,27,,
T,2023-05-10 04:49:05,6.34758523,-75.50819337,5.96,1423.596,23.330,8.020,343,15,27,,
T,2023-05-10 04:49:06,6.34762800,-75.50822205,6.63,1422.563,23.330,7.820,339,15,27,,
T,2023-05-10 04:49:07,6.34769996,-75.50824232,6.14,1422.264,23.330,8.000,338,15,27,,
T,2023-05-10 04:49:08,6.34776717,-75.50825774,5.84,1422.251,23.330,7.500,339,15,27,,
T,2023-05-10 04:49:09,6.34783201,-75.50828263,5.99,1421.622,23.330,7.130,338,12,27,,
T,2023-05-10 04:49:10,6.34787891,-75.50829239,5.52,1420.888,23.330,5.420,341,14,27,,
T,2023-05-10 04:49:11,6.34791319,-75.50830051,5.02,1420.038,23.330,4.570,350,14,27,,
T,2023-05-10 04:49:12,6.34796103,-75.50831109,5.01,1420.917,23.330,4.900,19,12,27,,
T,2023-05-10 04:49:13,6.34796929,-75.50826797,4.55,1420.531,23.329,3.510,31,12,27,,
T,2023-05-10 04:49:14,6.34798997,-75.50824679,4.40,1419.328,23.329,3.290,43,12,27,,
T,2023-05-10 04:49:15,6.34801068,-75.50821353,4.45,1417.882,23.329,3.960,47,13,27,,
T,2023-05-10 04:49:16,6.34803376,-75.50816830,4.64,1416.544,23.329,5.010,51,13,27,,
T,2023-05-10 04:49:17,6.34807445,-75.50809984,4.10,1416.758,23.328,7.190,51,13,27,,
T,2023-05-10 04:49:18,6.34811500,-75.50804299,4.06,1416.644,23.328,7.790,52,14,27,,
T,2023-05-10 04:49:19,6.34815669,-75.50797437,4.32,1417.516,23.328,8.310,53,14,27,,
T,2023-05-10 04:49:20,6.34821848,-75.50790327,4.18,1417.586,23.327,9.070,54,13,27,,
T,2023-05-10 04:49:21,6.34828458,-75.50782952,3.92,1416.690,23.327,10.180,49,14,27,,
T,2023-05-10 04:49:22,6.34834185,-75.50775332,3.94,1416.799,23.326,10.190,52,13,27,,
T,2023-05-10 04:49:23,6.34839819,-75.50768774,4.08,1417.023,23.326,9.820,49,13,27,,
T,2023-05-10 04:49:24,6.34845355,-75.50762488,4.36,1417.561,23.325,9.510,47,14,27,,
T,2023-05-10 04:49:25,6.34850803,-75.50756890,4.12,1417.314,23.325,8.870,48,14,27,,
T,2023-05-10 04:49:26,6.34855761,-75.50751699,3.99,1416.539,23.324,8.170,48,14,27,,
T,2023-05-10 04:49:27,6.34860667,-75.50746606,4.13,1416.276,23.324,7.800,44,13,27,,
T,2023-05-10 04:49:28,6.34865247,-75.50743036,4.26,1416.316,23.324,6.810,34,12,27,,
T,2023-05-10 04:49:29,6.34869961,-75.50741294,4.17,1415.840,23.323,6.090,9,12,27,,
T,2023-05-10 04:49:30,6.34875489,-75.50739916,4.48,1415.699,23.323,6.110,355,11,27,,
T,2023-05-10 04:49:31,6.34884433,-75.50742922,3.79,1415.438,23.323,7.760,344,12,27,,
T,2023-05-10 04:49:32,6.34892807,-75.50745222,3.79,1415.154,23.323,8.840,342,13,27,,
T,2023-05-10 04:49:33,6.34901701,-75.50748033,3.84,1415.236,23.323,9.420,350,14,27,,
T,2023-05-10 04:49:34,6.34910021,-75.50748872,4.05,1415.304,23.323,8.890,357,15,27,,
T,2023-05-10 04:49:35,6.34917221,-75.50748830,4.13,1415.376,23.323,7.760,4,15,27,,
T,2023-05-10 04:49:36,6.34923670,-75.50748339,4.36,1415.813,23.323,7.010,8,15,27,,
T,2023-05-10 04:49:37,6.34930879,-75.50747621,4.57,1415.350,23.322,7.940,11,15,27,,
T,2023-05-10 04:49:38,6.34938922,-75.50747322,4.48,1415.748,23.322,8.300,14,15,27,,
T,2023-05-10 04:49:39,6.34946687,-75.50746183,4.22,1415.589,23.322,9.120,16,14,27,,
T,2023-05-10 04:49:40,6.34955768,-75.50743414,4.00,1414.703,23.322,9.870,16,14,27,,
T,2023-05-10 04:49:41,6.34965166,-75.50741211,4.25,1415.422,23.321,10.120,12,14,27,,
T,2023-05-10 04:49:42,6.34974160,-75.50739683,4.49,1415.102,23.321,10.810,12,15,27,,
T,2023-05-10 04:49:43,6.34983857,-75.50736380,4.06,1412.334,23.321,11.600,13,15,26,,
T,2023-05-10 04:49:44,6.34995011,-75.50734411,4.16,1412.320,23.320,11.820,13,15,26,,
T,2023-05-10 04:49:45,6.35004941,-75.50731907,4.29,1412.618,23.320,11.310,13,15,26,,
T,2023-05-10 04:49:46,6.35014437,-75.50729683,4.27,1411.972,23.319,10.550,14,14,26,,
T,2023-05-10 04:49:47,6.35023690,-75.50726712,4.24,1411.796,23.319,9.360,17,14,26,,
T,2023-05-10 04:49:48,6.35031201,-75.50722848,4.03,1410.535,23.319,8.730,30,14,26,,
