type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-10 12:30:32.161,6.21525000,-75.58444667,2.90,1487.783,24.017,0.147,79,14,46,20230510-073032,GPS Logger: 20230510-073032 - Seis
T,2023-05-10 12:30:34,6.21526000,-75.58447333,2.60,1487.683,24.017,0.049,233,14,46,,
T,2023-05-10 12:30:35,6.21526167,-75.58449333,2.30,1487.583,24.017,0.426,300,16,46,,
T,2023-05-10 12:30:36,6.21526167,-75.58450333,2.20,1487.883,24.017,0.165,47,17,46,,
T,2023-05-10 12:30:37,6.21526500,-75.58450833,2.10,1487.883,24.017,0.400,111,18,46,,
T,2023-05-10 12:30:38,6.21526500,-75.58451333,2.00,1488.083,24.017,0.417,107,18,46,,
T,2023-05-10 12:30:39,6.21527167,-75.58451667,1.90,1488.483,24.017,0.252,113,20,46,,
T,2023-05-10 12:30:40,6.21527500,-75.58451833,1.90,1488.783,24.017,0.243,107,18,46,,
T,2023-05-10 12:30:41,6.21527500,-75.58452333,1.90,1488.783,24.017,0.203,133,16,46,,
T,2023-05-10 12:30:42,6.21527833,-75.58452833,1.80,1488.783,24.017,0.119,68,18,46,,
T,2023-05-10 12:30:43,6.21528167,-75.58453333,1.80,1488.883,24.017,0.057,17,21,46,,
T,2023-05-10 12:30:44,6.21528167,-75.58453833,1.80,1488.883,24.017,0.066,352,21,46,,
T,2023-05-10 12:30:45,6.21528167,-75.58454167,1.70,1488.883,24.017,0.055,300,22,46,,
T,2023-05-10 12:30:46,6.21528167,-75.58454500,1.70,1488.783,24.017,0.119,215,23,46,,
T,2023-05-10 12:30:47,6.21528167,-75.58454833,1.70,1488.783,24.017,0.064,140,22,46,,
T,2023-05-10 12:30:48,6.21528167,-75.58454833,1.70,1488.683,24.017,0.089,106,24,46,,
T,2023-05-10 12:30:49,6.21528333,-75.58455167,1.70,1488.583,24.017,0.128,112,24,46,,
T,2023-05-10 12:30:50,6.21528333,-75.58455000,1.70,1488.483,24.017,0.123,285,24,46,,
T,2023-05-10 12:30:51,6.21528500,-75.58455167,1.70,1488.283,24.017,0.114,94,23,46,,
T,2023-05-10 12:30:52,6.21528500,-75.58455167,1.70,1488.283,24.017,0.109,48,23,46,,
T,2023-05-10 12:30:53,6.21528500,-75.58455500,1.70,1488.283,24.017,0.142,269,23,46,,
T,2023-05-10 12:30:54,6.21528500,-75.58455667,1.80,1488.283,24.017,0.176,284,23,46,,
T,2023-05-10 12:30:55,6.21528333,-75.58455667,1.80,1488.283,24.017,0.195,61,23,46,,
T,2023-05-10 12:30:56,6.21528167,-75.58455167,1.90,1488.183,24.017,0.206,71,22,46,,
T,2023-05-10 12:30:57,6.21528333,-75.58455000,1.90,1488.083,24.017,0.257,89,21,46,,
T,2023-05-10 12:30:58,6.21528167,-75.58454167,2.00,1488.083,24.017,0.000,,22,46,,
T,2023-05-10 12:30:59,6.21528167,-75.58454000,2.20,1488.183,24.017,0.000,,20,46,,
T,2023-05-10 12:31:00,6.21527833,-75.58454333,2.20,1488.183,24.017,0.374,237,21,46,,
T,2023-05-10 12:31:01,6.21527500,-75.58454000,2.30,1488.483,24.017,0.408,180,20,46,,
T,2023-05-10 12:31:02,6.21527000,-75.58453667,2.20,1488.983,24.017,0.481,137,20,46,,
T,2023-05-10 12:31:03,6.21526667,-75.58452833,2.20,1489.083,24.017,0.000,,20,46,,
T,2023-05-10 12:31:04,6.21526333,-75.58452167,2.20,1489.183,24.017,0.561,134,21,46,,
T,2023-05-10 12:31:05,6.21526000,-75.58452000,2.20,1489.383,24.017,0.601,132,21,46,,
T,2023-05-10 12:31:06,6.21525667,-75.58452500,2.20,1489.583,24.017,0.628,143,21,46,,
T,2023-05-10 12:31:07,6.21525667,-75.58451667,2.20,1489.683,24.017,0.616,138,21,46,,
T,2023-05-10 12:31:08,6.21525500,-75.58451000,2.10,1489.983,24.017,0.614,130,21,46,,
T,2023-05-10 12:31:09,6.21525667,-75.58450833,2.10,1490.083,24.017,0.563,127,21,46,,
T,2023-05-10 12:31:10,6.21525833,-75.58450500,2.10,1490.083,24.017,0.549,106,21,46,,
T,2023-05-10 12:31:11,6.21526000,-75.58450500,2.10,1490.283,24.017,0.525,85,20,46,,
T,2023-05-10 12:31:12,6.21526167,-75.58450500,2.10,1490.483,24.017,0.463,78,20,46,,
T,2023-05-10 12:31:13,6.21526333,-75.58450500,2.10,1490.783,24.017,0.406,144,20,46,,
T,2023-05-10 12:31:14,6.21526333,-75.58450500,2.10,1490.983,24.017,0.000,,20,46,,
T,2023-05-10 12:31:15,6.21526333,-75.58450333,2.20,1490.983,24.017,0.000,,20,46,,
T,2023-05-10 12:31:16,6.21526167,-75.58450000,2.20,1490.083,24.017,0.000,,19,46,,
T,2023-05-10 12:31:17,6.21526167,-75.58450000,2.10,1490.083,24.017,0.000,,19,46,,
T,2023-05-10 12:31:18,6.21526167,-75.58450000,2.10,1490.083,24.017,0.000,,19,46,,
T,2023-05-10 12:31:19,6.21526167,-75.58450000,2.10,1490.083,24.017,0.000,,18,46,,
T,2023-05-10 12:31:20,6.21526167,-75.58450000,2.10,1490.083,24.017,0.000,,19,46,,
T,2023-05-10 12:31:21,6.21526167,-75.58450000,2.10,1490.083,24.017,0.000,,19,46,,
T,2023-05-10 12:31:22,6.21526167,-75.58450000,2.10,1490.083,24.017,0.000,,19,46,,
T,2023-05-10 12:31:23,6.21526167,-75.58450000,2.10,1490.083,24.017,0.000,,19,46,,
T,2023-05-10 12:31:24,6.21526167,-75.58450000,2.10,1490.083,24.017,0.000,,19,46,,
T,2023-05-10 12:31:25,6.21526167,-75.58450000,2.10,1490.083,24.017,0.000,,18,46,,
T,2023-05-10 12:31:26,6.21526167,-75.58450000,2.10,1490.083,24.017,0.000,,18,46,,
T,2023-05-10 12:31:27,6.21526167,-75.58450000,2.20,1490.083,24.017,0.000,,20,46,,
T,2023-05-10 12:31:28,6.21526167,-75.58450000,2.20,1490.083,24.017,0.000,,19,46,,
T,2023-05-10 12:31:29,6.21526167,-75.58450000,2.20,1490.083,24.017,0.000,,19,46,,
T,2023-05-10 12:31:30,6.21526167,-75.58450000,2.20,1490.083,24.017,0.000,,19,46,,
T,2023-05-10 12:31:31,6.21526167,-75.58450000,2.20,1490.083,24.017,0.000,,19,46,,
T,2023-05-10 12:31:32,6.21526167,-75.58450000,2.20,1490.083,24.017,0.000,,19,46,,
T,2023-05-10 12:31:33,6.21526167,-75.58450000,2.30,1490.083,24.017,0.000,,19,46,,
T,2023-05-10 12:31:34,6.21526167,-75.58450000,2.30,1490.083,24.017,0.000,,18,46,,
T,2023-05-10 12:31:35,6.21526167,-75.58450000,2.30,1490.083,24.017,0.000,,18,46,,
T,2023-05-10 12:31:36,6.21526167,-75.58450000,2.30,1490.083,24.017,0.000,,17,46,,
T,2023-05-10 12:31:37,6.21526167,-75.58450000,2.30,1490.083,24.017,0.000,,17,46,,
T,2023-05-10 12:31:38,6.21526167,-75.58450000,2.30,1490.083,24.017,0.000,,19,46,,
T,2023-05-10 12:31:39,6.21526167,-75.58450000,2.30,1490.083,24.017,0.000,,19,46,,
T,2023-05-10 12:31:40,6.21526167,-75.58450000,2.30,1490.083,24.017,0.000,,19,46,,
T,2023-05-10 12:31:41,6.21526167,-75.58450000,2.30,1490.083,24.017,0.000,,19,46,,
T,2023-05-10 12:31:42,6.21526167,-75.58450000,2.30,1490.083,24.017,0.000,,20,46,,
T,2023-05-10 12:31:43,6.21526167,-75.58450000,2.20,1490.083,24.017,0.000,,20,46,,
T,2023-05-10 12:31:44,6.21526167,-75.58450000,2.20,1490.083,24.017,0.000,,19,46,,
T,2023-05-10 12:31:45,6.21526167,-75.58450000,2.20,1490.083,24.017,0.000,,20,46,,
T,2023-05-10 12:31:46,6.21526167,-75.58450000,2.20,1490.083,24.017,0.000,,20,46,,
T,2023-05-10 12:31:47,6.21526167,-75.58450000,2.20,1490.083,24.017,0.000,,22,46,,
T,2023-05-10 12:31:48,6.21526167,-75.58450000,2.20,1490.083,24.017,0.000,,21,46,,
T,2023-05-10 12:31:49,6.21526167,-75.58450000,2.20,1490.083,24.017,0.000,,21,46,,
T,2023-05-10 12:31:50,6.21526167,-75.58450000,2.20,1490.083,24.017,0.000,,20,46,,
T,2023-05-10 12:31:51,6.21526167,-75.58450000,2.00,1490.083,24.017,0.000,,19,46,,
T,2023-05-10 12:31:52,6.21526167,-75.58450000,2.00,1490.083,24.017,0.000,,21,46,,
T,2023-05-10 12:31:53,6.21526167,-75.58450000,2.10,1490.083,24.017,0.000,,20,46,,
T,2023-05-10 12:31:54,6.21526167,-75.58450000,2.10,1490.083,24.017,0.000,,20,46,,
T,2023-05-10 12:31:55,6.21526167,-75.58450000,2.20,1490.083,24.017,0.000,,20,46,,
T,2023-05-10 12:31:56,6.21526167,-75.58450000,2.30,1490.083,24.017,0.000,,19,46,,
T,2023-05-10 12:31:57,6.21526167,-75.58450000,2.30,1490.083,24.017,0.000,,19,46,,
T,2023-05-10 12:31:58,6.21526167,-75.58450000,2.40,1490.083,24.017,0.000,,20,46,,
T,2023-05-10 12:31:59,6.21526167,-75.58450000,2.30,1490.083,24.017,0.000,,20,46,,
T,2023-05-10 12:32:00,6.21526167,-75.58450000,2.40,1490.083,24.017,0.000,,20,46,,
T,2023-05-10 12:32:01,6.21526167,-75.58450000,2.30,1490.083,24.017,0.000,,18,46,,
T,2023-05-10 12:32:02,6.21526167,-75.58450000,2.30,1490.083,24.017,0.000,,18,46,,
T,2023-05-10 12:32:03,6.21526167,-75.58450000,2.30,1490.083,24.017,0.000,,20,46,,
T,2023-05-10 12:32:04,6.21526167,-75.58450000,2.30,1490.083,24.017,0.000,,21,46,,
T,2023-05-10 12:32:05,6.21526167,-75.58450000,2.30,1490.083,24.017,0.000,,20,46,,
T,2023-05-10 12:32:06,6.21526167,-75.58450000,2.20,1490.083,24.017,0.000,,21,46,,
T,2023-05-10 12:32:07,6.21526167,-75.58450000,2.20,1490.083,24.017,0.000,,20,46,,
T,2023-05-10 12:32:08,6.21526167,-75.58450000,2.20,1490.083,24.017,0.000,,20,46,,
T,2023-05-10 12:32:09,6.21526167,-75.58450000,2.20,1490.083,24.017,0.000,,19,46,,
T,2023-05-10 12:32:10,6.21526167,-75.58450000,2.20,1490.083,24.017,0.000,,19,46,,
T,2023-05-10 12:32:11,6.21526167,-75.58450000,2.20,1490.083,24.017,0.000,,20,46,,
T,2023-05-10 12:32:12,6.21526167,-75.58450000,2.20,1490.083,24.017,0.000,,20,46,,
T,2023-05-10 12:32:13,6.21526167,-75.58450000,2.20,1490.083,24.017,0.000,,20,46,,
T,2023-05-10 12:32:14,6.21528833,-75.58447833,2.20,1491.883,24.017,0.241,304,19,46,,
T,2023-05-10 12:32:15,6.21528500,-75.58447667,2.20,1491.783,24.017,0.000,,19,46,,
T,2023-05-10 12:32:16,6.21528500,-75.58447333,2.20,1491.883,24.017,0.000,,19,46,,
T,2023-05-10 12:32:17,6.21528333,-75.58446667,2.20,1491.883,24.017,0.000,,19,46,,
T,2023-05-10 12:32:18,6.21528167,-75.58446333,2.20,1491.683,24.017,0.000,,20,46,,
T,2023-05-10 12:32:19,6.21528167,-75.58446333,2.30,1491.683,24.017,0.000,,20,46,,
T,2023-05-10 12:32:20,6.21528167,-75.58446333,2.30,1491.683,24.017,0.000,,20,46,,
T,2023-05-10 12:32:21,6.21528333,-75.58447333,2.20,1491.983,24.017,0.381,5,20,46,,
T,2023-05-10 12:32:22,6.21528500,-75.58447333,2.10,1491.883,24.017,0.000,,20,46,,
T,2023-05-10 12:32:23,6.21528500,-75.58447167,2.10,1491.783,24.017,0.000,,21,46,,
T,2023-05-10 12:32:24,6.21528333,-75.58446667,2.10,1491.783,24.017,0.000,,22,46,,
T,2023-05-10 12:32:25,6.21528333,-75.58446667,2.10,1491.783,24.017,0.000,,22,46,,
T,2023-05-10 12:32:26,6.21528333,-75.58446667,2.10,1491.783,24.017,0.000,,20,46,,
T,2023-05-10 12:32:27,6.21528333,-75.58446667,2.20,1491.783,24.017,0.000,,21,46,,
T,2023-05-10 12:32:28,6.21528333,-75.58446667,2.20,1491.783,24.017,0.000,,23,46,,
T,2023-05-10 12:32:29,6.21528333,-75.58446667,2.20,1491.783,24.017,0.000,,23,46,,
T,2023-05-10 12:32:30,6.21528333,-75.58446667,2.10,1491.783,24.017,0.000,,22,46,,
T,2023-05-10 12:32:31,6.21528333,-75.58446667,2.10,1491.783,24.017,0.000,,21,46,,
T,2023-05-10 12:32:32,6.21528333,-75.58446667,2.10,1491.783,24.017,0.000,,21,46,,
T,2023-05-10 12:32:33,6.21528333,-75.58446667,2.10,1491.783,24.017,0.000,,22,46,,
T,2023-05-10 12:32:34,6.21528333,-75.58446667,2.10,1491.783,24.017,0.000,,21,46,,
T,2023-05-10 12:32:35,6.21528333,-75.58446667,2.10,1491.783,24.017,0.000,,21,46,,
T,2023-05-10 12:32:36,6.21528333,-75.58446667,2.10,1491.783,24.017,0.000,,20,46,,
T,2023-05-10 12:32:37,6.21528333,-75.58446667,2.20,1491.783,24.017,0.000,,19,46,,
T,2023-05-10 12:32:38,6.21528333,-75.58446667,2.20,1491.783,24.017,0.000,,20,46,,
T,2023-05-10 12:32:39,6.21528333,-75.58446667,2.20,1491.783,24.017,0.000,,20,46,,
T,2023-05-10 12:32:40,6.21528333,-75.58446667,2.10,1491.783,24.017,0.000,,21,46,,
T,2023-05-10 12:32:41,6.21528333,-75.58446667,2.10,1491.783,24.017,0.000,,21,46,,
T,2023-05-10 12:32:42,6.21528333,-75.58446667,2.10,1491.783,24.017,0.000,,21,46,,
T,2023-05-10 12:32:43,6.21530667,-75.58448167,2.10,1495.483,24.017,0.354,260,21,46,,
T,2023-05-10 12:32:44,6.21531167,-75.58448667,2.10,1495.783,24.017,0.000,,20,46,,
T,2023-05-10 12:32:45,6.21531167,-75.58449000,2.00,1495.483,24.017,0.000,,21,46,,
T,2023-05-10 12:32:46,6.21531500,-75.58449167,2.00,1495.483,24.017,0.000,,19,46,,
T,2023-05-10 12:32:47,6.21531500,-75.58449167,2.00,1495.483,24.017,0.000,,19,46,,
T,2023-05-10 12:32:48,6.21531500,-75.58449167,2.00,1495.483,24.017,0.000,,19,46,,
T,2023-05-10 12:32:49,6.21531500,-75.58449167,2.00,1495.483,24.017,0.000,,18,46,,
T,2023-05-10 12:32:50,6.21531500,-75.58449167,2.00,1495.483,24.017,0.000,,19,46,,
T,2023-05-10 12:32:51,6.21531500,-75.58449167,2.00,1495.483,24.017,0.000,,18,46,,
T,2023-05-10 12:32:52,6.21531500,-75.58449167,2.00,1495.483,24.017,0.000,,19,46,,
T,2023-05-10 12:32:53,6.21531500,-75.58449167,2.00,1495.483,24.017,0.000,,19,46,,
T,2023-05-10 12:32:54,6.21531500,-75.58449167,2.00,1495.483,24.017,0.000,,20,46,,
T,2023-05-10 12:32:55,6.21531500,-75.58449167,2.00,1495.483,24.017,0.000,,20,46,,
T,2023-05-10 12:32:56,6.21531500,-75.58449167,2.00,1495.483,24.017,0.000,,21,46,,
T,2023-05-10 12:32:57,6.21531500,-75.58449167,2.10,1495.483,24.017,0.000,,21,46,,
T,2023-05-10 12:32:58,6.21531500,-75.58449167,2.00,1495.483,24.017,0.000,,21,46,,
T,2023-05-10 12:32:59,6.21531500,-75.58449167,2.00,1495.483,24.017,0.000,,21,46,,
T,2023-05-10 12:33:00,6.21531500,-75.58449167,2.10,1495.483,24.017,0.000,,21,46,,
T,2023-05-10 12:33:01,6.21531500,-75.58449167,2.10,1495.483,24.017,0.000,,21,46,,
T,2023-05-10 12:33:02,6.21531500,-75.58449167,2.10,1495.483,24.017,0.000,,21,46,,
T,2023-05-10 12:33:03,6.21531500,-75.58449167,2.10,1495.483,24.017,0.000,,22,46,,
T,2023-05-10 12:33:04,6.21531500,-75.58449167,2.10,1495.483,24.017,0.000,,22,46,,
T,2023-05-10 12:33:05,6.21531500,-75.58449167,2.10,1495.483,24.017,0.000,,23,46,,
T,2023-05-10 12:33:06,6.21532500,-75.58448167,2.30,1498.183,24.017,4.204,37,22,46,,
T,2023-05-10 12:33:07,6.21536333,-75.58445333,2.20,1498.383,24.017,4.810,39,22,46,,
T,2023-05-10 12:33:08,6.21540500,-75.58442000,2.40,1498.284,24.016,5.421,38,23,46,,
T,2023-05-10 12:33:09,6.21545667,-75.58439667,2.50,1498.384,24.016,5.519,32,22,46,,
T,2023-05-10 12:33:10,6.21549667,-75.58437167,2.40,1497.984,24.016,5.267,34,22,46,,
T,2023-05-10 12:33:11,6.21554167,-75.58434667,2.40,1497.384,24.016,4.901,34,22,46,,
T,2023-05-10 12:33:12,6.21558833,-75.58432333,2.40,1496.885,24.015,4.973,35,22,46,,
T,2023-05-10 12:33:13,6.21564000,-75.58430333,2.50,1496.585,24.015,5.680,31,21,46,,
T,2023-05-10 12:33:14,6.21571000,-75.58428500,2.40,1496.285,24.015,6.526,26,22,46,,
T,2023-05-10 12:33:15,6.21577167,-75.58425833,2.40,1495.785,24.015,6.715,29,22,46,,
T,2023-05-10 12:33:16,6.21583500,-75.58422500,2.30,1495.186,24.014,5.757,25,21,46,,
T,2023-05-10 12:33:17,6.21589000,-75.58420167,2.30,1494.286,24.014,6.018,24,20,46,,
T,2023-05-10 12:33:18,6.21595000,-75.58417500,2.40,1494.086,24.014,6.135,25,20,46,,
T,2023-05-10 12:33:19,6.21600167,-75.58415667,2.60,1493.686,24.014,6.176,22,20,46,,
T,2023-05-10 12:33:20,6.21603667,-75.58413833,2.50,1493.386,24.014,6.061,24,20,46,,
T,2023-05-10 12:33:21,6.21605667,-75.58412167,2.50,1493.486,24.014,2.828,28,21,46,,
T,2023-05-10 12:33:22,6.21607333,-75.58411167,2.50,1493.687,24.013,2.571,29,22,46,,
T,2023-05-10 12:33:23,6.21607833,-75.58409833,2.40,1493.487,24.013,1.806,39,23,46,,
T,2023-05-10 12:33:24,6.21608667,-75.58408500,2.30,1493.687,24.013,1.207,45,23,46,,
T,2023-05-10 12:33:25,6.21609167,-75.58408000,2.20,1493.587,24.013,0.932,44,23,46,,
T,2023-05-10 12:33:26,6.21609333,-75.58407667,2.10,1493.487,24.013,0.678,72,23,46,,
T,2023-05-10 12:33:27,6.21609167,-75.58406667,2.10,1493.587,24.013,1.008,97,23,46,,
T,2023-05-10 12:33:28,6.21608167,-75.58404167,2.20,1493.487,24.013,2.044,95,22,46,,
T,2023-05-10 12:33:29,6.21605167,-75.58399000,2.20,1493.587,24.013,4.985,114,22,46,,
T,2023-05-10 12:33:30,6.21601833,-75.58393333,2.30,1493.587,24.013,6.107,117,23,46,,
T,2023-05-10 12:33:31,6.21598167,-75.58386833,2.30,1493.588,24.012,7.133,117,24,46,,
T,2023-05-10 12:33:32,6.21594167,-75.58379667,2.30,1493.488,24.012,8.128,116,22,46,,
T,2023-05-10 12:33:33,6.21590833,-75.58372333,2.30,1493.588,24.012,8.397,115,21,46,,
T,2023-05-10 12:33:34,6.21587333,-75.58365167,2.20,1493.789,24.011,8.042,117,20,46,,
T,2023-05-10 12:33:35,6.21583333,-75.58358500,2.20,1493.589,24.011,7.732,117,20,46,,
T,2023-05-10 12:33:36,6.21579000,-75.58351667,2.30,1494.789,24.011,8.071,118,21,46,,
T,2023-05-10 12:33:37,6.21575333,-75.58345000,2.50,1494.889,24.011,7.844,116,20,46,,
T,2023-05-10 12:33:38,6.21572667,-75.58338500,2.30,1494.890,24.010,7.597,116,21,46,,
T,2023-05-10 12:33:39,6.21569333,-75.58332667,2.20,1494.990,24.010,6.984,119,21,46,,
T,2023-05-10 12:33:40,6.21566500,-75.58326833,2.10,1494.990,24.010,6.969,116,22,46,,
T,2023-05-10 12:33:41,6.21563500,-75.58321333,2.10,1494.690,24.010,6.955,116,22,46,,
T,2023-05-10 12:33:42,6.21560500,-75.58315667,2.10,1494.791,24.009,7.078,117,23,46,,
